"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-29","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-28","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-27","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-26","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-25","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-24","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-23","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-22","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-21","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-20","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-19","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-18","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-17","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-16","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-15","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-14","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-13","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-12","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-11","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-10","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-09","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-08","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-07","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-06","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-05","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-04","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-03","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-02","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-01","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-31","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-30","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-29","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-28","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-27","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-26","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-25","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-24","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-23","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-22","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-21","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-20","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-19","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-18","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-17","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-16","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-15","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-14","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-13","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-12","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-11","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-10","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-09","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-08","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-07","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-06","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-05","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-04","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-03","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-02","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-01","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-30","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-29","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-28","고구마순(수입)",,,,"0.0",,"0.0",,"0.0",,"0.0"
