"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","기타",,,,"0.0",,"0.0","7388","0.0","8787500","0.0"
"2025-06-29","기타",,,"1524","0.0","1879500","0.0","8574","0.0","10738046","0.0"
"2025-06-28","기타","24","32000",,"0.0",,"0.0","9693","-99.8","12484050","-99.7"
"2025-06-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-06-14","기타","136","408000",,"0.0",,"0.0","12301","-98.9","16039983","-97.5"
"2025-06-13","기타",,,"816","0.0","2429000","0.0","12054","0.0","16104250","0.0"
"2025-06-12","기타",,,"800","0.0","2400000","0.0","12108","0.0","16177450","0.0"
"2025-06-11","기타",,,,"0.0",,"0.0","12146","0.0","16910950","0.0"
"2025-06-10","기타","400","1400000","560","-28.6","1611000","-13.1","12668","-96.8","19220890","-92.7"
"2025-06-09","기타",,,,"0.0",,"0.0","13849","0.0","20546407","0.0"
"2025-06-08","기타",,,,"0.0",,"0.0","14582","0.0","22633840","0.0"
"2025-06-07","기타",,,"833","0.0","2499000","0.0","15934","0.0","25037567","0.0"
"2025-06-06","기타",,,,"0.0",,"0.0","15945","0.0","24060633","0.0"
"2025-06-05","기타","164","574000","46","256.5","146000","293.2","15041","-98.9","22930340","-97.5"
"2025-06-04","기타",,,"605","0.0","2293000","0.0","13532","0.0","21226007","0.0"
"2025-06-03","기타","400","1400000","110","263.6","144500","868.9","13023","-96.9","20782950","-93.3"
"2025-06-02","기타",,,,"0.0",,"0.0","12841","0.0","20754430","0.0"
"2025-06-01","기타",,,"420","0.0","840000","0.0","12946","0.0","21300940","0.0"
"2025-05-31","기타",,,"202","0.0","508000","0.0","12754","0.0","21128667","0.0"
"2025-05-30","기타","148","518000",,"0.0",,"0.0","12267","-98.8","21253847","-97.6"
"2025-05-29","기타","150","525000","406","-63.1","1207000","-56.5","11404","-98.7","20217747","-97.4"
"2025-05-28","기타","168","672000","129","30.2","688500","-2.4","10409","-98.4","18938650","-96.5"
"2025-05-27","기타","254","889000","435","-41.6","1002500","-11.3","10348","-97.5","18857993","-95.3"
"2025-05-26","기타",,,,"0.0",,"0.0","10805","0.0","19885680","0.0"
"2025-05-25","기타",,,"525","0.0","1576000","0.0","10875","0.0","21062960","0.0"
"2025-05-24","기타","432","1512000","773","-44.1","3068000","-50.7","11618","-96.3","21450530","-93.0"
"2025-05-23","기타","400","1600000","360","11.1","1957500","-18.3","11662","-96.6","21373063","-92.5"
"2025-05-22","기타","128","576000","438","-70.8","2501000","-77.0","11072","-98.8","20634190","-97.2"
"2025-05-21","기타",,,"368","0.0","1472000","0.0","10347","0.0","19359403","0.0"
"2025-05-20","기타","412","1648000","185","122.7","584500","182.0","9318","-95.6","18169277","-90.9"
"2025-05-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-06","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-05","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-04","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-03","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-02","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-05-01","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-06","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-05","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-04","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-03","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-02","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-04-01","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-31","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-06","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-05","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-04","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-03","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-02","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-03-01","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-17","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-02-06","기타","-1296","-9720000",,"0.0",,"0.0","1407","-192.1","4034000","-341.0"
"2025-02-05","기타","1446","10020000","72","1908.3","331000","2927.2","1532","-5.6","4676644","114.3"
"2025-02-04","기타",,,,"0.0",,"0.0","1614","0.0","4904498","0.0"
"2025-02-03","기타",,,"339","0.0","2034000","0.0","1664","0.0","4996790","0.0"
"2025-02-02","기타",,,,"0.0",,"0.0","1808","0.0","5806881","0.0"
"2025-02-01","기타","150","375000",,"0.0",,"0.0","1708","-91.2","5130490","-92.7"
"2025-01-31","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-26","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-25","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-24","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-23","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-22","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-21","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-20","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-19","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-18","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-17","기타","210","980000","459","-54.2","2274000","-56.9","1056","-80.1","2816050","-65.2"
"2025-01-16","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-15","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-14","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-13","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-12","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-11","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-10","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-09","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-08","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-07","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-06","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-05","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-04","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-03","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-02","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2025-01-01","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-12-31","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-12-30","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-12-29","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-12-28","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-12-27","기타",,,,"0.0",,"0.0",,"0.0",,"0.0"
"2024-12-26","기타","220","880000",,"0.0",,"0.0","1220","-82.0","3997342","-78.0"
"2024-12-25","기타",,,"415","0.0","1922000","0.0","1482","0.0","5066808","0.0"
"2024-12-24","기타",,,,"0.0",,"0.0","1384","0.0","4689058","0.0"
