식재료,수량,분류,색상,전분질,생식가능,향신,log수량,cluster
생강,372,향신채소,brown,0,0,1,5.921578419643815,0
파(쪽파),224,향신채소,green,0,1,1,5.41610040220442,0
표고버섯,272,버섯,brown,0,0,0,5.60947179518496,1
팽이버섯,127,버섯,white,0,0,0,4.852030263919617,1
느타리버섯,122,버섯,brown,0,0,0,4.812184355372417,1
큰느타리버섯(새송이버섯),80,버섯,white,0,0,0,4.394449154672438,1
양송이버섯,78,버섯,white,0,0,0,4.3694478524670215,1
마늘,2760,향신채소,white,0,1,1,7.923348211930154,2
양파,1810,향신채소,white,0,1,1,7.501634457883413,2
파(대파),1776,향신채소,green,0,1,1,7.482681828154651,2
당근,1049,뿌리채소,orange,0,1,0,6.956545443151569,2
무(조선무),507,뿌리채소,white,0,1,0,6.230481447578482,2
고추(붉은고추(홍고추)),248,고추류,red,0,1,1,5.517452896464707,3
피망(청피망),224,고추류,green,0,1,1,5.41610040220442,3
고추(청양고추),174,고추류,green,0,1,1,5.164785973923514,3
파프리카(노랑파프리카),165,고추류,yellow,0,1,1,5.111987788356543,3
파프리카(적색파프리카),137,고추류,red,0,1,1,4.927253685157204,3
고추(풋고추(청고추)),117,고추류,green,0,1,1,4.770684624465664,3
피망(홍피망),106,고추류,red,0,1,1,4.672828834461906,3
파프리카(녹색파프리카),66,고추류,green,0,1,1,4.204692619390966,3
양배추,289,배추과,green,0,1,0,5.66988092298052,4
오이,287,과채,green,0,1,0,5.662960480135946,4
호박(애호박),243,과채,green,0,0,0,5.497168225293201,4
부추,165,잎채소,green,0,1,0,5.111987788356543,4
양상추,128,잎채소,green,0,1,0,4.859812404361672,4
치커리,116,잎채소,green,0,1,0,4.762173934797756,4
브로콜리,110,배추과,green,0,1,0,4.709530201312334,4
깻잎,97,잎채소(허브),green,0,1,0,4.584967478670571,4
쑥갓,92,잎채소(허브),green,0,1,0,4.532599493153255,4
시금치,91,잎채소,green,0,1,0,4.5217885770490405,4
미나리,74,잎채소(허브),green,0,1,0,4.31748811353631,4
"양배추(적채, 붉은양배추)",106,배추과,purple,0,1,0,4.672828834461906,5
토마토(방울토마토(체리토마토)),87,과채,red,0,1,0,4.477336814478206,5
토마토,65,과채,red,0,1,0,4.189654742026425,5
감자,317,뿌리채소(전분),brown,1,0,0,5.762051382780177,6
호박(단호박),77,과채(전분),orange,1,0,0,4.356708826689592,6
고구마,75,뿌리채소(전분),purple,1,0,0,4.330733340286331,6
