연도,거래일자,품목명,필드,채우기_이전값,채우기_이후값,공여자_전년도값,공여자_다음해_원래거래일자
2023,2023-01-14,대지,금액,,-592000.0,-592000.0,2024-01-14
2021,2021-02-11,수미,금액,,-40000.0,-40000.0,2022-02-11
2020,2020-08-24,기타,금액,,-136500.0,-136500.0,2021-08-24
2020,2020-03-11,대지,금액,,-490000.0,-490000.0,2021-03-11
2019,2019-12-16,대지,금액,,-155000.0,-155000.0,2020-12-16
2018,2018-04-28,대지,금액,,-92000.0,-92000.0,2019-04-28
2017,2017-05-25,대지,금액,,-118500.0,-118500.0,2018-05-25
2016,2016-02-28,기타,반입량,,40610.0,40610.0,2017-02-28
2016,2016-02-28,대지,반입량,,164438.0,164438.0,2017-02-28
2016,2016-02-28,수미,반입량,,173520.0,173520.0,2017-02-28
2016,2016-02-28,기타,금액,,57882000.0,57882000.0,2017-02-28
2016,2016-02-28,대지,금액,,265221500.0,265221500.0,2017-02-28
2016,2016-02-28,수미,금액,,220652000.0,220652000.0,2017-02-28
