연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,756.4483019926772,1731275200.0,2280117.0
2015,28,6,848.916644233505,1751674300.0,2074224.0
2015,29,6,846.1247506569879,1296425200.0,1531625.0
2015,30,6,873.9629677292819,1439057100.0,1641465.0
2015,31,6,892.9160192942568,1197561000.0,1342185.0
2015,32,6,811.0110317711798,1453537500.0,1779550.0
2015,33,6,850.5497938646959,1244568000.0,1467803.0
2015,34,6,864.2418770876715,1585361500.0,1825762.0
2015,35,6,858.8741577708157,1515469500.0,1765459.0
2015,36,6,824.4962080100892,1661490000.0,2016699.0
2015,37,6,813.9475324918967,1376951000.0,1691181.0
2015,38,6,825.8936628872348,1379161500.0,1666609.0
2015,39,6,835.0428891058515,911943000.0,1068208.0
2015,40,4,856.2116252426899,718220500.0,838212.0
2015,41,6,788.5066958027284,1402059500.0,1771098.0
2015,42,6,776.7821387656954,1243328500.0,1591657.0
2015,43,6,765.7797209840866,1112988500.0,1456193.0
2015,44,6,809.6505122170871,1122511000.0,1384627.0
2015,45,6,927.1415765246197,1297072000.0,1406248.0
2015,46,6,936.316274757134,1606461000.0,1716121.0
2015,47,6,898.9103068718687,1134133000.0,1266195.0
2015,48,6,957.9417745183208,1517809500.0,1572865.0
2015,49,6,1011.0599226651794,1558337000.0,1539163.0
2015,50,6,1046.4881478298362,1857084500.0,1771848.0
2015,51,6,995.1549411561695,1293643600.0,1319208.0
2015,52,6,1084.0786497407812,1695842000.0,1556118.0
2015,53,4,1099.7405756917062,1148435000.0,1027735.0
2016,1,6,1160.0235033989245,1926409000.0,1668650.0
2016,2,6,1148.8530015294202,1872864500.0,1640749.0
2016,3,6,1194.054869596993,1489983500.0,1237729.0
2016,4,6,1223.3269507437178,2047711800.0,1665430.0
2016,5,6,1434.9429843586067,2221053000.0,1582879.0
2016,6,3,1212.863850972908,662733500.0,541350.0
2016,7,6,1328.3459088445982,1948092500.0,1477600.0
2016,8,7,1370.4642540878049,2830110500.0,2038901.0
2016,9,6,1315.579000891735,2105829000.0,1593038.0
2016,10,6,1318.1599993364978,2352851000.0,1797258.0
2016,11,6,1292.0950403713687,2211461700.0,1727504.0
2016,12,6,1431.562292456545,2410171000.0,1700689.0
2016,13,6,1528.161505815597,2723353500.0,1808929.0
2016,14,6,1555.9538579281027,2794042000.0,1815997.0
2016,15,6,1577.190323110806,3366473600.0,2147468.0
2016,16,6,1374.6496601160936,3032846100.0,2208483.0
2016,17,6,1519.1795859388492,3321144000.0,2192587.0
2016,18,6,1393.7556802640947,3107173500.0,2234270.0
2016,19,6,1331.0567270139416,3647801500.0,2738175.0
2016,20,6,1147.3080941791873,3403201600.0,2962966.0
2016,21,6,980.7441106158641,3024460200.0,3107917.0
2016,22,6,807.9929359608924,2832330900.0,3500130.0
2016,23,6,808.9244351572328,3019457900.0,3750002.0
2016,24,6,721.873758220785,2776336400.0,3857398.0
2016,25,6,605.5736669336701,2516830000.0,4086367.0
2016,26,6,508.8271262520713,1496868900.0,2865200.0
2016,27,6,608.8112823626869,1062753000.0,1747807.0
2016,28,6,489.91374735518843,939925000.0,1922735.0
2016,29,6,578.067893668081,730898000.0,1258686.0
2016,30,6,572.6324493687617,731289500.0,1280306.0
2016,31,6,608.1688228089935,688866000.0,1133583.0
2016,32,6,615.3591641189213,828375500.0,1343832.0
2016,33,6,711.7384586104871,928981000.0,1296241.0
2016,34,6,730.5433109182092,1022700500.0,1403174.0
2016,35,6,795.8429520179724,1165668600.0,1474362.0
2016,36,6,810.2429986913725,1426745500.0,1759318.0
2016,37,3,749.8872530725472,317356000.0,432665.0
2016,38,6,827.0609201805532,1247697500.0,1507666.0
2016,39,6,759.1884549384635,1239084500.0,1631557.0
2016,40,6,734.8042190753428,928053000.0,1270555.0
2016,41,6,791.6667839259864,1194116000.0,1507442.0
2016,42,6,792.2806221321634,1082945400.0,1364605.0
2016,43,6,892.4235240796787,974327000.0,1093332.0
2016,44,6,910.1910337868534,1178002000.0,1297235.0
2016,45,6,1012.4640890024184,1528477199.0,1505896.0
2016,46,6,1001.7260574315269,1554665500.0,1539244.0
2016,47,6,964.0451045218365,1302243500.0,1352859.0
2016,48,6,1086.8776365300357,1506141500.0,1387161.0
2016,49,6,1067.4460101473035,1734635500.0,1639377.0
2016,50,6,1114.4963192727796,1791134000.0,1610559.0
2016,51,6,1221.654566613047,1863611000.0,1516014.0
2016,52,6,1247.660473809445,1058651000.0,892063.0
2017,1,5,1203.4170335714207,1823956000.0,1517561.0
2017,2,6,1130.6480723560446,1828442500.0,1618870.0
2017,3,6,1115.1239429568734,1883481540.0,1675780.0
2017,4,5,1231.5409274110093,737467800.0,594281.0
2017,5,4,1194.0254634845821,1223339300.0,1029713.0
2017,6,6,1312.5658880723533,2068581020.0,1584888.0
2017,7,6,1337.7384209171526,1835689600.0,1377216.0
2017,8,6,1196.571472960358,1935149600.0,1616497.0
2017,9,6,1296.146154047477,1912794050.0,1489275.0
2017,10,6,1303.4930503476987,2142511500.0,1627963.0
2017,11,6,1241.2350856747964,2210475500.0,1799524.0
2017,12,6,1196.1357822452535,2149362400.0,1830043.0
2017,13,6,1371.2185147773164,2827357300.0,2069552.0
2017,14,6,1515.654517552336,2762522100.0,1819096.0
2017,15,6,1316.3334747945817,2796605600.0,2137974.0
2017,16,6,1462.6258525858436,3027913300.0,2077391.0
2017,17,6,1508.2771475515694,3416179420.0,2277119.0
2017,18,6,1644.2495604770595,2957832320.0,1802374.0
2017,19,6,1745.4642032559195,3701992710.0,2124405.0
2017,20,6,1875.8438932461895,3752520890.0,2008140.0
2017,21,6,1427.7505186547758,3685297740.0,2597679.0
2017,22,6,1171.8832753446136,3810244550.0,3252931.0
2017,23,6,1116.2511071828396,3421115520.0,3069743.0
2017,24,6,938.5358729028941,4030377850.0,4273217.0
2017,25,6,819.7122095436689,3076754550.0,3789068.0
2017,26,6,960.3818979331905,2651979900.0,2765796.0
2017,27,6,916.0838848811153,1802021500.0,1960653.0
2017,28,6,987.4105547880962,1503988000.0,1520074.0
2017,29,6,992.073934692061,1487170608.0,1500392.0
2017,30,6,1025.9425118785573,1708055600.0,1685296.0
2017,31,6,1114.8277070670956,1403954100.0,1295155.0
2017,32,6,1108.8726966719105,1687544400.0,1526840.0
2017,33,6,1311.9330955497878,2021505900.0,1536581.0
2017,34,6,1447.7100241519895,2063770640.0,1419662.0
2017,35,6,1392.8070529808567,2219041900.0,1594308.0
2017,36,6,1341.931586471938,2352987200.0,1747755.0
2017,37,6,1286.976202504785,1576918500.0,1233743.0
2017,38,6,1345.6461384276859,2087177800.0,1547631.0
2017,39,6,1348.723231788874,1804661930.0,1341534.0
2017,40,3,1438.1981669610648,332763000.0,226067.0
2017,41,6,1399.3210671575187,2127792750.0,1518817.0
2017,42,6,1303.6598936552127,2073174500.0,1587189.0
2017,43,6,1308.933708505952,1804620630.0,1379470.0
2017,44,6,1322.0198211419176,1456460500.0,1103012.0
2017,45,6,1307.1189864824146,1973277000.0,1504959.0
2017,46,6,1294.270171033397,1843403100.0,1429537.0
2017,47,6,1402.3089383174683,1897397500.0,1351271.0
2017,48,6,1445.07233632981,2068398550.0,1419613.0
2017,49,6,1486.3437102407715,1964147100.0,1321916.0
2017,50,6,1741.1264111200478,1859209700.0,1077579.0
2017,51,6,1784.5641495969014,2816308050.0,1582697.0
2017,52,6,1721.1681538054352,2148212050.0,1251829.0
2018,1,5,1679.9487812688562,2480651750.0,1459322.0
2018,2,6,1759.3675599252122,1867136400.0,1082191.0
2018,3,6,1978.0891280116814,2658569700.0,1349466.0
2018,4,6,2007.1703010383944,2377479850.0,1193147.0
2018,5,6,2041.618057497483,3092617850.0,1519752.0
2018,6,6,2194.536076002061,2973209750.0,1356244.0
2018,7,4,2172.44035532476,1261037250.0,599603.0
2018,8,6,2256.2734043167843,2687480050.0,1198293.0
2018,9,6,2249.18043339836,2228974100.0,1002980.0
2018,10,6,2335.7716410708026,2697141400.0,1170787.0
2018,11,6,2406.2102837006755,3003225400.0,1259141.0
2018,12,6,2844.8703683712206,3480091800.0,1219458.0
2018,13,6,3259.0570138706976,3909433400.0,1217649.0
2018,14,6,4109.469233431823,5040298300.0,1261391.0
2018,15,6,4740.755921207517,6641946500.0,1394769.0
2018,16,6,3797.372223421387,5287307700.0,1389762.0
2018,17,6,4115.790633987156,5296130800.0,1302188.0
2018,18,6,3389.8590736997853,5523187351.0,1632600.0
2018,19,6,2940.1730210154656,4831273400.0,1663494.0
2018,20,6,1931.630723357678,3447847900.0,1795892.0
2018,21,6,1881.421325711288,4211339050.0,2254175.0
2018,22,6,1369.7046167305496,3809093650.0,2796532.0
2018,23,6,1030.3467651222447,2720517250.0,2654629.0
2018,24,6,1022.2038568653069,3038687371.0,2994563.0
2018,25,6,832.6111113352572,2736198300.0,3281582.0
2018,26,6,893.30191519687,2059419300.0,2391471.0
2018,27,6,935.1196662500273,1853279100.0,1983260.0
2018,28,6,838.0067359094618,1397788750.0,1693587.0
2018,29,6,876.9130498350951,1044850950.0,1195800.0
2018,30,6,1005.9753099558926,1064896800.0,1076809.0
2018,31,5,1236.4551549568628,1072077200.0,868573.0
2018,32,6,1452.8324982538381,1610695800.0,1110584.0
2018,33,6,1382.9873153728383,1546970500.0,1103362.0
2018,34,6,1605.136073164176,1628037150.0,1016456.0
2018,35,6,1499.7266999880637,1930186700.0,1282941.0
2018,36,6,1485.507541972309,1906602300.0,1282162.0
2018,37,6,1469.558920703975,1927784200.0,1313251.0
2018,38,6,1605.5548716888577,1330747400.0,859579.0
2018,39,3,1634.1106228763722,853272800.0,520910.0
2018,40,6,1545.1044551848263,1967531800.0,1274314.0
2018,41,6,1482.786866549706,1793689300.0,1204972.0
2018,42,6,1452.3845517283125,1893873800.0,1306374.0
2018,43,6,1405.855889573005,1577170100.0,1126480.0
2018,44,6,1507.9728463426916,1573333900.0,1065678.0
2018,45,6,1609.434520306636,2306572000.0,1423291.0
2018,46,6,1548.1808249287067,1812963100.0,1183923.0
2018,47,6,1519.90344303411,1919497100.0,1255194.0
2018,48,6,1523.1922225092123,1937401500.0,1269516.0
2018,49,6,1506.5747192323236,1771592450.0,1170182.0
2018,50,6,1733.0131049250265,2481693150.0,1414058.0
2018,51,6,1584.8818303967066,2359106300.0,1491216.0
2018,52,6,1682.3605052223338,2412656100.0,1443908.0
2019,1,5,1431.1273664456473,2292953800.0,1526083.0
2019,2,6,1583.8148579981928,2680283800.0,1678871.0
2019,3,6,1509.8257579632755,2458944300.0,1633902.0
2019,4,6,1445.5703529573748,2113036600.0,1469379.0
2019,5,6,1555.6030549477944,2025086500.0,1301768.0
2019,6,3,1349.4823942569735,726690500.0,487790.0
2019,7,6,1524.3206494555334,2236215500.0,1465183.0
2019,8,6,1342.0119053222659,1920510000.0,1420728.0
2019,9,6,1403.6914830297108,1704414500.0,1262326.0
2019,10,6,1413.7631821243565,2621735500.0,1848345.0
2019,11,6,1387.9583214742797,2287312500.0,1642817.0
2019,12,6,1460.028715266012,2883110500.0,1981357.0
2019,13,6,1579.3262158510558,2809572000.0,1783988.0
2019,14,6,1592.796260209794,3502082500.0,2212742.0
2019,15,6,1533.0261420438835,2842212500.0,1881905.0
2019,16,6,1732.3112060266012,3501045200.0,2024323.0
2019,17,6,1486.1057458471876,2750963200.0,1853793.0
2019,18,6,1506.882124702848,2778394000.0,1841426.0
2019,19,6,1580.5479846278633,3101335500.0,1959013.0
2019,20,6,1511.5825139860278,2832410700.0,1869899.0
2019,21,6,1478.3800644491657,3120885500.0,2214968.0
2019,22,6,955.7398817445825,2481925200.0,2637863.0
2019,23,6,887.4915662232348,2873701000.0,3269618.0
2019,24,6,869.3332120003248,3069236500.0,3585674.0
2019,25,6,695.7696511155253,2053311500.0,3047220.0
2019,26,6,674.3064973223267,1999380100.0,2967562.0
2019,27,6,586.6380785817739,1357594600.0,2277746.0
2019,28,6,663.3598261289825,955170200.0,1445340.0
2019,29,6,656.9403426346105,937018000.0,1415624.0
2019,30,6,685.4169118101576,790265700.0,1147729.0
2019,31,5,673.89975355438,684345000.0,1016022.0
2019,32,6,636.3152443561241,906061400.0,1416949.0
2019,33,6,685.3208584752141,616176100.0,937564.0
2019,34,6,751.507420902332,1164914800.0,1541566.0
2019,35,6,589.263788522505,866308000.0,1458420.0
2019,36,6,622.7864931299486,877484400.0,1388136.0
2019,37,4,675.4844201605704,405416000.0,586262.0
2019,38,6,628.8797269541429,904907765.0,1425907.0
2019,39,6,606.9025519844784,948502200.0,1560988.0
2019,40,6,588.3617044118147,707452000.0,1207378.0
2019,41,6,659.5707041873163,885821500.0,1343566.0
2019,42,6,660.1963267160451,1076352500.0,1633642.0
2019,43,6,567.085936419582,674611200.0,1191262.0
2019,44,6,618.5751565221641,780501400.0,1258603.0
2019,45,6,630.6444477044104,862213200.0,1367973.0
2019,46,6,649.6763877160739,888381200.0,1368032.0
2019,47,6,663.0273796150019,789788900.0,1185263.0
2019,48,6,695.5120747017381,1036449500.0,1483671.0
2019,49,6,681.0811127961234,863800100.0,1270685.0
2019,50,6,719.3576853512827,1156736300.0,1612394.0
2019,51,6,672.3309974243805,1008056400.0,1506552.0
2019,52,6,861.2336140941555,1053242200.0,1247981.0
2020,1,2,1012.4417917631063,545706500.0,543797.0
2020,2,6,877.986211206599,1805476000.0,2035741.0
2020,3,6,956.3089975436111,1582791100.0,1683546.0
2020,4,4,882.7802974473592,687895000.0,781277.0
2020,5,5,818.9078029222541,910777400.0,1093765.0
2020,6,6,1039.1630724737242,1392724100.0,1350601.0
2020,7,6,970.6935430343739,1564704700.0,1623028.0
2020,8,6,963.3348015983796,1522058000.0,1577960.0
2020,9,6,1364.9890446784589,2791145500.0,2037707.0
2020,10,6,1136.9186206359066,2145353000.0,1859227.0
2020,11,6,977.7833314498189,1661274300.0,1743503.0
2020,12,6,1453.1062176647981,2019271000.0,1388453.0
2020,13,6,1296.384069047326,2538455500.0,1943486.0
2020,14,6,1287.4981096320432,2330886500.0,1814797.0
2020,15,6,1150.915972146676,2290386700.0,1997696.0
2020,16,6,1309.9804556799445,2550260000.0,1966330.0
2020,17,6,1478.6130937479813,2732012600.0,1864970.0
2020,18,6,1758.1702143639598,3682264000.0,2110119.0
2020,19,6,1687.6200140555882,3185707500.0,1894244.0
2020,20,6,1383.7022912276268,2717118000.0,1934334.0
2020,21,6,1371.755145418976,2948656000.0,2164389.0
2020,22,6,1026.491924946091,2632533000.0,2542559.0
2020,23,6,1236.9261956531939,2927621550.0,2380041.0
2020,24,6,929.7082893161302,2384237600.0,2601514.0
2020,25,6,985.1647705215883,2787382215.0,2834359.0
2020,26,6,770.5894804782132,1925497000.0,2535739.0
2020,27,6,768.0720812925106,1649515500.0,2157238.0
2020,28,6,697.2303104409357,1402205700.0,1979099.0
2020,29,6,719.63621702696,1006632500.0,1412832.0
2020,30,6,786.0333748215061,1022601300.0,1308018.0
2020,31,5,853.9077546853189,922634500.0,1075004.0
2020,32,6,915.61276023448,951107000.0,1059032.0
2020,33,6,1084.7456979840292,1506898000.0,1374018.0
2020,34,6,1055.1002954090236,1219904500.0,1153797.0
2020,35,6,1200.4219134054688,1413674700.0,1176712.0
2020,36,6,1128.5832183953655,1356951000.0,1204559.0
2020,37,6,1169.6043497510761,1434750300.0,1229977.0
2020,38,6,1176.9845731150574,1786509000.0,1523664.0
2020,39,6,1010.7463966992892,1295061500.0,1284087.0
2020,40,3,1319.8322846547078,427795000.0,330430.0
2020,41,6,1076.5612098419604,1800848500.0,1669834.0
2020,42,6,954.3506951317205,1298232500.0,1346487.0
2020,43,6,987.391633797215,1229795900.0,1239849.0
2020,44,6,997.2530519648825,1288308500.0,1295330.0
2020,45,6,991.8835413660619,1028954500.0,1032250.0
2020,46,6,938.3475253461756,1495763000.0,1589406.0
2020,47,6,961.5316277976062,1077223500.0,1120238.0
2020,48,6,979.2604388389069,1335791500.0,1358493.0
2020,49,6,965.9232390659562,1232858500.0,1281164.0
2020,50,6,1058.9594855185694,1453999500.0,1373002.0
2020,51,6,1193.5854398139047,1511491000.0,1272075.0
2020,52,6,1211.7469116842797,2053347000.0,1709418.0
2020,53,4,1082.156520618555,1032453200.0,973239.0
2021,1,6,1395.7445898808082,1779613000.0,1321619.0
2021,2,6,1430.871504564164,2487762500.0,1737392.0
2021,3,6,1628.0399157121255,2146929500.0,1328392.0
2021,4,6,1457.2431579502652,2447013500.0,1680980.0
2021,5,6,1591.6045466671887,2504506500.0,1561305.0
2021,6,3,1483.7550027133595,1111158500.0,746900.0
2021,7,6,1328.90394669754,1754871000.0,1296206.0
2021,8,6,1463.615785675908,1960382000.0,1341910.0
2021,9,6,1416.4314676902848,2186976200.0,1552848.0
2021,10,6,1353.8808945475296,2070279400.0,1545510.0
2021,11,6,1387.7242776580433,2040276500.0,1475815.0
2021,12,6,1491.5752752020173,2356147400.0,1602976.0
2021,13,6,1467.3019096322357,2170356650.0,1496070.0
2021,14,6,1538.6539243169746,2956075500.0,1916970.0
2021,15,6,1496.4113545622856,2869542300.0,1923626.0
2021,16,6,1540.5125079357315,3330681400.0,2166301.0
2021,17,6,1378.1507741093453,2847432800.0,2075477.0
2021,18,6,1310.097597510604,3299654700.0,2515608.0
2021,19,6,1093.562655633158,3230617400.0,2952153.0
2021,20,6,1130.805571783729,1996481400.0,1771927.0
2021,21,6,977.8457215891686,3055677300.0,3116850.0
2021,22,6,908.6039567371489,2130288900.0,2457813.0
2021,23,6,764.7764433104456,2807315500.0,3601404.0
2021,24,6,762.859047370246,1814447600.0,2400356.0
2021,25,6,785.3472381623606,1912749405.0,2428265.0
2021,26,6,732.1047110699642,1261718200.0,1723725.0
2021,27,6,872.3763749227901,1137875805.0,1303493.0
2021,28,6,669.4734008912973,733042200.0,1105451.0
2021,29,6,858.9806074242457,858776200.0,1002822.0
2021,30,6,870.1273728895927,862685300.0,996241.0
2021,31,5,980.127402628816,954379900.0,969073.0
2021,32,6,1088.2984611405848,1330781800.0,1223563.0
2021,33,6,1121.7357199840787,1247984920.0,1117605.0
2021,34,6,1105.2922647334196,1450072100.0,1308156.0
2021,35,6,1141.9217749874542,1550194700.0,1359134.0
2021,36,6,1121.7087035211491,1617317750.0,1432908.0
2021,37,6,1136.4075077714804,1305455000.0,1144367.0
2021,38,2,1103.306898165576,555727900.0,501245.0
2021,39,6,1112.749533375718,1376760650.0,1227883.0
2021,40,6,1030.052111141618,1291994700.0,1251660.0
2021,41,6,1127.5768281328649,1325824600.0,1173801.0
2021,42,6,1070.193766493653,1418670800.0,1321814.0
2021,43,6,1058.5194221625495,1464459000.0,1379596.0
