연도,거래일자,품목명,필드,채우기_이전값,채우기_이후값,공여자_전년도값,공여자_다음해_원래거래일자
2020,2020-02-08,밤고구마,금액,,-647500.0,-647500.0,2021-02-08
2019,2019-11-23,밤고구마,금액,,-15000.0,-15000.0,2020-11-23
2019,2019-08-24,밤고구마,금액,,-1680000.0,-1680000.0,2020-08-24
2017,2017-04-06,황금고구마,금액,,-16000.0,-16000.0,2018-04-06
2016,2016-02-28,기타,반입량,,91512.0,91512.0,2017-02-28
2016,2016-02-28,밤고구마,반입량,,17750.0,17750.0,2017-02-28
2016,2016-02-28,생고구마순,반입량,,180.0,180.0,2017-02-28
2016,2016-02-28,호박고구마,반입량,,117192.0,117192.0,2017-02-28
2016,2016-02-28,황금고구마,반입량,,3780.0,3780.0,2017-02-28
2016,2016-02-28,기타,금액,,154208500.0,154208500.0,2017-02-28
2016,2016-02-28,밤고구마,금액,,26420500.0,26420500.0,2017-02-28
2016,2016-02-28,생고구마순,금액,,372000.0,372000.0,2017-02-28
2016,2016-02-28,호박고구마,금액,,217265000.0,217265000.0,2017-02-28
2016,2016-02-28,황금고구마,금액,,5946000.0,5946000.0,2017-02-28
