연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,1734.6973201178196,600986950.0,345281.0
2015,28,6,1785.5993798755314,779335100.0,435582.0
2015,29,6,1550.9467818341463,657435900.0,423736.0
2015,30,6,1491.0743421949812,623178600.0,418154.0
2015,31,6,1860.3985692634008,684306750.0,354925.0
2015,32,6,1683.5788262514927,671838850.0,397593.0
2015,33,6,1980.1135600164828,755925000.0,382570.0
2015,34,6,2168.4693472151225,840952250.0,387535.0
2015,35,6,2592.8924288895055,1002678750.0,386974.0
2015,36,6,2472.0042111250673,1011484300.0,408387.0
2015,37,6,2532.8105941900726,1063958200.0,420176.0
2015,38,6,2823.7214267175077,1248973800.0,442263.0
2015,39,6,3879.684152602485,2875951500.0,700742.0
2015,40,4,3032.94644680532,785571150.0,261865.0
2015,41,6,2652.6951288307314,943950750.0,360317.0
2015,42,6,2003.449433074675,887300250.0,442367.0
2015,43,6,1925.6458650183022,834996600.0,432242.0
2015,44,6,1997.4320925324992,868840500.0,435255.0
2015,45,6,2424.836743813762,1000228400.0,414781.0
2015,46,6,2197.6277815802855,933046250.0,423951.0
2015,47,6,1866.3215981836545,857842440.0,458429.0
2015,48,6,1568.4250572739536,741783150.0,473224.0
2015,49,6,1876.9253760664506,831148500.0,445446.0
2015,50,6,2248.1382718132286,974334150.0,434449.0
2015,51,6,2054.3338449742246,979634150.0,476030.0
2015,52,6,2156.4253266695573,948578250.0,441463.0
2015,53,4,2073.605496454519,807828050.0,397371.0
2016,1,6,2176.546494534426,1040121350.0,476085.0
2016,2,6,2478.025941399803,1113707100.0,447516.0
2016,3,6,2427.347007806026,1091907350.0,447244.0
2016,4,6,3032.727454072028,1411715050.0,464858.0
2016,5,6,4427.586169636891,3018510900.0,683363.0
2016,6,3,2214.3691416345314,546610400.0,243608.0
2016,7,6,1990.7052163538253,894760750.0,443705.0
2016,8,7,1782.65936447542,954671450.0,535387.0
2016,9,6,1917.154404174006,884320000.0,462251.0
2016,10,6,2296.229027011899,1038376120.0,451680.0
2016,11,6,2499.456253042842,1142524300.0,458216.0
2016,12,6,2246.8595594545905,1027408250.0,456552.0
2016,13,6,2111.1220788103133,946700200.0,448538.0
2016,14,6,2178.272778562679,958906300.0,440905.0
