거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%),연도,월,weekday,is_sunday,주차
2025-06-30,새송이(일반),74831.0,173553000.0,,0.0,,0.0,76423,-2.1,142806227,21.5,2025,6,0,False,27
2025-06-29,새송이(일반),,,83117.0,0.0,157673100.0,0.0,76303,0.0,146205857,0.0,2025,6,6,True,26
2025-06-28,새송이(일반),71401.0,155726500.0,75995.0,-6.0,139149900.0,11.9,76630,-6.8,148395827,4.9,2025,6,5,False,26
2025-06-27,새송이(일반),63424.0,130652200.0,71572.0,-11.4,127305400.0,2.6,76652,-17.3,144571373,-9.6,2025,6,4,False,26
2025-06-26,새송이(일반),60586.0,117240600.0,69992.0,-13.4,117764300.0,-0.4,75913,-20.2,142400566,-17.7,2025,6,3,False,26
2025-06-25,새송이(일반),63280.0,119440700.0,72772.0,-13.0,119870250.0,-0.4,74511,-15.1,139120181,-14.1,2025,6,2,False,26
2025-06-24,새송이(일반),68388.0,129029500.0,79080.0,-13.5,122805500.0,5.1,73936,-7.5,139167737,-7.3,2025,6,1,False,26
2025-06-23,새송이(일반),73851.0,141736700.0,,0.0,,0.0,74047,-0.3,139112373,1.9,2025,6,0,False,26
2025-06-22,새송이(일반),,,76182.0,0.0,106359400.0,0.0,74791,0.0,143681793,0.0,2025,6,6,True,25
2025-06-21,새송이(일반),72704.0,134738900.0,72173.0,0.7,96957700.0,39.0,75092,-3.2,147029683,-8.4,2025,6,5,False,25
2025-06-20,새송이(일반),59601.0,110227100.0,68039.0,-12.4,90763700.0,21.4,76053,-21.6,148422673,-25.7,2025,6,4,False,25
2025-06-19,새송이(일반),60323.0,111046000.0,66049.0,-8.7,89138200.0,24.6,74106,-18.6,145349623,-23.6,2025,6,3,False,25
2025-06-18,새송이(일반),67814.0,130458900.0,75656.0,-10.4,103491400.0,26.1,73754,-8.1,144207191,-9.5,2025,6,2,False,25
2025-06-17,새송이(일반),68959.0,137759000.0,81350.0,-15.2,113685800.0,21.2,73884,-6.7,143921541,-4.3,2025,6,1,False,25
2025-06-16,새송이(일반),77073.0,157945300.0,,0.0,,0.0,74608,3.3,146211583,8.0,2025,6,0,False,25
2025-06-15,새송이(일반),,,84532.0,0.0,111970800.0,0.0,75880,0.0,150921933,0.0,2025,6,6,True,24
2025-06-14,새송이(일반),71347.0,144074400.0,79197.0,-9.9,103938000.0,38.6,77216,-7.6,157235475,-8.4,2025,6,5,False,24
