연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,1897.404054917956,774748220.0,408104.0
2015,28,6,1927.0216407342023,963522480.0,500460.0
2015,29,6,1633.5082409052459,818285860.0,499035.0
2015,30,6,1497.1467085177328,730434320.0,487739.0
2015,31,6,1692.159141145047,771332490.0,461408.0
2015,32,6,1730.5544503919364,934883400.0,539854.0
2015,33,6,2010.7821331180803,1001855070.0,498143.0
2015,34,6,2263.763033407709,1122515680.0,495576.0
2015,35,6,2524.2164018368217,1278605700.0,508032.0
2015,36,6,2335.250270044603,1233987550.0,527135.0
2015,37,6,2351.418999458487,1253520660.0,534516.0
2015,38,6,2701.235479199701,1548534500.0,574801.0
2015,39,6,2793.860448956529,1788206600.0,636248.0
2015,40,4,2430.9416949598117,809148080.0,332959.0
2015,41,6,2318.3029400510463,1123936140.0,484886.0
2015,42,6,2398.52072931799,1075296380.0,449945.0
2015,43,6,2350.6920123909167,1182097460.0,501282.0
2015,44,6,2305.9184280869913,1097605400.0,475599.0
2015,45,6,2442.2070171958635,1169065860.0,479779.0
2015,46,6,2357.8426128957835,1165885580.0,493905.0
2015,47,6,2185.072900535894,1058162180.0,483901.0
2015,48,6,2079.2308207542246,982147580.0,472494.0
2015,49,6,2170.880817646147,1044448860.0,481142.0
2015,50,6,2335.032924452833,1110038860.0,475645.0
2015,51,6,2586.8887683647713,1297080260.0,501874.0
2015,52,6,2698.639986373969,1376425800.0,510740.0
2015,53,4,2794.9403621078245,1086748500.0,389868.0
2016,1,6,2222.2412334856645,1346482080.0,600081.0
2016,2,6,2185.5345242104913,1104547480.0,503874.0
2016,3,6,2423.8143918536475,1166971700.0,481989.0
2016,4,6,3199.921611823413,1647787580.0,513970.0
2016,5,6,3796.014856499132,2338543080.0,618553.0
2016,6,3,2371.525585861635,772990000.0,320941.0
2016,7,6,2104.107720981143,959504400.0,455968.0
2016,8,7,2220.134681892026,1131711600.0,508317.0
2016,9,6,2544.0884435402954,1186127300.0,465775.0
2016,10,6,2334.0173640782436,1220928100.0,521328.0
2016,11,6,2473.0639048558273,1122791050.0,454588.0
2016,12,6,2464.7751694260774,1181002600.0,479280.0
2016,13,6,2322.816064290962,1196516600.0,514805.0
2016,14,6,2136.9694200970534,1108250600.0,518445.0
2016,15,6,1994.5691485568043,994027100.0,498326.0
2016,16,6,1935.7508216643885,952241200.0,491401.0
2016,17,6,1786.2809707284534,901922900.0,504291.0
2016,18,6,1968.3024594168048,976222800.0,496133.0
2016,19,6,2255.1456578727625,1106773200.0,490677.0
2016,20,6,2049.1320787872546,1036119600.0,505082.0
2016,21,6,1738.0674242792195,878217100.0,505001.0
2016,22,6,1607.117491042105,783336300.0,486600.0
2016,23,6,1731.2578303553762,834522800.0,483174.0
2016,24,6,1751.324447532654,831213200.0,474366.0
2016,25,6,1886.595893873152,915515300.0,485561.0
2016,26,6,1939.3593224395788,901725910.0,465851.0
2016,27,6,1757.3382943987308,857317650.0,487439.0
2016,28,6,1732.4814265398236,833131390.0,480636.0
2016,29,6,1779.7720845118656,837544190.0,470210.0
2016,30,6,1627.926619366215,784819540.0,480944.0
2016,31,6,1913.515144508224,750080710.0,408877.0
2016,32,6,1733.865009676995,875077490.0,500507.0
2016,33,6,1869.3521852711358,856998670.0,458580.0
2016,34,6,2271.449843423469,1091615380.0,480884.0
2016,35,6,3061.177485589043,1565381100.0,508930.0
2016,36,6,2957.096423256304,1744147390.0,588153.0
2016,37,3,2973.84094525287,1092364200.0,354226.0
2016,38,6,2301.5306878363467,1165316000.0,510464.0
2016,39,6,2333.5751795666743,1148630520.0,492542.0
