연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,6495.2672000038,301024000.0,46380.0
2015,28,6,7515.904627789293,413638200.0,55620.0
2015,29,6,7167.359851109937,392036400.0,55033.0
2015,30,6,6875.982341081341,379735700.0,55220.0
2015,31,5,7956.415906590805,372501400.0,47340.0
2015,32,6,7300.742513100723,395020400.0,55572.0
2015,33,6,7159.899832290122,391100200.0,53937.0
2015,34,6,6497.923732151161,362429700.0,55793.0
2015,35,6,7366.650647901383,386021600.0,52863.0
2015,36,6,7727.185621419293,430431400.0,55792.0
2015,37,6,6509.804946482087,416231850.0,63886.0
2015,38,6,6785.927212674214,398403600.0,60724.0
2015,39,6,6055.863593064615,376324100.0,63859.0
2015,40,4,6672.492305104544,281820200.0,42788.0
2015,41,6,6578.637470314144,341840000.0,53454.0
2015,42,6,7012.199852901486,425931200.0,60693.0
2015,43,6,6703.039242965399,348376600.0,52765.0
2015,44,6,7521.6021630809655,414184200.0,55427.0
2015,45,6,7304.791240290964,407631900.0,56225.0
2015,46,6,6641.540644754658,375186400.0,56971.0
2015,47,6,6898.142268123109,340115000.0,49639.0
2015,48,6,7884.418134336679,393725900.0,50259.0
2015,49,6,8100.207214447751,374491400.0,47458.0
2015,50,6,7108.9496961628,443503900.0,62323.0
2015,51,6,5928.674911494287,360842900.0,61527.0
2015,52,6,6476.521980490962,381221000.0,60156.0
2015,53,4,8048.5031574477725,383570700.0,47946.0
2016,1,6,5820.254306997772,371347000.0,63534.0
2016,2,6,5766.085949546985,299857500.0,52489.0
2016,3,6,4724.690444887858,327273500.0,68911.0
2016,4,6,5715.217737248473,278220500.0,49413.0
2016,5,6,5152.378595533099,343390300.0,66425.0
2016,6,3,5041.459927056186,185285800.0,36913.0
2016,7,6,4027.936114518115,253224400.0,63348.0
2016,8,7,3894.008388367415,304705000.0,78123.0
2016,9,6,4313.504339026386,304704500.0,71015.0
2016,10,6,4882.794014171928,310981400.0,64403.0
2016,11,6,4701.385310295853,352209400.0,74793.0
2016,12,6,4688.067969364537,297927300.0,64684.0
2016,13,6,5373.56337252153,345266800.0,64137.0
2016,14,6,5029.999633123888,357210100.0,70652.0
2016,15,6,4903.255049763028,350711800.0,71887.0
2016,16,6,4379.204279405279,317475700.0,72210.0
2016,17,6,5446.172024235494,361759100.0,66978.0
2016,18,6,5392.345062546946,360667700.0,69174.0
2016,19,6,5642.0867465665515,404324900.0,71447.0
2016,20,6,5264.052179175523,336725500.0,64129.0
2016,21,6,6119.6381414177,364388600.0,59967.0
2016,22,6,6123.59542872662,377430100.0,62220.0
2016,23,6,7509.332697963909,403652000.0,54629.0
2016,24,6,5719.9808106225655,342809900.0,59924.0
2016,25,6,5818.340274744588,375017700.0,64456.0
2016,26,6,5714.427440929702,316375800.0,56487.0
2016,27,6,5819.404901908693,321678700.0,55444.0
2016,28,6,7207.024538574112,394087500.0,55194.0
2016,29,6,6541.777101748504,320217600.0,49717.0
2016,30,6,5292.054196495171,292917400.0,55601.0
2016,31,5,8145.098704868009,372177500.0,45365.0
2016,32,6,5751.515729253736,321228000.0,55724.0
2016,33,6,5811.656830507204,321562400.0,55288.0
2016,34,6,5764.3601181379445,335743400.0,58485.0
2016,35,6,5480.466407239867,339694000.0,62283.0
2016,36,6,5608.17040637774,364309400.0,65290.0
2016,37,3,7457.49448485026,248249600.0,32826.0
2016,38,6,5828.666483810673,405500700.0,71390.0
2016,39,6,7029.187638674789,399868100.0,58383.0
2016,40,6,7015.930711024295,379816200.0,56303.0
2016,41,6,8234.887173218645,469396500.0,57135.0
2016,42,6,6883.924051938934,427339100.0,62268.0
2016,43,6,6708.492453030499,376108000.0,56130.0
2016,44,6,9331.07477498783,472978300.0,51392.0
2016,45,6,7747.755960372673,395893400.0,52006.0
2016,46,6,6686.434045822654,390887100.0,58177.0
2016,47,6,5316.659921257172,332366800.0,62275.0
2016,48,6,5395.4569920357135,307485000.0,58196.0
2016,49,6,5682.867132593721,346879500.0,60931.0
2016,50,6,6429.5465128279275,369902100.0,58167.0
2016,51,6,6136.678376672164,416598400.0,67840.0
2016,52,6,8767.380681306684,457878400.0,52666.0
2017,1,5,6294.642424502534,335044500.0,53605.0
2017,2,6,5773.31125406601,331402500.0,57954.0
2017,3,6,6443.522565587221,355412700.0,55580.0
2017,4,5,4910.828041256531,289396800.0,59290.0
2017,5,4,4500.894344010166,218880400.0,50421.0
2017,6,6,5008.816022539683,267661600.0,55909.0
2017,7,6,5499.743378070478,344978900.0,62637.0
2017,8,6,6378.498563849709,320169200.0,52179.0
2017,9,6,5908.823610960798,368669800.0,63427.0
2017,10,6,5725.83883444675,368706900.0,64114.0
2017,11,6,5017.685763084794,334603500.0,67009.0
2017,12,6,5898.567582974651,381037400.0,64895.0
2017,13,6,5532.404226141728,359201450.0,65323.0
2017,14,6,6230.805480291994,377266400.0,61091.0
2017,15,6,6146.715112911927,354341150.0,58887.0
2017,16,6,6262.9370032478155,393488800.0,62857.0
2017,17,6,5421.272904681663,355883250.0,66468.0
2017,18,6,5256.718689620919,338637900.0,64837.0
2017,19,6,5539.532560899549,354927500.0,63943.0
2017,20,6,4512.546844060728,325198850.0,71884.0
2017,21,6,4433.967430543406,314829500.0,72020.0
2017,22,6,4969.744173716587,329922424.0,67291.0
2017,23,6,5211.397232173953,318091800.0,62883.0
2017,24,6,5611.625532254595,369358100.0,65797.0
2017,25,6,6308.649467297005,355133300.0,57819.0
2017,26,6,5729.407694174359,328818200.0,57181.0
2017,27,6,5208.306650838533,308909700.0,59253.0
2017,28,6,4820.18438033513,289953300.0,60248.0
2017,29,6,5691.444477718035,303433700.0,54037.0
2017,30,6,4159.474674788346,270826700.0,67332.0
2017,31,5,6579.521617296622,332687900.0,50009.0
2017,32,6,6176.547200661881,313598500.0,51529.0
2017,33,6,6518.298719685899,354453300.0,54409.0
2017,34,6,6623.468208048512,340704600.0,52442.0
2017,35,6,6188.472084029204,373279500.0,60267.0
2017,36,6,5916.263713311484,364211200.0,61637.0
2017,37,6,5722.375502360946,383157600.0,67274.0
2017,38,6,6083.246329806766,428782100.0,71495.0
2017,39,6,5362.697524280559,341025600.0,63078.0
2017,40,3,6507.424991539682,230642500.0,36759.0
2017,41,6,6434.195528972686,354070100.0,55871.0
2017,42,6,6085.154238264883,398793300.0,65912.0
2017,43,6,5642.705886751766,340099000.0,60570.0
2017,44,6,6034.307610455565,334789900.0,55564.0
2017,45,6,5734.206234743964,333828700.0,58618.0
2017,46,6,5098.25748268959,312926300.0,61470.0
2017,47,6,5068.271398447369,299928000.0,59066.0
2017,48,6,4242.062298056553,290651100.0,68343.0
2017,49,6,4403.155328812238,280838000.0,64367.0
2017,50,6,4574.286147589899,296924400.0,66290.0
2017,51,6,6190.345494720274,378754008.0,62065.0
2017,52,6,6798.391828079664,471692400.0,70106.0
2018,1,5,7137.096334676464,439673180.0,61449.0
2018,2,6,5908.531015201447,328423200.0,55682.0
2018,3,6,5561.2175934127745,326745800.0,58505.0
2018,4,6,4315.654026297702,349116300.0,85119.0
2018,5,6,4663.046987618684,283183500.0,60759.0
2018,6,6,4547.607318634072,287191300.0,63435.0
2018,7,4,4577.554791532553,256817000.0,59178.0
2018,8,6,4154.789163243876,259369000.0,63570.0
2018,9,6,5307.912602503459,259179400.0,49125.0
2018,10,6,5919.209123090591,337399600.0,57511.0
2018,11,6,6960.583064325299,366391400.0,53757.0
2018,12,6,6016.780555240475,337981500.0,56913.0
2018,13,6,5551.415448086819,330948100.0,59363.0
2018,14,6,5030.888258977399,322129600.0,63869.0
2018,15,6,7359.115112179821,381979250.0,52089.0
2018,16,6,6941.330027469456,399552400.0,57773.0
2018,17,6,5286.770108044689,322692950.0,61096.0
2018,18,6,6925.372774059025,381397200.0,55280.0
2018,19,6,7305.849996817989,393351300.0,54245.0
2018,20,6,6690.227280300919,374522880.0,56416.0
2018,21,6,7061.673640055099,352496900.0,50809.0
2018,22,6,7429.300688196302,391039700.0,52568.0
2018,23,6,6190.016764602685,350123100.0,56878.0
2018,24,6,6636.928955052983,337366950.0,50904.0
2018,25,6,5941.023643058157,349231400.0,58816.0
2018,26,6,5626.446354655908,320325150.0,57172.0
2018,27,6,6719.57805106953,324274400.0,48769.0
2018,28,6,5807.9132610459965,340098750.0,58246.0
2018,29,6,5411.953051915214,309814000.0,58872.0
2018,30,6,5800.720094266337,275423600.0,47705.0
2018,31,5,7690.423221503163,369769500.0,47562.0
2018,32,6,7603.578861560301,362657500.0,48524.0
2018,33,6,7292.996719783595,361537750.0,49226.0
2018,34,6,6914.1015718334165,353592500.0,51382.0
2018,35,6,5648.1566777609805,333840140.0,57511.0
2018,36,6,5705.503334465698,351517890.0,61763.0
2018,37,6,6350.695329053797,318983500.0,50916.0
2018,38,6,4977.654782432784,369723560.0,74268.0
2018,39,3,5977.189345503236,216917000.0,36541.0
2018,40,6,5341.771784619844,303373800.0,56169.0
2018,41,6,6640.354611738693,361228050.0,55855.0
2018,42,6,6102.518984787774,349455550.0,57159.0
2018,43,6,6989.128792743023,358107020.0,51618.0
2018,44,6,6498.851006857803,365481830.0,57042.0
2018,45,6,6534.713310160387,324892800.0,49820.0
2018,46,6,7048.748695883473,340717500.0,49326.0
2018,47,6,8067.117195957461,390666200.0,48908.0
2018,48,6,7320.606065441153,342303250.0,47139.0
2018,49,6,6969.395978869671,366014040.0,52380.0
2018,50,6,7777.341268145231,341092700.0,44855.0
2018,51,6,8455.963855442169,504196450.0,59630.0
2018,52,6,10277.396647293428,531263700.0,52717.0
2019,1,5,9909.404852036623,598883350.0,60774.0
2019,2,6,6559.2734176822705,335365000.0,49778.0
2019,3,6,5921.941696415029,304473750.0,51791.0
2019,4,6,4948.998322023343,262621000.0,53433.0
2019,5,6,6204.999613473153,358012000.0,57517.0
2019,6,3,5402.026074446973,210324500.0,38938.0
2019,7,6,4745.0799238746295,267414300.0,56149.0
2019,8,6,5381.634892837676,281204500.0,52782.0
2019,9,6,5633.448819048339,278091600.0,50168.0
2019,10,6,6912.602143938224,360958300.0,52480.0
2019,11,6,5668.826371324307,338442600.0,59989.0
2019,12,6,5896.073075502376,325924550.0,56140.0
2019,13,6,5535.2702074325425,315825100.0,57078.0
2019,14,6,5189.2348642085435,287561750.0,55490.0
2019,15,6,5696.589648899858,278579400.0,49380.0
2019,16,6,5051.136925971211,249084550.0,50132.0
2019,17,6,5303.802696448714,275351100.0,52336.0
2019,18,6,6167.176841500452,349273400.0,56604.0
2019,19,6,6534.4497827203295,369287700.0,57133.0
2019,20,6,5854.8818624716705,337466900.0,57997.0
2019,21,6,5524.746170244649,292843700.0,54109.0
2019,22,6,5642.945925696505,316759050.0,56060.0
2019,23,6,6177.963894295232,334683450.0,54270.0
2019,24,6,6416.760990926789,357055600.0,55789.0
2019,25,6,6463.433693037801,363688300.0,56299.0
2019,26,6,8469.511793205735,382327650.0,45912.0
2019,27,6,8196.699747941047,400268700.0,49323.0
2019,28,6,9676.916977511755,466043650.0,48373.0
2019,29,6,7593.755693049147,360673900.0,47648.0
2019,30,6,6797.0138335267775,292090400.0,43251.0
2019,31,5,7461.6474424022335,336061750.0,45229.0
2019,32,6,7987.847550413358,339278700.0,43118.0
2019,33,6,8392.476493470684,400904000.0,47584.0
2019,34,6,9142.193487600476,437598750.0,47965.0
2019,35,6,7419.536398207433,351775300.0,47696.0
2019,36,6,8393.264621493343,425772300.0,51260.0
2019,37,4,7446.533993771855,293252250.0,38797.0
2019,38,6,7024.204160507237,403188350.0,58099.0
2019,39,6,7860.545760770437,350679400.0,45238.0
2019,40,6,6329.423566380701,349619050.0,54827.0
2019,41,6,9668.001949536918,411643750.0,43024.0
2019,42,6,8053.617362721961,427735650.0,53671.0
2019,43,6,6429.47114706507,341806800.0,53332.0
2019,44,6,8047.852546395494,393182650.0,48892.0
2019,45,6,8064.148508469753,390367500.0,49337.0
2019,46,6,8489.919253002643,401344700.0,47390.0
2019,47,6,8371.280322587914,448043750.0,53504.0
2019,48,6,7801.197679547266,374464800.0,48286.0
2019,49,6,7415.421782522091,392488600.0,53251.0
2019,50,6,7383.141335276462,403826700.0,54840.0
2019,51,6,9344.449578127134,500529700.0,53585.0
2019,52,6,12490.23263086302,721364200.0,58766.0
2020,1,2,8314.779483112547,228884250.0,27445.0
2020,2,6,5626.908880412365,325261950.0,56636.0
2020,3,6,5355.204450215847,292205250.0,54370.0
2020,4,5,4792.798246489567,257294150.0,52603.0
2020,5,5,4560.467870336707,230868450.0,50334.0
2020,6,6,5494.437920077454,273668500.0,50319.0
2020,7,6,6492.673296751509,346276500.0,53464.0
2020,8,6,6426.943519236003,315891500.0,49649.0
2020,9,6,6772.920182852827,359776000.0,52808.0
2020,10,6,6162.5460140768155,308696500.0,50108.0
2020,11,6,6093.737432512568,320287000.0,52474.0
2020,12,6,6319.606855763396,311266250.0,49575.0
2020,13,6,5215.002002577109,268858500.0,51666.0
2020,14,6,5950.344021843338,289587750.0,48699.0
2020,15,6,7556.481988165214,348835000.0,46696.0
2020,16,6,6223.702200615455,340992750.0,54391.0
2020,17,6,5996.528480804706,318987750.0,53514.0
2020,18,6,6772.058891218577,367162000.0,54212.0
2020,19,6,7085.261210029188,367877250.0,52030.0
2020,20,6,6817.588251266793,345749750.0,50685.0
2020,21,6,6342.975103571807,364863750.0,57277.0
2020,22,6,8221.832798181114,388431500.0,48630.0
2020,23,6,8145.29230179511,401041950.0,49434.0
2020,24,6,9420.732593772425,396924600.0,42706.0
2020,25,6,8259.77818574734,393125750.0,47472.0
2020,26,6,7311.383633984465,352939050.0,48324.0
2020,27,6,6991.3687137153,321493600.0,46725.0
2020,28,6,7966.096248050293,377761450.0,47925.0
2020,29,6,8842.382971983649,367499350.0,41966.0
2020,30,6,7147.864730205386,344279150.0,48870.0
2020,31,5,8057.1893299732055,342932500.0,42513.0
