연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,838.3443273969582,83093500.0,97882.0
2015,28,6,878.3620306860339,77343625.0,91742.0
2015,29,6,968.9856884614936,98487900.0,104472.0
2015,30,6,884.9398285027937,67315300.0,79865.0
2015,31,6,1003.8244000957985,80103450.0,80386.0
2015,32,6,1210.5036049936618,130094240.0,109052.0
2015,33,6,1290.0126812319297,98466400.0,75638.0
2015,34,6,1212.9711293746707,131458150.0,107290.0
2015,35,6,1139.2070505578954,124414000.0,109224.0
2015,36,6,1218.1819146898422,140791722.0,115572.0
2015,37,6,1058.6730741718418,112816550.0,106236.0
2015,38,6,1296.0253453948158,151503800.0,118493.0
2015,39,6,1172.5952108330137,115259800.0,103386.0
2015,40,4,1600.987980216256,99643500.0,62653.0
2015,41,6,1325.815117715524,175410400.0,129620.0
2015,42,6,1076.3539839412733,125444050.0,115798.0
2015,43,6,826.5283660988638,89678150.0,107360.0
2015,44,6,1132.3162063741356,85213736.0,74767.0
2015,45,6,933.8485505735449,104160150.0,110839.0
2015,46,6,823.7408877058037,68659500.0,84383.0
2015,47,6,773.3747785925578,74677500.0,97387.0
2015,48,6,793.9544621342662,79237000.0,101431.0
2015,49,6,753.1907686618897,90152500.0,117570.0
2015,50,6,847.8524767875955,69061500.0,81443.0
2015,51,6,934.848457896529,119682000.0,128805.0
2015,52,6,781.7851296390804,77754200.0,101609.0
2015,53,4,992.5060022152145,77011699.0,80683.0
2016,1,6,1181.3155023809427,198448111.0,178404.0
2016,2,6,1114.4103882830725,101794800.0,93902.0
2016,3,6,1508.2612126787747,168259728.0,116803.0
2016,4,6,1619.1538396074882,174615969.0,105540.0
2016,5,6,1426.0070857761548,210500067.0,147391.0
2016,6,3,1446.621619337281,85128200.0,61373.0
2016,7,6,1717.6577319659016,180344875.0,110498.0
2016,8,7,1426.5355336947418,164619573.0,117117.0
2016,9,6,1979.116619571371,186785241.0,96610.0
2016,10,6,1760.2077986613992,224354200.0,126947.0
2016,11,6,1781.411007063707,196337362.0,114756.0
2016,12,6,1644.4608506613158,203580797.0,123973.0
2016,13,6,1716.8660621012807,177959727.0,104027.0
2016,14,6,2329.9570049339095,249836405.0,107063.0
2016,15,6,1980.0429785529407,209466800.0,108976.0
2016,16,6,2372.82786979602,215898143.0,92373.0
2016,17,6,2860.8160232401956,294804685.0,104476.0
2016,18,6,2239.8442631258417,263054075.0,116834.0
2016,19,6,1385.3147963772806,152433646.0,109437.0
2016,20,6,989.3306616679611,157108500.0,152377.0
2016,21,6,815.2926409442252,91699917.0,112901.0
2016,22,6,648.4501276392551,90423649.0,138910.0
2016,23,6,494.43667293660184,67645444.0,135588.0
2016,24,6,475.516242842753,56611784.0,119461.0
2016,25,6,563.2453711392881,63844812.0,117776.0
2016,26,6,442.29628262442435,47776625.0,107358.0
2016,27,6,733.5063891671548,66617500.0,100383.0
2016,28,6,751.3450711234846,50906546.0,67601.0
2016,29,6,724.6875533165639,57407000.0,79352.0
2016,30,6,987.9051232596021,78420560.0,79976.0
2016,31,5,1019.3646857503754,64302350.0,62600.0
2016,32,6,955.1599978695745,103548445.0,106618.0
2016,33,6,930.9143983387083,92858915.0,99275.0
2016,34,6,1063.3901390641092,106026083.0,100515.0
2016,35,6,1170.3097922709742,127422993.0,109245.0
2016,36,6,929.3940011762585,133161500.0,143400.0
2016,37,3,1129.8459229718092,30560500.0,31268.0
2016,38,6,1042.8558401332768,145741300.0,140214.0
2016,39,6,926.8582095275762,82377101.0,92056.0
2016,40,6,1430.3029235934725,135675850.0,94602.0
2016,41,6,1277.2938701185017,126437100.0,99916.0
2016,42,6,2323.756226343923,174639000.0,74838.0
2016,43,6,1996.4165284912988,200249393.0,101698.0
2016,44,6,2110.029794635615,193598226.0,91921.0
2016,45,6,2404.7190588622316,180512700.0,75545.0
2016,46,6,2386.381534983685,238780950.0,104376.0
2016,47,6,2286.817152205401,200785372.0,90968.0
2016,48,6,2223.840858684102,173655423.0,79167.0
2016,49,6,2057.076084110407,276116800.0,140222.0
2016,50,6,2280.3712998961073,202670700.0,89048.0
2016,51,6,1942.6841174130614,227550150.0,118184.0
2016,52,6,1707.9053213053946,163126652.0,96913.0
2017,1,5,1895.960123081629,198947550.0,108730.0
2017,2,6,1567.3223772091123,110853175.0,74560.0
2017,3,6,1832.621080669217,152007802.0,83952.0
2017,4,5,1601.6558289060122,134521899.0,84786.0
2017,5,4,2465.7276051964072,156325900.0,62991.0
2017,6,6,2119.361594353949,206602725.0,96664.0
2017,7,6,2813.6606908225435,271358250.0,95573.0
2017,8,6,2212.2911886095353,273657867.0,123009.0
2017,9,6,1871.9067965948586,262963741.0,141066.0
2017,10,6,1429.5580045947956,202902800.0,137145.0
2017,11,6,1403.9616141410777,145287900.0,105543.0
2017,12,6,1273.0323946265491,118591350.0,92089.0
2017,13,6,1397.8849728254256,179590425.0,131633.0
2017,14,6,1064.785998708112,117465500.0,108896.0
2017,15,6,1079.16568010264,137206175.0,129040.0
2017,16,6,752.1235539204777,78594000.0,103591.0
2017,17,6,790.3867663729615,91996250.0,116911.0
2017,18,6,793.8126892023629,102456750.0,123935.0
2017,19,6,988.0952904759989,112741300.0,115316.0
2017,20,6,730.5519895319813,106275875.0,143202.0
2017,21,6,571.0382931280434,87158900.0,141053.0
