품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
적양배추(수입),2016,6,1,546.0,1638000.0,3000.0
적양배추(수입),2016,7,4,775.0,1605000.0,2200.0
적양배추(수입),2016,8,1,750.0,75000.0,100.0
적양배추(수입),2016,10,4,825.4705882352941,2233000.0,2720.0
적양배추(수입),2016,11,6,869.8209198209198,3250000.0,3750.0
적양배추(수입),2016,12,2,1000.0,1000000.0,1000.0
적양배추(수입),2016,17,2,1888.888888888889,1545000.0,750.0
적양배추(수입),2016,18,1,1625.0,1300000.0,800.0
적양배추(수입),2016,19,1,1000.0,960000.0,960.0
적양배추(수입),2016,33,1,125.0,220000.0,1760.0
적양배추(수입),2016,45,2,2396.0,4242000.0,1800.0
적양배추(수입),2016,46,6,2366.3771124708624,12107500.0,5120.0
적양배추(수입),2016,47,5,2700.854037267081,6691000.0,2496.0
적양배추(수입),2016,48,5,2552.083333333333,7187500.0,2800.0
적양배추(수입),2016,49,6,2090.697100789314,18589000.0,8976.0
적양배추(수입),2016,50,6,2059.413400905453,14829000.0,7214.0
적양배추(수입),2016,51,6,1498.938651339741,18647500.0,12340.0
적양배추(수입),2016,52,5,838.0387667887668,7155000.0,8840.0
적양배추(수입),2017,1,5,1436.7356726117941,16121500.0,11620.0
적양배추(수입),2017,2,4,858.1002022342064,6511000.0,7380.0
적양배추(수입),2017,3,6,1104.00124155432,12057000.0,10548.0
적양배추(수입),2017,4,4,864.0555563113312,10942500.0,12480.0
적양배추(수입),2017,5,4,1932.5275442369473,7727000.0,4246.0
적양배추(수입),2017,6,6,2183.3153773178656,14970000.0,6860.0
적양배추(수입),2017,7,6,2402.4891650223726,26649000.0,11155.0
적양배추(수입),2017,8,6,1926.8161234167737,32810000.0,17670.0
적양배추(수입),2017,9,6,1282.3628792973766,27641500.0,21580.0
적양배추(수입),2017,10,6,976.7791733906802,19703000.0,19844.0
적양배추(수입),2017,11,6,820.8818892323861,10935000.0,13842.0
적양배추(수입),2017,12,6,884.4305778781078,10175000.0,11595.0
적양배추(수입),2017,13,6,1004.9291494332106,18598500.0,19024.0
적양배추(수입),2017,14,6,701.4791843049508,8430000.0,12270.0
적양배추(수입),2017,15,6,760.041833166833,9100000.0,12300.0
