연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,1479.0901461100786,2191876000.0,1482266.0
2015,28,6,1779.0090811767232,2728258200.0,1546348.0
2015,29,6,1946.0953557439514,2965337500.0,1525480.0
2015,30,6,1548.891067088269,2238726200.0,1425354.0
2015,31,6,1444.5970241904067,1859640900.0,1216163.0
2015,32,6,1406.5543620773515,2052298700.0,1461927.0
2015,33,6,1410.706619910209,1924303900.0,1364383.0
2015,34,6,1820.1014531181925,2037847400.0,1132616.0
2015,35,6,1959.374831263095,2560861500.0,1301294.0
2015,36,6,2307.0983573128196,2518461500.0,1104176.0
2015,37,6,2733.4326590140367,2905620000.0,1068104.0
2015,38,6,2772.35437571135,2973912500.0,1075464.0
2015,39,6,1709.6865498809905,2146789500.0,1200773.0
2015,40,4,1348.689597166641,1386431200.0,1034389.0
2015,41,6,1594.4744706639315,2045069100.0,1282469.0
2015,42,6,1503.253545353129,1843014800.0,1229752.0
2015,43,6,1361.174959005214,1832299300.0,1348333.0
2015,44,6,1134.2452632087313,1545797000.0,1355274.0
2015,45,6,1201.5023503006132,1160866700.0,971919.0
2015,46,6,1270.1049986744204,1258068000.0,996152.0
2015,47,6,1201.5302577381226,1328310900.0,1102358.0
2015,48,6,1228.6837970407362,1223485400.0,996845.0
2015,49,6,1516.1766896427969,1382963400.0,911832.0
2015,50,6,1770.6886771153786,1568251100.0,887166.0
2015,51,6,1993.8214970239817,1667371900.0,836212.0
2015,52,6,2378.959487163401,1987380600.0,836078.0
2015,53,4,2121.7901011823874,1312179400.0,621131.0
2016,1,6,2495.196477159428,1941148180.0,784654.0
2016,2,6,2643.6734625147606,1776352000.0,674878.0
2016,3,6,3347.0531636552782,2052172500.0,625965.0
2016,4,6,3673.7520863925324,2446531600.0,666674.0
2016,5,6,3829.9269553112913,2736434500.0,712828.0
2016,6,3,3102.3435488761593,1814597000.0,589190.0
2016,7,6,3017.538256153088,2610875000.0,869299.0
2016,8,7,3614.3085973194206,4023074700.0,1113482.0
2016,9,6,4287.717070698628,4088669300.0,955026.0
2016,10,6,4431.437742721407,4701337400.0,1064630.0
2016,11,6,3843.6077725335695,4547567200.0,1182063.0
2016,12,6,3411.802196033954,4939647600.0,1447560.0
2016,13,6,3415.18231281842,5162991000.0,1512721.0
2016,14,6,3398.433348206951,5258051900.0,1550822.0
2016,15,6,3293.020569869066,5856606600.0,1782565.0
2016,16,6,2558.8978052258267,5353439000.0,2084490.0
2016,17,6,2286.107053442794,4873884100.0,2144114.0
2016,18,6,1946.3649790275,4959226000.0,2534178.0
2016,19,6,1606.167633908807,4073550100.0,2537031.0
2016,20,6,1574.3670524233605,3700804300.0,2359797.0
2016,21,6,1798.2117942126652,4317214100.0,2405976.0
2016,22,6,1440.6052194048898,4010199855.0,2764715.0
2016,23,6,1297.0314632257293,3547599500.0,2735308.0
2016,24,6,1281.8288490795476,3054125680.0,2404995.0
2016,25,6,1300.617942383613,3060422300.0,2347025.0
2016,26,6,1117.9670974031476,2350499600.0,2087480.0
2016,27,6,1473.8407940378966,2222715500.0,1518053.0
2016,28,6,1773.9487409956791,2788317200.0,1576428.0
2016,29,6,1411.6327401816188,1731762250.0,1236177.0
2016,30,6,1890.4816920512533,2035217000.0,1093085.0
2016,31,6,1439.7590500437361,1506895000.0,1028171.0
2016,32,6,1574.0940027430304,1858443300.0,1182761.0
2016,33,6,1678.1732458006647,1947605500.0,1170007.0
2016,34,6,1919.3399656472604,2185166700.0,1150053.0
2016,35,6,3331.482146552422,3153982600.0,955999.0
2016,36,6,4045.851353515205,3830216500.0,954581.0
2016,37,3,2201.237447046837,1697484000.0,706620.0
2016,38,6,1964.1520112263943,2507729320.0,1324213.0
2016,39,6,3145.032942515632,2711369002.0,889106.0
2016,40,6,4479.241637520082,4054519000.0,906797.0
2016,41,6,4449.004686108286,4149054500.0,932937.0
2016,42,6,3655.238550715128,3947839500.0,1087500.0
2016,43,6,2597.38968874096,2814417500.0,1075243.0
2016,44,6,2644.9438426580396,2091188000.0,795282.0
2016,45,6,3125.7424432416265,2381458000.0,767553.0
2016,46,6,2907.5609520282583,2422570500.0,836113.0
2016,47,6,2319.2574260971232,1790640000.0,767486.0
2016,48,6,3049.870903006393,1748723500.0,579591.0
2016,49,6,3856.8655408909003,2661139900.0,691208.0
2016,50,6,3705.6616997914225,2426432800.0,658314.0
2016,51,6,3848.0009975248636,2524870000.0,660343.0
2016,52,6,3953.722740018431,2388762100.0,614051.0
2017,1,5,3646.17687500804,2241881000.0,615381.0
2017,2,6,3125.4947726562204,2049270500.0,656170.0
2017,3,6,3028.3251651940705,1827963797.0,604709.0
2017,4,5,3280.6720350598457,1673545785.0,506959.0
2017,5,4,3161.9798912236815,1908845530.0,614586.0
2017,6,6,3557.291853985828,2620944150.0,742426.0
2017,7,6,3684.1484607719117,3079759260.0,841640.0
2017,8,6,3386.338217669934,3212983500.0,950899.0
