품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
기타,2015,27,5,1073.9102727752104,134690000.0,125140.0
기타,2015,28,6,1330.740530754554,172333500.0,129400.0
기타,2015,29,6,1428.9041458235424,200734500.0,140147.0
기타,2015,30,6,1351.9002616421633,142051500.0,106990.0
기타,2015,31,6,1140.1384359147823,125858500.0,110236.0
기타,2015,32,6,1030.594495609055,137825500.0,135493.0
기타,2015,33,6,1034.7248933942508,129038000.0,124898.0
기타,2015,34,6,1448.6929172863545,128969500.0,89037.0
기타,2015,35,6,1506.8496616427074,208908500.0,138151.0
기타,2015,36,6,1974.8105242236097,148606500.0,76471.0
기타,2015,37,6,2443.1565699514917,213612000.0,87900.0
기타,2015,38,6,2141.6957944618757,215575000.0,100172.0
기타,2015,39,6,1159.806215453067,143046000.0,115134.0
기타,2015,40,4,994.3561093080259,85468500.0,88849.0
기타,2015,41,6,1358.6812367446312,129019500.0,95441.0
기타,2015,42,6,1268.2723630176176,126196500.0,98635.0
기타,2015,43,6,1125.8813384918237,149255500.0,131915.0
기타,2015,44,6,814.3999167936959,90346000.0,110029.0
기타,2015,45,6,923.9183625902464,55682000.0,60182.0
기타,2015,46,6,1089.9821281706006,81767000.0,75686.0
기타,2015,47,6,952.0958698798573,83146500.0,88407.0
기타,2015,48,6,1058.945177432961,68043000.0,64021.0
기타,2015,49,6,1430.61118648988,59793500.0,42175.0
기타,2015,50,6,1798.8842979899957,62343000.0,36638.0
기타,2015,51,6,1922.6888866219663,62956500.0,33252.0
기타,2015,52,6,2058.5310735893167,62915000.0,30647.0
기타,2015,53,4,1899.8828515951473,38490000.0,21605.0
기타,2016,1,6,2238.960676328197,52925000.0,23373.0
기타,2016,2,6,2491.9103309194766,58970000.0,24151.0
기타,2016,3,6,3030.112604687587,70344000.0,23550.0
기타,2016,4,6,3153.3371690261624,68670500.0,21798.0
기타,2016,5,6,3152.5826142391793,73827500.0,22944.0
기타,2016,6,3,2705.0016750729824,55447500.0,20337.0
기타,2016,7,6,2734.8715904335445,130492000.0,47545.0
기타,2016,8,7,2833.981355014265,170522000.0,60274.0
기타,2016,9,6,3049.183341928235,148600000.0,48976.0
기타,2016,10,6,3201.4402246042646,158376600.0,49652.0
기타,2016,11,6,3349.989287610732,142890000.0,42533.0
기타,2016,12,6,3296.4943749520985,224664000.0,68645.0
기타,2016,13,6,3074.735515980587,256547000.0,82919.0
기타,2016,14,6,2953.761307645221,235855000.0,79813.0
기타,2016,15,6,2787.358624737038,285808000.0,102772.0
기타,2016,16,6,2252.2733549000027,274343000.0,121776.0
기타,2016,17,6,1944.4858689138316,277120500.0,142172.0
기타,2016,18,6,1656.9439595374631,290757500.0,179432.0
기타,2016,19,6,1372.9546298266775,244112000.0,179082.0
기타,2016,20,6,1318.2843027967444,222409000.0,169281.0
기타,2016,21,6,1328.0863455138926,333760500.0,250939.0
기타,2016,22,6,1187.771895870649,298440000.0,251270.0
기타,2016,23,6,933.8070559281663,254094000.0,268555.0
기타,2016,24,6,832.4617842052694,174092300.0,207303.0
기타,2016,25,6,897.9548430361234,183969000.0,205997.0
기타,2016,26,6,760.4901343958454,135511500.0,176994.0
기타,2016,27,6,902.1550045074536,108070500.0,120673.0
기타,2016,28,6,1195.5828771087206,156402000.0,131221.0
기타,2016,29,6,1150.2588687451628,91034500.0,80369.0
기타,2016,30,6,1203.6345815111004,130174000.0,105907.0
기타,2016,31,6,1081.7833793113625,84139000.0,78454.0
기타,2016,32,6,1192.2668412307517,104925000.0,88853.0
기타,2016,33,6,1239.1172899174608,102855500.0,82554.0
기타,2016,34,6,1555.6413404770926,104886500.0,67250.0
기타,2016,35,6,2196.5707588238333,137830000.0,64126.0
기타,2016,36,6,2361.731302869209,165416500.0,70708.0
기타,2016,37,3,1551.0713769445654,137300500.0,75114.0
기타,2016,38,6,1526.187256151991,140749500.0,97939.0
기타,2016,39,6,2056.7298068181235,126136502.0,61299.0
