연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,5965.8417386632445,768938150.0,129302.0
2015,28,6,5831.178749678886,952611850.0,162368.0
2015,29,6,4759.025248111314,693125250.0,146397.0
2015,30,6,4913.301444635689,733654460.0,148405.0
2015,31,6,5521.221616547647,547902273.0,106796.0
2015,32,6,6673.355151366141,759889205.0,114497.0
2015,33,6,7617.691681841775,773014800.0,102230.0
2015,34,6,6839.947871076863,1097537760.0,161235.0
2015,35,6,5645.6688754599745,966410505.0,170851.0
2015,36,6,5408.503153607083,1106767630.0,204085.0
2015,37,6,5696.747990096958,1247121380.0,219663.0
2015,38,6,6514.848558754791,1652867615.0,254107.0
2015,39,6,5917.680496838909,2030447675.0,335467.0
2015,40,4,5501.372358701015,673886650.0,122212.0
2015,41,6,6359.970905782439,1122043620.0,177697.0
2015,42,6,6653.7373211484055,1458650023.0,219374.0
2015,43,6,5040.302367686269,1213736370.0,239740.0
2015,44,6,4772.796033114788,1016685390.0,213478.0
2015,45,6,5494.301858213691,1044779380.0,190173.0
2015,46,6,5504.356581515013,1075703880.0,195207.0
2015,47,6,4349.51071926416,994073860.0,227488.0
2015,48,6,4544.9992405283165,659483975.0,150548.0
2015,49,6,5116.832667112557,880437185.0,171491.0
2015,50,6,5045.875708617485,883922600.0,175513.0
2015,51,6,5690.675766029083,971072050.0,171512.0
2015,52,6,5595.66831299881,907455250.0,161350.0
2015,53,4,5694.286302540133,724582750.0,127310.0
2016,1,6,5879.929912951763,1152187390.0,195402.0
2016,2,6,5597.919975032121,945910510.0,169706.0
2016,3,6,6160.881970258262,948985925.0,153337.0
2016,4,6,7248.032398358708,1371296875.0,188537.0
2016,5,6,6977.046842980136,1963739885.0,278506.0
2016,6,3,7723.864206843992,438135000.0,56993.0
2016,7,6,6267.578947034166,1168507200.0,185724.0
2016,8,7,5896.563190854255,1053239930.0,177472.0
2016,9,6,5760.648812079907,969384475.0,167503.0
2016,10,6,5095.197009122424,933376975.0,182285.0
2016,11,6,5370.012067693637,924824685.0,172392.0
2016,12,6,5494.38520313326,1081971700.0,196853.0
2016,13,6,5330.541903506938,986661943.0,185270.0
2016,14,6,5425.23182016975,1053635095.0,193645.0
2016,15,6,4980.503607102614,1025555010.0,206885.0
2016,16,6,4481.109321261658,852389520.0,189237.0
2016,17,6,4572.713767278509,879420535.0,193478.0
2016,18,6,4905.943899662885,765980640.0,156487.0
2016,19,6,5178.19207923768,971476750.0,186878.0
2016,20,6,5414.004671652505,838587640.0,154466.0
2016,21,6,5658.224851560459,926219635.0,163476.0
2016,22,6,5371.487670738336,762051530.0,142097.0
2016,23,6,5432.675009191195,871399625.0,159403.0
2016,24,6,4901.141654746956,719448650.0,145893.0
2016,25,6,5425.146512219125,875984000.0,160819.0
2016,26,6,4878.407829290761,670645525.0,137484.0
2016,27,6,4462.197504790997,644316625.0,144485.0
2016,28,6,4540.005183016446,583412380.0,129427.0
2016,29,6,5385.5202269413485,676774650.0,125564.0
2016,30,6,4636.198491248384,568680265.0,120659.0
2016,31,6,5857.3550845409,558990250.0,95262.0
2016,32,6,6388.983323087344,643425375.0,100735.0
2016,33,6,7617.783833265831,710702625.0,93437.0
2016,34,6,7500.501882644653,858946000.0,114971.0
2016,35,6,7542.544269730221,1100949700.0,146734.0
2016,36,6,5319.6656258605035,1418640205.0,266622.0
2016,37,3,6022.282208790992,954245865.0,152612.0
2016,38,6,5557.487564943244,1057714010.0,193381.0
2016,39,6,5175.906823265947,1119521330.0,215717.0
2016,40,6,5025.186265971733,994034270.0,199307.0
2016,41,6,6090.61029698185,1219306025.0,201388.0
2016,42,6,5912.758504093929,1307079215.0,222207.0
2016,43,6,4713.3101102824485,1021832575.0,215883.0
2016,44,6,5709.4077145087385,1052803565.0,184395.0
2016,45,6,5423.380006794236,1060543250.0,202047.0
2016,46,6,5196.652543460977,882205380.0,180521.0
2016,47,6,5390.232453054067,959171270.0,177719.0
2016,48,6,5180.444641574831,798211880.0,154093.0
2016,49,6,5349.968981631948,814180755.0,152441.0
2016,50,6,4402.1298261713755,1000458280.0,268287.0
2016,51,6,5371.107457333471,865987885.0,162096.0
2016,52,6,5073.580663828446,889805755.0,175264.0
2017,1,5,5653.915580342056,871111800.0,154067.0
2017,2,6,5121.291926033328,1197137785.0,266601.0
2017,3,6,6171.126869390048,1353019530.0,218835.0
2017,4,5,5841.663881694272,1174190490.0,196395.0
2017,5,4,5789.169574411816,608453375.0,105158.0
2017,6,6,5050.7613162367215,891938160.0,191466.0
2017,7,6,5383.434873054034,775727210.0,177971.0
2017,8,6,6034.700540249142,854221035.0,141550.0
2017,9,6,5824.866939102804,911024280.0,155925.0
2017,10,6,5501.626417172999,828768170.0,150698.0
2017,11,6,5795.7690464445195,968088215.0,168233.0
2017,12,6,5798.709974018086,944026395.0,165335.0
2017,13,6,5566.472166833294,1021391685.0,184812.0
2017,14,6,5324.723548743258,940057910.0,176480.0
2017,15,6,4561.269346638151,951001889.0,207505.0
2017,16,6,4611.357665356987,874684035.0,189845.0
2017,17,6,5162.64006704768,845827960.0,163610.0
2017,18,6,5266.584883243029,831404810.0,157385.0
2017,19,6,4965.234584184559,968155520.0,194806.0
2017,20,6,5302.6412687716465,940494030.0,178392.0
2017,21,6,4934.107408868924,895359235.0,180640.0
2017,22,6,5128.04003478494,750648480.0,146601.0
2017,23,6,5520.932809658377,849285205.0,153296.0
2017,24,6,5581.969494999336,854908500.0,153158.0
2017,25,6,5507.379052449596,906166500.0,163395.0
2017,26,6,5212.161615790367,718403950.0,137430.0
2017,27,6,4993.439900117898,596436100.0,118943.0
2017,28,6,5428.021452043887,578471750.0,107082.0
2017,29,6,6311.223187243749,692803000.0,110370.0
2017,30,6,5300.996047251032,745886260.0,142038.0
2017,31,6,5219.416640270856,604662330.0,112458.0
2017,32,6,5413.495043735261,706506350.0,130596.0
2017,33,6,6152.81258560462,797656260.0,130416.0
2017,34,6,4913.479451179582,898481005.0,183501.0
2017,35,6,5285.368089048677,877832500.0,168086.0
2017,36,6,5776.8576314337615,1253614125.0,216399.0
2017,37,6,5356.182906751827,1122632640.0,210375.0
2017,38,6,5876.88955814661,1497371790.0,267291.0
2017,39,6,6069.282152934623,1487188415.0,244127.0
2017,40,3,7391.869336142366,783719130.0,103000.0
2017,41,6,5004.789871744405,1028221925.0,210766.0
2017,42,6,6619.670936700015,1088636210.0,169586.0
2017,43,6,7084.476597889973,1267150755.0,183882.0
2017,44,6,5653.381009641867,1100479275.0,194178.0
2017,45,6,5312.991084886192,878667910.0,165363.0
2017,46,6,5698.47258707956,934832375.0,164357.0
2017,47,6,5480.2005337255105,1051531230.0,191579.0
2017,48,6,5535.709570446132,816840830.0,148066.0
2017,49,6,5579.260216392606,854257130.0,152709.0
2017,50,6,5885.977879654849,823577685.0,139563.0
2017,51,6,6156.475076906153,878491805.0,142556.0
2017,52,6,6219.658197419937,1011694480.0,162727.0
2018,1,5,6140.510097904714,876165380.0,143173.0
2018,2,6,6082.113162576545,841612300.0,138572.0
2018,3,6,6144.2048159837295,966863125.0,157173.0
2018,4,6,5333.419293518086,992321910.0,206065.0
2018,5,6,7104.106742815617,917048000.0,129145.0
2018,6,6,7938.632547588015,1436305500.0,180493.0
2018,7,4,8187.880045323281,1171203500.0,139683.0
2018,8,6,6692.312290460853,743850250.0,111286.0
2018,9,6,5953.615578593771,795969000.0,132857.0
2018,10,6,5271.522626094512,861948956.0,162697.0
2018,11,6,4963.88720296164,834668750.0,168230.0
2018,12,6,4837.1919969283435,778727250.0,161997.0
2018,13,6,5287.367029658409,866579000.0,164064.0
2018,14,6,4388.437758011575,847076780.0,190621.0
2018,15,6,4739.902655616855,797120500.0,169616.0
2018,16,6,5121.977792206213,845756750.0,164917.0
2018,17,6,5332.07493917011,892378250.0,167608.0
2018,18,6,5021.418676898532,917837375.0,182673.0
2018,19,6,5432.121748840714,813383250.0,149424.0
2018,20,6,4916.5254545027265,794557750.0,158771.0
2018,21,6,5092.387333933712,765469750.0,152590.0
2018,22,6,5723.767066679758,864604500.0,151174.0
2018,23,6,5113.373201573075,807017750.0,157790.0
2018,24,6,5116.147585996006,752197750.0,146814.0
2018,25,6,5572.963329238727,813875000.0,145778.0
2018,26,6,4703.123232696785,696368000.0,146883.0
2018,27,6,4999.194243382238,632856500.0,125328.0
2018,28,6,4911.919746816828,680063750.0,138602.0
2018,29,6,4761.595305227397,611558750.0,128169.0
2018,30,6,5749.528486008447,557522050.0,97045.0
2018,31,5,5908.95100313554,500098300.0,85104.0
2018,32,6,7260.182266986136,701995750.0,96812.0
2018,33,6,8405.692488923683,736121730.0,87916.0
2018,34,6,7801.587785008834,938879200.0,120515.0
2018,35,6,5373.801423814407,768985350.0,140517.0
