연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,608.2378422237542,185882900.0,299892.0
2015,28,6,740.2265048833448,260543800.0,349399.0
2015,29,6,994.7423848304562,299921200.0,301820.0
2015,30,6,1097.7189905782172,346746400.0,317092.0
2015,31,6,1496.695514683046,397610500.0,234022.0
2015,32,6,2166.3754621516955,580580600.0,270400.0
2015,33,6,2542.839349860706,634643200.0,251946.0
2015,34,6,1706.6623938309094,474852800.0,275707.0
2015,35,6,2469.1200559348767,661167200.0,265998.0
2015,36,6,2704.7743970289443,755067700.0,277202.0
2015,37,6,2432.593030010126,705776400.0,287893.0
2015,38,6,1999.1763032863694,699882000.0,346428.0
2015,39,6,2821.628505423639,1260265800.0,437865.0
2015,40,4,2125.88180438827,446863800.0,211470.0
2015,41,6,2205.803344999719,659731500.0,296394.0
2015,42,6,2080.0397675613326,616777600.0,297362.0
2015,43,6,1785.6199497882474,559425200.0,307429.0
2015,44,6,2446.023420580188,671250400.0,267359.0
2015,45,6,2431.5999039849667,822120300.0,332326.0
2015,46,6,2602.816047306765,1058472600.0,377573.0
2015,47,6,3959.80073964077,1650009200.0,416040.0
2015,48,6,4806.727243778814,2007998100.0,419939.0
2015,49,6,4430.619811286767,1439547500.0,325391.0
2015,50,6,3569.9630607988606,1037144300.0,289406.0
2015,51,6,3808.4078497076976,1028265208.0,266173.0
2015,52,6,4188.140499821598,910219900.0,223065.0
2015,53,4,4119.158013241947,844428704.0,199466.0
2016,1,6,3218.6403509589404,898154827.0,268025.0
2016,2,6,3607.3864758678897,796517800.0,212397.0
2016,3,6,4314.800204194941,911842021.0,220921.0
2016,4,6,4730.8264289002655,1035698781.0,217782.0
2016,5,6,6070.091375330877,2192056500.0,361010.0
2016,6,3,5369.341946349848,724061619.0,138773.0
2016,7,6,3360.2491932574235,864889905.0,275894.0
2016,8,7,2980.9091718487575,908491551.0,309488.0
2016,9,6,4107.803203748889,653926465.0,163592.0
2016,10,6,3728.497095759021,611216400.0,164066.0
2016,11,6,3918.3965305829693,688027300.0,175713.0
2016,12,6,3751.9545940873645,750318973.0,200323.0
2016,13,6,2639.0405232266125,755769550.0,339733.0
2016,14,6,1695.0170806745818,1056492148.0,623103.0
2016,15,6,1315.6333176823464,801114180.0,605105.0
2016,16,6,1246.5888570202408,700913629.0,560485.0
2016,17,6,1184.265420530575,617578081.0,520505.0
2016,18,6,1550.0116365306524,673823475.0,439872.0
2016,19,6,1658.0234639878,738482210.0,444680.0
2016,20,6,1320.3100031967263,502412750.0,378175.0
2016,21,6,1145.9911726641803,439365090.0,379421.0
2016,22,6,740.3015957979829,286699844.0,384269.0
2016,23,6,599.6269071472733,231392972.0,385593.0
2016,24,6,710.0508317240028,250786688.0,351967.0
2016,25,6,695.6759571348548,261917439.0,377712.0
2016,26,6,671.3999209434138,235058430.0,352476.0
2016,27,6,1249.5913426479103,383320000.0,308406.0
2016,28,6,1773.1537291552504,540543859.0,301131.0
2016,29,6,1613.097532994645,449575300.0,279027.0
2016,30,6,1067.250468588483,303480462.0,283509.0
2016,31,6,2672.131623477234,538856900.0,206723.0
2016,32,6,2160.0240870427206,545407100.0,252590.0
2016,33,6,3319.0142528816227,754685237.0,229855.0
2016,34,6,5137.947773472207,1003564324.0,199207.0
2016,35,6,7450.182780418984,1469157668.0,198382.0
2016,36,6,5685.438676292396,1415804600.0,249478.0
2016,37,3,5356.429965160709,1072724300.0,178458.0
2016,38,6,2332.780115974664,695163300.0,304756.0
2016,39,6,1696.5833078696623,502895426.0,295538.0
2016,40,6,2836.1125895383643,688814700.0,246444.0
2016,41,6,3400.944821662779,909144000.0,267875.0
2016,42,6,2141.9730297853534,671637800.0,311193.0
2016,43,6,2381.4660983220588,706311410.0,300966.0
2016,44,6,3766.7716084287836,1031867700.0,273632.0
2016,45,6,4446.913260661954,1534393800.0,354954.0
2016,46,6,3159.0356137600447,1421559500.0,447177.0
2016,47,6,3724.874485359698,1404791101.0,390367.0
2016,48,6,4151.140975434987,1393260661.0,333584.0
2016,49,6,3265.048450744758,1035830274.0,310702.0
2016,50,6,3600.5163978482,929961364.0,252037.0
2016,51,6,2728.6598267005415,737564500.0,269025.0
2016,52,6,3262.218663200241,875516551.0,267534.0
2017,1,5,3647.503366080269,783753700.0,215488.0
2017,2,6,2904.1913115989487,768106450.0,259313.0
2017,3,6,3695.9948685271793,1074998200.0,289004.0
2017,4,5,4830.338704734354,1445492269.0,275165.0
2017,5,4,3237.0544291152146,760033050.0,233293.0
2017,6,6,2755.5683176041944,654789550.0,258373.0
2017,7,6,3026.014622299481,848708310.0,280874.0
2017,8,6,2941.8272498364536,933337030.0,317614.0
2017,9,6,3190.1646171036023,1189034463.0,373860.0
2017,10,6,2660.5834302645085,1146631700.0,433446.0
2017,11,6,2504.574005112681,1230447720.0,491308.0
2017,12,6,2427.079202127103,1269170295.0,523803.0
2017,13,6,2378.028417553531,1290601097.0,541517.0
2017,14,6,1946.2319860820492,1115657300.0,569481.0
2017,15,6,1752.1299648434485,1024396851.0,580910.0
2017,16,6,1352.9413978318992,683746855.0,505004.0
2017,17,6,1345.9513891155327,633875764.0,472696.0
2017,18,6,1242.9137887585848,585108926.0,463957.0
2017,19,6,1437.8901033695456,597644500.0,415477.0
2017,20,6,1225.7645303123231,512223276.0,413645.0
2017,21,6,882.8213878473515,383101233.0,431769.0
2017,22,6,917.8407977640472,364680092.0,394974.0
2017,23,6,768.2108971454498,318608850.0,416421.0
2017,24,6,867.493374806225,330722600.0,382075.0
2017,25,6,606.0996172700803,235959060.0,389134.0
2017,26,6,695.4556084746918,250235318.0,359974.0
2017,27,6,943.9616284663553,300074100.0,321735.0
2017,28,6,1779.0803751093124,493608920.0,280838.0
2017,29,6,2514.2787419264682,617220800.0,249106.0
2017,30,6,2595.718260085954,602941449.0,237112.0
2017,31,6,3629.932887839186,757540574.0,201554.0
2017,32,6,3193.3657903650214,719777800.0,223747.0
2017,33,6,2936.1794224709342,668206100.0,226687.0
2017,34,6,2840.0319927155724,658952890.0,231829.0
2017,35,6,3456.7643665354244,864422193.0,250293.0
2017,36,6,2265.7552336756876,695830968.0,304038.0
2017,37,6,2124.658946845792,602917136.0,284255.0
2017,38,6,2155.368138885344,644643674.0,299347.0
2017,39,6,2811.35649688276,1013253678.0,359545.0
2017,40,3,3968.6170349120257,792816800.0,193740.0
2017,41,6,2037.2322452608396,594876383.0,291188.0
2017,42,6,2484.922834732502,672976925.0,272099.0
2017,43,6,2424.0010605494094,679006452.0,280195.0
2017,44,6,2908.2017235841126,815604097.0,279335.0
2017,45,6,3117.0735660930804,1010671600.0,332852.0
2017,46,6,3935.1751935014713,1771430700.0,455625.0
2017,47,6,4747.44652189691,2080269672.0,447825.0
2017,48,6,3546.0589058635055,1413095381.0,400773.0
2017,49,6,3390.6260582319487,1026784000.0,303369.0
2017,50,6,3374.3856391590703,1015438500.0,303082.0
2017,51,6,2912.1720765243476,851727100.0,286535.0
2017,52,6,3610.8307280540016,1098893962.0,292879.0
2018,1,5,3311.562747461783,920683300.0,277682.0
2018,2,6,2365.3614831565196,588999266.0,238054.0
2018,3,6,3577.504613130722,881845800.0,247927.0
2018,4,6,3281.348897131837,825693900.0,242251.0
2018,5,6,3689.822940670614,928828950.0,251299.0
2018,6,6,4915.960961566602,1598972700.0,322420.0
2018,7,4,5677.375762691496,1561584800.0,257082.0
2018,8,6,2557.7716473197393,742067200.0,281400.0
2018,9,6,3045.4331214055615,878618400.0,285655.0
2018,10,6,2538.0343722790435,970025900.0,382073.0
2018,11,6,2689.3416085574227,1185756500.0,443235.0
2018,12,6,2610.443919033257,1236254900.0,473579.0
2018,13,6,2677.131110461273,1389985025.0,521600.0
2018,14,6,1740.2802072824888,992344850.0,560311.0
2018,15,6,2275.647366344427,1093478250.0,480040.0
2018,16,6,1926.8441526137503,1018094429.0,528489.0
2018,17,6,1726.4299813863063,789592113.0,457517.0
2018,18,6,1396.2412149589534,647167457.0,461684.0
2018,19,6,1325.9189916129014,601581540.0,453123.0
2018,20,6,1216.3598646429691,488206498.0,399930.0
2018,21,6,1739.776271844322,655403725.0,373627.0
2018,22,6,1060.3053625867274,429457500.0,403049.0
2018,23,6,621.5903305348794,247215000.0,394293.0
2018,24,6,610.3337423198623,227363400.0,371580.0
2018,25,6,978.1480904879231,249968900.0,339243.0
2018,26,6,626.5905120503006,185910100.0,323762.0
2018,27,6,988.615453301008,274017200.0,292725.0
2018,28,6,1173.1807329277806,345221400.0,298706.0
2018,29,6,1181.8175147221345,314300500.0,265188.0
2018,30,6,1077.6510186195453,273274200.0,253436.0
2018,31,5,2254.681142745126,465889120.0,208749.0
2018,32,6,3594.723581908644,707854300.0,201591.0
2018,33,6,5988.287269776148,978578700.0,164538.0
2018,34,6,8433.42221750182,1294580000.0,153202.0
2018,35,6,6926.550585484984,1017338850.0,148009.0
2018,36,6,7193.67415927942,1235574800.0,172230.0
2018,37,6,3949.5970552473395,871748100.0,219127.0
2018,38,6,3844.9081576230296,1385876000.0,365945.0
2018,39,3,2612.8469633046534,442901000.0,168554.0
2018,40,6,1532.7716447989972,406068400.0,264779.0
2018,41,6,2327.3740895405035,582389800.0,250461.0
2018,42,6,2119.9290560603654,618486500.0,291678.0
2018,43,6,1486.2173771528971,443911200.0,297557.0
2018,44,6,2072.6009612617872,607782700.0,291702.0
2018,45,6,2462.975613206549,813842600.0,327340.0
2018,46,6,3857.382026695066,1565166200.0,403326.0
2018,47,6,4337.196877419772,1669959800.0,390326.0
2018,48,6,3609.91951355826,1268793000.0,349479.0
2018,49,6,3239.047649769914,944081175.0,288765.0
2018,50,6,3349.4283709911615,770704000.0,234276.0
2018,51,6,3425.8356864001785,802664300.0,233184.0
2018,52,6,3575.520396732912,874266000.0,243605.0
2019,1,5,4742.436419862852,1170425200.0,246196.0
2019,2,6,3657.7585984940747,830636500.0,227531.0
2019,3,6,3827.8445499188038,848424300.0,222214.0
2019,4,6,3075.777921426397,762564500.0,242479.0
2019,5,6,5042.377926978362,1993873400.0,408011.0
2019,6,3,3851.1792845100294,558997300.0,159666.0
2019,7,6,2130.4955387028476,574765900.0,272901.0
2019,8,6,2540.2781367629896,655875300.0,263148.0
2019,9,6,2514.1463692609013,837471300.0,333168.0
2019,10,6,2394.7573274929114,978540800.0,407650.0
2019,11,6,2502.885602070272,1164692300.0,463999.0
2019,12,6,2378.5224220031673,1167005200.0,489403.0
2019,13,6,2103.611800232523,1070333750.0,510409.0
2019,14,6,2041.3007237131376,976426425.0,479155.0
2019,15,6,1840.6487388873581,923056510.0,499024.0
2019,16,6,1645.3133166862453,819430180.0,496496.0
2019,17,6,1110.4862457829202,529723600.0,471839.0
2019,18,6,1473.772287286188,661588088.0,449092.0
2019,19,6,1357.6300400792081,608956725.0,447172.0
2019,20,6,981.0277073958358,426558850.0,433080.0
2019,21,6,1066.3707598429794,412000200.0,387435.0
2019,22,6,949.5953671013535,361643100.0,378642.0
2019,23,6,866.6887587582914,349274750.0,399946.0
2019,24,6,950.3273837271299,348149400.0,364060.0
2019,25,6,725.994624249231,266786500.0,364466.0
2019,26,6,802.1224582537376,271759900.0,337280.0
2019,27,6,672.2924279806215,222406200.0,326849.0
2019,28,6,848.7094757919253,256490600.0,304761.0
2019,29,6,904.8257569651724,255774900.0,280365.0
2019,30,6,1138.5595175352385,299257000.0,263853.0
2019,31,5,2432.8025884186736,530838500.0,218667.0
2019,32,6,3527.815501830671,718318500.0,202739.0
2019,33,6,3271.8301687851763,654372600.0,200259.0
2019,34,6,2874.1399998708434,655954000.0,228164.0
2019,35,6,2759.0052359254223,615380400.0,223000.0
2019,36,6,3635.9791303348425,983776000.0,269133.0
2019,37,4,6518.156315158965,1331350100.0,195885.0
2019,38,6,3524.1482309171843,936604509.0,269651.0
2019,39,6,2682.979655961965,674758460.0,250483.0
2019,40,6,2710.750675456013,665806200.0,244815.0
2019,41,6,3129.1296163511947,806614200.0,258650.0
2019,42,6,2425.6051182212486,738886100.0,305932.0
2019,43,6,2092.7844193279943,641485800.0,305622.0
2019,44,6,2807.003229356957,773584200.0,275236.0
2019,45,6,2712.4148975314374,875279400.0,319445.0
2019,46,6,3409.097396293946,1285797800.0,369465.0
2019,47,6,4052.6692752846848,1558392100.0,391664.0
2019,48,6,4355.908323020063,1437857000.0,338704.0
2019,49,6,3687.5502756430183,1085499400.0,289783.0
2019,50,6,3425.016532675209,914676100.0,259721.0
2019,51,6,3841.3341374223223,909635100.0,234251.0
2019,52,6,4199.549359069042,1037769900.0,232299.0
2020,1,2,4613.603985314929,430870400.0,93398.0
2020,2,6,3677.046286008852,776880700.0,211243.0
2020,3,6,5036.64801694496,1310102300.0,253023.0
2020,4,5,6292.309328137677,2008478500.0,293278.0
2020,5,5,3525.5985500380602,718127500.0,200414.0
2020,6,6,3544.129023323587,696860803.0,203390.0
2020,7,6,3631.7887260439074,760497900.0,214384.0
2020,8,6,3067.1658305688547,887085800.0,291485.0
2020,9,6,2410.0632044082618,764946200.0,321448.0
2020,10,6,2588.3721607014054,761882000.0,327791.0
2020,11,6,2670.9369451828275,933142300.0,361443.0
2020,12,6,2850.7850371627355,959905325.0,395283.0
2020,13,6,2503.9266811473967,924860625.0,459680.0
2020,14,6,1494.1661389086785,743318075.0,494924.0
2020,15,6,1471.3226317687274,686408525.0,465269.0
2020,16,6,1494.9183702122991,696123450.0,464978.0
2020,17,6,1194.383441963719,522726150.0,441583.0
2020,18,6,1385.0599521582626,615067750.0,443013.0
2020,19,6,1253.6121756424961,485015575.0,382824.0
2020,20,6,1676.8307109483778,586970225.0,349916.0
2020,21,6,1421.0877998456865,522493000.0,364168.0
2020,22,6,1450.8333230761789,535120950.0,368447.0
2020,23,6,1175.564942177644,399859200.0,339352.0
2020,24,6,1097.0562317301085,343469700.0,308825.0
2020,25,6,1330.4983706883256,401769300.0,299618.0
2020,26,6,1109.7869975158214,327581140.0,296253.0
2020,27,6,1546.1156775438894,430124700.0,280779.0
2020,28,6,1087.5089570792436,329988000.0,298149.0
2020,29,6,1295.7564603665796,345297600.0,267953.0
2020,30,6,1233.0144520565188,323268300.0,262157.0
2020,31,5,2412.4777912969053,549622400.0,227796.0
2020,32,6,3784.1138320329496,791333100.0,216184.0
2020,33,6,4801.828745324938,928623950.0,193070.0
2020,34,6,5293.752818452675,874730300.0,164057.0
2020,35,6,3835.329610588615,646593800.0,165618.0
2020,36,6,3459.9512971990603,559412900.0,161100.0
2020,37,6,5634.496056349616,931984000.0,165604.0
2020,38,6,4547.1318028372325,937822600.0,206800.0
2020,39,6,4627.853413650016,1127477950.0,243996.0
2020,40,3,6381.764955920112,1084227500.0,165570.0
2020,41,6,2632.8594106085866,628233300.0,237293.0
2020,42,6,2329.468417377788,571865900.0,245249.0
2020,43,6,2408.0027768656814,592674100.0,246360.0
2020,44,6,2816.788173337187,665974600.0,237762.0
2020,45,6,3516.913053269059,832667900.0,237142.0
2020,46,6,4759.0905479262465,1451711000.0,311836.0
2020,47,6,5057.541085600301,1635409000.0,333251.0
2020,48,6,6232.43904531182,1897946500.0,304217.0
2020,49,6,5619.488627079965,1382738800.0,245158.0
2020,50,6,4309.284988125615,936583200.0,211212.0
2020,51,6,3626.287538203738,681886400.0,180283.0
2020,52,6,5388.634154048667,772778100.0,162846.0
2020,53,4,4465.303481822889,749399000.0,169504.0
2021,1,6,4525.493583355621,790287800.0,172354.0
2021,2,6,5125.1283472886635,917912600.0,168753.0
2021,3,6,5913.378815383661,1032616400.0,170412.0
