품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
돌미나리,2015,27,5,487.357625373472,86504600.0,177360.0
돌미나리,2015,28,6,615.056969347892,131509200.0,212472.0
돌미나리,2015,29,6,887.764914725246,159121800.0,180281.0
돌미나리,2015,30,6,990.881444008377,193097300.0,192864.0
돌미나리,2015,31,6,1539.1777442585405,255200500.0,146508.0
돌미나리,2015,32,6,2015.0842008546203,341976900.0,171280.0
돌미나리,2015,33,6,2345.781010354007,384224200.0,165216.0
돌미나리,2015,34,6,1625.6101078061868,282819300.0,173052.0
돌미나리,2015,35,6,2540.735318060006,438762700.0,173060.0
돌미나리,2015,36,6,2566.5561172818357,456821600.0,177128.0
돌미나리,2015,37,6,2325.905149028427,420697900.0,181516.0
돌미나리,2015,38,6,1637.2295581985109,359440900.0,219272.0
돌미나리,2015,39,6,2092.7558987723537,539655500.0,254976.0
돌미나리,2015,40,4,1905.9838816501617,229203600.0,120384.0
돌미나리,2015,41,6,1851.9573124304122,348719800.0,190484.0
돌미나리,2015,42,6,1674.0638574081013,322001700.0,194552.0
돌미나리,2015,43,6,1303.1965262237666,261264000.0,200820.0
돌미나리,2015,44,6,2089.2185429648307,340453600.0,162296.0
돌미나리,2015,45,6,2041.6531502440005,373106600.0,182032.0
돌미나리,2015,46,6,2219.934174989566,397016600.0,168190.0
돌미나리,2015,47,6,3649.819600388937,412344200.0,137804.0
돌미나리,2015,48,6,3284.427924363806,455169600.0,139248.0
돌미나리,2015,49,6,4661.879853134164,514323500.0,111476.0
돌미나리,2015,50,6,4245.2471023671105,471523300.0,111108.0
돌미나리,2015,51,6,5201.099750646451,530707200.0,100470.0
돌미나리,2015,52,5,5065.638451923152,488067900.0,91956.0
돌미나리,2015,53,4,5878.541650652896,461769804.0,76685.0
돌미나리,2016,1,6,3930.3691145461908,449375627.0,101217.0
돌미나리,2016,2,5,5009.58263492946,428606800.0,85232.0
돌미나리,2016,3,5,5572.922050845692,476149121.0,85677.0
돌미나리,2016,4,6,6837.384635754868,465047181.0,76437.0
돌미나리,2016,5,6,6701.94864473414,741914300.0,110147.0
돌미나리,2016,6,3,5664.246801177219,323121006.0,57720.0
돌미나리,2016,7,6,3346.615202178756,366806800.0,123827.0
돌미나리,2016,8,7,2210.721496988901,380448001.0,164624.0
돌미나리,2016,9,1,2668.458873002523,79319940.0,29725.0
돌미나리,2016,13,2,1172.1549886973494,132553150.0,114454.0
돌미나리,2016,14,6,1163.4113527074408,460855948.0,399849.0
돌미나리,2016,15,6,958.3214150628907,380999632.0,397532.0
돌미나리,2016,16,6,998.8929917838312,368304279.0,369530.0
돌미나리,2016,17,6,980.4151400150608,334865956.0,341729.0
돌미나리,2016,18,6,1142.584438461527,341544200.0,301416.0
돌미나리,2016,19,6,1355.9517416957,403041860.0,297093.0
돌미나리,2016,20,6,1203.8130864279121,290922500.0,241732.0
돌미나리,2016,21,6,949.1958952082492,234268440.0,244326.0
돌미나리,2016,22,6,562.5512163828869,134453844.0,234088.0
돌미나리,2016,23,6,475.8225699938004,108472872.0,228200.0
돌미나리,2016,24,6,590.7239927087413,124547388.0,212328.0
돌미나리,2016,25,6,656.5210508377776,149243139.0,226130.0
돌미나리,2016,26,6,580.8465264652632,127336130.0,218357.0
돌미나리,2016,27,6,1277.2379028707683,228552900.0,178760.0
돌미나리,2016,28,6,1695.4321177888112,326183659.0,191301.0
돌미나리,2016,29,6,1546.7269176618186,275697800.0,177345.0
돌미나리,2016,30,6,1050.2832789919173,197291347.0,184738.0
돌미나리,2016,31,6,2371.356882756411,345564500.0,133862.0
돌미나리,2016,32,6,2057.6363409940036,342297700.0,166564.0
돌미나리,2016,33,6,3484.4553220969296,515456537.0,149392.0
돌미나리,2016,34,6,5254.541829597955,663283724.0,128652.0
돌미나리,2016,35,6,7597.142280990178,959200068.0,127764.0
돌미나리,2016,36,6,5166.10469746316,864080400.0,167192.0
돌미나리,2016,37,3,4776.124606930857,623761200.0,122588.0
돌미나리,2016,38,6,1918.7048289618967,390613300.0,204458.0
돌미나리,2016,39,6,1652.2230209945367,296495626.0,179601.0
돌미나리,2016,40,6,2823.005121027301,400942900.0,143874.0
돌미나리,2016,41,6,3311.968751526432,564613600.0,170420.0
돌미나리,2016,42,6,1871.8687446758947,376555100.0,199760.0
돌미나리,2016,43,6,1962.0200743345176,393376810.0,206936.0
돌미나리,2016,44,6,3227.4864230908083,526436600.0,158637.0
돌미나리,2016,45,6,2926.3271746917103,513076000.0,171812.0
돌미나리,2016,46,6,2057.803458974316,347898000.0,161093.0
돌미나리,2016,47,6,2555.4439420801336,337467401.0,136712.0
돌미나리,2016,48,6,3066.8956821462634,394076961.0,124374.0
돌미나리,2016,49,6,3270.655461835115,425400637.0,122912.0
돌미나리,2016,50,6,4265.9928530652405,459307800.0,104120.0
돌미나리,2016,51,6,3554.53352714621,408826200.0,115444.0
돌미나리,2016,52,6,4108.979119301827,436192931.0,106745.0
돌미나리,2017,1,5,4703.805030930152,416257600.0,89064.0
돌미나리,2017,2,6,4121.415945631108,401717200.0,97448.0
돌미나리,2017,3,6,3796.4634072027184,431931700.0,114004.0
돌미나리,2017,4,4,6029.608752182048,603404419.0,97749.0
