연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,1231.7572222330941,574699940.0,467746.0
2015,28,6,1345.1930514981614,777084480.0,579849.0
2015,29,6,1099.0016898881347,635142550.0,574459.0
2015,30,6,1169.827572606899,638997060.0,545900.0
2015,31,6,1574.4636552743605,756042815.0,474775.0
2015,32,6,2139.1652447350475,1049313655.0,490755.0
2015,33,6,3145.8215415052205,1485829250.0,474943.0
2015,34,6,3103.4947360621686,1363399885.0,437290.0
2015,35,6,2418.0220477838607,1164971625.0,479977.0
2015,36,6,1514.5726462347611,773753320.0,509723.0
2015,37,6,1239.8756640112401,661036385.0,532669.0
2015,38,6,1318.2403788155978,704114143.0,535598.0
2015,39,6,1300.640355806717,820408680.0,620694.0
2015,40,4,1433.9421907765793,484353335.0,346051.0
2015,41,6,1342.5265919475085,584522520.0,437037.0
2015,42,6,2003.243530097526,854204075.0,428729.0
2015,43,6,1980.372245536022,829443615.0,422906.0
2015,44,6,2210.2538551046378,946641245.0,428888.0
2015,45,6,3007.144472121263,1163400190.0,387564.0
2015,46,6,3241.3218919048836,1427921135.0,442886.0
2015,47,6,3374.5205113666484,1301469560.0,384545.0
2015,48,6,3399.4436512423695,1350617380.0,402122.0
2015,49,6,4583.590113213934,1604011600.0,350765.0
2015,50,6,3206.356958759174,1266770295.0,394659.0
2015,51,6,3652.446720114993,1487641440.0,407899.0
2015,52,6,5017.536097058019,1900308950.0,378499.0
2015,53,4,4713.436176681664,1642800828.0,348565.0
2016,1,6,3474.2131445472824,1785814863.0,506933.0
2016,2,6,2694.4367699439517,1271333079.0,472404.0
2016,3,6,3551.2608875298934,1503388910.0,423549.0
2016,4,6,5152.666167452274,2166898093.0,418412.0
2016,5,6,7161.792984316374,3577434478.0,517982.0
2016,6,3,7587.72400101909,1575952061.0,207013.0
2016,7,6,3999.386008813657,1981312745.0,498784.0
2016,8,7,2292.214020969267,1402067523.0,616870.0
2016,9,6,2195.972774755989,1156277348.0,526337.0
2016,10,6,2867.070894262252,1447387405.0,506397.0
2016,11,6,3317.778132627473,1770491807.0,532613.0
2016,12,6,2909.3694668112935,1611372038.0,553043.0
2016,13,6,2873.6655291655284,1663176705.0,579496.0
2016,14,6,2464.1442078420328,1583920176.0,643506.0
2016,15,6,1734.0249385969137,1162138777.0,673197.0
2016,16,6,1455.4850005250553,902097622.0,621917.0
2016,17,6,1502.4987762742155,898534789.0,599311.0
2016,18,6,1789.999411993047,940815945.0,529230.0
2016,19,6,2164.966172501053,1157561843.0,532022.0
2016,20,6,1660.8072501694733,818458413.0,491263.0
2016,21,6,1811.833543065098,886764892.0,492809.0
2016,22,6,1028.4382842610758,542996426.0,522828.0
2016,23,6,1106.6838447339283,592585696.0,533385.0
2016,24,6,1193.1311085828536,647602980.0,539033.0
2016,25,6,1422.6446820283543,779072642.0,547330.0
2016,26,6,1691.679458284202,914301348.0,538576.0
2016,27,6,1673.6167121426959,936038200.0,559849.0
2016,28,6,1727.1270484018562,936340726.0,542709.0
2016,29,6,1663.0075628249313,843985765.0,503387.0
2016,30,6,2123.2221467798695,1016796942.0,477416.0
2016,31,6,3162.588036914487,1203798150.0,425489.0
2016,32,6,3174.9128605085953,1341732755.0,427984.0
2016,33,6,5040.406642721188,2040098920.0,406514.0
2016,34,6,4754.556039096703,1854495973.0,388420.0
2016,35,6,3250.321221240019,1625661791.0,503365.0
2016,36,6,1924.6022862296716,1102303153.0,572784.0
2016,37,3,2526.488013891029,932126130.0,328658.0
2016,38,6,1212.3943767340486,649966151.0,540344.0
2016,39,6,1765.6100173283885,866480674.0,491718.0
2016,40,6,2223.825447933052,1042254523.0,469627.0
2016,41,6,3694.605757211573,1487519855.0,408427.0
2016,42,6,4213.662397055763,1777479428.0,419472.0
2016,43,6,4449.407881748876,1825322693.0,410958.0
2016,44,6,6215.556231835297,2080759537.0,344538.0
2016,45,6,7736.979974900271,2388910330.0,306904.0
2016,46,6,7750.930541763864,2435664465.0,314244.0
2016,47,6,5671.317727794602,1804892920.0,318253.0
2016,48,6,5589.028147533333,1811411680.0,322785.0
2016,49,6,4431.107010543454,1572801865.0,356085.0
2016,50,6,3696.0440173816933,1417899250.0,383498.0
2016,51,6,3196.1082395772955,1291080035.0,410087.0
2016,52,6,2991.7976785346777,1433976298.0,477397.0
2017,1,5,3550.9715947483965,1280730870.0,364681.0
2017,2,6,3849.2451741015007,1568939680.0,408007.0
2017,3,6,3651.423922498898,1661198014.0,454908.0
2017,4,5,3858.7282723482203,2102728819.0,525302.0
2017,5,4,4581.336253838076,1224582695.0,273670.0
2017,6,6,4141.647679591245,1693396020.0,409160.0
2017,7,6,3128.4902127984437,1427320697.0,463388.0
2017,8,6,2317.66624366975,1159528646.0,499485.0
2017,9,6,3003.5188187445715,1465563816.0,488067.0
2017,10,6,2443.4429432703478,1252181105.0,512365.0
2017,11,6,2608.0629754488177,1406832334.0,540932.0
2017,12,6,2026.2843464044747,1229750285.0,606801.0
2017,13,6,2025.542072297617,1162875262.0,574958.0
2017,14,6,2375.04498384457,1309128768.0,551114.0
2017,15,6,2619.4014976444064,1489109570.0,567571.0
2017,16,6,1802.347400259045,1105198261.0,610787.0
2017,17,6,1576.1567912064309,883716351.0,558995.0
2017,18,6,2274.2688984583006,1021868985.0,454302.0
2017,19,6,2156.901437880196,1022211549.0,471256.0
2017,20,6,1556.9655822212683,746822700.0,478028.0
2017,21,6,1979.4693070987726,892009836.0,459629.0
2017,22,6,1557.8571528323494,739827037.0,474689.0
2017,23,6,1736.2011067651176,893965430.0,515204.0
2017,24,6,1416.002775183815,752575135.0,531836.0
2017,25,6,1369.2239552070453,706327239.0,513704.0
2017,26,6,1330.921071752786,702801864.0,528089.0
2017,27,6,1317.777829685181,669065870.0,505660.0
2017,28,6,1833.936730780172,940364435.0,514630.0
2017,29,6,2153.214318196408,1047050453.0,484997.0
2017,30,6,3030.467941139843,1262192248.0,418817.0
2017,31,6,2936.5521441126293,1217120278.0,406737.0
2017,32,6,3008.8840078382177,1333412790.0,444472.0
2017,33,6,3080.541400050552,1326970318.0,430582.0
2017,34,6,3029.4520529727974,1264027415.0,416804.0
2017,35,6,3532.347405405135,1511595438.0,429871.0
2017,36,6,2968.684762673957,1314687920.0,444328.0
2017,37,6,2029.7414144673178,949069750.0,466927.0
2017,38,6,1920.9291395948583,864126700.0,457326.0
2017,39,6,1533.7566565441077,797005132.0,523520.0
2017,40,3,5131.928605125418,985159825.0,234326.0
2017,41,6,1656.7775911401798,745192450.0,456826.0
2017,42,6,2025.7986184378435,795643860.0,397505.0
2017,43,6,2714.507103125446,1089297336.0,401167.0
2017,44,6,3387.3738112978795,1251625388.0,371100.0
2017,45,6,3502.23319181449,1283160883.0,367187.0
2017,46,6,2744.1571381951767,1162559855.0,421834.0
2017,47,6,2471.7052425545003,996796810.0,404895.0
