품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
영양부추,2015,27,5,3015.1780838494137,78291270.0,25897.0
영양부추,2015,28,6,3229.072040066258,100966060.0,31339.0
영양부추,2015,29,6,3267.877821070449,104071990.0,32405.0
영양부추,2015,30,6,2791.66734686449,86116890.0,30775.0
영양부추,2015,31,6,3136.7120443883255,108195545.0,30491.0
영양부추,2015,32,6,2962.814484950937,95858655.0,32171.0
영양부추,2015,33,6,4511.690211129737,132202580.0,29395.0
영양부추,2015,34,6,4960.319662638099,145867425.0,29612.0
영양부추,2015,35,6,4783.9098405957775,139389215.0,29082.0
영양부추,2015,36,6,3839.6976210086664,113808600.0,29346.0
영양부추,2015,37,6,3449.550765930792,103383535.0,30026.0
영양부추,2015,38,6,4248.01728902362,124987673.0,29338.0
영양부추,2015,39,6,4647.929326147237,116083100.0,24451.0
영양부추,2015,40,4,6266.284641505059,101593585.0,16479.0
영양부추,2015,41,6,4220.632441943005,106284530.0,24992.0
영양부추,2015,42,6,6378.074790807824,128214455.0,20262.0
영양부추,2015,43,6,5850.640851340933,107401795.0,18316.0
영양부추,2015,44,6,8073.72535893711,134648665.0,16954.0
영양부추,2015,45,6,9961.97346421488,121797050.0,12625.0
영양부추,2015,46,6,12756.203573586683,157093385.0,12428.0
영양부추,2015,47,6,15332.553459277748,166380740.0,10848.0
영양부추,2015,48,6,17590.043444704777,158977990.0,9079.0
영양부추,2015,49,6,18099.101367317275,153390870.0,8481.0
영양부추,2015,50,6,21154.58943112756,168828345.0,7993.0
영양부추,2015,51,6,24177.785193180152,173342750.0,7202.0
영양부추,2015,52,6,26907.389222079346,209476350.0,7797.0
영양부추,2015,53,4,22676.848493388905,127650530.0,5620.0
영양부추,2016,1,6,19380.63104476784,142047780.0,7340.0
영양부추,2016,2,6,13629.30439837223,77467289.0,5702.0
영양부추,2016,3,6,10376.13285398927,71176050.0,6879.0
영양부추,2016,4,6,8852.267869300556,65172100.0,7514.0
영양부추,2016,5,6,11151.779863053724,100843995.0,9145.0
영양부추,2016,6,3,10833.488156895479,59627166.0,5598.0
영양부추,2016,7,6,5850.145865087001,56189915.0,9628.0
영양부추,2016,8,7,11125.377478836259,118982645.0,10983.0
영양부추,2016,9,6,9162.070692965395,101680600.0,11097.0
영양부추,2016,10,6,10347.68323611532,128445845.0,12550.0
영양부추,2016,11,6,7025.312929003713,103927927.0,14779.0
영양부추,2016,12,6,5610.397422175738,100550969.0,17764.0
영양부추,2016,13,6,4688.119222419156,95074580.0,20351.0
영양부추,2016,14,6,4789.0893344372025,104785720.0,21867.0
영양부추,2016,15,6,3424.8197783764913,94999835.0,27547.0
영양부추,2016,16,6,2899.684042091722,94765950.0,32845.0
