연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,1735.9903300475282,309573821.0,178552.0
2015,28,6,2158.892516156971,389698750.0,180696.0
2015,29,6,2284.0611682029794,400449607.0,176194.0
2015,30,6,2297.036740028633,399777835.0,170942.0
2015,31,6,2525.8004003309447,355125005.0,134250.0
2015,32,6,2560.075265402747,337410575.0,135814.0
2015,33,6,2581.164402843427,336084650.0,130835.0
2015,34,6,2648.504937122026,455464599.0,172495.0
2015,35,6,2600.4655846790088,364818450.0,141209.0
2015,36,6,2759.1977122148915,393774424.0,143449.0
2015,37,6,2907.4887121153274,394493115.0,137942.0
2015,38,7,2453.1987173269526,490868834.0,206647.0
2015,39,6,1814.3275437344473,505977874.0,262595.0
2015,40,4,1588.8351514392286,333341225.0,209826.0
2015,41,6,1641.7959101829683,509625300.0,309323.0
2015,42,6,1744.0309063493305,492703175.0,283799.0
2015,43,6,1533.1820199926551,508554585.0,332109.0
2015,44,6,1370.2794667637145,421849634.0,310664.0
2015,45,6,1836.0414032384751,472083797.0,257109.0
2015,46,6,1325.4798514444815,372391579.0,281904.0
2015,47,6,1314.6169787280394,368944425.0,281271.0
2015,48,6,1442.6729795229105,436580100.0,300782.0
2015,49,6,1856.69300793148,531311400.0,285921.0
2015,50,6,1732.252307780971,527148351.0,306698.0
2015,51,6,1508.9617219088752,638903350.0,423749.0
2015,52,6,1680.0462753549473,554096800.0,331636.0
2015,53,4,1509.7988128619602,412297733.0,277335.0
2016,1,6,1837.7135729452978,755486441.0,400885.0
2016,2,6,1868.0595032333003,535132560.0,288190.0
2016,3,6,2370.572957065339,720984666.0,303351.0
2016,4,6,2762.574618017177,587646090.0,210666.0
2016,5,6,2555.423457917337,642185611.0,260862.0
2016,6,3,2432.675842706764,312603848.0,129797.0
2016,7,6,2122.8312595278944,584723900.0,277055.0
2016,8,7,2507.8246284727275,681759213.0,272044.0
2016,9,6,2883.956819485531,737409284.0,255855.0
2016,10,6,3202.2661612902025,837969200.0,262627.0
2016,11,6,3493.381298767045,694957640.0,204145.0
2016,12,6,3668.355100267279,658656004.0,180116.0
2016,13,6,4413.905238311605,723851349.0,163868.0
2016,14,6,6228.109050032272,875474375.0,141088.0
2016,15,6,5991.634867746107,759624605.0,127394.0
2016,16,6,5653.935942909465,599570846.0,107625.0
2016,17,6,4373.970750164763,570007761.0,132093.0
2016,18,6,3338.756979153657,439449099.0,131746.0
2016,19,6,3391.981086072541,724111220.0,214074.0
2016,20,6,2550.8464680150328,763818420.0,302016.0
2016,21,6,2090.4166908475504,810746248.0,398017.0
2016,22,6,1468.8052223075292,553178468.0,385270.0
2016,23,6,1554.2661919780305,487805917.0,314299.0
2016,24,6,1776.2727836482984,506633011.0,285748.0
2016,25,6,1974.836561640207,427497996.0,215066.0
2016,26,6,2111.551693876079,360588881.0,171136.0
2016,27,6,2262.7795142420505,332398455.0,147322.0
2016,28,6,2667.4093034551356,296041770.0,111601.0
2016,29,6,2481.6587261433306,257835550.0,105160.0
2016,30,6,2856.677261024252,297912838.0,105335.0
2016,31,6,2696.625472806901,226544716.0,77878.0
2016,32,6,3258.9488674063487,301381151.0,95026.0
2016,33,6,3247.47001420969,288187725.0,90504.0
2016,34,6,3826.174609171901,388973922.0,102940.0
2016,35,6,3758.2095775793023,379261035.0,101948.0
2016,36,7,3568.8749352263635,400171137.0,110272.0
2016,37,3,3154.9423956674304,146311100.0,44464.0
2016,38,6,2280.556913791208,503209650.0,224273.0
2016,39,6,2148.9970451455224,597764174.0,278988.0
2016,40,6,2393.3061273801086,563856483.0,235702.0
2016,41,6,3087.147539098369,635540464.0,207420.0
2016,42,6,2599.974770175573,597160172.0,229145.0
2016,43,6,2603.3833944580106,540374669.0,208455.0
2016,44,6,3435.55549449445,514763071.0,157664.0
2016,45,6,3161.392896494652,520495075.0,163347.0
2016,46,6,2863.260189325816,570574700.0,199564.0
2016,47,6,2535.295858994525,558038561.0,218606.0
2016,48,6,3165.0051580418635,640844968.0,199773.0
2016,49,6,3014.3874727188145,729384400.0,242152.0
2016,50,6,3163.238004040289,963121050.0,306819.0
2016,51,6,2971.2628284247585,672710800.0,228241.0
2016,52,6,2446.8274182967893,796472380.0,325966.0
2017,1,6,2434.799272326061,449184300.0,181736.0
2017,2,6,2280.0290028016066,731633600.0,319010.0
2017,3,6,2531.156951390307,554143930.0,220313.0
2017,4,5,2381.9747017703653,484599426.0,199148.0
2017,5,4,2190.7097755422687,514727400.0,233188.0
2017,6,6,2147.0170381922903,562689075.0,262228.0
2017,7,6,2250.6144114730814,580402775.0,256522.0
2017,8,6,2002.0592050702032,665370712.0,331085.0
2017,9,6,2047.4526536882283,638587712.0,317513.0
2017,10,6,1894.1357860704466,567079900.0,302247.0
2017,11,6,2206.9066117241346,683370740.0,308820.0
2017,12,6,2303.3348744580385,600467160.0,260386.0
2017,13,6,2416.937547707113,564819460.0,232945.0
2017,14,6,2371.207154199059,652990800.0,275798.0
2017,15,6,2215.234926223424,590335500.0,266278.0
2017,16,6,2005.2162072419653,524143119.0,263242.0
2017,17,6,2014.3433803714163,490642350.0,243278.0
2017,18,6,1866.2627027969702,471931600.0,251896.0
2017,19,6,2032.0437817714717,537105870.0,266733.0
2017,20,6,1923.906787750663,656699568.0,341801.0
2017,21,6,1966.448060085062,612747895.0,311525.0
2017,22,6,1697.6941802118208,618537667.0,364230.0
2017,23,6,1599.28838308189,475080325.0,297469.0
2017,24,6,1714.6005832863336,472678338.0,277130.0
2017,25,6,1900.7830770248904,587592240.0,307816.0
2017,26,6,1983.9732621600515,502379420.0,251125.0
2017,27,6,2232.1838580827684,465406775.0,206222.0
2017,28,6,2485.390705055724,431131025.0,175935.0
2017,29,6,2761.3141338615224,505228936.0,181936.0
2017,30,6,2714.0510028953295,417306952.0,154714.0
2017,31,6,3391.562740417423,422215456.0,136578.0
2017,32,6,3086.569875118559,443411030.0,143433.0
2017,33,6,2933.6734586018047,489868500.0,167161.0
2017,34,6,3160.7192900852074,491333275.0,155606.0
2017,35,6,4047.5042147070126,669036916.0,165786.0
2017,36,6,4085.1548292366083,556348975.0,135926.0
2017,37,6,2998.4490426109405,429098395.0,142903.0
2017,38,6,2887.5345282200774,524469754.0,180661.0
2017,39,6,2291.781798481571,569699196.0,251311.0
2017,40,3,2678.0199081112846,129374900.0,51608.0
2017,41,6,1681.3813746179292,454484894.0,270348.0
2017,42,6,1929.533284852471,503314125.0,261124.0
2017,43,6,2223.911120510634,510644700.0,231151.0
2017,44,6,2350.747075311487,599738315.0,254102.0
2017,45,6,2554.8038243885994,658307600.0,260196.0
2017,46,6,2206.76751730755,511839700.0,231445.0
2017,47,6,2834.2321468515042,420976916.0,150163.0
2017,48,6,2918.0622765661064,463020864.0,158964.0
2017,49,6,3124.022237191841,476044485.0,152860.0
2017,50,6,3920.194684692715,622543175.0,159425.0
2017,51,6,4911.198712624119,745177150.0,149787.0
2017,52,6,3877.736122104396,698495040.0,191917.0
2018,1,5,2670.242895792952,275829300.0,107667.0
2018,2,6,3345.993118924764,261834935.0,77673.0
2018,3,6,3240.5349831956796,480353671.0,155013.0
2018,4,6,2146.026466044467,340267800.0,153323.0
2018,5,6,2829.0341447041296,396637900.0,139028.0
2018,6,6,3724.7725032717367,379844900.0,103413.0
2018,7,4,2661.6844823461324,291821600.0,103188.0
2018,8,6,1828.2089411008135,311734940.0,171722.0
2018,9,6,1557.1065191087982,352531580.0,227310.0
2018,10,6,1291.3342538578333,269908100.0,226981.0
2018,11,6,1939.7110034897187,312519892.0,163178.0
2018,12,6,2187.4092709999104,404413570.0,189274.0
2018,13,6,2129.187569514533,311491000.0,144880.0
2018,14,6,1962.448220562674,281728700.0,143144.0
2018,15,6,2134.298108008186,306636750.0,144162.0
2018,16,6,2161.75530466424,394600900.0,180175.0
2018,17,6,2109.56628844314,367000400.0,172653.0
2018,18,6,2433.9115818039604,400943600.0,165638.0
2018,19,6,2609.27926710048,353222080.0,134643.0
2018,20,6,2837.8029174797975,498071400.0,175742.0
2018,21,6,2495.2212273913397,637800700.0,266343.0
2018,22,6,1618.4896519696802,523518300.0,320518.0
2018,23,6,1826.230608144666,371478300.0,203810.0
2018,24,6,2025.9976719166823,325790500.0,160638.0
2018,25,6,1807.2664114023446,313964200.0,173577.0
2018,26,6,2183.295370004877,306163200.0,141921.0
2018,27,6,2429.202139902192,306765820.0,125963.0
2018,28,6,2593.935741061679,253845800.0,98059.0
2018,29,6,3127.697920731423,222308400.0,71193.0
2018,30,6,3496.5958991893053,217773600.0,62457.0
2018,31,5,3906.887454134776,156649200.0,40451.0
2018,32,6,4289.223788782513,239371000.0,54221.0
2018,33,6,4644.393522549901,189989500.0,41159.0
