품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
시금치(일반),2015,27,5,3083.3672779519775,659599376.0,214500.0
시금치(일반),2015,28,6,2724.5900337637627,695220550.0,255040.0
시금치(일반),2015,29,6,2452.8024681627307,622823521.0,257026.0
시금치(일반),2015,30,6,2986.3704757222317,621981061.0,208045.0
시금치(일반),2015,31,6,3172.2073098695014,507494696.0,149951.0
시금치(일반),2015,32,6,4537.729410713314,559122860.0,123450.0
시금치(일반),2015,33,6,4880.833527016562,575074470.0,118185.0
시금치(일반),2015,34,6,4510.110112549027,631523350.0,142153.0
시금치(일반),2015,35,6,5279.449125116737,824994925.0,156997.0
시금치(일반),2015,36,6,4418.574614046039,817956245.0,189459.0
시금치(일반),2015,37,6,3079.74701320247,797170950.0,260467.0
시금치(일반),2015,38,6,2503.3210092028967,1015339661.0,410823.0
시금치(일반),2015,39,6,2446.1639003735077,2502913000.0,1001163.0
시금치(일반),2015,40,4,1431.90626074159,470630095.0,329912.0
시금치(일반),2015,41,6,1488.02664061691,755586862.0,513884.0
시금치(일반),2015,42,6,1591.6887991891383,847663957.0,534067.0
시금치(일반),2015,43,6,1484.8937189368937,865646115.0,584407.0
시금치(일반),2015,44,6,1311.5022941818522,749915406.0,571320.0
시금치(일반),2015,45,6,1651.6637786917236,768031426.0,464453.0
시금치(일반),2015,46,6,1713.3680759812594,771484732.0,452026.0
시금치(일반),2015,47,6,1634.9846066296084,652595538.0,397995.0
시금치(일반),2015,48,6,1925.9008345227342,713918795.0,372500.0
시금치(일반),2015,49,6,2057.212220128484,907524580.0,440995.0
시금치(일반),2015,50,6,1817.0903097964954,841331545.0,465266.0
시금치(일반),2015,51,6,2122.9013547157488,883051420.0,419580.0
시금치(일반),2015,52,6,1927.011101857074,869886544.0,445898.0
시금치(일반),2015,53,4,1980.2135622283663,730632958.0,369511.0
시금치(일반),2016,1,6,1907.943168032216,983603026.0,515115.0
시금치(일반),2016,2,6,1843.5110251918832,858365294.0,465293.0
시금치(일반),2016,3,6,2403.9502179762067,944429286.0,395436.0
시금치(일반),2016,4,6,2931.631210996527,1224232180.0,416870.0
시금치(일반),2016,5,6,3316.186494742897,2123363876.0,641511.0
시금치(일반),2016,6,3,3254.127602926657,506199866.0,156209.0
시금치(일반),2016,7,6,2107.5006166948415,922166675.0,433476.0
시금치(일반),2016,8,7,1864.0478515583784,854714746.0,460135.0
시금치(일반),2016,9,6,1699.0503346225778,707686563.0,415578.0
시금치(일반),2016,10,6,1521.086854438836,770779989.0,505364.0
시금치(일반),2016,11,6,1568.4947300094766,705739440.0,453379.0
시금치(일반),2016,12,6,1504.9375808395544,772610009.0,511892.0
시금치(일반),2016,13,6,1637.6043576095792,773229113.0,473951.0
시금치(일반),2016,14,6,1780.791423766198,854352436.0,479898.0
시금치(일반),2016,15,6,1619.4119018899225,798139357.0,491768.0
시금치(일반),2016,16,6,1694.9113777448829,794830979.0,468462.0
시금치(일반),2016,17,6,1990.295538697054,1002870936.0,506528.0
시금치(일반),2016,18,6,2088.8731041908554,1004487578.0,478182.0
시금치(일반),2016,19,6,2406.44350178759,1088744853.0,454214.0
시금치(일반),2016,20,6,2383.216880358255,935417840.0,392897.0
시금치(일반),2016,21,6,2318.5059242851685,916106289.0,397724.0
시금치(일반),2016,22,6,1671.9903242104726,671988794.0,400195.0
시금치(일반),2016,23,6,2171.3468840744717,756784867.0,348494.0
시금치(일반),2016,24,6,2204.1573334795444,797092409.0,361572.0
시금치(일반),2016,25,6,2716.963586788203,910781566.0,334572.0
시금치(일반),2016,26,6,2425.528912751494,842243373.0,351094.0
시금치(일반),2016,27,6,2387.919075920085,819229542.0,344000.0
시금치(일반),2016,28,6,2828.5599388687533,852764053.0,302323.0
시금치(일반),2016,29,6,2801.7368747092755,811791355.0,290240.0
시금치(일반),2016,30,6,4015.25984297303,838707235.0,208969.0
시금치(일반),2016,31,6,4700.176520676885,726260630.0,152252.0
시금치(일반),2016,32,6,6908.138826636789,770956340.0,113496.0
시금치(일반),2016,33,6,10581.052651252894,749076224.0,72746.0
시금치(일반),2016,34,6,10466.332341552015,613536559.0,58576.0
시금치(일반),2016,35,6,9598.619378578618,855310953.0,89406.0
시금치(일반),2016,36,6,7885.048811468286,1281011185.0,176882.0
시금치(일반),2016,37,3,6331.913935260308,3162272640.0,463279.0
시금치(일반),2016,38,6,2618.891276811574,1060900770.0,411343.0
시금치(일반),2016,39,6,2547.6011896306904,1153782147.0,452296.0
시금치(일반),2016,40,6,2328.821693608925,1200546928.0,520602.0
시금치(일반),2016,41,6,3001.6662758203242,1522636131.0,507962.0
시금치(일반),2016,42,6,2587.6315780741115,1406257893.0,542446.0
시금치(일반),2016,43,6,2272.8972024632185,1293307845.0,569448.0
시금치(일반),2016,44,6,2730.498433637949,1369958785.0,503565.0
시금치(일반),2016,45,6,3081.2769649305424,1550680515.0,504189.0
시금치(일반),2016,46,6,2854.1338900587416,1453539980.0,508799.0
시금치(일반),2016,47,6,1961.122765082262,1126829065.0,570568.0
시금치(일반),2016,48,6,2264.147016087229,1209721700.0,534504.0
시금치(일반),2016,49,6,2048.1214449257113,1192256098.0,581203.0
시금치(일반),2016,50,6,2302.8557318549897,1277694838.0,554372.0
시금치(일반),2016,51,6,2039.3744153359276,1213355408.0,592705.0
시금치(일반),2016,52,6,2185.234898105863,1347253507.0,617019.0
시금치(일반),2017,1,5,1819.028283496976,1029965736.0,562547.0
시금치(일반),2017,2,6,1643.0464305832468,1068107440.0,648841.0
시금치(일반),2017,3,6,1876.1609850890754,1171232751.0,623686.0
시금치(일반),2017,4,5,2220.700186685529,1694252949.0,752371.0
시금치(일반),2017,5,4,2100.120435397236,831890173.0,398108.0
시금치(일반),2017,6,6,1488.6435974189324,962342579.0,641556.0
시금치(일반),2017,7,6,1556.2038406020213,824956273.0,529250.0
시금치(일반),2017,8,6,1317.9810503631886,735656044.0,555878.0
시금치(일반),2017,9,6,1456.7178583262887,823588838.0,564804.0
시금치(일반),2017,10,6,1109.2402693682468,727438576.0,646096.0
시금치(일반),2017,11,6,1152.0576326133755,670215331.0,581951.0
시금치(일반),2017,12,6,1115.392060021776,662733943.0,594534.0
시금치(일반),2017,13,6,1138.582539105164,687849787.0,605749.0
시금치(일반),2017,14,6,1221.7474875414293,731330170.0,602724.0
시금치(일반),2017,15,6,1275.0232366311172,753526032.0,592505.0
시금치(일반),2017,16,6,1466.3698535018211,781451770.0,533036.0
시금치(일반),2017,17,6,1674.5475478704311,895809284.0,535313.0
시금치(일반),2017,18,6,1574.9591480551242,750951495.0,473148.0
시금치(일반),2017,19,6,1752.8758988494792,853124645.0,495700.0
시금치(일반),2017,20,6,1236.980819150577,736059735.0,592794.0
시금치(일반),2017,21,6,1984.6407757924471,885428432.0,445729.0
시금치(일반),2017,22,6,1575.4324809925363,859810049.0,544746.0
