연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,547.8938758683821,777879970.0,1453772.0
2015,28,6,657.8034763467422,1208495930.0,1837835.0
2015,29,6,579.4311271449711,991992950.0,1705744.0
2015,30,6,598.4649279077147,968358440.0,1771701.0
2015,31,6,553.204681222736,974158970.0,1769462.0
2015,32,6,582.8073769135038,1142425780.0,1965231.0
2015,33,6,757.3645417933054,1349867510.0,1804296.0
2015,34,6,665.0025130192695,1319465440.0,1977396.0
2015,35,6,640.889412685243,1314684250.0,2087210.0
2015,36,6,718.9386925459775,1494060140.0,2083816.0
2015,37,6,630.7635130152008,1452287110.0,2310211.0
2015,38,6,503.2934969579089,1166454600.0,2321480.0
2015,39,6,483.35497802912874,949435150.0,1922372.0
2015,40,4,542.4983632430033,715402040.0,1321709.0
2015,41,6,386.7110917854247,893560760.0,2309631.0
2015,42,6,399.6155293986926,796625400.0,1996307.0
2015,43,6,335.99888167026256,622568870.0,1878357.0
2015,44,6,421.4402123448936,771272770.0,1905137.0
2015,45,6,323.6458846926195,564411390.0,1765537.0
2015,46,6,302.1839833447478,534878940.0,1770745.0
2015,47,6,305.2548551070615,509914590.0,1671862.0
2015,48,6,352.30480321826525,584097720.0,1660366.0
2015,49,6,327.6699819910909,595822170.0,1819180.0
2015,50,6,296.1155852904868,578712760.0,1962518.0
2015,51,6,303.3326045615965,517710450.0,1747536.0
2015,52,6,375.38143748879617,717774230.0,1924950.0
2015,53,4,367.06748737414586,513924990.0,1392626.0
2016,1,6,349.2188976549177,788495650.0,2247264.0
2016,2,6,335.2415021457327,646150960.0,1929014.0
2016,3,6,478.38399141760175,775450140.0,1650977.0
2016,4,6,669.4426315265795,974592690.0,1438719.0
2016,5,6,648.4929336371775,1508759860.0,2303977.0
2016,6,3,467.52467053563174,435354900.0,945760.0
2016,7,6,479.4638805811663,947630930.0,1987548.0
2016,8,7,444.4319374864911,1020372350.0,2311318.0
2016,9,6,578.6577306748061,1021747580.0,1761562.0
2016,10,6,669.5566705515711,1278633580.0,1917663.0
2016,11,6,616.3665148846059,1335471890.0,2181199.0
2016,12,6,638.6243736195019,1271412990.0,1993831.0
2016,13,6,706.2593750143051,1362773490.0,1940312.0
2016,14,6,946.1234409095614,1625318040.0,1738051.0
2016,15,6,927.1832002303413,1799553560.0,1950437.0
2016,16,6,1058.8221243876042,1435695380.0,1356355.0
2016,17,6,1082.21856446986,496315340.0,462035.0
2016,18,6,1082.6138176702295,450867850.0,413586.0
2016,19,6,1177.1534089467457,1633175410.0,1387221.0
2016,20,6,1101.5128181851678,2025043610.0,1852089.0
2016,21,6,1319.950940159894,2422775880.0,1861575.0
2016,22,6,662.6044005238779,1508472430.0,2245866.0
2016,23,6,493.89837296292495,1007398760.0,2052381.0
2016,24,6,417.9974447435407,815406700.0,1957832.0
2016,25,6,635.2499430581482,1210280960.0,1951295.0
2016,26,6,466.9835039298919,869682310.0,1902481.0
2016,27,6,559.4197271435655,997110900.0,1809231.0
2016,28,6,461.3416792827702,895954930.0,1962317.0
2016,29,6,400.9972924430069,774084930.0,1928162.0
2016,30,6,336.56562943621776,668619060.0,1977038.0
2016,31,6,405.2228963691105,702182530.0,1809441.0
2016,32,6,354.21763011996353,784155920.0,2262256.0
2016,33,6,447.99601562959805,905639560.0,2056207.0
2016,34,6,742.7926586892485,1362129650.0,1997008.0
2016,35,6,827.9423760449927,1823490020.0,2236089.0
2016,36,6,783.4495568243275,1765617730.0,2263598.0
2016,37,3,947.8070667553055,943264520.0,889813.0
2016,38,6,793.6011972180391,1913784020.0,2432535.0
2016,39,6,788.6533085612101,1551261620.0,2016224.0
2016,40,6,927.7452840345799,1856248990.0,1998774.0
2016,41,6,963.41143114664,1999111610.0,2098619.0
2016,42,6,922.9427287194559,1907670530.0,2077080.0
2016,43,6,1079.7470560157547,1958002350.0,1826491.0
2016,44,6,1018.4459155026179,1894076950.0,1858350.0
2016,45,6,1235.0098748530336,2140466200.0,1734298.0
2016,46,6,1496.4441613068054,2619276030.0,1777629.0
2016,47,6,1484.6466480957135,2788261180.0,1879981.0
2016,48,6,1326.4857261620323,2399821480.0,1818823.0
2016,49,6,1177.19723508029,2485973800.0,2118498.0
2016,50,6,1060.4690867074612,2149436100.0,2029655.0
2016,51,6,1102.6884388229053,2217679630.0,2029463.0
2016,52,6,991.2767151786016,2137239600.0,2169471.0
2017,1,5,932.2440144290671,1763104020.0,1924635.0
2017,2,6,882.7916442277428,1790946700.0,2047157.0
2017,3,6,843.2425508427253,1485131200.0,1773280.0
2017,4,5,1023.1198437309444,1441381830.0,1368426.0
2017,5,4,1078.491172309374,1681386220.0,1569838.0
2017,6,6,909.273004096411,1823079650.0,2012930.0
2017,7,6,949.2566864553677,1893579680.0,1997050.0
2017,8,6,1052.8551902879235,1810785710.0,1721152.0
2017,9,6,1144.3395106020864,2690326950.0,2341123.0
2017,10,6,873.7329635954053,2082696810.0,2389888.0
2017,11,6,812.1488207456208,1627581420.0,2008005.0
2017,12,6,920.8986644912717,1904378750.0,2079555.0
2017,13,6,566.474880386892,1469291230.0,2603636.0
2017,14,6,557.6880872609323,1080250640.0,1940117.0
2017,15,6,350.4036488861571,870350840.0,2488408.0
2017,16,6,317.81146102363005,666266680.0,2151261.0
2017,17,6,390.78844783693484,707197120.0,1805820.0
2017,18,6,371.63085489486326,463964410.0,1225215.0
2017,19,6,281.8388039186296,532516580.0,1907465.0
2017,20,6,253.1769557582886,546577850.0,2165257.0
2017,21,6,329.63105011214526,686992450.0,2126236.0
2017,22,6,339.93775305917654,662882850.0,1960025.0
2017,23,6,326.58513815473873,597939660.0,1843731.0
2017,24,6,306.4885773487626,616169930.0,2084243.0
2017,25,6,311.3049395091958,614885650.0,1961755.0
2017,26,6,289.2368276918572,528681240.0,1844338.0
2017,27,6,311.92272737441,537718270.0,1733630.0
2017,28,6,305.151636150066,486728490.0,1660306.0
2017,29,6,398.40279264644164,737276400.0,1859701.0
2017,30,6,536.9546987811686,1003441010.0,1876071.0
2017,31,6,802.6661612795324,1446268370.0,1780366.0
2017,32,6,1117.0260082940792,1971143680.0,1820469.0
2017,33,6,906.7185530397472,1940725980.0,2121658.0
2017,34,6,813.4972736505374,1674750960.0,2103477.0
2017,35,6,910.9500572393621,2124859740.0,2335435.0
2017,36,6,1001.048915943347,2298241150.0,2297847.0
2017,37,6,980.9323791409556,2217125610.0,2284025.0
2017,38,6,970.9925396376099,2052724330.0,2136788.0
2017,39,6,1113.2304455597193,2534267670.0,2276545.0
2017,40,3,1772.367079413207,834254300.0,554462.0
2017,41,6,946.3394613494874,2440099480.0,2568252.0
2017,42,6,539.9708791998122,1256147300.0,2371501.0
2017,43,6,482.423168433769,1013533340.0,2113719.0
2017,44,6,463.4606749229929,890298300.0,1945015.0
2017,45,6,647.1689161863848,1150334500.0,1794835.0
2017,46,6,531.0254098534856,985639240.0,1864839.0
2017,47,6,532.0485896378888,995541070.0,1874526.0
2017,48,6,581.4622523053355,1071413200.0,1842443.0
2017,49,6,582.926501744436,1121664350.0,1927141.0
2017,50,6,722.1604761402006,1149522890.0,1620316.0
2017,51,6,647.0911720608569,1314623810.0,2040093.0
2017,52,6,677.385336535241,1415831130.0,2069737.0
2018,1,5,576.5384343015983,987900650.0,1568889.0
2018,2,6,790.8495475712539,1335876500.0,1706744.0
2018,3,6,664.8356573015309,1502063910.0,2274190.0
2018,4,6,631.6958266780506,1101855600.0,1737179.0
2018,5,6,706.7648077931375,1419441730.0,2018775.0
2018,6,6,805.2772445785273,1479900910.0,1832584.0
2018,7,3,788.9077301403453,867432140.0,1095816.0
2018,8,6,633.3715636024401,1094970240.0,1728938.0
2018,9,6,635.6082907995617,1187922930.0,1891362.0
2018,10,6,646.9239762273527,1080725840.0,1670681.0
2018,11,6,705.552389964863,1066274320.0,1526982.0
2018,12,6,643.7697265569792,1151961990.0,1757155.0
2018,13,6,465.2286695226081,917290850.0,1992952.0
2018,14,6,514.5205334383688,801616550.0,1570644.0
2018,15,6,383.24362766645817,650595210.0,1731018.0
2018,16,6,433.4535811627804,761599640.0,1899734.0
2018,17,6,384.3448766373173,395203870.0,1008512.0
2018,18,6,387.1405496558604,215723510.0,594889.0
2018,19,6,464.2614863399861,462389300.0,1021663.0
2018,20,6,416.26329404806455,560844560.0,1394363.0
2018,21,6,504.42222926959454,811713040.0,1624027.0
2018,22,6,423.360984535166,763057600.0,1818054.0
2018,23,6,312.169864172888,578522960.0,1877322.0
2018,24,6,312.14335989114556,529676330.0,1722534.0
2018,25,6,352.1094034158245,618091550.0,1780060.0
2018,26,6,380.6523202536593,669910700.0,1774291.0
2018,27,6,393.08068938924043,577972140.0,1502881.0
2018,28,6,478.7044466147586,727733770.0,1591203.0
2018,29,6,678.9222619413623,923326340.0,1433223.0
2018,30,6,1164.1871072449856,1646185480.0,1431615.0
2018,31,5,1521.4486710931,2007221040.0,1336742.0
2018,32,6,1645.2043893250172,2457837810.0,1517117.0
2018,33,6,1201.3744754848487,2052540810.0,1746803.0
2018,34,6,1163.4249662821142,2000008760.0,1764989.0
2018,35,6,654.4377654830804,1403436250.0,2133769.0
2018,36,6,953.9950827427346,1783421700.0,1949714.0
2018,37,6,719.0144210433817,1425358300.0,1989345.0
2018,38,6,830.793742251918,1515982000.0,1911214.0
2018,39,3,1008.4644793371949,913718800.0,917656.0
2018,40,6,822.1467699125305,1348503100.0,1693774.0
2018,41,6,868.4819214796663,1503805700.0,1741098.0
2018,42,6,929.7693996458607,1470986900.0,1590261.0
2018,43,6,784.0129996990892,1278849200.0,1634852.0
2018,44,6,710.2914541988661,1220323800.0,1709892.0
2018,45,6,816.7963823412401,1185759100.0,1456639.0
2018,46,6,604.6825956131593,1068274200.0,1751162.0
