품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
양상추(수입),2015,27,4,1098.4449760765551,11325000.0,11950.0
양상추(수입),2015,28,3,795.6741740915401,7991750.0,16417.0
양상추(수입),2015,29,6,877.439344996424,75890100.0,89516.0
양상추(수입),2015,30,6,1459.872336188033,204447170.0,143994.0
양상추(수입),2015,31,5,1776.199678844761,326362775.0,185728.0
양상추(수입),2015,32,6,2136.562224568112,568310810.0,267239.0
양상추(수입),2015,33,6,2698.262637693248,660831940.0,248071.0
양상추(수입),2015,34,6,2560.872695327967,659140025.0,262202.0
양상추(수입),2015,35,6,2367.3008694874898,589184100.0,248831.0
양상추(수입),2015,36,6,1550.14205963693,411989230.0,265638.0
양상추(수입),2015,37,6,1153.7467512722358,182448000.0,162403.0
양상추(수입),2015,38,6,874.7428192189365,47443200.0,54149.0
양상추(수입),2015,39,3,1244.943820224719,2034000.0,1060.0
양상추(수입),2015,40,1,600.0,24000.0,40.0
양상추(수입),2015,41,1,406.25,162500.0,400.0
양상추(수입),2015,51,1,3000.0,4200000.0,1400.0
양상추(수입),2015,52,6,3372.476045920192,229901875.0,70932.0
양상추(수입),2015,53,4,3371.394445924754,284848450.0,87139.0
양상추(수입),2016,1,6,2034.065013221999,303355550.0,145555.0
양상추(수입),2016,2,6,1322.7614937682554,195778300.0,147286.0
양상추(수입),2016,3,6,1465.332994894461,206312700.0,144657.0
양상추(수입),2016,4,6,1668.3525632105302,275466450.0,166644.0
양상추(수입),2016,5,6,2284.1627717771194,489569000.0,215049.0
양상추(수입),2016,6,3,2865.031805374694,218757600.0,75880.0
양상추(수입),2016,7,6,2632.6506102317976,229324000.0,89442.0
양상추(수입),2016,8,7,2360.7726227679696,171501400.0,82181.0
양상추(수입),2016,9,6,1889.046079420501,155062175.0,85923.0
양상추(수입),2016,10,6,1542.3163729308842,101061400.0,64107.0
양상추(수입),2016,11,6,1338.8578757134621,124646575.0,92914.0
양상추(수입),2016,12,6,1228.0374870641633,72930350.0,59040.0
양상추(수입),2016,13,6,970.0331864496166,40090000.0,42849.0
양상추(수입),2016,14,4,862.4966070659407,8155725.0,7217.0
양상추(수입),2016,16,1,896.875,71750.0,80.0
양상추(수입),2016,19,2,1250.0,50000.0,40.0
양상추(수입),2016,20,4,912.5,96000.0,110.0
양상추(수입),2016,21,2,1012.5,87000.0,86.0
양상추(수입),2016,22,2,800.0,65200.0,82.0
양상추(수입),2016,26,4,1378.2075679252239,16495000.0,11208.0
양상추(수입),2016,27,6,1353.88520571805,27786500.0,21869.0
양상추(수입),2016,28,6,2073.873421584012,245464300.0,117403.0
양상추(수입),2016,29,6,1632.9436552697816,370634000.0,224789.0
양상추(수입),2016,30,6,1309.2294441419729,313699810.0,236782.0
양상추(수입),2016,31,6,1391.4629077488246,317024740.0,237789.0
양상추(수입),2016,32,6,1401.7184995581767,351414650.0,249852.0
양상추(수입),2016,33,6,2037.2355122742365,468361929.0,231127.0
양상추(수입),2016,34,6,2406.799458319918,515461516.0,220336.0
양상추(수입),2016,35,6,3122.9744263729967,570156013.0,194808.0
양상추(수입),2016,36,6,4266.3529308508405,538239875.0,126422.0
양상추(수입),2016,37,3,4752.319694044016,380158000.0,79350.0
양상추(수입),2016,38,6,2719.837542563431,421656325.0,157351.0
양상추(수입),2016,39,6,2333.7857486577154,238763758.0,103135.0
양상추(수입),2016,40,6,1560.974618635407,111329752.0,69253.0
양상추(수입),2016,41,3,1274.3931753098768,17969200.0,15036.0
양상추(수입),2016,43,1,1239.3975409836066,907239.0,732.0
양상추(수입),2016,44,6,2640.8810340376663,50781500.0,15424.0
양상추(수입),2016,45,6,3743.4269001416847,65282500.0,18579.0
