품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
깐쪽파,2015,27,5,6800.3374213406405,64506275.0,9740.0
깐쪽파,2015,28,6,5995.227810996865,140121770.0,23611.0
깐쪽파,2015,29,6,4363.6015432945605,101472045.0,23813.0
깐쪽파,2015,30,6,4265.366309387281,118768284.0,27970.0
깐쪽파,2015,31,5,3500.822140833142,110203485.0,31674.0
깐쪽파,2015,32,6,4506.883890252272,135504922.0,30826.0
깐쪽파,2015,33,6,4711.014024199368,174785200.0,37054.0
깐쪽파,2015,34,6,4586.759341802967,195742005.0,43071.0
깐쪽파,2015,35,6,4749.267466419217,198227445.0,42206.0
깐쪽파,2015,36,6,5666.000316513343,219143380.0,39114.0
깐쪽파,2015,37,6,4277.6315250915395,255407020.0,59729.0
깐쪽파,2015,38,6,3409.3947290661367,328629780.0,96649.0
깐쪽파,2015,39,6,3666.32671753195,594027050.0,155346.0
깐쪽파,2015,40,4,3650.367990194465,195427810.0,53533.0
깐쪽파,2015,41,6,2500.0911688925416,264482004.0,105865.0
깐쪽파,2015,42,6,2686.7868984409993,312306800.0,118313.0
깐쪽파,2015,43,6,2360.3970782201786,286538350.0,123608.0
깐쪽파,2015,44,6,2300.221598264672,336942380.0,147079.0
깐쪽파,2015,45,6,2684.8615218631194,412302320.0,153245.0
깐쪽파,2015,46,6,2898.8482466297987,607153340.0,206157.0
깐쪽파,2015,47,6,3384.7092645869975,690708894.0,218721.0
깐쪽파,2015,48,6,4145.790573285746,894448728.0,219890.0
깐쪽파,2015,49,6,3485.665583970622,588189260.0,166470.0
깐쪽파,2015,50,6,3453.767039999275,406303660.0,117480.0
깐쪽파,2015,51,6,4979.253311505044,485911200.0,99705.0
깐쪽파,2015,52,6,4372.554549242849,364572375.0,84340.0
깐쪽파,2015,53,4,5812.601876436427,395478510.0,67988.0
깐쪽파,2016,1,6,5107.516279141214,473696710.0,92680.0
깐쪽파,2016,2,6,4688.420225943569,360576380.0,77009.0
깐쪽파,2016,3,6,6400.8512008822145,473758830.0,74367.0
깐쪽파,2016,4,6,7868.922465185259,526089570.0,74207.0
깐쪽파,2016,5,6,9512.712000337258,1235751880.0,130484.0
깐쪽파,2016,6,3,12828.379640838044,339129335.0,26869.0
깐쪽파,2016,7,6,7842.739350282362,614156700.0,80742.0
깐쪽파,2016,8,7,5935.938127656783,522011950.0,87406.0
깐쪽파,2016,9,6,6681.879706469431,611269050.0,91302.0
깐쪽파,2016,10,6,3408.479665314065,498574050.0,145532.0
깐쪽파,2016,11,6,4320.302931291974,473078720.0,111922.0
깐쪽파,2016,12,6,3612.7747852566786,469026060.0,131158.0
