연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,1404.6009310857712,166561242.0,119104.0
2015,28,6,1312.743135469147,204803198.0,158360.0
2015,29,6,1502.7618390777304,195569166.0,134814.0
2015,30,6,1819.6800456567908,243174081.0,133576.0
2015,31,6,2314.8367136766956,265791791.0,116212.0
2015,32,6,5182.533812488148,631970873.0,125515.0
2015,33,6,3085.3988561044976,398427727.0,128058.0
2015,34,6,1816.12408595683,247884191.0,138010.0
2015,35,6,1314.3493601719338,181933103.0,137960.0
2015,36,6,1582.8333719055227,224149535.0,142598.0
2015,37,6,1386.3149987252955,194479015.0,141049.0
2015,38,6,1666.0950040587377,223083741.0,135352.0
2015,39,6,897.0587599311716,135006124.0,144108.0
2015,40,4,1089.052029270674,120748752.0,112468.0
2015,41,6,1183.3472546181345,143667102.0,125302.0
2015,42,6,2095.374387722924,250869831.0,120698.0
2015,43,6,1246.5365700482866,164140616.0,130378.0
2015,44,6,1354.224652396185,166785333.0,123320.0
2015,45,6,2359.4463249697574,270115453.0,114444.0
2015,46,6,1555.1331522729788,194283923.0,124760.0
2015,47,6,1305.5862040269205,149332736.0,114088.0
2015,48,6,1783.9668251265773,208265255.0,116720.0
2015,49,6,3350.232086730945,335481394.0,100762.0
2015,50,6,5238.286206424894,551887624.0,106662.0
2015,51,6,6149.1731534578585,691193562.0,112529.0
2015,52,6,5117.0294122992045,589764137.0,115300.0
2015,53,4,5161.7980374981225,467352253.0,90734.0
2016,1,6,3360.6321222851707,458234608.0,127620.0
2016,2,6,2131.1419113169354,223187763.0,105044.0
2016,3,6,2594.9003209235266,268441199.0,105353.0
2016,4,6,2269.713205888804,234531064.0,102638.0
2016,5,6,3180.5921273891126,369121903.0,120692.0
2016,6,3,1873.0667878542738,145722966.0,76673.0
2016,7,6,1199.6163297289238,163741484.0,136086.0
2016,8,7,1758.8939984715548,260540659.0,146752.0
2016,9,6,1856.428394613793,252133307.0,136429.0
2016,10,6,1381.2226430159083,193651702.0,139824.0
2016,11,6,1609.7117736292066,216443180.0,136183.0
2016,12,6,1569.9301275463579,228142575.0,148074.0
2016,13,6,1236.2630747499727,186129456.0,150262.0
2016,14,6,1049.1087933697797,170680372.0,160288.0
2016,15,6,1102.2493291502701,168501659.0,154661.0
2016,16,6,1265.2868628890144,180657444.0,143243.0
2016,17,6,1326.6407878267094,207640325.0,156057.0
2016,18,6,1484.18902935058,224586366.0,152444.0
2016,19,6,1945.2497146262085,320151363.0,163135.0
2016,20,6,1770.3670883020784,254070967.0,144478.0
