품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
단호박,2015,27,5,1111.7760572175023,203900000.0,184391.0
단호박,2015,28,6,1052.9551075366396,430506300.0,408286.0
단호박,2015,29,6,911.145757572914,392323100.0,431745.0
단호박,2015,30,6,905.0074905823553,425744800.0,469034.0
단호박,2015,31,6,799.8640110240385,319874600.0,388290.0
단호박,2015,32,6,854.2170783654923,401804400.0,470701.0
단호박,2015,33,6,847.6101428736675,394607000.0,465862.0
단호박,2015,34,6,812.0944266601413,362479500.0,447401.0
단호박,2015,35,6,875.3522576061459,467939900.0,535329.0
단호박,2015,36,6,883.1887295581901,457022500.0,516459.0
단호박,2015,37,6,952.0848901037656,489747600.0,513650.0
단호박,2015,38,6,860.0636708486905,465260100.0,536315.0
단호박,2015,39,6,867.8956189208014,242575400.0,279589.0
단호박,2015,40,4,955.7120529592578,263004800.0,272542.0
단호박,2015,41,6,881.0563189803629,394358500.0,444880.0
단호박,2015,42,6,856.8710808922862,365476300.0,425915.0
단호박,2015,43,6,835.5113964696856,329601400.0,391493.0
단호박,2015,44,6,830.3050733111439,333140200.0,399076.0
단호박,2015,45,6,881.4929071001238,358821600.0,403303.0
단호박,2015,46,6,828.6370100391073,350855800.0,419868.0
단호박,2015,47,6,769.0559477979992,290171300.0,380456.0
단호박,2015,48,6,828.6738354201622,283192300.0,340525.0
단호박,2015,49,6,816.0836715628822,305316200.0,376423.0
단호박,2015,50,6,754.5101525790398,326685400.0,431191.0
단호박,2015,51,6,744.8457137124575,281571200.0,387989.0
단호박,2015,52,6,754.5872743703268,261607800.0,345105.0
단호박,2015,53,4,708.8627756559006,135888600.0,191344.0
단호박,2016,1,6,725.5355182587388,317800200.0,430056.0
단호박,2016,2,6,664.2083086982744,220982800.0,334054.0
단호박,2016,3,6,693.76922149127,157988500.0,232619.0
단호박,2016,4,6,773.378440197936,293462400.0,381172.0
단호박,2016,5,6,607.7995704844329,173988500.0,276484.0
단호박,2016,6,3,722.9102454179115,95025500.0,131660.0
단호박,2016,7,6,669.2278909530052,129972200.0,193690.0
단호박,2016,8,7,668.6068666084328,130641700.0,190690.0
단호박,2016,9,6,719.2890677532964,116142100.0,156153.0
단호박,2016,10,6,712.2913968867496,73321800.0,109767.0
단호박,2016,11,6,744.5860734388493,52692300.0,64275.0
단호박,2016,12,6,711.8120352665883,45904600.0,64133.0
단호박,2016,13,5,894.2455480401571,60486300.0,71578.0
단호박,2016,14,5,1028.2589801151928,29606000.0,35452.0
단호박,2016,15,3,868.0230647075665,8865200.0,12110.0
단호박,2016,16,4,434.3440078330337,6904300.0,15242.0
단호박,2016,17,4,524.3227471635975,29081500.0,32474.0
단호박,2016,18,2,979.319686935581,22326500.0,15155.0
단호박,2016,19,2,231.24221668742217,246200.0,1024.0
단호박,2016,20,4,508.89995920237857,13005700.0,15130.0
단호박,2016,22,3,941.6666666666666,21872200.0,16516.0
단호박,2016,23,2,521.1212840943916,3175800.0,6606.0
단호박,2016,24,2,2627.752250997865,2513500.0,1076.0
단호박,2016,25,5,1584.5723955528417,21216000.0,14568.0
단호박,2016,26,6,998.537089711879,128669800.0,128458.0
단호박,2016,27,6,864.4998668336825,133565900.0,152924.0
단호박,2016,28,6,939.9789207071358,291443900.0,311026.0
단호박,2016,29,6,904.3655061434166,293406600.0,324772.0
단호박,2016,30,6,783.621194099042,342679600.0,433323.0
단호박,2016,31,6,798.95885826431,277882300.0,338591.0
단호박,2016,32,6,791.2763811622898,274740700.0,348393.0
단호박,2016,33,6,848.4779191733484,324673900.0,383178.0
단호박,2016,34,6,856.9702744920569,368253100.0,429145.0
단호박,2016,35,6,1059.3142475477014,532604200.0,498618.0
단호박,2016,36,6,931.4067610940509,419711400.0,450644.0
단호박,2016,37,3,1017.4385431941624,108903200.0,106781.0
단호박,2016,38,6,1163.1935952430574,475802300.0,409715.0
단호박,2016,39,6,1103.9087563221963,453856600.0,407666.0
단호박,2016,40,6,1212.641204155471,440740300.0,361281.0
단호박,2016,41,6,1270.1205334510432,470503800.0,371168.0
단호박,2016,42,6,1583.6480848247627,488109800.0,312637.0
단호박,2016,43,6,1711.242459696241,547919700.0,320171.0
단호박,2016,44,6,1628.8376214620414,576876300.0,355412.0
단호박,2016,45,6,1386.8964068960624,338243900.0,246907.0
단호박,2016,46,6,1436.094033771299,340753200.0,234022.0
단호박,2016,47,6,1303.6288838151784,288462100.0,222426.0
단호박,2016,48,6,1282.6626917501274,271297000.0,210664.0
단호박,2016,49,6,1379.77632540379,306682500.0,223304.0
단호박,2016,50,6,1441.9875554764876,271643200.0,191840.0
단호박,2016,51,6,1452.9652456533838,367217400.0,250539.0
단호박,2016,52,6,1408.8489783457192,307262200.0,217612.0
단호박,2017,1,5,1565.7790391004264,239507600.0,153905.0
단호박,2017,2,6,1636.6039600123415,404807800.0,248712.0
단호박,2017,3,6,1758.7893437427458,510070600.0,286378.0
단호박,2017,4,4,1668.616505051044,142659000.0,84241.0
단호박,2017,5,4,2221.5394430671595,67111500.0,29242.0
단호박,2017,6,6,1692.3740373270966,46061000.0,20928.0
단호박,2017,7,5,2100.886833146348,46039100.0,22638.0
단호박,2017,8,4,1917.0319207881867,24618600.0,11722.0
단호박,2017,9,3,1577.8877697326518,35710600.0,24528.0
단호박,2017,10,3,1763.754007892465,8967500.0,5900.0
단호박,2017,11,1,820.7420924574209,2698600.0,3288.0
단호박,2017,13,2,1250.7389162561576,32699000.0,20510.0
단호박,2017,14,3,813.360514914877,14988600.0,16978.0
단호박,2017,15,6,1153.922155945635,4328000.0,5682.0
단호박,2017,16,4,1110.6009303449619,49755500.0,34716.0
단호박,2017,17,5,1755.655577299413,375600.0,334.0
단호박,2017,18,6,1649.7685185185185,22788000.0,15196.0
단호박,2017,19,4,870.7604893751837,27856800.0,58252.0
단호박,2017,20,5,1431.0789663042374,4833500.0,5123.0
단호박,2017,21,6,1473.686662463305,5339600.0,5259.0
단호박,2017,22,5,1611.4285714285713,11004000.0,9149.0
단호박,2017,23,5,1714.2857142857142,120000.0,70.0
단호박,2017,24,5,1618.1246066708622,656000.0,510.0
단호박,2017,25,6,1996.281063960864,40804700.0,27012.0
단호박,2017,26,6,1214.201289818907,190405200.0,163119.0
단호박,2017,27,6,1117.9341059628066,229457900.0,206655.0
단호박,2017,28,6,1143.5905799449881,383473500.0,335174.0
단호박,2017,29,6,1070.606586743237,338014400.0,316678.0
단호박,2017,30,6,1078.4863970416723,404965100.0,374922.0
단호박,2017,31,6,1027.6316646713442,372015600.0,327535.0
단호박,2017,32,6,1148.718397714583,470549180.0,411730.0
단호박,2017,33,6,1142.3654709792684,447727740.0,392050.0
단호박,2017,34,6,1298.3135474009814,505951400.0,390556.0
단호박,2017,35,6,1375.4148465614064,550458700.0,402096.0
단호박,2017,36,6,1654.6057121309511,571507900.0,349250.0
단호박,2017,37,6,1821.2460020424194,697189900.0,380435.0
단호박,2017,38,6,1561.516713845229,531432000.0,340149.0
단호박,2017,39,6,1476.43527849981,376024800.0,257637.0
단호박,2017,40,3,1813.8250711781739,138255100.0,80897.0
단호박,2017,41,6,1854.9444838246457,697622100.0,375531.0
단호박,2017,42,6,1733.9644734784852,499636600.0,288720.0
단호박,2017,43,6,1620.3195165687564,397477100.0,240677.0
단호박,2017,44,6,1418.8819096779798,326319900.0,231477.0
단호박,2017,45,6,1262.4122727592924,276629300.0,217123.0
단호박,2017,46,6,1094.0045137382208,206878018.0,180379.0
단호박,2017,47,6,1081.6903791545258,201311600.0,185669.0
단호박,2017,48,6,1112.2380335833006,144400300.0,121613.0
단호박,2017,49,6,1101.92766241616,191059600.0,169626.0
단호박,2017,50,6,1085.0704102927311,161182200.0,146469.0
단호박,2017,51,6,1086.2917958559144,238842194.0,224814.0
단호박,2017,52,6,1015.164408271221,182241000.0,187942.0
단호박,2018,1,5,1509.6899158325384,233945880.0,178374.0
단호박,2018,2,6,989.3330951846311,191842400.0,189751.0
단호박,2018,3,6,1001.0989556659473,229347300.0,232135.0
단호박,2018,4,6,1125.5704252361982,83042400.0,94094.0
단호박,2018,5,6,1225.5386611594995,172716700.0,137435.0
단호박,2018,6,6,1090.9768490693396,76522600.0,71040.0
단호박,2018,7,2,1215.3459212419807,20725900.0,19706.0
단호박,2018,8,5,984.3444995880396,65837800.0,62338.0
단호박,2018,9,6,979.7216826047375,58208000.0,55897.0
단호박,2018,10,5,965.3609160802031,40511300.0,40910.0
단호박,2018,11,6,1158.169051678591,49729900.0,43072.0
단호박,2018,12,4,890.0706825550659,17093100.0,20414.0
단호박,2018,13,5,974.8571972158888,35812000.0,36766.0
단호박,2018,14,2,741.7605460082888,24301600.0,24404.0
단호박,2018,15,3,1288.833052576091,8401700.0,6345.0
단호박,2018,16,1,238.57142857142858,150300.0,630.0
단호박,2018,17,1,100.0,2000000.0,20000.0
단호박,2018,18,1,1033.095238095238,21695000.0,21000.0
단호박,2018,19,1,100.0,500000.0,5000.0
단호박,2018,20,1,100.0,500000.0,5000.0
단호박,2018,22,4,3689.1156876375853,39269400.0,32892.0
단호박,2018,23,1,12000.0,3000000.0,250.0
단호박,2018,24,1,2425.0,485000.0,200.0
단호박,2018,25,3,1267.4603174603174,9262500.0,7750.0
단호박,2018,26,6,1296.1043265151454,124977100.0,95525.0
단호박,2018,27,6,1230.392276205013,232330600.0,189589.0
단호박,2018,28,6,1246.0774048424325,371754400.0,303848.0
단호박,2018,29,6,1095.0428263747515,370967300.0,339031.0
단호박,2018,30,6,937.9499970486804,281654800.0,301308.0
단호박,2018,31,5,1033.4712571773944,232454500.0,227294.0
단호박,2018,32,6,1191.0131814085182,388036200.0,329242.0
단호박,2018,33,6,1306.0471975347325,478394000.0,364637.0
단호박,2018,34,6,1416.8837244761833,424371500.0,301604.0
단호박,2018,35,6,1442.5367948625062,602755600.0,412403.0
단호박,2018,36,6,1451.7801602075017,513739800.0,355261.0
단호박,2018,37,6,1541.4042412060053,475876600.0,310646.0
단호박,2018,38,6,1318.9172391832453,423556700.0,312408.0
단호박,2018,39,3,1790.166955509164,211057100.0,117781.0
단호박,2018,40,6,1626.4259608894483,609691700.0,370412.0
단호박,2018,41,6,1568.2333527169424,431939300.0,278217.0
단호박,2018,42,6,1706.3171199764338,470112200.0,273998.0
단호박,2018,43,6,1606.0035248441338,476380100.0,293507.0
단호박,2018,44,6,1663.3253005869153,434512100.0,274267.0
단호박,2018,45,6,1548.6598059832968,414904500.0,262796.0
단호박,2018,46,6,1422.9215833973146,321587800.0,223872.0
단호박,2018,47,6,1434.2363029217602,295055800.0,204187.0
단호박,2018,48,6,1358.1582249163307,290199180.0,215446.0
단호박,2018,49,6,1523.5211701899862,270951340.0,172099.0
단호박,2018,50,6,1641.3448021964612,397742500.0,244013.0
단호박,2018,51,6,1682.2810592669214,336349700.0,201569.0
단호박,2018,52,6,1828.342691943324,235477400.0,139594.0
단호박,2019,1,5,2140.2190911099715,326107400.0,161164.0
단호박,2019,2,6,2727.7540528495906,386019800.0,140913.0
단호박,2019,3,6,2574.692129606886,305375600.0,119118.0
단호박,2019,4,5,2685.216515648471,105311600.0,43625.0
단호박,2019,5,6,4638.0818897867985,141830100.0,51637.0
단호박,2019,6,1,4900.0,49000.0,10.0
단호박,2019,7,5,3242.3977955980517,18992000.0,7554.0
단호박,2019,8,4,1888.7005594622005,54165000.0,32012.0
단호박,2019,9,3,2121.832235603526,57175500.0,34262.0
단호박,2019,10,1,1023.8095238095239,10750000.0,10500.0
단호박,2019,13,1,1020.0,102000.0,100.0
단호박,2019,15,1,1400.0,2800.0,2.0
단호박,2019,16,3,1506.6666666666667,93400.0,61.0
단호박,2019,17,1,1750.0,4550000.0,2600.0
단호박,2019,18,1,1720.0,25800000.0,15000.0
단호박,2019,22,2,2413.5714285714284,30983000.0,17800.0
단호박,2019,24,3,2820.58666007498,20295000.0,9790.0
단호박,2019,25,5,4624.182913337909,17002000.0,3588.0
단호박,2019,26,6,1562.1322197189368,89407200.0,58083.0
단호박,2019,27,6,1230.8963402797142,273571500.0,227837.0
단호박,2019,28,6,1082.1449878852907,313658000.0,292007.0
단호박,2019,29,6,1061.554746844022,366479700.0,343886.0
단호박,2019,30,6,1106.6813531524397,339280100.0,308159.0
단호박,2019,31,5,1070.4011557286071,329583700.0,304355.0
단호박,2019,32,6,1056.4355530369305,394464100.0,370983.0
단호박,2019,33,6,971.6041019969563,338969900.0,351822.0
단호박,2019,34,6,986.9448698303075,406293400.0,406818.0
단호박,2019,35,6,967.2746393563257,432438200.0,446472.0
단호박,2019,36,6,921.367740145657,383647600.0,411109.0
단호박,2019,37,4,875.5887728316959,177189400.0,188748.0
단호박,2019,38,6,971.6655093614385,396456800.0,410336.0
단호박,2019,39,6,986.1403925380287,364611300.0,369664.0
단호박,2019,40,6,950.0396038104542,407248400.0,426841.0
