품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
대추방울,2015,27,5,1935.2664489199383,941875000.0,487753.0
대추방울,2015,28,6,2218.925624342501,1107211000.0,499730.0
대추방울,2015,29,6,2492.4578498130713,997127500.0,399971.0
대추방울,2015,30,6,2157.320857608382,838425000.0,384842.0
대추방울,2015,31,6,2121.6147109607687,604305500.0,269654.0
대추방울,2015,32,6,2142.2321392159006,613723000.0,284525.0
대추방울,2015,33,6,2157.366892941129,622693000.0,287639.0
대추방울,2015,34,6,2492.673283318532,606686500.0,243076.0
대추방울,2015,35,6,2763.668898261361,671399000.0,243480.0
대추방울,2015,36,6,3234.207945922575,711565500.0,220097.0
대추방울,2015,37,6,3105.605710769527,716289000.0,230524.0
대추방울,2015,38,6,3904.886103151144,795433000.0,203746.0
대추방울,2015,39,6,2951.910141737187,577316000.0,189375.0
대추방울,2015,40,4,2599.4238623719484,386269000.0,148727.0
대추방울,2015,41,6,2682.017866660226,599612000.0,223476.0
대추방울,2015,42,6,2397.078721584499,511384500.0,213327.0
대추방울,2015,43,6,2491.13384818457,529522500.0,213223.0
대추방울,2015,44,6,2244.755594930803,475439500.0,212171.0
대추방울,2015,45,6,2130.8672414555353,367379000.0,172704.0
대추방울,2015,46,6,2428.462108310743,370836500.0,152603.0
대추방울,2015,47,6,2295.9725353265594,360653000.0,157281.0
대추방울,2015,48,6,2201.922567310992,336117000.0,153032.0
대추방울,2015,49,6,2499.3270624983593,299828500.0,120482.0
대추방울,2015,50,6,2855.3034796813845,362689000.0,127368.0
대추방울,2015,51,6,3320.3390603052253,411812000.0,124228.0
대추방울,2015,52,6,3089.552214256188,402565000.0,130437.0
대추방울,2015,53,4,3122.1847296504984,273635500.0,90341.0
대추방울,2016,1,6,4054.3091529218873,488742000.0,122210.0
대추방울,2016,2,6,3919.2760105195575,393111500.0,100816.0
대추방울,2016,3,6,5521.376705298506,470575000.0,86849.0
대추방울,2016,4,6,5509.7080843939975,478823500.0,87029.0
대추방울,2016,5,6,5197.103497544915,463134500.0,89419.0
대추방울,2016,6,3,4887.93206133471,287215500.0,59449.0
대추방울,2016,7,6,4596.265849284969,500317500.0,109803.0
대추방울,2016,8,7,5598.124972500363,658978000.0,117744.0
대추방울,2016,9,6,6436.561474080296,638586500.0,99985.0
대추방울,2016,10,6,6927.076320089228,796607500.0,115431.0
대추방울,2016,11,6,5438.367050187358,720535500.0,132076.0
대추방울,2016,12,6,4624.050832750874,819339500.0,177290.0
대추방울,2016,13,6,4131.461700777865,924364000.0,224342.0
대추방울,2016,14,6,4556.850330140571,981430800.0,216103.0
대추방울,2016,15,6,5031.605290194754,1243925500.0,247020.0
대추방울,2016,16,6,3961.8064325918276,1217502000.0,309657.0
대추방울,2016,17,6,3241.6238709235445,1301761500.0,402603.0
대추방울,2016,18,6,2844.05462874887,1376416000.0,484069.0
