연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,1199.6814620841192,202062350.0,168457.0
2015,28,6,1089.0133557210227,225263150.0,207478.0
2015,29,6,882.67786094864,181084700.0,205316.0
2015,30,6,1200.719266055198,212439500.0,177661.0
2015,31,6,1035.1749214044974,157630550.0,147211.0
2015,32,6,1601.5503009681916,305244825.0,194634.0
2015,33,6,1414.0650167481747,306783000.0,217059.0
2015,34,6,1324.1535786639627,273009125.0,206087.0
2015,35,6,2094.430742767055,442502825.0,213898.0
2015,36,6,2436.1119791273036,485018800.0,200482.0
2015,37,6,2706.759170036096,582658550.0,215834.0
2015,38,6,2493.033383205363,601068350.0,238588.0
2015,39,6,1849.4220175797,525023695.0,269538.0
2015,40,4,1600.3378870038248,314181860.0,193165.0
2015,41,6,1239.8780910959392,209253625.0,172505.0
2015,42,6,1482.750405636367,285370700.0,192402.0
2015,43,6,1480.1078144410321,258924050.0,172412.0
2015,44,6,1493.6298931484391,309659050.0,207409.0
2015,45,6,1991.5385450517072,277995027.0,142631.0
2015,46,6,1994.1239530753353,341078215.0,173735.0
2015,47,6,2430.625672881202,356670475.0,145432.0
2015,48,6,2759.500789607982,407609100.0,147049.0
2015,49,6,2628.2245916431243,459207820.0,175671.0
2015,50,6,2755.6672096243365,398849975.0,147594.0
2015,51,6,3232.3081430032757,535244910.0,166558.0
2015,52,6,4278.214802759587,625032325.0,146266.0
2015,53,4,5225.820448239905,524268800.0,103214.0
2016,1,6,4163.0785363359855,931164250.0,219831.0
2016,2,6,4136.244421602377,746737775.0,183117.0
2016,3,6,6255.245332695785,917235855.0,149826.0
2016,4,6,7946.935262898444,1049879895.0,132337.0
2016,5,6,7978.2786992316,1587533375.0,197967.0
2016,6,3,5487.146818897948,524933350.0,93823.0
2016,7,6,4397.28984605096,695107175.0,158010.0
2016,8,7,4819.500093679589,729915050.0,151311.0
2016,9,6,6169.638614434481,909761975.0,147745.0
2016,10,6,4937.699754064627,768483475.0,155799.0
2016,11,6,4695.657801963328,663570875.0,141443.0
2016,12,6,4627.095740255482,774257325.0,167644.0
2016,13,6,4358.204560915062,627501640.0,145600.0
2016,14,6,4407.279690593454,756717500.0,172108.0
2016,15,6,2969.1625465513025,520580525.0,178077.0
2016,16,6,2266.325156536266,374769100.0,165838.0
2016,17,6,2001.1924444206986,376255625.0,186132.0
2016,18,6,1758.2003591732646,299557725.0,169985.0
2016,19,6,1862.7658162894938,369259650.0,197655.0
2016,20,6,1715.8990454272778,329989100.0,192146.0
2016,21,6,1434.1033848667546,274759685.0,189958.0
2016,22,6,1610.7392939062736,299760980.0,185650.0
2016,23,6,2376.633171000786,434673625.0,185583.0
2016,24,6,1776.629363925965,341492135.0,191738.0
2016,25,6,1974.1311676612684,360943640.0,182107.0
2016,26,6,1718.477721843277,356974885.0,204821.0
2016,27,6,1714.7180647741616,332338086.0,192880.0
2016,28,6,1604.2879904848116,279939720.0,175804.0
2016,29,6,1140.4553794141839,224089600.0,192850.0
2016,30,6,1153.4736385050148,195372425.0,169502.0
2016,31,6,1665.9050834480267,279703600.0,166207.0
2016,32,6,1583.3814827615872,309640400.0,194097.0
2016,33,6,1739.5940992316582,382790760.0,219465.0
2016,34,6,2534.6453929500553,536897605.0,211751.0
2016,35,6,3209.521868483549,762294025.0,239185.0
2016,36,6,2470.6134797609675,648225625.0,260679.0
2016,37,3,3140.920361478799,506779030.0,147759.0
2016,38,6,3532.5012488417456,800850025.0,229533.0
2016,39,6,2986.390010233937,643832017.0,215940.0
2016,40,6,2207.571038910605,418068675.0,189032.0
2016,41,6,2391.9735349429625,496883700.0,207605.0
2016,42,6,2370.8551040193784,424772565.0,178150.0
2016,43,6,2802.554297617397,479068450.0,170678.0
2016,44,6,2639.561220702415,410497000.0,157713.0
2016,45,6,3764.834102210285,549281685.0,146570.0
2016,46,6,2851.5182768425257,420419400.0,145852.0
2016,47,6,2462.6744316500412,408720265.0,164261.0
2016,48,6,2264.953088625761,345483300.0,153435.0
