거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,대파(일반),288970.0,297351450.0,,0.0,,0.0,280778.0,2.9,371614197.0,-20.0
2025-06-29,대파(일반),,,247860.0,0.0,410756000.0,0.0,284060.0,0.0,394277193.0,0.0
2025-06-28,대파(일반),263540.0,254057700.0,261240.0,0.9,320425700.0,-20.7,286422.0,-8.0,391585550.0,-35.1
2025-06-27,대파(일반),272150.0,248906400.0,293290.0,-7.2,351702900.0,-29.2,280566.0,-3.0,392419233.0,-36.6
2025-06-26,대파(일반),217330.0,240236400.0,324790.0,-33.1,373276500.0,-35.6,272052.0,-20.1,399031827.0,-39.8
2025-06-25,대파(일반),284250.0,223516100.0,294330.0,-3.4,468705900.0,-52.3,265919.0,6.9,402051920.0,-44.4
2025-06-24,대파(일반),327890.0,260764500.0,232850.0,40.8,511121700.0,-49.0,258214.0,27.0,400665041.0,-34.9
2025-06-23,대파(일반),303410.0,296494550.0,,0.0,,0.0,262731.0,15.5,392327189.0,-24.4
2025-06-22,대파(일반),,,222270.0,0.0,384282400.0,0.0,267370.0,0.0,385079817.0,0.0
2025-06-21,대파(일반),279880.0,285751000.0,223920.0,25.0,336004700.0,-15.0,272928.0,2.5,369508585.0,-22.7
2025-06-20,대파(일반),313280.0,329847750.0,227780.0,37.5,294626500.0,12.0,276125.0,13.5,357583475.0,-7.8
2025-06-19,대파(일반),322370.0,377071950.0,234660.0,37.4,286084300.0,31.8,269343.0,19.7,352456837.0,7.0
2025-06-18,대파(일반),261220.0,351708600.0,283790.0,-8.0,305431900.0,15.2,267719.0,-2.4,351631347.0,0.0
2025-06-17,대파(일반),255950.0,411265250.0,281580.0,-9.1,373784600.0,10.0,265449.0,-3.6,342188740.0,20.2
2025-06-16,대파(일반),246550.0,457890050.0,,0.0,,0.0,272762.0,-9.6,336956980.0,35.9
2025-06-15,대파(일반),,,228400.0,0.0,275711700.0,0.0,273803.0,0.0,343551850.0,0.0
2025-06-14,대파(일반),260090.0,315712850.0,274040.0,-5.1,280035000.0,12.7,281962.0,-7.8,346000217.0,-8.8
2025-06-13,대파(일반),277780.0,273631050.0,234200.0,18.6,273765300.0,0.0,285992.0,-2.9,339857150.0,-19.5
2025-06-12,대파(일반),236940.0,231611300.0,304990.0,-22.3,332296700.0,-30.3,282301.0,-16.1,336244343.0,-31.1
2025-06-11,대파(일반),260662.0,230142100.0,291062.0,-10.4,372855300.0,-38.3,275526.0,-5.4,336283227.0,-31.6
2025-06-10,대파(일반),299090.0,246949900.0,233500.0,28.1,400492300.0,-38.3,280390.0,6.7,339499253.0,-27.3
2025-06-09,대파(일반),348110.0,266003750.0,,0.0,,0.0,287930.0,20.9,339040487.0,-21.5
2025-06-08,대파(일반),,,289400.0,0.0,301092600.0,0.0,294870.0,0.0,341656383.0,0.0
2025-06-07,대파(일반),299000.0,260178200.0,245810.0,21.6,311657400.0,-16.5,296365.0,0.9,351430803.0,-26.0
2025-06-06,대파(일반),336280.0,288542000.0,272240.0,23.5,306913800.0,-6.0,298204.0,12.8,363338750.0,-20.6
2025-06-05,대파(일반),310800.0,314398700.0,321670.0,-3.4,329953700.0,-4.7,296000.0,5.0,379764820.0,-17.2
2025-06-04,대파(일반),279130.0,324733500.0,328450.0,-15.0,387239000.0,-16.1,297900.0,-6.3,390385760.0,-16.8
2025-06-03,대파(일반),330730.0,352665800.0,340070.0,-2.7,486473000.0,-27.5,295507.0,11.9,395972807.0,-10.9
2025-06-02,대파(일반),308750.0,401416200.0,,0.0,,0.0,299737.0,3.0,397526697.0,1.0
2025-06-01,대파(일반),,,249930.0,0.0,407842800.0,0.0,290564.0,0.0,395508363.0,0.0
2025-05-31,대파(일반),264840.0,312680500.0,247480.0,7.0,347897000.0,-10.1,289955.0,-8.7,398331387.0,-21.5
2025-05-30,대파(일반),289360.0,296444500.0,255820.0,13.1,337628100.0,-12.2,285568.0,1.3,407739305.0,-27.3
2025-05-29,대파(일반),287950.0,274799800.0,305480.0,-5.7,370710800.0,-25.9,292670.0,-1.6,414561632.0,-33.7
2025-05-28,대파(일반),296160.0,289450500.0,354760.0,-16.5,480314900.0,-39.7,287021.0,3.2,420567448.0,-31.2
2025-05-27,대파(일반),292950.0,323049300.0,358550.0,-18.3,546574900.0,-40.9,300062.0,-2.4,424841865.0,-24.0
2025-05-26,대파(일반),312140.0,265748800.0,,0.0,,0.0,307455.0,1.5,427293682.0,-37.8
2025-05-25,대파(일반),,,292010.0,0.0,459234600.0,0.0,298861.0,0.0,430895660.0,0.0
2025-05-24,대파(일반),321130.0,235701900.0,266270.0,20.6,415109100.0,-43.2,296373.0,8.4,424448530.0,-44.5
2025-05-23,대파(일반),282120.0,297920550.0,257390.0,9.6,403552200.0,-26.2,297771.0,-5.3,417181721.0,-28.6
2025-05-22,대파(일반),225130.0,239860900.0,262110.0,-14.1,364294600.0,-34.2,298439.0,-24.6,411214352.0,-41.7
2025-05-21,대파(일반),291850.0,218328800.0,334810.0,-12.8,459839400.0,-52.5,302274.0,-3.4,411438349.0,-46.9
