거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,양배추(수입),19470.0,8239000.0,,0.0,,0.0,,0.0,,0.0
2025-06-29,양배추(수입),,,20250.0,0.0,6375000.0,0.0,,0.0,,0.0
2025-06-28,양배추(수입),26250.0,9950000.0,14160.0,85.4,4240000.0,134.7,,0.0,,0.0
2025-06-27,양배추(수입),15750.0,6175000.0,34455.0,-54.3,8864000.0,-30.3,,0.0,,0.0
2025-06-26,양배추(수입),21735.0,8944000.0,17250.0,26.0,4325000.0,106.8,,0.0,,0.0
2025-06-25,양배추(수입),14295.0,5818000.0,30750.0,-53.5,8050000.0,-27.7,,0.0,,0.0
2025-06-24,양배추(수입),27000.0,11200000.0,19500.0,38.5,4900000.0,128.6,,0.0,,0.0
2025-06-23,양배추(수입),10500.0,4200000.0,,0.0,,0.0,,0.0,,0.0
2025-06-22,양배추(수입),,,17250.0,0.0,4600000.0,0.0,,0.0,,0.0
2025-06-21,양배추(수입),5250.0,2100000.0,36840.0,-85.7,8262000.0,-74.6,,0.0,,0.0
2025-06-20,양배추(수입),4500.0,1850000.0,52890.0,-91.5,13917000.0,-86.7,,0.0,,0.0
2025-06-19,양배추(수입),8250.0,3300000.0,29250.0,-71.8,7525000.0,-56.1,,0.0,,0.0
2025-06-18,양배추(수입),18000.0,7550000.0,39750.0,-54.7,11475000.0,-34.2,,0.0,,0.0
2025-06-17,양배추(수입),14250.0,5800000.0,18675.0,-23.7,5227500.0,11.0,,0.0,,0.0
2025-06-16,양배추(수입),24750.0,10100000.0,,0.0,,0.0,,0.0,,0.0
2025-06-15,양배추(수입),,,35250.0,0.0,10150000.0,0.0,,0.0,,0.0
2025-06-14,양배추(수입),16500.0,6100000.0,45750.0,-63.9,12035000.0,-49.3,,0.0,,0.0
2025-06-13,양배추(수입),4500.0,1850000.0,28350.0,-84.1,8385000.0,-77.9,,0.0,,0.0
2025-06-12,양배추(수입),12000.0,4250000.0,31500.0,-61.9,10350000.0,-58.9,,0.0,,0.0
2025-06-11,양배추(수입),4500.0,1700000.0,42750.0,-89.5,15400000.0,-89.0,,0.0,,0.0
2025-06-10,양배추(수입),27240.0,10838000.0,48000.0,-43.3,18900000.0,-42.7,,0.0,,0.0
2025-06-09,양배추(수입),27000.0,11350000.0,,0.0,,0.0,,0.0,,0.0
2025-06-08,양배추(수입),,,31500.0,0.0,12400000.0,0.0,,0.0,,0.0
2025-06-07,양배추(수입),1500.0,600000.0,27000.0,-94.4,12200000.0,-95.1,,0.0,,0.0
2025-06-06,양배추(수입),22500.0,9150000.0,60495.0,-62.8,30425500.0,-69.9,,0.0,,0.0
2025-06-05,양배추(수입),11250.0,5000000.0,21000.0,-46.4,9950000.0,-49.7,,0.0,,0.0
2025-06-04,양배추(수입),19320.0,7640000.0,57270.0,-66.3,39680000.0,-80.7,,0.0,,0.0
2025-06-03,양배추(수입),22005.0,9015000.0,60000.0,-63.3,46160000.0,-80.5,,0.0,,0.0
2025-06-02,양배추(수입),14250.0,6800000.0,,0.0,,0.0,,0.0,,0.0
2025-06-01,양배추(수입),,,31500.0,0.0,23790000.0,0.0,,0.0,,0.0
2025-05-31,양배추(수입),30000.0,13000000.0,31875.0,-5.9,30090000.0,-56.8,,0.0,,0.0
2025-05-30,양배추(수입),21000.0,10075000.0,,0.0,-100000.0,-10175.0,,0.0,,0.0
2025-05-29,양배추(수입),12750.0,6650000.0,52200.0,-75.6,56845000.0,-88.3,,0.0,,0.0
2025-05-28,양배추(수입),25500.0,12575000.0,73395.0,-65.3,80671500.0,-84.4,,0.0,,0.0
2025-05-27,양배추(수입),28500.0,13410000.0,32700.0,-12.8,32875000.0,-59.2,,0.0,,0.0
2025-05-26,양배추(수입),24000.0,12500000.0,,0.0,,0.0,,0.0,,0.0
2025-05-25,양배추(수입),,,66045.0,0.0,69970000.0,0.0,,0.0,,0.0
2025-05-24,양배추(수입),18750.0,10250000.0,46500.0,-59.7,49575000.0,-79.3,,0.0,,0.0
2025-05-23,양배추(수입),9750.0,5750000.0,39140.0,-75.1,41856000.0,-86.3,,0.0,,0.0
2025-05-22,양배추(수입),18750.0,11500000.0,25500.0,-26.5,26750000.0,-57.0,,0.0,,0.0
2025-05-21,양배추(수입),51750.0,29025000.0,27075.0,91.1,27605000.0,5.1,,0.0,,0.0
2025-05-20,양배추(수입),51750.0,31700000.0,34500.0,50.0,36400000.0,-12.9,,0.0,,0.0
2025-05-19,양배추(수입),71325.0,47545000.0,,0.0,,0.0,,0.0,,0.0
2025-05-18,양배추(수입),,,22695.0,0.0,23913000.0,0.0,,0.0,,0.0
2025-05-17,양배추(수입),21750.0,14250000.0,16125.0,34.9,15110000.0,-5.7,,0.0,,0.0
2025-05-16,양배추(수입),51170.0,32884000.0,26250.0,94.9,24900000.0,32.1,,0.0,,0.0
2025-05-15,양배추(수입),51750.0,31145000.0,15750.0,228.6,15500000.0,100.9,,0.0,,0.0
2025-05-14,양배추(수입),41580.0,26549000.0,54750.0,-24.1,50100000.0,-47.0,,0.0,,0.0
2025-05-13,양배추(수입),32250.0,17900000.0,42225.0,-23.6,39462500.0,-54.6,13200.0,144.3,8770000.0,104.1
2025-05-12,양배추(수입),113150.0,68687000.0,,0.0,,0.0,,0.0,,0.0
2025-05-11,양배추(수입),,,53870.0,0.0,55262000.0,0.0,,0.0,,0.0
2025-05-10,양배추(수입),91500.0,56650000.0,47250.0,93.7,52705000.0,7.5,,0.0,,0.0
2025-05-09,양배추(수입),86910.0,50500000.0,33585.0,158.8,37407000.0,35.0,,0.0,,0.0
2025-05-08,양배추(수입),79875.0,48890000.0,750.0,10550.0,825000.0,5826.1,,0.0,,0.0
