거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,양상추(수입),14669.0,30157500.0,,0.0,,0.0,5530.0,165.3,8390283.0,259.4
2025-06-29,양상추(수입),,,6150.0,0.0,15292500.0,0.0,5227.0,0.0,8470533.0,0.0
2025-06-28,양상추(수입),8343.0,14527000.0,6555.0,27.3,15343000.0,-5.3,4766.0,75.1,8219200.0,76.7
2025-06-27,양상추(수입),6523.0,9439000.0,6247.0,4.4,12938000.0,-27.0,4470.0,45.9,8270083.0,14.1
2025-06-26,양상추(수입),3630.0,5620000.0,6450.0,-43.7,12570000.0,-55.3,4251.0,-14.6,8006322.0,-29.8
2025-06-25,양상추(수입),6937.0,8956500.0,6450.0,7.6,13095000.0,-31.6,4460.0,55.5,7542450.0,18.7
2025-06-24,양상추(수입),2850.0,3437500.0,2100.0,35.7,7190000.0,-52.2,3958.0,-28.0,6456200.0,-46.8
2025-06-23,양상추(수입),4005.0,5217500.0,,0.0,,0.0,3277.0,22.2,5347100.0,-2.4
2025-06-22,양상추(수입),,,,0.0,,0.0,2995.0,0.0,4614600.0,0.0
2025-06-21,양상추(수입),4499.0,5667500.0,,0.0,,0.0,2800.0,60.7,4494600.0,26.1
2025-06-20,양상추(수입),4075.0,4905000.0,,0.0,,0.0,2563.0,59.0,4275000.0,14.7
2025-06-19,양상추(수입),2250.0,3075000.0,,0.0,,0.0,,0.0,,0.0
2025-06-18,양상추(수입),,,,0.0,,0.0,,0.0,,0.0
2025-06-17,양상추(수입),,,,0.0,,0.0,,0.0,,0.0
2025-06-16,양상추(수입),,,,0.0,,0.0,,0.0,,0.0
2025-06-15,양상추(수입),,,,0.0,,0.0,,0.0,,0.0
2025-06-14,양상추(수입),,,,0.0,,0.0,,0.0,,0.0
2025-06-13,양상추(수입),,,,0.0,,0.0,,0.0,,0.0
2025-06-12,양상추(수입),,,,0.0,,0.0,,0.0,,0.0
