거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,양송이(일반),8412.0,45293800.0,,0.0,,0.0,6905,21.8,53305447,-15.0
2025-06-29,양송이(일반),,,6400.0,0.0,37588500.0,0.0,7297,0.0,55483660,0.0
2025-06-28,양송이(일반),7156.0,35433500.0,7003.0,2.2,39604500.0,-10.5,7410,-3.4,57612327,-38.5
2025-06-27,양송이(일반),6155.0,32309500.0,6926.0,-11.1,43929500.0,-26.5,7261,-15.2,58622817,-44.9
2025-06-26,양송이(일반),7332.0,38224000.0,7516.0,-2.4,54900000.0,-30.4,7143,2.6,57219650,-33.2
2025-06-25,양송이(일반),7473.0,40701400.0,4959.0,50.7,42279000.0,-3.7,6949,7.5,56811447,-28.4
2025-06-24,양송이(일반),6708.0,40604100.0,5926.0,13.2,37657000.0,7.8,6624,1.3,56290280,-27.9
2025-06-23,양송이(일반),7243.0,46919500.0,,0.0,,0.0,6445,12.4,55168612,-15.0
2025-06-22,양송이(일반),,,5572.0,0.0,31729000.0,0.0,6762,0.0,55288392,0.0
2025-06-21,양송이(일반),5652.0,38359900.0,6621.0,-14.6,28203500.0,36.0,7166,-21.1,57392958,-33.2
2025-06-20,양송이(일반),5608.0,40087500.0,7468.0,-24.9,32443500.0,23.6,7363,-23.8,57016198,-29.7
2025-06-19,양송이(일반),5884.0,43649500.0,7435.0,-20.9,36754250.0,18.8,7483,-21.4,55377948,-21.2
2025-06-18,양송이(일반),6189.0,48277000.0,7561.0,-18.1,41644500.0,15.9,7489,-17.4,55538683,-13.1
2025-06-17,양송이(일반),5866.0,48932000.0,9552.0,-38.6,53366000.0,-8.3,7474,-21.5,56854383,-13.9
2025-06-16,양송이(일반),7576.0,63909250.0,,0.0,,0.0,7369,2.8,58307392,9.6
2025-06-15,양송이(일반),,,7300.0,0.0,44665000.0,0.0,7384,0.0,62203855,0.0
2025-06-14,양송이(일반),6626.0,55509500.0,6255.0,5.9,40074100.0,38.5,7456,-11.1,65732725,-15.6
2025-06-13,양송이(일반),5618.0,46368500.0,5642.0,-0.4,37344000.0,24.2,7500,-25.1,66821812,-30.6
2025-06-12,양송이(일반),5838.0,49869700.0,5891.0,-0.9,36440000.0,36.9,7247,-19.4,65228532,-23.5
2025-06-11,양송이(일반),4877.0,46979300.0,7404.0,-34.1,49531500.0,-5.2,7066,-31.0,63785023,-26.3
2025-06-10,양송이(일반),4671.0,39113000.0,8668.0,-46.1,58565750.0,-33.2,7033,-33.6,61360240,-36.3
2025-06-09,양송이(일반),6695.0,48869750.0,,0.0,,0.0,7180,-6.8,60082745,-18.7
2025-06-08,양송이(일반),,,6764.0,0.0,53054500.0,0.0,7225,0.0,59100420,0.0
2025-06-07,양송이(일반),6584.0,48751000.0,5632.0,16.9,39861000.0,22.3,7409,-11.1,60738767,-19.7
2025-06-06,양송이(일반),5405.0,49979000.0,5604.0,-3.6,33819000.0,47.8,7461,-27.6,61241217,-18.4
2025-06-05,양송이(일반),5086.0,39849500.0,6598.0,-22.9,40788500.0,-2.3,7572,-32.8,60843643,-34.5
2025-06-04,양송이(일반),6002.0,40063000.0,7526.0,-20.2,48686000.0,-17.7,7244,-17.1,59079067,-32.2
2025-06-03,양송이(일반),6775.0,40674200.0,7518.0,-9.9,49236700.0,-17.4,7162,-5.4,58876020,-30.9
2025-06-02,양송이(일반),8195.0,50378000.0,,0.0,,0.0,7224,13.4,56289973,-10.5
2025-06-01,양송이(일반),,,6504.0,0.0,35314500.0,0.0,7496,0.0,56436807,0.0
2025-05-31,양송이(일반),6708.0,39282000.0,7071.0,-5.1,38182200.0,2.9,7677,-12.6,56774290,-30.8
2025-05-30,양송이(일반),5269.0,32318400.0,6938.0,-24.1,39252950.0,-17.7,7962,-33.8,57581267,-43.9
2025-05-29,양송이(일반),5581.0,30704500.0,6366.0,-12.3,35862000.0,-14.4,7975,-30.0,58164435,-47.2
2025-05-28,양송이(일반),5799.0,32907850.0,7675.0,-24.4,41986000.0,-21.6,7868,-26.3,57682433,-42.9
2025-05-27,양송이(일반),6731.0,37753750.0,9060.0,-25.7,48160000.0,-21.6,7767,-13.3,56338853,-33.0
2025-05-26,양송이(일반),9742.0,47601700.0,,0.0,,0.0,7679,26.9,55458370,-14.2
2025-05-25,양송이(일반),,,8094.0,0.0,42053000.0,0.0,7757,0.0,56690403,0.0
2025-05-24,양송이(일반),7214.0,36410000.0,7640.0,-5.6,39901000.0,-8.7,7815,-7.7,58093645,-37.3
2025-05-23,양송이(일반),7214.0,36010500.0,8092.0,-10.9,41764500.0,-13.8,7910,-8.8,56570237,-36.3
2025-05-22,양송이(일반),6409.0,30839200.0,8202.0,-21.9,47067000.0,-34.5,7947,-19.4,54994983,-43.9
2025-05-21,양송이(일반),6824.0,30697000.0,8104.0,-15.8,52358500.0,-41.4,7855,-13.1,54362600,-43.5
2025-05-20,양송이(일반),7020.0,32081500.0,8282.0,-15.2,51345500.0,-37.5,7725,-9.1,56452767,-43.2
2025-05-19,양송이(일반),9827.0,47652250.0,,0.0,,0.0,7641,28.6,56053517,-15.0
2025-05-18,양송이(일반),,,7008.0,0.0,46466500.0,0.0,7690,0.0,56514847,0.0
2025-05-17,양송이(일반),7800.0,42801700.0,5764.0,35.3,42274500.0,1.2,8063,-3.3,59879245,-28.5
2025-05-16,양송이(일반),7848.0,44927600.0,6659.0,17.9,43463450.0,3.4,8236,-4.7,62548403,-28.2
2025-05-15,양송이(일반),6336.0,37359800.0,6396.0,-0.9,41153000.0,-9.2,8033,-21.1,60795350,-38.5
2025-05-14,양송이(일반),6619.0,37814150.0,7061.0,-6.3,43404500.0,-12.9,7916,-16.4,58779983,-35.7
2025-05-13,양송이(일반),7108.0,41922900.0,8876.0,-19.9,56748000.0,-26.1,7750,-8.3,58062267,-27.8
2025-05-12,양송이(일반),9573.0,62260250.0,,0.0,,0.0,7933,20.7,58840133,5.8
2025-05-11,양송이(일반),,,6685.0,0.0,41349500.0,0.0,8307,0.0,60916933,0.0
2025-05-10,양송이(일반),5240.0,40327500.0,7764.0,-32.5,47354500.0,-14.8,8451,-38.0,62805840,-35.8
2025-05-09,양송이(일반),6424.0,47750000.0,6096.0,5.4,41734000.0,14.4,8689,-26.1,63831318,-25.2
2025-05-08,양송이(일반),6491.0,51282250.0,6490.0,0.0,43603000.0,17.6,8503,-23.7,63324652,-19.0
2025-05-07,양송이(일반),6522.0,52021650.0,6290.0,3.7,42741750.0,21.7,8115,-19.6,61607628,-15.6
