거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,대추방울,97582.0,256106000.0,,0.0,,0.0,84645.0,15.3,226672983.0,13.0
2025-06-29,대추방울,,,91651.0,0.0,203335000.0,0.0,87445.0,0.0,225468030.0,0.0
2025-06-28,대추방울,93963.0,234165000.0,95880.0,-2.0,229905000.0,1.9,90451.0,3.9,228775257.0,2.4
2025-06-27,대추방울,95612.0,254790100.0,78131.0,22.4,193290000.0,31.8,92661.0,3.2,234405433.0,8.7
2025-06-26,대추방울,80003.0,226706000.0,90615.0,-11.7,217799000.0,4.1,93714.0,-14.6,238679373.0,-5.0
2025-06-25,대추방울,86265.0,246920500.0,98306.0,-12.2,217805000.0,13.4,96873.0,-11.0,238305300.0,3.6
2025-06-24,대추방울,95979.0,278786600.0,109950.0,-12.7,264103000.0,5.6,101143.0,-5.1,240327627.0,16.0
2025-06-23,대추방울,109243.0,339567000.0,,0.0,,0.0,105414.0,3.6,244380607.0,39.0
2025-06-22,대추방울,,,91742.0,0.0,202147000.0,0.0,108231.0,0.0,259738653.0,0.0
2025-06-21,대추방울,84646.0,246181500.0,112938.0,-25.1,265586000.0,-7.3,109714.0,-22.8,275290777.0,-10.6
2025-06-20,대추방울,95426.0,272889500.0,87365.0,9.2,238282500.0,14.5,109199.0,-12.6,281081617.0,-2.9
2025-06-19,대추방울,81996.0,261367400.0,97104.0,-15.6,285973500.0,-8.6,106803.0,-23.2,287709737.0,-9.2
2025-06-18,대추방울,105808.0,347414000.0,87052.0,21.5,267629500.0,29.8,102659.0,3.1,282819960.0,22.8
2025-06-17,대추방울,95316.0,345422000.0,103620.0,-8.0,326638000.0,5.8,100405.0,-5.1,284660193.0,21.3
2025-06-16,대추방울,114557.0,456391500.0,,0.0,,0.0,100213.0,14.3,287268057.0,58.9
2025-06-15,대추방울,,,89409.0,0.0,255683500.0,0.0,101019.0,0.0,298712677.0,0.0
