거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,노랑파프리카,36625.0,90929500.0,,0.0,,0.0,53159.0,-31.1,91662820.0,-0.8
2025-06-29,노랑파프리카,,,74670.0,0.0,130810500.0,0.0,51087.0,0.0,93157643.0,0.0
2025-06-28,노랑파프리카,40560.0,75459500.0,51740.0,-21.6,101448000.0,-25.6,49636.0,-18.3,95534760.0,-21.0
2025-06-27,노랑파프리카,32280.0,58665500.0,60665.0,-46.8,123020500.0,-52.3,49250.0,-34.5,95790843.0,-38.8
2025-06-26,노랑파프리카,68800.0,122314000.0,79675.0,-13.6,159034500.0,-23.1,49924.0,37.8,98264043.0,24.5
2025-06-25,노랑파프리카,69630.0,148541500.0,38960.0,78.7,114616000.0,29.6,50137.0,38.9,98694050.0,50.5
2025-06-24,노랑파프리카,37690.0,88760500.0,42505.0,-11.3,119857000.0,-25.9,50971.0,-26.1,99172050.0,-10.5
2025-06-23,노랑파프리카,70485.0,146415500.0,,0.0,,0.0,50901.0,38.5,97481792.0,50.2
2025-06-22,노랑파프리카,,,52290.0,0.0,131067500.0,0.0,55054.0,0.0,107570555.0,0.0
2025-06-21,노랑파프리카,64325.0,125664000.0,62380.0,3.1,166548500.0,-24.5,55288.0,16.3,114882255.0,9.4
2025-06-20,노랑파프리카,56655.0,129866000.0,53525.0,5.8,151167500.0,-14.1,54588.0,3.8,118899842.0,9.2
2025-06-19,노랑파프리카,66610.0,167442500.0,57015.0,16.8,159690500.0,4.9,51813.0,28.6,118304501.0,41.5
2025-06-18,노랑파프리카,49520.0,150141500.0,47930.0,3.3,144521000.0,3.9,51132.0,-3.2,121744217.0,23.3
2025-06-17,노랑파프리카,43075.0,132360500.0,43050.0,0.1,125591000.0,5.4,48347.0,-10.9,118151470.0,12.0
2025-06-16,노랑파프리카,32355.0,110376500.0,,0.0,,0.0,48252.0,-32.9,115823840.0,-4.7
2025-06-15,노랑파프리카,,,51230.0,0.0,122541000.0,0.0,48421.0,0.0,116988000.0,0.0
2025-06-14,노랑파프리카,72425.0,207213000.0,43245.0,67.5,117856000.0,75.8,49256.0,47.0,120210700.0,72.4
2025-06-13,노랑파프리카,40234.0,155183300.0,52220.0,-23.0,143480500.0,8.2,47059.0,-14.5,118906167.0,30.5
2025-06-12,노랑파프리카,30735.0,136714000.0,45940.0,-33.1,121964500.0,12.1,46738.0,-34.2,121054733.0,12.9
