거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,표고버섯(일반),17466.0,104337000.0,,0.0,,0.0,15783.0,10.7,91092842.0,14.5
2025-06-29,표고버섯(일반),,,12398.0,0.0,64200000.0,0.0,15398.0,0.0,87654442.0,0.0
2025-06-28,표고버섯(일반),16338.0,99625750.0,22697.0,-28.0,123782000.0,-19.5,15940.0,2.5,89117792.0,11.8
2025-06-27,표고버섯(일반),15017.0,91946250.0,15040.0,-0.2,79387250.0,15.8,16869.0,-11.0,97001142.0,-5.2
2025-06-26,표고버섯(일반),12466.0,71571000.0,18179.0,-31.4,101542750.0,-29.5,16816.0,-25.9,100643558.0,-28.9
2025-06-25,표고버섯(일반),10634.0,67006500.0,16694.0,-36.3,103968250.0,-35.6,16097.0,-33.9,97632425.0,-31.4
2025-06-24,표고버섯(일반),16982.0,95358500.0,16646.0,2.0,105342750.0,-9.5,16196.0,4.9,102560763.0,-7.0
2025-06-23,표고버섯(일반),19576.0,126588000.0,,0.0,,0.0,16028.0,22.1,103021288.0,22.9
2025-06-22,표고버섯(일반),,,16797.0,0.0,102547750.0,0.0,15414.0,0.0,98650130.0,0.0
2025-06-21,표고버섯(일반),7926.0,57334250.0,15102.0,-47.5,92067000.0,-37.7,15205.0,-47.9,98577147.0,-41.8
2025-06-20,표고버섯(일반),17329.0,114728250.0,11338.0,52.8,66637750.0,72.2,15015.0,15.4,98060307.0,17.0
2025-06-19,표고버섯(일반),13066.0,71961750.0,17062.0,-23.4,101716500.0,-29.3,14903.0,-12.3,95500417.0,-24.6
2025-06-18,표고버섯(일반),13473.0,76965250.0,15385.0,-12.4,90791000.0,-15.2,14859.0,-9.3,94906790.0,-18.9
2025-06-17,표고버섯(일반),13412.0,94032250.0,21028.0,-36.2,125112500.0,-24.8,14810.0,-9.4,95019540.0,-1.0
2025-06-16,표고버섯(일반),19752.0,116568750.0,,0.0,,0.0,14949.0,32.1,95002933.0,22.7
2025-06-15,표고버섯(일반),,,10315.0,0.0,59892750.0,0.0,15457.0,0.0,96818375.0,0.0
2025-06-14,표고버섯(일반),13484.0,79588380.0,14410.0,-6.4,85237750.0,-6.6,14970.0,-9.9,96041615.0,-17.1
