품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
느타리버섯(일반),2015,27,5,1711.3110946497193,496445350.0,288769.0
느타리버섯(일반),2015,28,6,1703.4798663698618,615213000.0,359614.0
느타리버섯(일반),2015,29,6,1543.0468702446326,535557100.0,347649.0
느타리버섯(일반),2015,30,6,1427.197141103461,495027000.0,346449.0
느타리버섯(일반),2015,31,6,1746.4735926270143,532315850.0,296835.0
느타리버섯(일반),2015,32,6,1594.3011479531613,537995050.0,336221.0
느타리버섯(일반),2015,33,6,1928.9399662492995,621807700.0,322894.0
느타리버섯(일반),2015,34,6,2046.589942023728,671183050.0,327720.0
느타리버섯(일반),2015,35,6,2561.691810380158,833925950.0,325813.0
느타리버섯(일반),2015,36,6,2389.349673984592,825636800.0,344307.0
느타리버섯(일반),2015,37,6,2503.210828041337,881822200.0,352501.0
느타리버섯(일반),2015,38,6,2676.6903237885494,1007675900.0,375969.0
느타리버섯(일반),2015,39,6,3897.9209094899475,2486737500.0,600981.0
느타리버섯(일반),2015,40,4,3036.0667934985627,647186950.0,215668.0
느타리버섯(일반),2015,41,6,2616.9716234842786,773927250.0,300157.0
느타리버섯(일반),2015,42,6,1955.4818315346954,721856450.0,368749.0
느타리버섯(일반),2015,43,6,1865.4582948182904,687412500.0,367140.0
느타리버섯(일반),2015,44,6,1969.1996318177653,713484400.0,362351.0
느타리버섯(일반),2015,45,6,2500.025026073806,837504900.0,337040.0
느타리버섯(일반),2015,46,6,2104.5262335679126,749052150.0,354966.0
느타리버섯(일반),2015,47,6,1824.4621530716267,693895540.0,378851.0
느타리버섯(일반),2015,48,6,1578.4089692282432,613304450.0,388974.0
느타리버섯(일반),2015,49,6,1836.6398673572219,653399850.0,357227.0
느타리버섯(일반),2015,50,6,2214.2321853031112,789598350.0,358539.0
느타리버섯(일반),2015,51,6,2037.441318584144,805444150.0,394253.0
느타리버섯(일반),2015,52,6,2137.6823337757296,770152950.0,362190.0
느타리버섯(일반),2015,53,4,1953.3409968744386,628912750.0,328265.0
느타리버섯(일반),2016,1,6,2079.3317997620557,841942850.0,403644.0
느타리버섯(일반),2016,2,6,2360.58550337967,887861300.0,375400.0
느타리버섯(일반),2016,3,6,2318.3856027627826,882435150.0,377401.0
느타리버섯(일반),2016,4,6,2972.7222447746994,1169370350.0,392967.0
느타리버섯(일반),2016,5,6,4472.707718525877,2649661000.0,593967.0
느타리버섯(일반),2016,6,3,2047.724192554958,431914400.0,206908.0
느타리버섯(일반),2016,7,6,1959.682564415243,721255050.0,365949.0
느타리버섯(일반),2016,8,7,1720.3425646094838,765647450.0,444519.0
느타리버섯(일반),2016,9,6,1817.8913157078161,699555400.0,385022.0
느타리버섯(일반),2016,10,6,2152.291333700514,830167420.0,384943.0
느타리버섯(일반),2016,11,6,2424.062663945991,903126100.0,373355.0
느타리버섯(일반),2016,12,6,2211.1187081382873,847260350.0,381891.0
느타리버섯(일반),2016,13,6,2050.717513941269,775365800.0,378021.0
느타리버섯(일반),2016,14,6,2151.21268978572,795935700.0,370656.0
느타리버섯(일반),2016,15,6,1875.4794066239326,734929050.0,389673.0
느타리버섯(일반),2016,16,6,1697.6337291711743,648441800.0,382014.0
느타리버섯(일반),2016,17,6,1696.5911237125001,630573200.0,372184.0
느타리버섯(일반),2016,18,6,1624.8965417337386,592014500.0,363825.0
느타리버섯(일반),2016,19,6,1923.1756418112775,708052950.0,369911.0
느타리버섯(일반),2016,20,6,1777.9046724604275,652974000.0,365874.0
느타리버섯(일반),2016,21,6,1567.1819259461452,583122300.0,372342.0
느타리버섯(일반),2016,22,6,1475.553493625968,538337650.0,365211.0
느타리버섯(일반),2016,23,6,1451.8329165571222,517692200.0,356657.0
느타리버섯(일반),2016,24,6,1845.6980949031758,618831750.0,336892.0
느타리버섯(일반),2016,25,6,1814.5031533261056,639830150.0,351732.0
느타리버섯(일반),2016,26,6,1572.3797431252253,543803690.0,345726.0
느타리버섯(일반),2016,27,6,1774.5376931584995,604610850.0,341786.0
느타리버섯(일반),2016,28,6,1756.2503908220715,605108090.0,344263.0
느타리버섯(일반),2016,29,6,1626.7042610414494,550994920.0,337861.0
느타리버섯(일반),2016,30,6,1303.5138222396024,430675550.0,330150.0
느타리버섯(일반),2016,31,6,1349.488261437982,408229200.0,301010.0
느타리버섯(일반),2016,32,6,1516.1636150775896,524167710.0,344357.0
느타리버섯(일반),2016,33,6,1809.3135950726949,589920290.0,325910.0
느타리버섯(일반),2016,34,6,1945.96193327908,703387110.0,361225.0
느타리버섯(일반),2016,35,6,3099.872030682541,1142308540.0,370263.0
느타리버섯(일반),2016,36,6,2780.0597514557053,1291909600.0,464489.0
느타리버섯(일반),2016,37,3,3829.8121713220025,1572777600.0,388707.0
느타리버섯(일반),2016,38,6,3104.7414217384776,1011173550.0,332425.0
느타리버섯(일반),2016,39,6,2531.3907248219607,880751940.0,348283.0
느타리버섯(일반),2016,40,6,2207.938799722875,739986300.0,335344.0
느타리버섯(일반),2016,41,6,2684.795851318699,921583450.0,344341.0
느타리버섯(일반),2016,42,6,2847.051602157362,948210000.0,332672.0
느타리버섯(일반),2016,43,6,2537.1387611020764,843927550.0,332510.0
느타리버섯(일반),2016,44,6,3365.1809916714833,1029836320.0,306696.0
느타리버섯(일반),2016,45,6,2818.43564616858,994221300.0,352252.0
