"芭贰老磊","前格疙","馆涝樊","陛咀","傈斥 馆涝樊","傈斥 馆涝樊 刘皑伏(%)","傈斥 陛咀","傈斥 陛咀 刘皑伏(%)","乞斥 馆涝樊","乞斥 馆涝樊 刘皑伏(%)","乞斥 陛咀","乞斥 陛咀 刘皑伏(%)"
"2025-06-30","货价捞(老馆)","74831","173553000",,"0.0",,"0.0","76423","-2.1","142806227","21.5"
"2025-06-29","货价捞(老馆)",,,"83117","0.0","157673100","0.0","76303","0.0","146205857","0.0"
"2025-06-28","货价捞(老馆)","71401","155726500","75995","-6.0","139149900","11.9","76630","-6.8","148395827","4.9"
"2025-06-27","货价捞(老馆)","63424","130652200","71572","-11.4","127305400","2.6","76652","-17.3","144571373","-9.6"
"2025-06-26","货价捞(老馆)","60586","117240600","69992","-13.4","117764300","-0.4","75913","-20.2","142400566","-17.7"
"2025-06-25","货价捞(老馆)","63280","119440700","72772","-13.0","119870250","-0.4","74511","-15.1","139120181","-14.1"
"2025-06-24","货价捞(老馆)","68388","129029500","79080","-13.5","122805500","5.1","73936","-7.5","139167737","-7.3"
"2025-06-23","货价捞(老馆)","73851","141736700",,"0.0",,"0.0","74047","-0.3","139112373","1.9"
"2025-06-22","货价捞(老馆)",,,"76182","0.0","106359400","0.0","74791","0.0","143681793","0.0"
"2025-06-21","货价捞(老馆)","72704","134738900","72173","0.7","96957700","39.0","75092","-3.2","147029683","-8.4"
"2025-06-20","货价捞(老馆)","59601","110227100","68039","-12.4","90763700","21.4","76053","-21.6","148422673","-25.7"
"2025-06-19","货价捞(老馆)","60323","111046000","66049","-8.7","89138200","24.6","74106","-18.6","145349623","-23.6"
"2025-06-18","货价捞(老馆)","67814","130458900","75656","-10.4","103491400","26.1","73754","-8.1","144207191","-9.5"
"2025-06-17","货价捞(老馆)","68959","137759000","81350","-15.2","113685800","21.2","73884","-6.7","143921541","-4.3"
"2025-06-16","货价捞(老馆)","77073","157945300",,"0.0",,"0.0","74608","3.3","146211583","8.0"
"2025-06-15","货价捞(老馆)",,,"84532","0.0","111970800","0.0","75880","0.0","150921933","0.0"
"2025-06-14","货价捞(老馆)","71347","144074400","79197","-9.9","103938000","38.6","77216","-7.6","157235475","-8.4"
"2025-06-13","货价捞(老馆)","66279","131157900","74618","-11.2","99173200","32.3","77029","-14.0","160583269","-18.3"
"2025-06-12","货价捞(老馆)","63950","131291100","74592","-14.3","107724300","21.9","77929","-17.9","161947196","-18.9"
"2025-06-11","货价捞(老馆)","68775","147106700","80206","-14.3","126818800","16.0","78382","-12.3","164387770","-10.5"
"2025-06-10","货价捞(老馆)","74142","162945500","93897","-21.0","156060000","4.4","77406","-4.2","165102713","-1.3"
"2025-06-09","货价捞(老馆)","77319","180345800",,"0.0",,"0.0","76445","1.1","165251853","9.1"
"2025-06-08","货价捞(老馆)",,,"80737","0.0","131826800","0.0","76351","0.0","166517537","0.0"
"2025-06-07","货价捞(老馆)","77613","180378800","76137","1.9","116379400","55.0","76636","1.3","169813950","6.2"
"2025-06-06","货价捞(老馆)","67550","159813100","76109","-11.2","110801900","44.2","75996","-11.1","168600793","-5.2"
"2025-06-05","货价捞(老馆)","63269","149479500","74035","-14.5","115454800","29.5","76025","-16.8","165306267","-9.6"
"2025-06-04","货价捞(老馆)","63871","145023100","73990","-13.7","122911000","18.0","75890","-15.8","163614887","-11.4"
"2025-06-03","货价捞(老馆)","73371","166195500","83677","-12.3","138012100","20.4","75865","-3.3","166582677","-0.2"
"2025-06-02","货价捞(老馆)","75149","181367700",,"0.0",,"0.0","76213","-1.4","168661883","7.5"
"2025-06-01","货价捞(老馆)",,,"87577","0.0","136396200","0.0","76236","0.0","172608830","0.0"
"2025-05-31","货价捞(老馆)","73226","175757800","74128","-1.2","122861100","43.1","76907","-4.8","178729137","-1.7"
"2025-05-30","货价捞(老馆)","63505","143353500","71894","-11.7","121355500","18.1","77613","-18.2","179090303","-20.0"
"2025-05-29","货价捞(老馆)","64741","142259000","72400","-10.6","127107300","11.9","76192","-15.0","175691730","-19.0"
"2025-05-28","货价捞(老馆)","71509","155084700","85281","-16.1","154977300","0.1","76040","-6.0","171745537","-9.7"
