거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%),연도,월,weekday,is_sunday,주차
2025-06-30,깻잎(일반),46277.0,249722150.0,,0.0,,0.0,31226.0,48.2,120298817.0,107.6,2025,6,0,False,27
2025-06-29,깻잎(일반),,,38297.0,0.0,161369250.0,0.0,31373.0,0.0,123381903.0,0.0,2025,6,6,True,26
2025-06-28,깻잎(일반),32303.0,172404450.0,35893.0,-10.0,139925200.0,23.2,31885.0,1.3,125960768.0,36.9,2025,6,5,False,26
2025-06-27,깻잎(일반),30775.0,145057600.0,35597.0,-13.5,110208500.0,31.6,31064.0,-0.9,124264047.0,16.7,2025,6,4,False,26
2025-06-26,깻잎(일반),30141.0,130856500.0,37495.0,-19.6,113178500.0,15.6,30729.0,-1.9,123281557.0,6.1,2025,6,3,False,26
2025-06-25,깻잎(일반),34137.0,145314700.0,38241.0,-10.7,125941500.0,15.4,30257.0,12.8,120890743.0,20.2,2025,6,2,False,26
2025-06-24,깻잎(일반),34889.0,141724500.0,50791.0,-31.3,184761050.0,-23.3,30080.0,16.0,119451821.0,18.6,2025,6,1,False,26
2025-06-23,깻잎(일반),44542.0,214132400.0,,0.0,,0.0,30532.0,45.9,119430687.0,79.3,2025,6,0,False,26
2025-06-22,깻잎(일반),,,36896.0,0.0,142064750.0,0.0,30614.0,0.0,124672477.0,0.0,2025,6,6,True,25
2025-06-21,깻잎(일반),33914.0,149032500.0,33103.0,2.4,122092400.0,22.1,30467.0,11.3,123414520.0,20.8,2025,6,5,False,25
2025-06-20,깻잎(일반),33277.0,135020000.0,32276.0,3.1,117214600.0,15.2,29853.0,11.5,121794490.0,10.9,2025,6,4,False,25
2025-06-19,깻잎(일반),34440.0,122262700.0,36266.0,-5.0,129614900.0,-5.7,29733.0,15.8,119026712.0,2.7,2025,6,3,False,25
2025-06-18,깻잎(일반),36904.0,137158400.0,36051.0,2.4,121283000.0,13.1,29473.0,25.2,116279633.0,18.0,2025,6,2,False,25
2025-06-17,깻잎(일반),36449.0,151026300.0,47150.0,-22.7,161698500.0,-6.6,30169.0,20.8,113632107.0,32.9,2025,6,1,False,25
2025-06-16,깻잎(일반),47076.0,224280950.0,,0.0,,0.0,31403.0,49.9,113529463.0,97.6,2025,6,0,False,25
2025-06-15,깻잎(일반),,,37118.0,0.0,122194700.0,0.0,31904.0,0.0,120136413.0,0.0,2025,6,6,True,24
2025-06-14,깻잎(일반),35727.0,153533350.0,32629.0,9.5,118917700.0,29.1,31817.0,12.3,122537847.0,25.3,2025,6,5,False,24
2025-06-13,깻잎(일반),34162.0,150829200.0,35484.0,-3.7,120272400.0,25.4,31129.0,9.7,123738403.0,21.9,2025,6,4,False,24
2025-06-12,깻잎(일반),34172.0,158602250.0,35642.0,-4.1,127342800.0,24.5,31134.0,9.8,125548357.0,26.3,2025,6,3,False,24
2025-06-11,깻잎(일반),34322.0,175883100.0,35680.0,-3.8,129400700.0,35.9,30549.0,12.4,127335166.0,38.1,2025,6,2,False,24
2025-06-10,깻잎(일반),32797.0,160768750.0,50247.0,-34.7,208586700.0,-22.9,30768.0,6.6,124873395.0,28.7,2025,6,1,False,24
2025-06-09,깻잎(일반),45315.0,233955400.0,,0.0,,0.0,31642.0,43.2,125715815.0,86.1,2025,6,0,False,24
2025-06-08,깻잎(일반),,,37032.0,0.0,163817250.0,0.0,31690.0,0.0,134662820.0,0.0,2025,6,6,True,23
2025-06-07,깻잎(일반),35398.0,205818350.0,32731.0,8.1,138077750.0,49.1,32212.0,9.9,139504713.0,47.5,2025,6,5,False,23
2025-06-06,깻잎(일반),32569.0,183204600.0,35816.0,-9.1,144738300.0,26.6,31494.0,3.4,144214061.0,27.0,2025,6,4,False,23
2025-06-05,깻잎(일반),33049.0,194103750.0,35412.0,-6.7,158949750.0,22.1,31227.0,5.8,150307935.0,29.1,2025,6,3,False,23
2025-06-04,깻잎(일반),32171.0,182058000.0,35566.0,-9.5,165098800.0,10.3,29611.0,8.6,151645952.0,20.1,2025,6,2,False,23
2025-06-03,깻잎(일반),30537.0,165573600.0,46842.0,-34.8,211207800.0,-21.6,29259.0,4.4,145515677.0,13.8,2025,6,1,False,23
2025-06-02,깻잎(일반),46753.0,233903000.0,,0.0,,0.0,29306.0,59.5,140542582.0,66.4,2025,6,0,False,23
2025-06-01,깻잎(일반),,,34126.0,0.0,165103700.0,0.0,29308.0,0.0,142052112.0,0.0,2025,6,6,True,22
2025-05-31,깻잎(일반),35267.0,204521500.0,31486.0,12.0,141792100.0,44.2,29411.0,19.9,141254635.0,44.8,2025,5,5,False,22
2025-05-30,깻잎(일반),31747.0,206233250.0,34541.0,-8.1,143444800.0,43.8,28785.0,10.3,140744392.0,46.5,2025,5,4,False,22
2025-05-29,깻잎(일반),28355.0,198467250.0,37743.0,-24.9,168128000.0,18.0,29086.0,-2.5,141296035.0,40.5,2025,5,3,False,22
2025-05-28,깻잎(일반),30603.0,216540000.0,33284.0,-8.1,159918400.0,35.4,29551.0,3.6,144268415.0,50.1,2025,5,2,False,22
2025-05-27,깻잎(일반),30099.0,193281000.0,46821.0,-35.7,224837750.0,-14.0,29570.0,1.8,147733105.0,30.8,2025,5,1,False,22
2025-05-26,깻잎(일반),42568.0,222693000.0,,0.0,,0.0,28964.0,47.0,146413343.0,52.1,2025,5,0,False,22
2025-05-25,깻잎(일반),,,39349.0,0.0,202454800.0,0.0,28631.0,0.0,147391820.0,0.0,2025,5,6,True,21
2025-05-24,깻잎(일반),33283.0,148234500.0,34864.0,-4.5,199066800.0,-25.5,29013.0,14.7,155592338.0,-4.7,2025,5,5,False,21
2025-05-23,깻잎(일반),30612.0,136035700.0,31754.0,-3.6,181883000.0,-25.2,28118.0,8.9,154020603.0,-11.7,2025,5,4,False,21
2025-05-22,깻잎(일반),30246.0,129614000.0,32756.0,-7.7,192512250.0,-32.7,27527.0,9.9,153166783.0,-15.4,2025,5,3,False,21
2025-05-21,깻잎(일반),32375.0,157045750.0,31009.0,4.4,181363300.0,-13.4,27214.0,19.0,150763480.0,4.2,2025,5,2,False,21
2025-05-20,깻잎(일반),34233.0,172620000.0,44496.0,-23.1,250056000.0,-31.0,28487.0,20.2,151755250.0,13.7,2025,5,1,False,21
2025-05-19,깻잎(일반),51753.0,299348500.0,,0.0,,0.0,29463.0,75.7,151497632.0,97.6,2025,5,0,False,21
2025-05-18,깻잎(일반),,,35988.0,0.0,209375500.0,0.0,29829.0,0.0,155619385.0,0.0,2025,5,6,True,20
2025-05-17,깻잎(일반),34554.0,265291050.0,32355.0,6.8,186440000.0,42.3,29906.0,15.5,156120077.0,69.9,2025,5,5,False,20
2025-05-16,깻잎(일반),27542.0,240882250.0,35298.0,-22.0,205753800.0,17.1,29381.0,-6.3,157730100.0,52.7,2025,5,4,False,20
2025-05-15,깻잎(일반),28015.0,230802250.0,34901.0,-19.7,216399900.0,6.7,28610.0,-2.1,162650603.0,41.9,2025,5,3,False,20
2025-05-14,깻잎(일반),30127.0,252033250.0,33504.0,-10.1,222068750.0,13.5,26976.0,11.7,160935197.0,56.6,2025,5,2,False,20
2025-05-13,깻잎(일반),30597.0,260013000.0,38974.0,-21.5,261638300.0,-0.6,26945.0,13.6,159661967.0,62.9,2025,5,1,False,20
2025-05-12,깻잎(일반),45897.0,404722000.0,,0.0,,0.0,26368.0,74.1,162198660.0,149.5,2025,5,0,False,20
2025-05-11,깻잎(일반),,,34381.0,0.0,208215500.0,0.0,26536.0,0.0,170139933.0,0.0,2025,5,6,True,19
2025-05-10,깻잎(일반),28721.0,286892000.0,31843.0,-9.8,172134750.0,66.7,28356.0,1.3,173093623.0,65.7,2025,5,5,False,19
2025-05-09,깻잎(일반),27786.0,256943850.0,34887.0,-20.4,183316150.0,40.2,29216.0,-4.9,174778797.0,47.0,2025,5,4,False,19
2025-05-08,깻잎(일반),29990.0,251615500.0,37913.0,-20.9,211878800.0,18.8,29574.0,1.4,176490660.0,42.6,2025,5,3,False,19
2025-05-07,깻잎(일반),29390.0,252382000.0,30527.0,-3.7,183537500.0,37.5,29364.0,0.1,173361828.0,45.6,2025,5,2,False,19
2025-05-06,깻잎(일반),29111.0,247060000.0,46591.0,-37.5,269385250.0,-8.3,29940.0,-2.8,171888235.0,43.7,2025,5,1,False,19
2025-05-05,깻잎(일반),48219.0,347665000.0,,0.0,,0.0,29815.0,61.7,173228868.0,100.7,2025,5,0,False,19
2025-05-04,깻잎(일반),,,38726.0,0.0,231630500.0,0.0,29337.0,0.0,178863918.0,0.0,2025,5,6,True,18
2025-05-03,깻잎(일반),33317.0,254401500.0,34303.0,-2.9,206007000.0,23.5,29752.0,12.0,177000635.0,43.7,2025,5,5,False,18
2025-05-02,깻잎(일반),30965.0,212101250.0,35866.0,-13.7,197230100.0,7.5,29664.0,4.4,172904540.0,22.7,2025,5,4,False,18
2025-05-01,깻잎(일반),31929.0,197388000.0,36426.0,-12.3,206613750.0,-4.5,28644.0,11.5,165985609.0,18.9,2025,5,3,False,18
2025-04-30,깻잎(일반),31121.0,210869000.0,30383.0,2.4,186100000.0,13.3,28139.0,10.6,161208003.0,30.8,2025,4,2,False,18
2025-04-29,깻잎(일반),28331.0,182491500.0,44395.0,-36.2,241673500.0,-24.5,27893.0,1.6,159267226.0,14.6,2025,4,1,False,18
2025-04-28,깻잎(일반),43039.0,226272000.0,,0.0,,0.0,28223.0,52.5,157043771.0,44.1,2025,4,0,False,18
2025-04-27,깻잎(일반),,,36392.0,0.0,201133000.0,0.0,28535.0,0.0,159345254.0,0.0,2025,4,6,True,17
2025-04-26,깻잎(일반),35364.0,152808400.0,34365.0,2.9,194170000.0,-21.3,29035.0,21.8,158349673.0,-3.5,2025,4,5,False,17
2025-04-25,깻잎(일반),36489.0,160896500.0,32510.0,12.2,176190050.0,-8.7,28471.0,28.2,157326337.0,2.3,2025,4,4,False,17
2025-04-24,깻잎(일반),36983.0,170997000.0,34262.0,7.9,179815500.0,-4.9,28577.0,29.4,159861487.0,7.0,2025,4,3,False,17
2025-04-23,깻잎(일반),35581.0,183942500.0,33272.0,6.9,178123500.0,3.3,27954.0,27.3,158267077.0,16.2,2025,4,2,False,17
2025-04-22,깻잎(일반),34116.0,188285000.0,47563.0,-28.3,254201500.0,-25.9,28416.0,20.1,158971087.0,18.4,2025,4,1,False,17
2025-04-21,깻잎(일반),48174.0,288844000.0,,0.0,,0.0,28772.0,67.4,158838077.0,81.8,2025,4,0,False,17
2025-04-20,깻잎(일반),,,37219.0,0.0,219213800.0,0.0,28806.0,0.0,162786507.0,0.0,2025,4,6,True,16
2025-04-19,깻잎(일반),34158.0,215134750.0,34985.0,-2.4,177184250.0,21.4,29612.0,15.4,160519377.0,34.0,2025,4,5,False,16
2025-04-18,깻잎(일반),32839.0,196341450.0,37119.0,-11.5,177542300.0,10.6,29329.0,12.0,155190477.0,26.5,2025,4,4,False,16
2025-04-17,깻잎(일반),32916.0,192877300.0,37226.0,-11.6,195349500.0,-1.3,29103.0,13.1,153268017.0,25.8,2025,4,3,False,16
2025-04-16,깻잎(일반),32511.0,191461000.0,32100.0,1.3,192695750.0,-0.6,28614.0,13.6,152973647.0,25.2,2025,4,2,False,16
2025-04-15,깻잎(일반),31959.0,193166000.0,48115.0,-33.6,288235000.0,-33.0,28629.0,11.6,156378017.0,23.5,2025,4,1,False,16
2025-04-14,깻잎(일반),47302.0,298884000.0,,0.0,,0.0,28478.0,66.1,159322122.0,87.6,2025,4,0,False,16
2025-04-13,깻잎(일반),,,39145.0,0.0,227735800.0,0.0,28466.0,0.0,162671742.0,0.0,2025,4,6,True,15
2025-04-12,깻잎(일반),36377.0,241128500.0,34699.0,4.8,208439700.0,15.7,29196.0,24.6,160981807.0,49.8,2025,4,5,False,15
2025-04-11,깻잎(일반),33259.0,230833000.0,36657.0,-9.3,211772000.0,9.0,29477.0,12.8,159220385.0,45.0,2025,4,4,False,15
2025-04-10,깻잎(일반),32281.0,211691750.0,36420.0,-11.4,212171200.0,-0.2,29171.0,10.7,161999643.0,30.7,2025,4,3,False,15
2025-04-09,깻잎(일반),31967.0,220494000.0,32847.0,-2.7,215039250.0,2.5,28610.0,11.7,158180317.0,39.4,2025,4,2,False,15
2025-04-08,깻잎(일반),30326.0,206241300.0,48415.0,-37.4,304302500.0,-32.2,29188.0,3.9,160870377.0,28.2,2025,4,1,False,15
2025-04-07,깻잎(일반),45223.0,306235500.0,,0.0,,0.0,29658.0,52.5,162287428.0,88.7,2025,4,0,False,15
2025-04-06,깻잎(일반),,,36674.0,0.0,266320900.0,0.0,29500.0,0.0,169877032.0,0.0,2025,4,6,True,14
2025-04-05,깻잎(일반),34227.0,243658250.0,36916.0,-7.3,250726500.0,-2.8,29930.0,14.4,176730928.0,37.9,2025,4,5,False,14
2025-04-04,깻잎(일반),30315.0,196042000.0,32630.0,-7.1,216880000.0,-9.6,28795.0,5.3,169990715.0,15.3,2025,4,4,False,14
2025-04-03,깻잎(일반),31215.0,169890000.0,32298.0,-3.4,212875000.0,-20.2,28670.0,8.9,171381210.0,-0.9,2025,4,3,False,14
2025-04-02,깻잎(일반),32580.0,167209500.0,30416.0,7.1,192607500.0,-13.2,27748.0,17.4,167992040.0,-0.5,2025,4,2,False,14
2025-04-01,깻잎(일반),34689.0,173595900.0,46747.0,-25.8,277866000.0,-37.5,28171.0,23.1,162369640.0,6.9,2025,4,1,False,14
2025-03-31,깻잎(일반),53027.0,302884050.0,,0.0,,0.0,28620.0,85.3,161808260.0,87.2,2025,3,0,False,14
2025-03-30,깻잎(일반),,,36948.0,0.0,224967100.0,0.0,29042.0,0.0,162935558.0,0.0,2025,3,6,True,13
2025-03-29,깻잎(일반),40097.0,258095100.0,33977.0,18.0,200196000.0,28.9,30427.0,31.8,170884562.0,51.0,2025,3,5,False,13
2025-03-28,깻잎(일반),34386.0,240319000.0,36278.0,-5.2,207291400.0,15.9,29846.0,15.2,172688648.0,39.2,2025,3,4,False,13
2025-03-27,깻잎(일반),33942.0,242849500.0,36118.0,-6.0,216100400.0,12.4,29780.0,14.0,176738388.0,37.4,2025,3,3,False,13
2025-03-26,깻잎(일반),33926.0,269401100.0,29839.0,13.7,191542500.0,40.6,29198.0,16.2,176452178.0,52.7,2025,3,2,False,13
