품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
깻잎(일반),2015,27,5,2861.0885750669822,460211415.0,160437.0
깻잎(일반),2015,28,6,3315.7362750096067,676966143.0,204202.0
깻잎(일반),2015,29,6,3005.304138199523,593127025.0,197104.0
깻잎(일반),2015,30,6,3198.9254010623213,671370095.0,209052.0
깻잎(일반),2015,31,6,4077.646768879758,764576113.0,172756.0
깻잎(일반),2015,32,6,4665.4980855808,865776773.0,187869.0
깻잎(일반),2015,33,6,4151.399350657409,794211536.0,189685.0
깻잎(일반),2015,34,6,4174.597233673086,782506725.0,186337.0
깻잎(일반),2015,35,6,4641.31424347725,823382765.0,179020.0
깻잎(일반),2015,36,6,5336.611643214898,939106992.0,178578.0
깻잎(일반),2015,37,6,5045.781491735598,822683765.0,164831.0
깻잎(일반),2015,38,6,6063.903620581995,1059181248.0,173812.0
깻잎(일반),2015,39,6,5345.287041075445,1038077208.0,191886.0
깻잎(일반),2015,40,4,2771.860932723332,464404319.0,162175.0
깻잎(일반),2015,41,6,3166.690446633236,572049121.0,184722.0
깻잎(일반),2015,42,6,3354.9277030519374,625587661.0,187328.0
깻잎(일반),2015,43,6,2910.6431612644174,596117055.0,204890.0
깻잎(일반),2015,44,6,2488.518716853163,498505035.0,200829.0
깻잎(일반),2015,45,6,4519.842795350228,622503675.0,138922.0
깻잎(일반),2015,46,6,3825.29322754909,623599750.0,161139.0
깻잎(일반),2015,47,6,4385.200558492424,641369449.0,145946.0
깻잎(일반),2015,48,6,5901.186128644954,772271315.0,132626.0
깻잎(일반),2015,49,6,7705.470596869544,916736550.0,119514.0
깻잎(일반),2015,50,6,8339.491340117964,1051353440.0,126348.0
깻잎(일반),2015,51,6,7868.880560949546,1078904820.0,137459.0
깻잎(일반),2015,52,6,9193.713105139117,1148891465.0,125385.0
깻잎(일반),2015,53,4,9392.5706889924,1128736539.0,120872.0
깻잎(일반),2016,1,6,6750.669425892382,1075215392.0,154361.0
깻잎(일반),2016,2,6,4749.884381899698,636920288.0,134419.0
깻잎(일반),2016,3,6,7062.847877621168,890662104.0,125899.0
깻잎(일반),2016,4,6,8523.883065206539,869400631.0,106383.0
깻잎(일반),2016,5,6,10334.561489668495,1600920640.0,155169.0
깻잎(일반),2016,6,3,8514.245327987168,675492336.0,82273.0
깻잎(일반),2016,7,6,3485.301105111807,592280055.0,168012.0
