연도,거래일자,품목명,필드,채우기_이전값,채우기_이후값,공여자_전년도값,공여자_다음해_원래거래일자
2023,2023-02-23,돌미나리,금액,,-149000.0,-149000.0,2024-02-23
2023,2023-02-02,돌미나리,금액,,-516000.0,-516000.0,2024-02-02
2023,2023-01-05,돌미나리,금액,,-200000.0,-200000.0,2024-01-05
2021,2021-02-11,돌미나리,금액,,-240000.0,-240000.0,2022-02-11
2020,2020-12-23,돌미나리,금액,,-76000.0,-76000.0,2021-12-23
2018,2018-02-15,돌미나리,금액,,-1360000.0,-1360000.0,2019-02-15
2017,2017-01-27,돌미나리,금액,,-745280.0,-745280.0,2018-01-27
2016,2016-02-28,돌미나리,반입량,,29725.0,29725.0,2017-02-28
2016,2016-02-28,미나리(일반),반입량,,19840.0,19840.0,2017-02-28
2016,2016-02-28,돌미나리,금액,,79319940.0,79319940.0,2017-02-28
2016,2016-01-21,돌미나리,금액,,-133000.0,-133000.0,2017-01-21
2016,2016-02-28,미나리(일반),금액,,94373900.0,94373900.0,2017-02-28
