연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,7245.860691553619,502931350.0,69527.0
2015,28,6,7675.818242013348,803726000.0,105295.0
2015,29,6,7455.421749881855,615672000.0,84522.0
2015,30,6,7478.811912812503,583366500.0,77484.0
2015,31,5,7360.976626071938,595885000.0,81048.0
2015,32,7,7209.065388163173,724026400.0,99393.0
2015,33,6,7175.1665014329055,498805500.0,69536.0
2015,34,7,7202.845428220496,756122300.0,103492.0
2015,35,6,7395.828128634006,786562800.0,105503.0
2015,36,6,7371.325265895773,712662250.0,96535.0
2015,37,6,6945.738201096323,746279500.0,106282.0
2015,38,6,6578.405082056415,1016590000.0,155005.0
2015,39,5,5886.3001056470175,1220859700.0,208022.0
2015,40,5,5510.279754805358,398979500.0,72234.0
2015,41,7,4256.825348376938,976476050.0,224413.0
2015,42,6,4038.676074318331,1294181750.0,315936.0
2015,43,6,3880.41922624837,1421904950.0,362755.0
2015,44,7,4041.471016905861,1703444850.0,424443.0
2015,45,7,4010.628999314296,2494245518.0,608521.0
2015,46,6,3851.62754790167,1785646000.0,462370.0
2015,47,6,3835.3850004135547,1791272000.0,466213.0
2015,48,6,4045.975889852194,1612547525.0,399717.0
2015,49,7,3831.3703683756335,1161770725.0,301533.0
2015,50,6,4011.52960585624,682158275.0,166805.0
2015,51,6,4041.1074994728842,687258640.0,167061.0
2015,52,6,4165.486508305154,516299950.0,123892.0
2015,53,4,4148.806501676405,619241500.0,149177.0
2016,1,6,4104.7466468104385,587281000.0,142650.0
2016,2,7,4170.05549148738,458106000.0,111068.0
2016,3,6,4063.5066314034207,446152740.0,110449.0
2016,4,7,4024.222448892149,648126200.0,161099.0
2016,5,6,4232.415165385755,646641800.0,152510.0
2016,6,3,3939.9582040142336,304605200.0,74778.0
2016,7,6,4078.8077662554647,453516300.0,110749.0
2016,8,7,3994.3896213922176,664963300.0,167800.0
2016,9,6,4014.2341639378205,410059700.0,104306.0
2016,10,6,4004.1311169017513,486831000.0,123954.0
2016,11,7,4062.6198830939825,399329810.0,99351.0
2016,12,6,3800.3924277710175,672622900.0,177411.0
2016,13,7,3806.366040166115,489784830.0,128422.0
2016,14,6,3958.262602724597,644650100.0,161960.0
2016,15,7,3873.2865260552144,637839160.0,165483.0
2016,16,7,3683.2663095330395,566828790.0,151992.0
2016,17,6,3616.6380736924452,420722950.0,118407.0
2016,18,6,3674.865842646555,383635760.0,106367.0
2016,19,6,3486.1747980929244,450783090.0,129596.0
2016,20,6,3569.5480411012163,355977750.0,97862.0
2016,21,6,3312.5705085346817,415308000.0,123079.0
