품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
구강,2015,27,2,5250.0,840000.0,160.0
구강,2015,31,1,5500.0,220000.0,40.0
구강,2015,33,2,4750.0,237500.0,50.0
구강,2015,34,1,4750.0,66500.0,14.0
구강,2015,36,2,4750.0,99750.0,21.0
구강,2015,37,2,2738.6513157894738,264500.0,97.0
구강,2015,38,5,3046.4904936333505,1025250.0,345.0
구강,2015,39,4,2821.546052631579,557000.0,190.0
구강,2015,40,3,3500.0,135000.0,46.0
구강,2015,41,6,1927.9965001575908,3717000.0,1857.0
구강,2015,42,6,2322.0208458606185,12172450.0,5266.0
구강,2015,43,6,2124.6308824990033,13469500.0,6318.0
구강,2015,44,6,2178.343497293637,19421125.0,8883.0
구강,2015,45,6,2453.6544538415646,68067538.0,27708.0
구강,2015,46,6,2160.058231624253,41296575.0,18801.0
구강,2015,47,6,1769.6947793305683,29485600.0,16510.0
구강,2015,48,6,1998.9917224201479,22704100.0,11320.0
구강,2015,49,6,1646.4097445376992,5843200.0,3626.0
구강,2015,50,6,1662.7634490223008,4471275.0,2685.0
구강,2015,51,6,1679.5908798368794,1966050.0,1095.0
구강,2015,52,3,1672.160432160432,1187700.0,712.0
구강,2015,53,1,1500.0,60000.0,40.0
구강,2016,1,3,1622.2222222222224,249000.0,155.0
구강,2016,2,3,1500.0,196500.0,131.0
구강,2016,3,1,2000.0,40000.0,20.0
구강,2016,5,1,3000.0,180000.0,60.0
구강,2016,9,1,896.969696969697,29600.0,33.0
구강,2016,10,1,2000.0,40000.0,20.0
구강,2016,11,1,1555.5555555555557,56000.0,36.0
구강,2016,12,1,2000.0,40000.0,20.0
구강,2016,13,2,1675.0,240500.0,130.0
구강,2016,14,2,1400.0,672000.0,390.0
구강,2016,15,4,950.4960317460318,447100.0,364.0
구강,2016,16,4,1610.9126984126983,305250.0,197.0
구강,2016,17,2,1750.0,190750.0,109.0
구강,2016,18,1,1750.0,19250.0,11.0
구강,2016,19,2,541.4402173913044,22500.0,39.0
구강,2016,20,3,1500.0,82500.0,55.0
구강,2016,22,1,1500.0,21000.0,14.0
구강,2016,23,2,1500.0,70500.0,47.0
구강,2016,24,1,1500.0,180000.0,120.0
구강,2016,26,2,1500.0,375000.0,250.0
구강,2016,27,2,1250.0,187000.0,157.0
구강,2016,28,4,1300.0,202000.0,156.0
구강,2016,29,2,750.0,30000.0,40.0
구강,2016,30,1,850.0,61200.0,72.0
구강,2016,31,1,525.0,10500.0,20.0
구강,2016,33,2,791.6666666666667,23500.0,26.0
구강,2016,34,4,762.5,119000.0,143.0
구강,2016,35,5,836.6338079591093,153500.0,189.0
구강,2016,36,4,886.0294117647059,124000.0,156.0
구강,2016,37,2,666.6666666666667,14000.0,20.0
구강,2016,38,3,957.2028423772609,119700.0,131.0
구강,2016,39,6,679.9237146132815,410400.0,634.0
구강,2016,40,6,586.4936814554499,524150.0,895.0
구강,2016,41,6,546.6072679368405,3914000.0,7264.0
구강,2016,42,6,481.78638153267775,4470075.0,9204.0
구강,2016,43,6,479.48750444857797,4100200.0,8691.0
구강,2016,44,6,626.6042715684479,10113925.0,16197.0
구강,2016,45,6,596.8368028480432,16346900.0,27824.0
구강,2016,46,6,348.44634066195414,6818250.0,19122.0
구강,2016,47,6,281.0019738850539,3141650.0,10802.0
구강,2016,48,6,373.9332455320643,1555750.0,4101.0
구강,2016,49,6,302.4494149580349,1415800.0,4713.0
구강,2016,50,6,229.06051859763332,310800.0,1382.0
구강,2016,51,5,164.28571428571428,111000.0,630.0
구강,2016,52,4,208.33333333333334,32000.0,190.0
구강,2017,1,4,203.24074074074076,72500.0,355.0
구강,2017,2,6,235.62424969987993,127050.0,503.0
구강,2017,3,1,400.0,24000.0,60.0
구강,2017,4,1,400.0,8000.0,20.0
구강,2017,5,2,333.33333333333337,44000.0,140.0
구강,2017,6,5,247.14285714285717,92100.0,346.0
구강,2017,7,2,200.0,8000.0,40.0
구강,2017,8,5,279.375,158000.0,440.0
구강,2017,9,3,249.53959484346225,80000.0,321.0
구강,2017,10,3,214.2857142857143,13800.0,60.0
구강,2017,11,3,150.0,31500.0,210.0
구강,2017,12,3,176.66666666666666,87900.0,536.0
구강,2017,14,2,250.0,38750.0,155.0
구강,2017,15,3,266.6666666666667,16000.0,60.0
구강,2017,16,4,290.69767441860466,110500.0,395.0
구강,2017,17,3,250.10893246187365,51200.0,201.0
구강,2017,18,5,251.18800118800118,111800.0,423.0
구강,2017,19,1,200.0,4000.0,20.0
구강,2017,21,3,274.73118279569894,19500.0,71.0
구강,2017,24,1,800.0,8000.0,10.0
구강,2017,25,1,400.0,16000.0,40.0
구강,2017,26,1,450.0,45000.0,100.0
구강,2017,28,2,425.0,18400.0,44.0
구강,2017,33,1,400.0,8000.0,20.0
구강,2017,35,1,500.0,5000.0,10.0
구강,2017,36,4,486.42857142857144,93750.0,195.0
구강,2017,37,5,622.5409429280396,201100.0,301.0
구강,2017,38,6,569.8514135609269,695400.0,1111.0
구강,2017,39,6,641.1363740366585,1285250.0,1818.0
구강,2017,40,2,400.0,32900.0,83.0
구강,2017,41,6,646.3096808809314,2104400.0,3013.0
구강,2017,42,6,682.0916944638387,1387250.0,1973.0
구강,2017,43,6,1177.1794820781913,6786150.0,5785.0
구강,2017,44,6,1237.1988621210658,10701025.0,8735.0
구강,2017,45,6,958.8357109074777,16085400.0,16615.0
구강,2017,46,6,1146.5876728695412,16162050.0,14414.0
구강,2017,47,6,1098.6964663256965,7220010.0,6500.0
구강,2017,48,6,989.1525377438525,3819450.0,3877.0
구강,2017,49,6,866.7816132060825,995850.0,1103.0
구강,2017,50,6,840.5644772198663,881500.0,1008.0
구강,2017,51,6,758.2582876098382,596450.0,777.0
구강,2017,52,6,842.1518365311272,380300.0,499.0
구강,2018,1,4,1717.857142857143,247400.0,151.0
구강,2018,2,4,1133.3110516934046,157750.0,146.0
구강,2018,3,5,948.243525419996,616850.0,599.0
구강,2018,4,3,1216.6666666666667,344500.0,275.0
구강,2018,5,1,1200.0,48000.0,40.0
구강,2018,6,3,1033.3333333333333,203000.0,195.0
구강,2018,7,1,1500.0,60000.0,40.0
구강,2018,8,1,1090.909090909091,36000.0,33.0
구강,2018,9,2,1375.0,110000.0,80.0
구강,2018,10,2,1325.0,90500.0,65.0
구강,2018,11,1,1300.0,31200.0,24.0
구강,2018,12,1,1600.0,184000.0,115.0
구강,2018,13,5,1500.0,437500.0,294.0
구강,2018,14,2,1900.0,120100.0,63.0
구강,2018,15,5,1755.5421686746988,513200.0,277.0
구강,2018,16,3,2236.147186147186,370400.0,162.0
구강,2018,17,4,2453.197674418605,741600.0,306.0
구강,2018,18,2,1691.6666666666665,200400.0,103.0
구강,2018,19,4,2399.893162393162,1043000.0,465.0
구강,2018,20,2,1750.0,47000.0,26.0
구강,2018,21,2,2350.0,141000.0,60.0
구강,2018,22,2,2000.0,100000.0,50.0
구강,2018,23,1,2000.0,20000.0,10.0
구강,2018,25,2,2125.0,255000.0,120.0
구강,2018,28,1,1000.0,5000.0,5.0
구강,2018,29,4,1974.8789346246974,387000.0,173.0
구강,2018,30,2,1700.0,42000.0,24.0
구강,2018,34,1,1000.0,3000.0,3.0
구강,2018,35,4,2936.1111111111113,876500.0,247.0
구강,2018,36,4,3790.7608695652175,550000.0,142.0
구강,2018,37,3,2916.6666666666665,163750.0,57.0
구강,2018,38,5,2034.3652831402833,472143.0,204.0
구강,2018,39,1,2647.0588235294117,180000.0,68.0
구강,2018,40,6,2967.2683900985526,2568300.0,846.0
구강,2018,41,6,3838.338850141963,6075017.0,1640.0
구강,2018,42,6,3588.7000329813363,29959450.0,8214.0
구강,2018,43,6,3496.1981805134424,18779750.0,5351.0
구강,2018,44,6,4017.468308867057,43876654.0,10937.0
구강,2018,45,6,3760.192116156834,58232894.0,15498.0
구강,2018,46,6,3753.615396442127,58972684.0,15817.0
구강,2018,47,6,4199.521902312113,38100493.0,9085.0
구강,2018,48,6,3665.4327229418436,17544500.0,4358.0
구강,2018,49,6,3609.081650833823,4540167.0,1230.0
구강,2018,50,6,3679.9059011164277,2224850.0,604.0
구강,2018,51,6,3767.56767179181,1888000.0,495.0
구강,2018,52,6,3717.7254660087724,2789000.0,766.0
구강,2022,39,1,1697.7272727272727,373500.0,220.0
구강,2022,40,6,1869.9792651906894,2503000.0,1358.0
구강,2022,41,6,2347.640652582512,10763100.0,4431.0
구강,2022,42,6,3018.0692547862723,21200500.0,6987.0
구강,2022,43,6,2946.4779319497593,31310300.0,10559.0
구강,2022,44,6,2520.3870709350244,31930600.0,12800.0
구강,2022,45,6,2725.052204357051,33660450.0,12323.0
구강,2022,46,6,2826.8305072341627,25905700.0,9128.0
구강,2022,47,6,2594.030140408851,11524300.0,4375.0
구강,2022,48,6,2685.6665703604804,3668200.0,1379.0
구강,2022,49,6,3054.1244866817474,2462600.0,814.0
구강,2022,50,4,3293.8492063492063,740500.0,233.0
구강,2022,51,6,3350.865800865801,1124000.0,348.0
구강,2022,52,5,3422.9268292682927,817500.0,245.0
구강,2023,1,5,3360.5128205128203,647000.0,195.0
구강,2023,2,6,3560.384742951907,1783000.0,497.0
구강,2023,3,6,3941.054922251866,1671700.0,425.0
구강,2023,5,5,3660.0,607000.0,170.0
구강,2023,6,6,4364.732430689877,1814600.0,401.0
구강,2023,7,5,5460.0,1337000.0,250.0
구강,2023,8,3,3733.3333333333335,480000.0,130.0
구강,2023,9,3,3882.5396825396824,514000.0,122.0
구강,2023,10,1,5700.0,57000.0,10.0
구강,2023,11,4,5756.25,983000.0,170.0
구강,2023,12,5,5969.864253393665,1922000.0,315.0
구강,2023,13,4,6215.0,871000.0,140.0
구강,2023,14,3,5827.586206896552,1369500.0,235.0
구강,2023,15,2,6250.0,262600.0,42.0
구강,2023,16,4,5041.100840336135,2161000.0,404.0
구강,2023,17,6,6277.777777777777,1540000.0,240.0
구강,2024,1,1,2500.0,50000.0,20.0
구강,2024,40,5,2785.06662959893,4179700.0,1434.0
구강,2024,41,6,2709.579046067794,7072400.0,2639.0
구강,2024,42,6,3506.2539388931823,22939300.0,6399.0
구강,2024,43,6,3148.2449849772242,27960900.0,8967.0
구강,2024,44,6,2557.3841678944173,44382400.0,17324.0
구강,2024,45,6,2282.890543273933,41071000.0,17851.0
구강,2024,46,6,1989.6114572793865,34331800.0,17217.0
구강,2024,47,6,1969.0801541150815,21739500.0,11038.0
구강,2024,48,6,2082.6123599849907,13336800.0,6309.0
구강,2024,49,6,2236.689137297021,9923100.0,4468.0
구강,2024,50,6,2066.8071424615005,4044700.0,1974.0
구강,2024,51,6,1991.2559141781664,2077000.0,1038.0
구강,2024,52,4,1903.5714285714284,372000.0,200.0
구강,2025,1,2,2550.0,102000.0,40.0
구강,2025,2,6,2300.641025641026,491000.0,230.0
구강,2025,3,6,2450.0,220000.0,90.0
구강,2025,4,6,2401.441368778767,1053500.0,427.0
구강,2025,5,1,2000.0,60000.0,30.0
구강,2025,6,2,2450.0,74000.0,30.0
구강,2025,7,1,2500.0,25000.0,10.0
구강,2025,8,6,2252.7657527657525,753500.0,335.0
구강,2025,9,3,2383.3333333333335,448000.0,180.0
구강,2025,10,2,2364.5189003436426,373000.0,157.0
구강,2025,11,6,2508.3333333333335,451000.0,180.0
구강,2025,12,6,2734.722222222222,604000.0,220.0
구강,2025,13,4,2844.4444444444443,498000.0,170.0
구강,2025,14,4,2863.214285714286,843000.0,298.0
구강,2025,15,4,2846.808510638298,357200.0,134.0
구강,2025,16,6,2844.294294294294,598600.0,214.0
구강,2025,17,3,2618.81427707199,221000.0,82.0
구강,2025,19,3,2550.0,114600.0,48.0
구강,2025,20,2,1900.0,152000.0,80.0
구강,2025,21,2,2084.6153846153848,71000.0,33.0
구강,2025,22,1,2800.0,56000.0,20.0
구강,2025,23,2,2160.0,150000.0,65.0
생강(수입),2015,43,1,4071.4285714285716,171000.0,42.0
생강(수입),2016,12,1,5700.0,2850000.0,500.0
생강(수입),2016,43,1,1000.0,20000.0,20.0
생강(수입),2016,45,1,750.0,90000.0,120.0
생강(수입),2018,30,1,5300.0,53000.0,10.0
생강(수입),2018,32,2,5133.333333333334,257000.0,50.0
생강(수입),2018,34,2,5100.0,153000.0,30.0
생강(수입),2018,35,2,5300.0,159000.0,30.0
생강(수입),2018,36,1,5400.0,54000.0,10.0
생강(수입),2018,37,2,5400.0,108000.0,20.0
생강(수입),2018,38,3,5400.0,324000.0,60.0
생강(수입),2018,40,2,5400.0,108000.0,20.0
생강(수입),2018,41,1,5400.0,54000.0,10.0
생강(수입),2018,42,2,3950.0,1837000.0,700.0
생강(수입),2019,15,1,6700.0,67000.0,10.0
생강(수입),2019,16,2,6700.0,201000.0,30.0
생강(수입),2019,38,1,3729.4117647058824,634000.0,170.0
생강(수입),2020,41,2,6987.174139728884,13412200.0,1919.0
생강(수입),2023,10,1,9100.0,1820000.0,200.0
생강(수입),2023,11,1,10500.0,1050000.0,100.0
생강(수입),2023,13,1,10500.0,1050000.0,100.0
생강(수입),2023,14,2,10500.0,3150000.0,300.0
생강(수입),2023,30,1,7500.0,3000000.0,400.0
생강(수입),2023,31,2,4325.0,6920000.0,1600.0
생강(수입),2024,15,2,2750.0,2750000.0,1000.0
생강(수입),2025,15,1,7600.0,380000.0,50.0
생강(일반),2015,27,5,7259.26833663096,487813000.0,67304.0
생강(일반),2015,28,6,7675.818242013348,803726000.0,105295.0
생강(일반),2015,29,6,7455.421749881855,615672000.0,84522.0
생강(일반),2015,30,6,7479.351580695526,580776500.0,77144.0
생강(일반),2015,31,5,7356.407216674888,591150000.0,80348.0
생강(일반),2015,32,7,7209.065388163173,724026400.0,99393.0
생강(일반),2015,33,6,7178.874665100592,498568000.0,69486.0
생강(일반),2015,34,7,7203.121639226794,755766800.0,103440.0
생강(일반),2015,35,6,7395.828128634006,786562800.0,105503.0
생강(일반),2015,36,6,7374.940111284833,696460500.0,94235.0
생강(일반),2015,37,6,6969.505479137955,726810000.0,103257.0
생강(일반),2015,38,6,6633.186550423558,987062000.0,149425.0
생강(일반),2015,39,5,5889.520061188104,1165689100.0,198675.0
생강(일반),2015,40,4,5710.223199195398,389931000.0,70468.0
생강(일반),2015,41,7,4283.534040277171,914826500.0,208769.0
생강(일반),2015,42,6,4127.948925298711,1191469000.0,288841.0
생강(일반),2015,43,6,3934.178983538745,1258236000.0,317595.0
생강(일반),2015,44,7,4107.562473388586,1504904000.0,372295.0
생강(일반),2015,45,7,4133.4441678506,1754582100.0,415765.0
생강(일반),2015,46,6,3976.3485907407116,1226247700.0,306764.0
생강(일반),2015,47,6,3928.004547251605,1329993900.0,338615.0
생강(일반),2015,48,6,4125.704584954383,1266161500.0,309635.0
생강(일반),2015,49,7,3869.7799001718495,1062091000.0,275011.0
생강(일반),2015,50,6,4014.62871595244,590170500.0,143878.0
생강(일반),2015,51,6,4068.7175441507,618790590.0,149016.0
생강(일반),2015,52,6,4210.629897602452,487292000.0,115993.0
생강(일반),2015,53,4,4149.6607339251,599019900.0,144269.0
생강(일반),2016,1,6,4115.508577467494,565249000.0,137025.0
생강(일반),2016,2,7,4145.367556111383,433239000.0,105352.0
생강(일반),2016,3,6,4058.177346508973,431266740.0,106989.0
생강(일반),2016,4,7,4023.8085551005674,647676200.0,160999.0
생강(일반),2016,5,6,4241.192825123971,637363800.0,150340.0
생강(일반),2016,6,3,3939.631871676001,303665200.0,74558.0
생강(일반),2016,7,6,4051.6311471527765,433638300.0,106373.0
생강(일반),2016,8,7,3978.496633203838,642122800.0,162700.0
생강(일반),2016,9,6,3989.5729476745933,389021100.0,99593.0
생강(일반),2016,10,6,4010.9489800771953,450409000.0,115034.0
생강(일반),2016,11,7,4054.306215766435,382318810.0,95257.0
생강(일반),2016,12,6,3769.693416619415,652782400.0,173000.0
생강(일반),2016,13,7,3787.3814369380902,467362030.0,122875.0
생강(일반),2016,14,6,3979.5365779642566,631543400.0,158356.0
생강(일반),2016,15,7,3914.5479682504038,626017810.0,161971.0
생강(일반),2016,16,7,3688.234489149369,557386740.0,149191.0
생강(일반),2016,17,6,3618.8224671329876,413401200.0,116420.0
생강(일반),2016,18,5,3739.921700059541,373584510.0,103805.0
생강(일반),2016,19,6,3487.368907722532,440418590.0,126624.0
생강(일반),2016,20,6,3560.260985123434,337580750.0,92802.0
생강(일반),2016,21,5,3392.1924080534723,397988000.0,117999.0
생강(일반),2016,22,6,3183.584868672881,440936000.0,139848.0
생강(일반),2016,23,5,3144.279484664834,310805000.0,97255.0
생강(일반),2016,24,7,2869.9189670847436,357180500.0,128826.0
생강(일반),2016,25,6,2447.838970402615,222427500.0,84983.0
생강(일반),2016,26,6,2482.393843784102,384659940.0,153692.0
생강(일반),2016,27,6,2498.0102045599983,321913000.0,133620.0
생강(일반),2016,28,6,2086.9961077678113,244985330.0,106618.0
생강(일반),2016,29,5,2248.182433204959,265313500.0,121123.0
생강(일반),2016,30,7,1982.6440624461568,250728880.0,131230.0
생강(일반),2016,31,5,1912.9074549355435,226898500.0,123363.0
생강(일반),2016,32,5,1822.1393001381796,186026000.0,101022.0
생강(일반),2016,33,6,1740.9243840535664,189587500.0,109615.0
생강(일반),2016,34,6,1638.9768655881444,219442750.0,130015.0
생강(일반),2016,35,6,1591.402799032003,275061000.0,165450.0
생강(일반),2016,36,6,1805.6630474433985,322755080.0,187031.0
생강(일반),2016,37,2,1791.286972884213,135996500.0,75892.0
생강(일반),2016,38,6,1852.1501117396012,253339500.0,134480.0
생강(일반),2016,39,7,2320.250690232207,410584200.0,190375.0
생강(일반),2016,40,7,2365.720583272738,664249150.0,290621.0
생강(일반),2016,41,6,2267.070740370031,1166004600.0,517311.0
생강(일반),2016,42,7,1799.813929337412,1319191065.0,716648.0
생강(일반),2016,43,6,1674.0298774057082,901421313.0,538488.0
생강(일반),2016,44,6,1618.322696911461,1260651475.0,768351.0
생강(일반),2016,45,7,1290.8842819595461,847801110.0,649282.0
생강(일반),2016,46,7,1303.263758617266,493353400.0,378835.0
생강(일반),2016,47,7,1344.2287903136407,538116500.0,409043.0
생강(일반),2016,48,6,1630.2753301889663,471259650.0,297298.0
생강(일반),2016,49,6,1726.672219036119,358201400.0,209134.0
생강(일반),2016,50,7,1817.9489081217998,355264100.0,193769.0
생강(일반),2016,51,6,1760.9563515710322,319533600.0,177622.0
생강(일반),2016,52,6,2316.527021949362,403645600.0,189196.0
생강(일반),2017,1,5,1973.6521228614158,269666800.0,130256.0
생강(일반),2017,2,6,2030.3206185763336,274299600.0,134613.0
생강(일반),2017,3,6,2097.1976368630076,352726000.0,184186.0
생강(일반),2017,4,4,2080.7764592365065,250589000.0,120044.0
생강(일반),2017,5,4,1778.6126301814638,258752000.0,150366.0
생강(일반),2017,6,7,2173.4851496047672,251192500.0,118580.0
생강(일반),2017,7,7,2035.490966274892,235768500.0,122463.0
생강(일반),2017,8,6,2036.3941280724875,213115500.0,100656.0
생강(일반),2017,9,5,2014.5255228749866,334453600.0,165876.0
생강(일반),2017,10,6,1915.613618793596,159248500.0,79660.0
생강(일반),2017,11,6,2128.888146710711,324947500.0,153347.0
생강(일반),2017,12,6,1991.943368079755,280406850.0,141281.0
생강(일반),2017,13,6,1991.7126613128255,270504400.0,133940.0
생강(일반),2017,14,7,1805.8986657974026,255227000.0,135729.0
생강(일반),2017,15,7,1900.531533178949,210119500.0,98190.0
생강(일반),2017,16,6,2214.954944166668,286107250.0,138479.0
생강(일반),2017,17,6,1819.6360350289294,293569150.0,157948.0
생강(일반),2017,18,7,1974.6193514627764,273009400.0,158686.0
생강(일반),2017,19,6,1897.4355094827567,244745200.0,119262.0
생강(일반),2017,20,6,1786.9218985322584,282209500.0,149577.0
생강(일반),2017,21,7,1770.3466544354865,209821500.0,120802.0
생강(일반),2017,22,6,1661.1791892308422,299007500.0,173158.0
생강(일반),2017,23,6,1798.8650043302052,157457500.0,84600.0
생강(일반),2017,24,6,1966.887566091075,239374000.0,124287.0
생강(일반),2017,25,7,2059.7235197936297,349265000.0,169650.0
생강(일반),2017,26,6,2324.856240703339,413243600.0,201196.0
생강(일반),2017,27,6,2136.82400980395,217648500.0,113978.0
생강(일반),2017,28,7,2329.046309936244,308545500.0,138054.0
생강(일반),2017,29,6,2391.1813935682176,364123000.0,171130.0
생강(일반),2017,30,7,2661.0654872173973,365957800.0,150702.0
생강(일반),2017,31,6,1880.9332865943604,216964500.0,103980.0
생강(일반),2017,32,7,2257.7033196688612,387727400.0,156085.0
생강(일반),2017,33,6,2196.2702773847823,259876000.0,116667.0
생강(일반),2017,34,6,2113.352716007756,310480300.0,137295.0
생강(일반),2017,35,7,2049.815931659023,341226000.0,156190.0
생강(일반),2017,36,6,2532.856986955085,313063800.0,136928.0
생강(일반),2017,37,6,2531.491544255276,341531100.0,136407.0
생강(일반),2017,38,6,2087.9401531721137,365253500.0,178020.0
생강(일반),2017,39,6,2605.369637455488,619889050.0,240749.0
생강(일반),2017,40,4,2838.5820423599075,189719000.0,78279.0
생강(일반),2017,41,6,2612.470525479536,557401500.0,208803.0
생강(일반),2017,42,6,2720.2546523131546,719429400.0,263320.0
생강(일반),2017,43,6,2571.805000564147,856007200.0,316227.0
생강(일반),2017,44,6,2401.9319204818166,987491400.0,412682.0
생강(일반),2017,45,6,2969.167274195905,1157947700.0,394700.0
생강(일반),2017,46,6,3431.7785121345455,1073254500.0,317964.0
생강(일반),2017,47,7,3569.31987122623,1010273300.0,288895.0
생강(일반),2017,48,6,3655.436012401588,893560000.0,246224.0
생강(일반),2017,49,7,3538.2170690154485,574277000.0,158565.0
생강(일반),2017,50,7,3729.8265064282946,614816000.0,166413.0
생강(일반),2017,51,6,3856.5801659923177,513730000.0,134170.0
생강(일반),2017,52,6,3529.834765322144,461114400.0,130545.0
생강(일반),2018,1,5,4951.856492027335,47793500.0,6470.0
생강(일반),2018,2,5,4320.0,7360000.0,1700.0
생강(일반),2018,3,4,4304.867256637168,52130000.0,12200.0
생강(일반),2018,4,3,4300.0,3870000.0,900.0
생강(일반),2018,5,4,4337.192118226601,47099000.0,11060.0
생강(일반),2018,6,6,4400.0,7920000.0,1800.0
생강(일반),2018,7,3,4367.678519803411,53134000.0,12330.0
생강(일반),2018,8,5,4400.0,7040000.0,1600.0
생강(일반),2018,9,5,4353.784860557769,58040000.0,13850.0
생강(일반),2018,10,6,4245.942028985507,10773000.0,2690.0
생강(일반),2018,11,5,4400.0,6600000.0,1500.0
생강(일반),2018,12,6,4397.003745318352,41700000.0,9510.0
생강(일반),2018,13,6,4441.856925418569,37158000.0,8070.0
생강(일반),2018,14,5,4400.0,6776000.0,1540.0
생강(일반),2018,15,4,4375.0,6570000.0,1500.0
생강(일반),2018,16,4,4412.619047619048,50690000.0,11400.0
생강(일반),2018,17,5,4400.0,7040000.0,1600.0
생강(일반),2018,18,6,4372.698570953805,49529000.0,11630.0
생강(일반),2018,19,6,4400.0,8360000.0,1900.0
생강(일반),2018,20,5,4569.879518072289,45290000.0,9600.0
생강(일반),2018,21,6,4650.0,8835000.0,1900.0
생강(일반),2018,22,5,4616.902761104442,42936000.0,9530.0
생강(일반),2018,23,4,4574.224137931034,7336500.0,1625.0
생강(일반),2018,24,4,4650.0,5580000.0,1200.0
생강(일반),2018,25,6,4650.0,10230000.0,2200.0
생강(일반),2018,26,5,4630.0,6945000.0,1500.0
생강(일반),2018,27,5,4570.0,8250000.0,1800.0
생강(일반),2018,28,5,4500.0,8100000.0,1800.0
생강(일반),2018,29,3,4466.666666666667,3570000.0,800.0
생강(일반),2018,30,5,4500.0,7200000.0,1600.0
생강(일반),2018,31,5,4459.282296650717,23809000.0,5480.0
생강(일반),2018,32,4,4825.0,5790000.0,1200.0
생강(일반),2018,33,1,6425.925925925926,26025000.0,4050.0
생강(일반),2018,34,2,7900.0,4740000.0,600.0
생강(일반),2018,35,5,7675.280898876404,61492500.0,8175.0
생강(일반),2018,36,1,7725.0,2317500.0,300.0
생강(일반),2018,38,1,7397.196261682243,39575000.0,5350.0
생강(일반),2018,40,1,7267.123287671233,31830000.0,4380.0
생강(일반),2018,41,1,7700.0,231000.0,30.0
생강(일반),2018,43,1,6252.088452088452,50892000.0,8140.0
생강(일반),2018,44,2,5171.774193548387,26638000.0,3740.0
생강(일반),2018,46,1,3743.92523364486,801200.0,214.0
생강(일반),2018,47,2,6248.109497882638,33711000.0,3974.0
생강(일반),2018,48,1,9435.384615384615,30665000.0,3250.0
생강(일반),2018,51,1,9466.129032258064,29345000.0,3100.0
생강(일반),2019,1,1,6364.285714285715,57915000.0,9100.0
생강(일반),2019,3,1,9373.484848484848,49492000.0,5280.0
생강(일반),2019,5,2,9437.932669511618,56479000.0,5980.0
생강(일반),2019,11,1,5000.0,50000.0,10.0
생강(일반),2019,12,1,10247.826086956522,23570000.0,2300.0
생강(일반),2019,13,1,3962.264150943396,210000.0,53.0
생강(일반),2019,14,2,9509.627329192546,24798000.0,2440.0
생강(일반),2019,15,3,9487.096774193547,7371000.0,780.0
생강(일반),2019,16,5,5842.058897243108,33205000.0,3269.0
