품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
애호박,2015,27,5,822.4278378722454,939460500.0,1141598.0
애호박,2015,28,6,737.9846234187568,1104517500.0,1497289.0
애호박,2015,29,6,781.5475898658611,936316700.0,1250550.0
애호박,2015,30,6,1239.6160936429078,1423826500.0,1172412.0
애호박,2015,31,6,1522.0921152594346,1165255500.0,814301.0
애호박,2015,32,6,2217.215468068652,2052890000.0,958548.0
애호박,2015,33,6,823.0522130588907,1222203500.0,1470471.0
애호박,2015,34,6,709.703198426962,1021619500.0,1444982.0
애호박,2015,35,6,1165.2472936033882,1418128500.0,1250057.0
애호박,2015,36,6,1384.3341936367713,1797054100.0,1299433.0
애호박,2015,37,6,1525.6503252227565,1792194500.0,1200989.0
애호박,2015,38,6,1544.947731945624,1925810900.0,1247799.0
애호박,2015,39,6,1027.7607100108728,1922784200.0,1833184.0
애호박,2015,40,4,567.9222873620146,585823100.0,1039627.0
애호박,2015,41,6,1007.3635849441715,1193560600.0,1197689.0
애호박,2015,42,6,1431.4625839128012,1426901950.0,1006242.0
애호박,2015,43,6,1164.8918268602786,1437686200.0,1226535.0
애호박,2015,44,6,1461.2494609955409,1641696975.0,1136273.0
애호박,2015,45,6,1689.181223251191,1799578500.0,1065262.0
애호박,2015,46,6,1819.0263422823828,1808213125.0,1004136.0
애호박,2015,47,6,2060.2510168890885,1975281250.0,956162.0
애호박,2015,48,6,2689.0629122023824,2021267625.0,768246.0
애호박,2015,49,6,3686.0355834480433,2379062250.0,647137.0
애호박,2015,50,6,2766.9784665356506,2126964500.0,759653.0
애호박,2015,51,6,2715.8996884178855,2112994500.0,785812.0
애호박,2015,52,6,2702.9227322357756,1971495500.0,729026.0
애호박,2015,53,4,2499.5646169682896,1644445800.0,656466.0
애호박,2016,1,6,2538.3175002706926,2050544500.0,850844.0
애호박,2016,2,6,2998.9788626123122,1872830500.0,629280.0
애호박,2016,3,6,3751.0917695301687,2084361000.0,556066.0
애호박,2016,4,6,3974.0202790096446,2436048000.0,613922.0
애호박,2016,5,6,4694.810315689153,3594491700.0,763808.0
애호박,2016,6,3,2967.1441461451213,1177332500.0,390171.0
애호박,2016,7,6,2986.4043772914374,2083900570.0,709265.0
애호박,2016,8,7,2408.4979911255427,1984440000.0,820146.0
애호박,2016,9,6,2623.8582708803287,1910705500.0,727718.0
애호박,2016,10,6,2773.7651849604576,2067364500.0,748486.0
애호박,2016,11,6,2836.736146936007,2144368500.0,757052.0
애호박,2016,12,6,2500.62863397062,2191643000.0,879908.0
애호박,2016,13,6,1745.1458977119482,1905237500.0,1083407.0
애호박,2016,14,6,1569.2822379602576,1834978000.0,1179680.0
애호박,2016,15,6,1312.5310852492591,1819773000.0,1374752.0
애호박,2016,16,6,1138.6757497412302,1579602000.0,1387412.0
애호박,2016,17,6,1085.5196203757484,1528489500.0,1410108.0
애호박,2016,18,6,1042.8006355800462,1536346300.0,1475082.0
애호박,2016,19,6,1005.5534456276304,1447088875.0,1454464.0
애호박,2016,20,6,1012.2689583392647,1519716050.0,1501449.0
애호박,2016,21,6,903.2090881000289,1379728350.0,1534977.0
애호박,2016,22,6,988.0134721241856,1395960625.0,1420486.0
애호박,2016,23,6,995.1392931557716,1367948875.0,1377784.0
애호박,2016,24,6,1087.7320302311882,1336179290.0,1272263.0
애호박,2016,25,6,1086.7186938174993,1530765250.0,1390432.0
애호박,2016,26,6,744.1019093461526,1078009750.0,1449881.0
애호박,2016,27,6,1379.4812406060266,1417763439.0,1105710.0
애호박,2016,28,6,1262.4200099561633,1477055881.0,1173722.0
애호박,2016,29,6,969.9418978465161,1175708820.0,1192446.0
애호박,2016,30,6,930.5220681457035,1002518700.0,1096889.0
애호박,2016,31,6,1662.1607549125704,1264877910.0,738789.0
애호박,2016,32,6,846.7406003139439,1241968610.0,1434756.0
애호박,2016,33,6,900.9995034335602,1111672609.0,1236271.0
애호박,2016,34,6,1286.1464585056538,1379070600.0,1085083.0
애호박,2016,35,6,3168.3365386878213,2680427000.0,862389.0
애호박,2016,36,6,3127.1185642473315,3126757100.0,1012163.0
애호박,2016,37,3,3265.737007789623,1808825000.0,545953.0
애호박,2016,38,6,1768.4678355205554,2193029100.0,1287350.0
애호박,2016,39,6,1520.4105199184644,1908881200.0,1270089.0
애호박,2016,40,6,1850.8765987989093,2262201200.0,1228136.0
애호박,2016,41,6,2687.731704221965,2483555750.0,955308.0
애호박,2016,42,6,1835.550087538588,2315548000.0,1237444.0
애호박,2016,43,6,1896.2553467781574,2004360750.0,1077876.0
애호박,2016,44,6,2275.0294987304123,1920132875.0,859849.0
애호박,2016,45,6,1956.4598740078366,1989247125.0,996174.0
애호박,2016,46,6,1830.8464058348884,1852720000.0,1011791.0
애호박,2016,47,6,1776.7655187592584,1730613125.0,975330.0
애호박,2016,48,6,1975.3079850505976,1726397375.0,881268.0
애호박,2016,49,6,1887.7429945730892,1742021250.0,917744.0
애호박,2016,50,6,2036.7499305864742,1773161125.0,875886.0
애호박,2016,51,6,2133.9312253216212,1824582500.0,854778.0
애호박,2016,52,6,2500.5546332536073,2028506500.0,815614.0
애호박,2017,1,5,2675.1006477416463,1710544500.0,651607.0
애호박,2017,2,6,3214.6994323734093,2376171000.0,741346.0
애호박,2017,3,6,3357.727351457838,2819080000.0,839363.0
애호박,2017,4,5,2841.0732294951094,2486287086.0,858720.0
애호박,2017,5,4,2217.3671836294343,1278241000.0,602189.0
애호박,2017,6,6,2054.2836061829635,1795256250.0,868632.0
애호박,2017,7,6,2253.8958589188323,1697567916.0,753998.0
애호박,2017,8,6,2209.4094183175202,1932964070.0,872518.0
애호박,2017,9,6,2185.0829325390227,2079821292.0,952822.0
애호박,2017,10,6,1896.6092741414977,1872776400.0,983087.0
애호박,2017,11,6,1723.0362178352873,1888453104.0,1091797.0
애호박,2017,12,6,1436.8302635431364,1654617800.0,1147911.0
애호박,2017,13,6,1502.695430056926,1647697036.0,1103070.0
애호박,2017,14,6,1352.8826436957245,1673669000.0,1231122.0
애호박,2017,15,6,1168.1258114516615,1657415900.0,1415449.0
애호박,2017,16,6,980.5580732276486,1439477424.0,1475546.0
애호박,2017,17,6,978.9867171146205,1580246619.0,1599522.0
애호박,2017,18,6,676.7967958591643,1100265500.0,1613266.0
애호박,2017,19,6,860.6434570825108,1197381900.0,1428240.0
애호박,2017,20,6,1209.1936449673321,1648758900.0,1367708.0
애호박,2017,21,6,993.6745176211447,1472516297.0,1474336.0
애호박,2017,22,6,875.8744962558914,1326206371.0,1504587.0
애호박,2017,23,6,1167.772494404602,1452331600.0,1281090.0
애호박,2017,24,6,1222.7961712989957,1695137260.0,1375938.0
애호박,2017,25,6,799.6273096371241,1224724959.0,1496203.0
애호박,2017,26,6,915.5308245687485,1183891773.0,1331787.0
애호박,2017,27,6,1204.1904694722589,1436393600.0,1193920.0
애호박,2017,28,6,1726.2554167875749,1544991400.0,932050.0
애호박,2017,29,6,1756.2258408216624,1838728300.0,1055799.0
애호박,2017,30,6,1821.8005594232127,1569049381.0,903084.0
애호박,2017,31,6,2679.4729295729317,1990162305.0,719162.0
애호박,2017,32,6,1621.8503393032909,1831441400.0,1126440.0
애호박,2017,33,6,1848.309913420889,1889885445.0,1051455.0
