연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,951.9590663362624,783231051.0,811226.0
2015,28,7,1028.4449787623469,418330902.0,426375.0
2015,29,7,1148.2100130196739,747250853.0,676198.0
2015,30,6,1329.0615605829244,983688395.0,785819.0
2015,31,6,1603.037290124869,872142942.0,585819.0
2015,32,6,1833.9966729497146,1408518910.0,885315.0
2015,33,6,2127.5678606988245,1332194240.0,673259.0
2015,34,6,2288.7585632033683,1288479955.0,568133.0
2015,35,6,2051.4587570154704,1383577578.0,669986.0
2015,36,6,1424.156101759847,970988455.0,686889.0
2015,37,6,1124.1686131011527,751236200.0,672586.0
2015,38,7,993.1641553802547,837964621.0,872789.0
2015,39,6,922.3253423612567,687702546.0,687588.0
2015,40,4,925.1522986529061,405197292.0,419416.0
2015,41,6,747.6688715469231,458015121.0,594786.0
2015,42,6,738.068627006982,603832967.0,776216.0
2015,43,6,695.594446958176,434661871.0,610264.0
2015,44,6,761.610324200975,461679912.0,609787.0
2015,45,6,701.7919577836379,474028065.0,643741.0
2015,46,6,564.1067269280564,384616575.0,678484.0
2015,47,6,574.5095028337796,412414200.0,688899.0
2015,48,7,827.1511718064287,394390450.0,532451.0
2015,49,6,1005.933596195467,895583700.0,904965.0
2015,50,6,1573.8839730810662,1220008900.0,762086.0
2015,51,6,1805.7403734597065,1556047250.0,873704.0
2015,52,6,1825.2438228503613,1563195425.0,838725.0
2015,53,4,1963.4025271225228,1214783439.0,632700.0
2016,1,6,1608.897775786073,1863488851.0,1003342.0
2016,2,7,1490.7285031898434,1102323825.0,752173.0
2016,3,6,1602.0841806836777,1163694683.0,711814.0
2016,4,6,1806.4302773732204,927186312.0,525027.0
2016,5,6,2077.1164213345414,1759108413.0,870495.0
2016,6,4,2100.6149995756678,801123094.0,382136.0
2016,7,6,1770.9460276686143,1166706850.0,649546.0
2016,8,7,1550.0130227501197,1453879922.0,964862.0
2016,9,6,1450.1531889911203,1041917193.0,738802.0
2016,10,6,1134.3777576002528,734409150.0,641664.0
2016,11,6,1229.5257755906073,1037114887.0,811010.0
2016,12,6,1004.8854435777798,836414567.0,829617.0
2016,13,6,895.0646528870217,743805495.0,824243.0
2016,14,6,912.7910653923888,588766913.0,634129.0
2016,15,6,922.5514831516008,800330867.0,857483.0
2016,16,6,937.0902078738433,683209093.0,724852.0
2016,17,6,866.341611227102,651259611.0,740018.0
2016,18,7,951.6420120293369,779368375.0,837259.0
2016,19,6,817.4564864123222,510867973.0,626292.0
2016,20,6,818.0559230724252,815031660.0,945989.0
2016,21,7,677.1996404871045,340851441.0,604325.0
2016,22,7,840.2990007245171,607746056.0,794189.0
2016,23,6,724.8113194907702,346747774.0,461328.0
2016,24,7,965.3648192335702,531008822.0,604127.0
2016,25,6,982.2267643892097,515756055.0,560431.0
2016,26,6,1044.441805964529,762480642.0,759612.0
2016,27,6,1231.7834522637593,635634800.0,522985.0
2016,28,6,1744.9336411677048,849662881.0,542566.0
2016,29,6,1781.0156418136648,979415420.0,559298.0
2016,30,6,1409.1036873065939,885770558.0,663455.0
2016,31,7,1386.7000213744338,922102115.0,668293.0
2016,32,6,1470.4015077890629,775226575.0,524264.0
2016,33,6,1735.8193627996095,1091688479.0,656463.0
2016,34,6,2186.8178066308074,1173048026.0,545677.0
2016,35,6,2362.849906772895,1571296913.0,764470.0
2016,36,7,2768.7181105335244,1375260575.0,528014.0
2016,37,3,2804.7644142524496,928160970.0,344594.0
2016,38,6,2036.605481250713,1801047325.0,890672.0
2016,39,6,1859.9387635446035,1149005358.0,634446.0
2016,40,7,1620.4649245931766,1041749377.0,641756.0
2016,41,7,1569.4393172191526,658272750.0,415395.0
2016,42,7,1505.398686311008,693214425.0,492888.0
2016,43,7,1661.6487040755947,1291149439.0,758799.0
2016,44,6,2137.9381999990474,1334553465.0,745488.0
2016,45,7,2537.3328958538773,1563363242.0,628284.0
2016,46,7,2572.56673691127,2029737850.0,751132.0
2016,47,7,2051.844735990626,1221079390.0,553929.0
2016,48,7,1773.909080653467,1452058068.0,846004.0
2016,49,6,1976.494478212464,971980425.0,491651.0
2016,50,6,2242.5872273530304,1659693175.0,738129.0
2016,51,6,1641.7149374005837,1053239587.0,631781.0
2016,52,6,1674.1117374040641,1300363886.0,757237.0
2017,1,6,1322.232940864986,852719174.0,671322.0
2017,2,6,1073.9463889644378,650055410.0,605165.0
2017,3,6,867.7930461649408,509608231.0,570277.0
2017,4,5,1085.5418820904345,416931221.0,390149.0
2017,5,4,826.3142275171062,621267415.0,701199.0
2017,6,6,728.3126343086329,437481540.0,589319.0
2017,7,6,775.4487258764707,506095556.0,654720.0
2017,8,6,760.3247467999787,495479195.0,726363.0
2017,9,6,1045.256408581665,684520255.0,651070.0
2017,10,6,933.9700158892392,530055735.0,572584.0
2017,11,6,896.600879483744,709620606.0,771385.0
2017,12,6,868.4078050151908,492595386.0,566017.0
2017,13,6,856.7287022999448,849909925.0,948887.0
2017,14,6,861.0718152179574,588106075.0,681668.0
2017,15,6,853.0794210930894,551197775.0,639933.0
2017,16,6,915.2375846409594,551277590.0,593863.0
2017,17,6,792.789324804215,668021855.0,808887.0
2017,18,6,711.0124304799656,565647700.0,753685.0
2017,19,6,791.1293214830698,410809081.0,515974.0
2017,20,6,857.5503233332989,406649550.0,481594.0
2017,21,6,929.7902444626956,681648400.0,730854.0
2017,22,6,952.9936573205756,701215459.0,739971.0
2017,23,6,1024.3595006304124,346112350.0,347765.0
2017,24,6,834.4340137714335,597611400.0,696755.0
2017,25,6,867.3191324213013,552000180.0,616299.0
2017,26,6,983.6032526840513,657328323.0,698104.0
2017,27,6,1213.5018395675409,582367425.0,484384.0
2017,28,6,1480.424450431554,830191100.0,569386.0
2017,29,6,1478.156397473117,1011920475.0,683949.0
2017,30,6,1445.2634393080214,740532275.0,510867.0
