거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%),연도,월,weekday,is_sunday,주차
2025-06-30,깐쪽파,9916.0,117316000.0,,0.0,,0.0,8245.0,20.3,73862533.0,58.8,2025,6,0,False,27
2025-06-29,깐쪽파,,,6752.0,0.0,91674000.0,0.0,8237.0,0.0,76634600.0,0.0,2025,6,6,True,26
2025-06-28,깐쪽파,11517.0,102844700.0,7454.0,54.5,103728000.0,-0.9,8452.0,36.3,79646467.0,29.1,2025,6,5,False,26
2025-06-27,깐쪽파,11140.0,113791600.0,4844.0,130.0,66905000.0,70.1,8350.0,33.4,79554400.0,43.0,2025,6,4,False,26
2025-06-26,깐쪽파,10736.0,114078200.0,8229.0,30.5,82104000.0,38.9,8273.0,29.8,82350700.0,38.5,2025,6,3,False,26
2025-06-25,깐쪽파,11380.0,115326200.0,8103.0,40.4,106996000.0,7.8,8033.0,41.7,79654433.0,44.8,2025,6,2,False,26
2025-06-24,깐쪽파,14228.0,126065800.0,9106.0,56.2,146848000.0,-14.2,7880.0,80.6,73806392.0,70.8,2025,6,1,False,26
2025-06-23,깐쪽파,10138.0,126887000.0,,0.0,,0.0,7696.0,31.7,73442138.0,72.8,2025,6,0,False,26
2025-06-22,깐쪽파,,,5867.0,0.0,101840000.0,0.0,7634.0,0.0,78629238.0,0.0,2025,6,6,True,25
2025-06-21,깐쪽파,12744.0,96833600.0,6251.0,103.9,96266000.0,0.6,8020.0,58.9,82621105.0,17.2,2025,6,5,False,25
2025-06-20,깐쪽파,11224.0,90732500.0,5910.0,89.9,91802000.0,-1.2,8253.0,36.0,84163505.0,7.8,2025,6,4,False,25
2025-06-19,깐쪽파,14774.0,108715300.0,7017.0,110.5,96611000.0,12.5,8368.0,76.6,86197013.0,26.1,2025,6,3,False,25
2025-06-18,깐쪽파,11931.0,87313000.0,6990.0,70.7,96930000.0,-9.9,8495.0,40.4,84572400.0,3.2,2025,6,2,False,25
2025-06-17,깐쪽파,15738.0,99111500.0,7855.0,100.4,92696000.0,6.9,8727.0,80.3,82268167.0,20.5,2025,6,1,False,25
2025-06-16,깐쪽파,15796.0,103068600.0,,0.0,,0.0,9043.0,74.7,79956800.0,28.9,2025,6,0,False,25
