품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
레드치커리,2015,27,5,2284.5640084359748,36082798.0,15864.0
레드치커리,2015,28,6,2580.409629136269,51720360.0,20420.0
레드치커리,2015,29,6,1723.6046726369507,33284037.0,19128.0
레드치커리,2015,30,6,3082.3225945290847,57833646.0,18964.0
레드치커리,2015,31,5,3093.167731666589,50484275.0,16372.0
레드치커리,2015,32,6,5846.378173304821,129211400.0,22355.0
레드치커리,2015,33,6,4317.277244689542,86836587.0,19880.0
레드치커리,2015,34,6,2782.129546425925,56097861.0,20268.0
레드치커리,2015,35,6,2016.094183161524,40448509.0,20152.0
레드치커리,2015,36,6,2105.195419373495,45646546.0,21686.0
레드치커리,2015,37,6,1867.9864672163392,37766600.0,20207.0
레드치커리,2015,38,6,2341.823583148177,43115097.0,18678.0
레드치커리,2015,39,6,1894.145516384109,34369999.0,17262.0
레드치커리,2015,40,4,2240.3490583398525,32933909.0,14764.0
레드치커리,2015,41,6,1886.901157919352,41096469.0,21952.0
레드치커리,2015,42,6,1915.4654889001479,42222861.0,21892.0
레드치커리,2015,43,6,1909.4740707335504,38180197.0,19882.0
레드치커리,2015,44,6,1883.6043268133446,38637634.0,20466.0
레드치커리,2015,45,6,2305.1854251596665,37233495.0,16638.0
레드치커리,2015,46,6,2177.3752161432035,46719224.0,21588.0
레드치커리,2015,47,6,1771.8639361153248,29948047.0,16826.0
레드치커리,2015,48,6,2276.1374783864544,40404349.0,17916.0
레드치커리,2015,49,6,4028.227394424575,68804699.0,17214.0
레드치커리,2015,50,6,4936.490203283658,87483799.0,17744.0
레드치커리,2015,51,6,5218.541737143981,106399962.0,20708.0
레드치커리,2015,52,6,5381.142086892764,102551562.0,19120.0
레드치커리,2015,53,4,6448.230024578621,92038763.0,14386.0
레드치커리,2016,1,6,4757.717425743246,102259057.0,20924.0
레드치커리,2016,2,6,3152.5008502440264,46889573.0,14822.0
레드치커리,2016,3,6,3668.4867324260053,61399629.0,16301.0
레드치커리,2016,4,6,3146.068341069822,49228566.0,15646.0
레드치커리,2016,5,6,3223.5753305370604,62309919.0,19578.0
레드치커리,2016,6,3,3145.73827197287,35166188.0,11022.0
레드치커리,2016,7,6,2736.9833543482223,54130024.0,20278.0
레드치커리,2016,8,7,2868.222146841618,74516945.0,26163.0
레드치커리,2016,9,6,2669.95220644951,68617214.0,25739.0
레드치커리,2016,10,6,2649.531487293812,63057071.0,23776.0
레드치커리,2016,11,6,2725.3088894859643,54262490.0,20108.0
레드치커리,2016,12,6,2712.446549570325,67812183.0,25110.0
레드치커리,2016,13,6,1965.9135418076723,41668338.0,21431.0
레드치커리,2016,14,6,1699.0971883747509,41213229.0,24224.0
레드치커리,2016,15,6,1731.7893204471404,38480162.0,22528.0
레드치커리,2016,16,6,1725.0671463181495,34861996.0,20393.0
레드치커리,2016,17,6,1997.9697994020962,37874855.0,19204.0
레드치커리,2016,18,6,2659.8779624106696,50154786.0,19072.0
레드치커리,2016,19,6,3932.1872981646175,76228302.0,19574.0
레드치커리,2016,20,6,4384.977751655914,79410097.0,18574.0
레드치커리,2016,21,6,4106.275892744307,76802766.0,18976.0
레드치커리,2016,22,6,3156.456049835175,61413673.0,19509.0
레드치커리,2016,23,6,3691.471973033109,77427860.0,20983.0
레드치커리,2016,24,6,3216.680860613909,55869862.0,17720.0
레드치커리,2016,25,6,3831.3276841126644,59409302.0,15702.0
레드치커리,2016,26,6,3459.1157770132645,67271291.0,19772.0
레드치커리,2016,27,6,2604.9087232852776,54271684.0,21332.0
레드치커리,2016,28,6,5056.079301835435,99759383.0,19999.0
레드치커리,2016,29,6,4199.359258971297,79528600.0,18482.0
레드치커리,2016,30,6,3453.942438041726,64172700.0,18442.0
레드치커리,2016,31,6,4256.161342471373,78447421.0,16530.0
레드치커리,2016,32,6,4485.6840590909715,81644547.0,18802.0
레드치커리,2016,33,6,4795.243650632146,84479713.0,17517.0
레드치커리,2016,34,6,5446.865044275945,86836816.0,16236.0
레드치커리,2016,35,6,5112.048057220864,90096187.0,17653.0
레드치커리,2016,36,6,3815.9246755499667,71109559.0,18586.0
레드치커리,2016,37,3,3131.457265645389,28614774.0,8850.0
레드치커리,2016,38,6,2177.846711564473,45684196.0,21040.0
레드치커리,2016,39,6,1889.511371983857,32224746.0,17286.0
레드치커리,2016,40,6,2628.556236271228,54468810.0,20818.0
레드치커리,2016,41,6,4245.959225206129,89003385.0,21222.0
레드치커리,2016,42,6,3775.4246440692427,78949165.0,21508.0
레드치커리,2016,43,6,2548.22429328067,56792256.0,22596.0
레드치커리,2016,44,6,3121.330143353173,52420596.0,17068.0
레드치커리,2016,45,6,2625.328527934704,51916774.0,20052.0
레드치커리,2016,46,6,2318.565696607327,41386900.0,18038.0
레드치커리,2016,47,6,1894.5762408776543,36619149.0,19560.0
레드치커리,2016,48,6,2521.399712782388,39415712.0,15629.0
레드치커리,2016,49,6,3204.7366517788955,60709689.0,19066.0
레드치커리,2016,50,6,3025.7590527305015,67321524.0,22450.0
레드치커리,2016,51,6,2914.70336215586,66327924.0,22862.0
레드치커리,2016,52,6,3110.8509191015164,69736987.0,22409.0
레드치커리,2017,1,5,3276.7799139651183,62973177.0,19412.0
레드치커리,2017,2,6,2435.5781518899425,48185598.0,20006.0
레드치커리,2017,3,6,2780.043001700074,47774021.0,17209.0
레드치커리,2017,4,5,2270.79882811062,36886126.0,14878.0
레드치커리,2017,5,4,2683.300042403941,32478437.0,12492.0
레드치커리,2017,6,6,2103.7987078082406,44510337.0,21130.0
레드치커리,2017,7,6,1953.2241568391858,38405805.0,19836.0
레드치커리,2017,8,6,2279.5677124933127,48013848.0,21536.0
레드치커리,2017,9,6,2410.71383965949,53088564.0,22274.0
레드치커리,2017,10,6,1857.37359603576,50563271.0,26606.0
레드치커리,2017,11,6,1667.0159122362138,36033422.0,21990.0
레드치커리,2017,12,6,1574.463762669303,35073536.0,22586.0
레드치커리,2017,13,6,1375.2690007997714,28081607.0,20341.0
레드치커리,2017,14,6,1594.091606024789,31630574.0,19796.0
레드치커리,2017,15,6,1704.4568195612985,35557612.0,21066.0
레드치커리,2017,16,6,1707.2630533064132,36267808.0,21287.0
레드치커리,2017,17,6,2307.761150630476,37004705.0,16333.0
레드치커리,2017,18,6,2653.4911188947785,45582799.0,17568.0
레드치커리,2017,19,6,3981.0062527985483,59038647.0,15772.0
레드치커리,2017,20,6,4247.700168058775,65594241.0,15666.0
레드치커리,2017,21,6,4804.017477368826,72937404.0,15480.0
레드치커리,2017,22,6,4157.148833105543,63514898.0,15438.0
레드치커리,2017,23,6,4340.760919477589,65474501.0,15086.0
레드치커리,2017,24,6,3362.8355731349016,59787477.0,17668.0
레드치커리,2017,25,6,3098.315582683716,45107105.0,14430.0
레드치커리,2017,26,6,3368.9640697959912,53094731.0,16400.0
레드치커리,2017,27,6,3030.8580207388636,45149282.0,14942.0
레드치커리,2017,28,6,4092.474293452977,65536223.0,15940.0
레드치커리,2017,29,6,4688.747572706398,85147293.0,18076.0
레드치커리,2017,30,6,4361.099886833417,72023920.0,17020.0
레드치커리,2017,31,5,7032.743610934622,113365880.0,16154.0
레드치커리,2017,32,6,4399.482856615612,93033340.0,20488.0
레드치커리,2017,33,6,2836.882592361022,57030512.0,20448.0
레드치커리,2017,34,6,1887.0659374596937,34402661.0,18000.0
레드치커리,2017,35,6,3082.6500306297544,57495498.0,18592.0
레드치커리,2017,36,6,3281.2718427644645,60836613.0,18316.0
레드치커리,2017,37,6,2026.1666983545344,33822387.0,16772.0
레드치커리,2017,38,6,1910.5383907365406,27395821.0,14332.0
레드치커리,2017,39,6,2222.7025738939788,32379737.0,14508.0
레드치커리,2017,40,3,2723.702943746532,28744899.0,10004.0
레드치커리,2017,41,6,2273.279634857463,58957624.0,26010.0
레드치커리,2017,42,6,1929.0289014897062,35447784.0,18908.0
레드치커리,2017,43,6,2319.8787023042537,51784907.0,22376.0
레드치커리,2017,44,6,2492.913924822545,44520312.0,17894.0
레드치커리,2017,45,6,2701.055209768641,39269172.0,14712.0
레드치커리,2017,46,6,3230.8465973501757,48304725.0,14992.0
레드치커리,2017,47,6,4258.256826879071,70617186.0,16804.0
레드치커리,2017,48,6,2859.904174031401,48227436.0,17008.0
레드치커리,2017,49,6,3380.9117331582825,55587024.0,16474.0
레드치커리,2017,50,6,3982.5877643625936,54161899.0,13640.0
레드치커리,2017,51,6,5147.953480992073,77249150.0,15446.0
레드치커리,2017,52,6,5143.7078642995175,95817649.0,18918.0
레드치커리,2018,1,5,4261.710823674046,71489875.0,16770.0
레드치커리,2018,2,6,3505.539519141273,54680050.0,15384.0
레드치커리,2018,3,6,3156.3173991005738,49573200.0,16318.0
레드치커리,2018,4,6,2907.0690364022853,33947546.0,12212.0
레드치커리,2018,5,6,3009.2142080733406,55086009.0,18334.0
레드치커리,2018,6,6,2573.18323513438,42705243.0,16530.0
레드치커리,2018,7,4,2688.2692254705826,29812606.0,10580.0
레드치커리,2018,8,6,2149.7685648704896,44822800.0,20832.0
레드치커리,2018,9,6,1866.047820802104,40098451.0,21770.0
레드치커리,2018,10,6,2084.5944756299955,45162211.0,21854.0
레드치커리,2018,11,6,2312.377917298514,42464525.0,19070.0
레드치커리,2018,12,6,2104.4568831459733,46238731.0,22116.0
레드치커리,2018,13,6,2857.106733384177,47462095.0,16814.0
레드치커리,2018,14,6,1825.7414627037515,32690500.0,18144.0
레드치커리,2018,15,6,2177.494296913277,35545000.0,16818.0
레드치커리,2018,16,6,2917.5579442943485,49170400.0,16964.0
레드치커리,2018,17,6,2392.9323562177283,36594800.0,15248.0
레드치커리,2018,18,6,2904.3366185046852,48323100.0,17274.0
레드치커리,2018,19,6,3057.8061572749198,46652800.0,15950.0
레드치커리,2018,20,6,3057.0029558695514,47656500.0,15942.0
레드치커리,2018,21,6,5396.481845890438,93006800.0,17898.0
레드치커리,2018,22,6,5207.877359352396,87255400.0,16974.0
레드치커리,2018,23,6,3437.44339335386,65253500.0,19094.0
레드치커리,2018,24,6,2253.0490301384557,42584200.0,18600.0
레드치커리,2018,25,6,2486.0655652637265,43961300.0,17678.0
레드치커리,2018,26,6,2652.554178274944,40535600.0,15348.0
레드치커리,2018,27,6,3114.9921839174604,52577800.0,16844.0
레드치커리,2018,28,6,3850.566792471726,64951700.0,17236.0
레드치커리,2018,29,6,3159.9249993009325,57429000.0,18216.0
레드치커리,2018,30,6,3730.5778590687987,58879100.0,16194.0
레드치커리,2018,31,5,5959.458964861724,92498800.0,15966.0
레드치커리,2018,32,6,7457.3429178548295,120476900.0,16650.0
레드치커리,2018,33,6,8502.665409265597,121986300.0,14370.0
레드치커리,2018,34,6,7160.028565000085,93735800.0,13286.0
레드치커리,2018,35,6,3988.222132462453,70465000.0,17556.0
레드치커리,2018,36,6,5599.180191043619,88524800.0,16342.0
레드치커리,2018,37,6,4177.7806415187215,66029300.0,15816.0
레드치커리,2018,38,6,1806.3285284177348,32991000.0,17290.0
레드치커리,2018,39,3,1640.324142783283,15418600.0,9580.0
레드치커리,2018,40,6,1534.3543225447536,24332200.0,16308.0
레드치커리,2018,41,6,2158.7402807585704,44027100.0,20696.0
레드치커리,2018,42,6,2386.6106464415548,49716900.0,20722.0
레드치커리,2018,43,6,2150.975666307884,44217900.0,20646.0
레드치커리,2018,44,6,1971.8400091623787,38337800.0,19490.0
레드치커리,2018,45,6,1657.028539948539,24419100.0,14800.0
레드치커리,2018,46,6,1719.2648131456388,33413400.0,19278.0
레드치커리,2018,47,6,1637.9111016288614,30129000.0,18367.0
레드치커리,2018,48,6,2502.1612503262427,41783800.0,16722.0
레드치커리,2018,49,6,2362.6153270226973,50260600.0,21286.0
레드치커리,2018,50,6,2266.413710858845,37223300.0,16502.0
레드치커리,2018,51,6,2649.3354217865685,52265500.0,19772.0
레드치커리,2018,52,6,2526.216861121718,47173900.0,19206.0
레드치커리,2019,1,5,4443.930283216279,79555100.0,16934.0
레드치커리,2019,2,6,2218.8009203945926,45641500.0,19954.0
레드치커리,2019,3,6,2173.476953717694,42107600.0,19282.0
레드치커리,2019,4,6,2068.3245654708753,34403500.0,16670.0
레드치커리,2019,5,6,1919.640547844516,33482900.0,17680.0
레드치커리,2019,6,3,1963.201701134615,20791600.0,10162.0
레드치커리,2019,7,6,1656.7263422283397,34351300.0,19668.0
레드치커리,2019,8,6,2268.622407598321,44013000.0,18354.0
레드치커리,2019,9,6,2580.798751597031,57492200.0,21694.0
레드치커리,2019,10,6,1937.5591326473434,43224800.0,22184.0
레드치커리,2019,11,6,2374.1386271699894,45902200.0,19566.0
레드치커리,2019,12,6,2920.205151177765,49574600.0,16944.0
레드치커리,2019,13,6,3345.7043474212774,60510600.0,18062.0
레드치커리,2019,14,6,2811.8333343141526,48925200.0,17112.0
레드치커리,2019,15,6,3003.062747770027,41787500.0,13676.0
레드치커리,2019,16,6,2777.471655061454,40736600.0,14468.0
레드치커리,2019,17,6,2677.2005832207356,34898600.0,13268.0
레드치커리,2019,18,6,3461.8144255722523,45355400.0,13176.0
레드치커리,2019,19,6,5310.606943081487,65172000.0,12740.0
레드치커리,2019,20,6,4536.153852580264,67659300.0,15264.0
레드치커리,2019,21,6,3527.457500661529,57484900.0,16418.0
레드치커리,2019,22,6,3709.47316678254,63088800.0,17150.0
레드치커리,2019,23,6,2952.5064458615348,44728800.0,15358.0
레드치커리,2019,24,6,2945.8863965597975,52153000.0,17658.0
레드치커리,2019,25,6,2746.815023500727,52055100.0,19036.0
레드치커리,2019,26,6,3416.596666949284,61584800.0,18128.0
레드치커리,2019,27,6,2412.9451678062183,47189300.0,19516.0
레드치커리,2019,28,6,3705.02260719543,72166000.0,19390.0
레드치커리,2019,29,6,2592.0104935755703,49540700.0,19110.0
레드치커리,2019,30,6,2662.1256140625933,42062800.0,15620.0
레드치커리,2019,31,5,5279.436743631253,82586300.0,15616.0
레드치커리,2019,32,6,7221.435252192256,139769800.0,19337.0
레드치커리,2019,33,6,6961.303732699706,104734500.0,15134.0
레드치커리,2019,34,6,5600.311468636039,86124300.0,16536.0
레드치커리,2019,35,6,2966.5764241871,50404400.0,17190.0
레드치커리,2019,36,6,2671.0465688673407,48346900.0,18582.0
레드치커리,2019,37,4,2748.3080004220947,26507400.0,10008.0
레드치커리,2019,38,6,3938.830882011712,73320500.0,18702.0
레드치커리,2019,39,6,4061.6481097278756,56798100.0,14528.0
레드치커리,2019,40,6,3431.8067819192947,48820100.0,14512.0
레드치커리,2019,41,6,3850.37743335634,64127000.0,16752.0
레드치커리,2019,42,6,4147.65629815188,74178300.0,18256.0
레드치커리,2019,43,6,2848.0581419101877,57125300.0,20002.0
레드치커리,2019,44,6,2332.0795921008644,44194500.0,19160.0
레드치커리,2019,45,6,2409.8270123169355,43669945.0,18372.0
레드치커리,2019,46,6,2483.036896239814,50066000.0,19954.0
레드치커리,2019,47,6,2953.1746706075337,41949400.0,14328.0
레드치커리,2019,48,6,3752.371944332343,64398700.0,17530.0
레드치커리,2019,49,6,3384.512195148301,60190700.0,18094.0
레드치커리,2019,50,6,5720.479138678204,96261500.0,16780.0
레드치커리,2019,51,6,5045.805945393228,99600500.0,20120.0
레드치커리,2019,52,6,5975.188128209207,104700000.0,17414.0
레드치커리,2020,1,2,10542.269768722039,37228200.0,3878.0
레드치커리,2020,2,6,4763.769692431576,98477800.0,20307.0
레드치커리,2020,3,6,5456.5890931506065,91258300.0,16772.0
레드치커리,2020,4,5,5259.216948862713,68098600.0,12790.0
레드치커리,2020,5,5,2815.788127870563,41102800.0,14618.0
레드치커리,2020,6,6,2706.864737234118,45192900.0,16822.0
레드치커리,2020,7,6,3100.7055446241707,47717000.0,15532.0
레드치커리,2020,8,6,2613.976956646776,47709200.0,18452.0
레드치커리,2020,9,6,2617.030419290246,48022500.0,18588.0
레드치커리,2020,10,6,1857.202084263375,29219000.0,15454.0
레드치커리,2020,11,6,2378.82060785755,31395500.0,13580.0
레드치커리,2020,12,6,2547.15330659098,29967800.0,12221.0
레드치커리,2020,13,6,2611.72314244233,31192500.0,11800.0
레드치커리,2020,14,6,1837.7227725333876,24404900.0,13492.0
레드치커리,2020,15,6,2047.037487594237,27952600.0,13756.0
레드치커리,2020,16,6,1990.7740177939525,23628700.0,12138.0
레드치커리,2020,17,6,1524.908583240559,17220900.0,11172.0
레드치커리,2020,18,6,3268.40331389126,33459100.0,10632.0
레드치커리,2020,19,6,2783.675685411565,31812300.0,11636.0
레드치커리,2020,20,6,3787.9635972697774,54376100.0,14388.0
레드치커리,2020,21,6,4037.6005475259094,71292000.0,17836.0
레드치커리,2020,22,6,3795.249226825736,69886200.0,18414.0
레드치커리,2020,23,6,2896.7188807305943,47809000.0,16242.0
레드치커리,2020,24,6,3244.154023985539,45932900.0,14086.0
레드치커리,2020,25,6,4094.1911283315208,65962100.0,16134.0
레드치커리,2020,26,6,3880.4873927988538,65634200.0,16802.0
레드치커리,2020,27,6,3778.394107638635,63079200.0,16678.0
레드치커리,2020,28,6,3784.3618493390163,65848400.0,17190.0
레드치커리,2020,29,6,3877.362210219173,59385200.0,15830.0
레드치커리,2020,30,6,3024.6370432732365,48465100.0,15932.0
레드치커리,2020,31,5,4714.858483401823,56974000.0,12114.0
레드치커리,2020,32,6,6908.304558531461,97256600.0,14864.0
레드치커리,2020,33,6,10112.223787000594,106906000.0,11074.0
레드치커리,2020,34,6,9285.659649891366,126642500.0,13619.0
레드치커리,2020,35,6,5161.04788099616,59262100.0,11324.0
레드치커리,2020,36,6,2710.095249362367,25112100.0,9432.0
레드치커리,2020,37,6,2600.145683375806,35965600.0,13924.0
레드치커리,2020,38,6,3321.1400758410746,41040000.0,12446.0
레드치커리,2020,39,6,3550.1303587654347,37656000.0,11008.0
레드치커리,2020,40,3,4553.383493392537,22545700.0,5590.0
레드치커리,2020,41,6,2157.0071233935723,26196400.0,12836.0
레드치커리,2020,42,6,2921.3032197503435,38244600.0,13104.0
레드치커리,2020,43,6,2409.799935248245,48053800.0,19758.0
레드치커리,2020,44,6,2416.5358020916506,39527000.0,16406.0
레드치커리,2020,45,6,2919.4719331990477,44798100.0,15390.0
레드치커리,2020,46,6,2501.789828277472,37220700.0,15004.0
레드치커리,2020,47,6,2251.037686049943,30919200.0,13622.0
레드치커리,2020,48,6,2037.1347000395315,32797500.0,16100.0
