거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%),연도,월,weekday,is_sunday,주차
2025-06-30,깐양파,1840.0,2380000.0,,0.0,,0.0,3418.0,-46.2,4610367.0,-48.4,2025,6,0,False,27
2025-06-29,깐양파,,,400.0,0.0,685000.0,0.0,3606.0,0.0,4846673.0,0.0,2025,6,6,True,26
2025-06-28,깐양파,300.0,420000.0,1350.0,-77.8,2340000.0,-82.1,3753.0,-92.0,4926740.0,-91.5,2025,6,5,False,26
2025-06-27,깐양파,2360.0,3371000.0,1030.0,129.1,1788000.0,88.5,3708.0,-36.4,4819873.0,-30.1,2025,6,4,False,26
2025-06-26,깐양파,400.0,560000.0,1720.0,-76.7,2662000.0,-79.0,3817.0,-89.5,5293933.0,-89.4,2025,6,3,False,26
2025-06-25,깐양파,1960.0,2878000.0,550.0,256.4,980000.0,193.7,3882.0,-49.5,5397400.0,-46.7,2025,6,2,False,26
2025-06-24,깐양파,,,1350.0,0.0,2380000.0,0.0,3742.0,0.0,5248367.0,0.0,2025,6,1,False,26
2025-06-23,깐양파,2650.0,3409000.0,,0.0,,0.0,4091.0,-35.2,5613867.0,-39.3,2025,6,0,False,26
2025-06-22,깐양파,,,2050.0,0.0,3600000.0,0.0,4222.0,0.0,5792837.0,0.0,2025,6,6,True,25
2025-06-21,깐양파,800.0,1120000.0,600.0,33.3,1070000.0,4.7,4322.0,-81.5,5000017.0,-77.6,2025,6,5,False,25
2025-06-20,깐양파,1750.0,2155000.0,650.0,169.2,1160000.0,85.8,4250.0,-58.8,4918317.0,-56.2,2025,6,4,False,25
2025-06-19,깐양파,3530.0,4489000.0,1940.0,82.0,3412000.0,31.6,4405.0,-19.9,5069383.0,-11.4,2025,6,3,False,25
2025-06-18,깐양파,800.0,715000.0,600.0,33.3,1070000.0,-33.2,4201.0,-81.0,4856803.0,-85.3,2025,6,2,False,25
2025-06-17,깐양파,620.0,744000.0,650.0,-4.6,1170000.0,-36.4,4050.0,-84.7,4930340.0,-84.9,2025,6,1,False,25
2025-06-16,깐양파,1820.0,2342000.0,,0.0,,0.0,3769.0,-51.7,4824380.0,-51.5,2025,6,0,False,25
2025-06-15,깐양파,,,1700.0,0.0,2980000.0,0.0,3757.0,0.0,4893307.0,0.0,2025,6,6,True,24
2025-06-14,깐양파,500.0,600000.0,650.0,-23.1,1170000.0,-48.7,3674.0,-86.4,4688033.0,-87.2,2025,6,5,False,24
2025-06-13,깐양파,400.0,480000.0,650.0,-38.5,1225000.0,-60.8,3563.0,-88.8,4596847.0,-89.6,2025,6,4,False,24
2025-06-12,깐양파,3090.0,3944000.0,2160.0,43.1,4062000.0,-2.9,3616.0,-14.5,4515833.0,-12.7,2025,6,3,False,24
2025-06-11,깐양파,300.0,360000.0,650.0,-53.8,1225000.0,-70.6,3610.0,-91.7,4440587.0,-91.9,2025,6,2,False,24
2025-06-10,깐양파,2210.0,2812000.0,1600.0,38.1,2955000.0,-4.8,3268.0,-32.4,4230027.0,-33.5,2025,6,1,False,24
2025-06-09,깐양파,,,,0.0,,0.0,3181.0,0.0,4020267.0,0.0,2025,6,0,False,24
2025-06-08,깐양파,,,1950.0,0.0,3635000.0,0.0,3166.0,0.0,4111287.0,0.0,2025,6,6,True,23
2025-06-07,깐양파,300.0,390000.0,500.0,-40.0,940000.0,-58.5,3424.0,-91.2,4435533.0,-91.2,2025,6,5,False,23
2025-06-06,깐양파,2850.0,2842000.0,1670.0,70.7,3119000.0,-8.9,3610.0,-21.1,4596747.0,-38.2,2025,6,4,False,23
2025-06-05,깐양파,1500.0,1050000.0,800.0,87.5,1510000.0,-30.5,3822.0,-60.8,4659687.0,-77.5,2025,6,3,False,23
2025-06-04,깐양파,2030.0,2630000.0,1410.0,44.0,2698000.0,-2.5,3934.0,-48.4,4743547.0,-44.6,2025,6,2,False,23
2025-06-03,깐양파,,,1310.0,0.0,2578000.0,0.0,4027.0,0.0,4675180.0,0.0,2025,6,1,False,23
2025-06-02,깐양파,1860.0,2410000.0,,0.0,,0.0,3603.0,-48.4,4163150.0,-42.1,2025,6,0,False,23
2025-06-01,깐양파,,,750.0,0.0,1500000.0,0.0,3446.0,0.0,3865290.0,0.0,2025,6,6,True,22
2025-05-31,깐양파,1810.0,2344000.0,1530.0,18.3,2936000.0,-20.2,3444.0,-47.4,4002890.0,-41.4,2025,5,5,False,22
2025-05-30,깐양파,1000.0,850000.0,1100.0,-9.1,2170000.0,-60.8,3467.0,-71.2,4072390.0,-79.1,2025,5,4,False,22
2025-05-29,깐양파,3550.0,4594000.0,700.0,407.1,1400000.0,228.1,3491.0,1.7,4043490.0,13.6,2025,5,3,False,22
2025-05-28,깐양파,,,1950.0,0.0,3800000.0,0.0,3518.0,0.0,4188553.0,0.0,2025,5,2,False,22
2025-05-27,깐양파,2070.0,2884000.0,650.0,218.5,1300000.0,121.8,3534.0,-41.4,4267333.0,-32.4,2025,5,1,False,22
2025-05-26,깐양파,,,,0.0,,0.0,3325.0,0.0,4093997.0,0.0,2025,5,0,False,22
2025-05-25,깐양파,,,1880.0,0.0,3852000.0,0.0,3306.0,0.0,4161690.0,0.0,2025,5,6,True,21
2025-05-24,깐양파,810.0,1152000.0,700.0,15.7,1460000.0,-21.1,3209.0,-74.8,4242937.0,-72.8,2025,5,5,False,21
2025-05-23,깐양파,2200.0,3245000.0,1150.0,91.3,2375000.0,36.6,3041.0,-27.7,4094683.0,-20.8,2025,5,4,False,21
2025-05-22,깐양파,1500.0,1630000.0,900.0,66.7,1860000.0,-12.4,2991.0,-49.8,3949870.0,-58.7,2025,5,3,False,21
2025-05-21,깐양파,2860.0,4037000.0,1350.0,111.9,2795000.0,44.4,3126.0,-8.5,4279320.0,-5.7,2025,5,2,False,21
2025-05-20,깐양파,600.0,960000.0,1700.0,-64.7,3490000.0,-72.5,3111.0,-80.7,4092227.0,-76.5,2025,5,1,False,21
2025-05-19,깐양파,2170.0,3866000.0,,0.0,,0.0,3091.0,-29.8,4101747.0,-5.7,2025,5,0,False,21
2025-05-18,깐양파,,,250.0,0.0,515000.0,0.0,3152.0,0.0,4170153.0,0.0,2025,5,6,True,20
2025-05-17,깐양파,,,1500.0,0.0,3125000.0,0.0,3168.0,0.0,4308167.0,0.0,2025,5,5,False,20
2025-05-16,깐양파,1500.0,1930000.0,450.0,233.3,985000.0,95.9,2988.0,-49.8,3995287.0,-51.7,2025,5,4,False,20
2025-05-15,깐양파,2110.0,3768000.0,450.0,368.9,985000.0,282.5,3013.0,-30.0,4078820.0,-7.6,2025,5,3,False,20
2025-05-14,깐양파,3600.0,4063000.0,1430.0,151.7,3169000.0,28.2,3430.0,5.0,4273213.0,-4.9,2025,5,2,False,20
2025-05-13,깐양파,550.0,577500.0,1850.0,-70.3,4115000.0,-86.0,3650.0,-84.9,4661067.0,-87.6,2025,5,1,False,20
2025-05-12,깐양파,2740.0,4122000.0,,0.0,,0.0,3788.0,-27.7,4970700.0,-17.1,2025,5,0,False,20
2025-05-11,깐양파,,,350.0,0.0,835000.0,0.0,3858.0,0.0,5147033.0,0.0,2025,5,6,True,19
