연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,1012.1083217632691,1188017250.0,1169609.0
2015,28,6,1015.7833676537298,1307600400.0,1284212.0
2015,29,6,1046.1143215738487,1467788300.0,1416532.0
2015,30,6,1162.3309531422485,1286749650.0,1109445.0
2015,31,5,1249.0391603730666,1285480350.0,1028071.0
2015,32,6,1251.7951407365517,1385684200.0,1110852.0
2015,33,6,1200.0105275170774,1618766540.0,1351490.0
2015,34,6,1303.3164262181815,1465841250.0,1128136.0
2015,35,6,1112.24200116186,435068850.0,363716.0
2015,36,6,1100.0145405254973,182940800.0,161011.0
2015,37,6,1122.0706965757224,148981050.0,133531.0
2015,38,6,1006.2211171629148,204681300.0,203113.0
2015,39,5,1012.4054804955774,80436200.0,85425.0
2015,40,4,1273.7590327832463,35012500.0,29900.0
2015,41,6,1102.187547911091,134143150.0,123449.0
2015,42,6,1205.5963068605934,51425700.0,42277.0
2015,43,6,1249.856637432616,171942600.0,145480.0
2015,44,6,1155.031300678617,153677200.0,134292.0
2015,45,6,1256.2500310585056,106835000.0,84409.0
2015,46,6,1195.0163580179535,87278000.0,74147.0
2015,47,6,1291.2002675047045,50818200.0,39432.0
2015,48,6,1278.6834657162206,75148450.0,58515.0
2015,49,6,1348.1297927456055,95106200.0,68473.0
2015,50,6,1411.1967638293863,52555250.0,36690.0
2015,51,6,1358.8269196395677,59440400.0,43276.0
2015,52,6,1530.0420268314065,53185300.0,35652.0
2015,53,4,1652.0393213121274,53007150.0,32260.0
2016,1,6,1841.836172527557,72137600.0,39510.0
2016,2,6,1550.6205813577474,64564900.0,41590.0
2016,3,6,1544.5610865644596,96016900.0,64633.0
2016,4,6,1533.3459212223731,57502200.0,36794.0
2016,5,6,1654.9939735404548,96312800.0,58388.0
2016,6,3,1612.8488559785746,41209900.0,25835.0
2016,7,6,1589.7987889428648,79519900.0,51018.0
2016,8,7,1583.9980568389008,181926700.0,125279.0
2016,9,6,1710.2853767859024,55583200.0,32876.0
2016,10,6,1674.135503781333,57815200.0,34470.0
2016,11,6,1442.2100919113172,63396500.0,46450.0
2016,12,6,1677.492745265127,46560500.0,28340.0
2016,13,6,1698.3117986345612,24778600.0,15700.0
2016,14,6,1925.9973225723227,36004000.0,18995.0
2016,15,6,1684.1387406149436,27026100.0,15810.0
2016,16,6,1710.9611276655814,24429300.0,14600.0
2016,17,6,1337.724397329197,23962600.0,18580.0
2016,18,6,1182.6973951973953,6130000.0,5400.0
2016,19,6,1006.9286589361096,50634400.0,50872.0
2016,20,6,813.9858720764742,43648300.0,55925.0
2016,21,6,891.0031642673433,117862150.0,135691.0
2016,22,6,794.2626402287452,95906300.0,121751.0
