품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
홍고추(일반),2015,27,5,3769.6473296301556,351868020.0,93255.0
홍고추(일반),2015,28,6,3398.1905625851996,499929070.0,147796.0
홍고추(일반),2015,29,6,2581.3019776556653,439950350.0,171179.0
홍고추(일반),2015,30,6,2623.058076430995,383393620.0,146023.0
홍고추(일반),2015,31,6,2114.28250469184,403956190.0,190719.0
홍고추(일반),2015,32,6,2413.660024991254,983017300.0,404296.0
홍고추(일반),2015,33,6,2184.2417078052677,1176563080.0,541652.0
홍고추(일반),2015,34,6,1832.7299452762936,1145425482.0,607982.0
홍고추(일반),2015,35,6,1902.2804246862725,746313900.0,391528.0
홍고추(일반),2015,36,6,1595.9756953606404,612834100.0,374939.0
홍고추(일반),2015,37,6,2085.854749029832,424867175.0,201540.0
홍고추(일반),2015,38,6,2080.616839316865,269576800.0,130888.0
홍고추(일반),2015,39,6,2648.200691293989,331756275.0,118990.0
홍고추(일반),2015,40,4,2688.9467009877317,158973900.0,59632.0
홍고추(일반),2015,41,6,2064.556291062135,168848750.0,82988.0
홍고추(일반),2015,42,6,2670.1003352919174,192001600.0,71668.0
홍고추(일반),2015,43,6,2632.4030443739107,186326700.0,69763.0
홍고추(일반),2015,44,6,2311.747622414079,134542500.0,58312.0
홍고추(일반),2015,45,6,2530.473479330217,150924700.0,58286.0
홍고추(일반),2015,46,6,2505.7414499358915,133217000.0,53705.0
홍고추(일반),2015,47,6,2189.149018703781,111904700.0,51104.0
홍고추(일반),2015,48,6,1983.9804242005846,90643050.0,45375.0
홍고추(일반),2015,49,6,2010.8720958117058,73520500.0,36616.0
홍고추(일반),2015,50,6,2543.0813583229574,90829750.0,35751.0
홍고추(일반),2015,51,6,3309.1675378677287,141205200.0,43008.0
홍고추(일반),2015,52,6,2579.1765900819887,119671355.0,44332.0
홍고추(일반),2015,53,4,2114.5377409253706,42859650.0,20248.0
홍고추(일반),2016,1,6,2869.0522896294715,95651575.0,33931.0
홍고추(일반),2016,2,6,2749.551320361557,77751500.0,28634.0
홍고추(일반),2016,3,6,3089.0160047032773,80233400.0,26222.0
홍고추(일반),2016,4,6,5071.480399929041,129676750.0,25535.0
홍고추(일반),2016,5,6,6662.276054729726,275564750.0,41712.0
