"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2025-06-30","³ì±¤","1463","6806500",,"0.0",,"0.0","3212","-54.5","14062143","-51.6"
"2025-06-29","³ì±¤",,,"2606","0.0","15261800","0.0","3371","0.0","14384472","0.0"
"2025-06-28","³ì±¤","2649","6902150","1618","63.7","7909900","-12.7","3462","-23.5","14643045","-52.9"
"2025-06-27","³ì±¤","2147","6633980","4044","-46.9","14974950","-55.7","3460","-37.9","15501133","-57.2"
"2025-06-26","³ì±¤","2633","8350800","3201","-17.7","14969300","-44.2","3548","-25.8","14685177","-43.1"
"2025-06-25","³ì±¤","2786","7357300","4567","-39.0","23323200","-68.5","3643","-23.5","15174182","-51.5"
"2025-06-24","³ì±¤","2795","9770900","2586","8.1","15754000","-38.0","3431","-18.5","15532466","-37.1"
"2025-06-23","³ì±¤","3717","12811200",,"0.0",,"0.0","3315","12.1","15892160","-19.4"
"2025-06-22","³ì±¤",,,"2816","0.0","14419000","0.0","3337","0.0","15250487","0.0"
"2025-06-21","³ì±¤","2154","6254800","2461","-12.5","10680600","-41.4","3434","-37.3","14618388","-57.2"
"2025-06-20","³ì±¤","2509","7044950","3809","-34.1","13490700","-47.8","3547","-29.3","14043385","-49.8"
"2025-06-19","³ì±¤","2866","8607200","4116","-30.4","15845650","-45.7","3615","-20.7","13185398","-34.7"
"2025-06-18","³ì±¤","2669","8398200","5114","-47.8","20591900","-59.2","3746","-28.8","13091392","-35.8"
"2025-06-17","³ì±¤","3736","12982800","2985","25.2","12557800","3.4","3607","3.6","13191915","-1.6"
"2025-06-16","³ì±¤","2959","12689000",,"0.0",,"0.0","3737","-20.8","14306435","-11.3"
"2025-06-15","³ì±¤",,,"3597","0.0","11692300","0.0","3930","0.0","14124002","0.0"
"2025-06-14","³ì±¤","4778","18126020","3330","43.5","11897200","52.4","3947","21.1","14093002","28.6"
"2025-06-13","³ì±¤","3120","14602622","3226","-3.3","10286650","42.0","4100","-23.9","13847680","5.5"
"2025-06-12","³ì±¤","2696","11921600","3352","-19.6","11865400","0.5","3961","-31.9","13433537","-11.3"
"2025-06-11","³ì±¤","2592","13116650","4130","-37.2","14767800","-11.2","3682","-29.6","13346522","-1.7"
"2025-06-10","³ì±¤","3130","15482300","2598","20.5","11649300","32.9","3573","-12.4","13409848","15.5"
"2025-06-09","³ì±¤","2640","17814800",,"0.0",,"0.0","3592","-26.5","13362597","33.3"
"2025-06-08","³ì±¤",,,"3256","0.0","8137900","0.0","3666","0.0","14054190","0.0"
"2025-06-07","³ì±¤","1822","7619900","3711","-50.9","11012100","-30.8","4162","-56.2","16361017","-53.4"
"2025-06-06","³ì±¤","3476","15432400","4056","-14.3","10690400","44.4","4505","-22.8","17852302","-13.6"
"2025-06-05","³ì±¤","2108","13992600","4526","-53.4","15632400","-10.5","4488","-53.0","18368078","-23.8"
"2025-06-04","³ì±¤","2420","14078100","4031","-40.0","14070500","0.1","4299","-43.7","17512643","-19.6"
"2025-06-03","³ì±¤","2403","13517200","2516","-4.5","9829800","37.5","4205","-42.9","17846900","-24.3"
"2025-06-02","³ì±¤","2209","11593450",,"0.0",,"0.0","4052","-45.5","17563748","-34.0"
"2025-06-01","³ì±¤",,,"4857","0.0","15916050","0.0","4016","0.0","17574882","0.0"
"2025-05-31","³ì±¤","2841","9067900","4751","-40.2","17224200","-47.4","4026","-29.4","17707890","-48.8"
"2025-05-30","³ì±¤","1907","6602800","2618","-27.2","9603600","-31.2","4121","-53.7","17275993","-61.8"
"2025-05-29","³ì±¤","1720","6398900","2784","-38.2","10977200","-41.7","3735","-53.9","15212577","-57.9"
"2025-05-28","³ì±¤","2703","9799000","2056","31.5","8618500","13.7","3424","-21.1","13586252","-27.9"
"2025-05-27","³ì±¤","3082","12414600","4488","-31.3","13864450","-10.5","3247","-5.1","12834218","-3.3"
"2025-05-26","³ì±¤","2738","9992500",,"0.0",,"0.0","3487","-21.5","13036458","-23.3"
"2025-05-25","³ì±¤",,,"2970","0.0","10252500","0.0","3919","0.0","13691158","0.0"
"2025-05-24","³ì±¤","1409","4045900","3909","-64.0","14072300","-71.2","3868","-63.6","13789922","-70.7"
"2025-05-23","³ì±¤","3479","8490600","4001","-13.0","14717700","-42.3","3723","-6.6","13819439","-38.6"
"2025-05-22","³ì±¤","3282","9827700","3522","-6.8","14576500","-32.6","3879","-15.4","14728852","-33.3"
"2025-05-21","³ì±¤","3558","10836100","3095","15.0","11904600","-9.0","3857","-7.8","14834497","-27.0"
"2025-05-20","³ì±¤","2802","12960600","4968","-43.6","20881800","-37.9","3601","-22.2","15707830","-17.5"
"2025-05-19","³ì±¤","4643","24741250",,"0.0",,"0.0","3575","29.9","15668227","57.9"
"2025-05-18","³ì±¤",,,"4415","0.0","19285470","0.0","3712","0.0","16510887","0.0"
"2025-05-17","³ì±¤","2614","13824200","2431","7.5","11168250","23.8","3702","-29.4","15674443","-11.8"
"2025-05-16","³ì±¤","3380","18979700","3286","2.9","11182000","69.7","3761","-10.1","15458673","22.8"
"2025-05-15","³ì±¤","1679","13186000","4322","-61.2","13829600","-4.7","3793","-55.7","14076715","-6.3"
"2025-05-14","³ì±¤","1423","12237350","3211","-55.7","14331850","-14.6","3825","-62.8","13389405","-8.6"
"2025-05-13","³ì±¤","1880","11886930","4197","-55.2","17307850","-31.3","3838","-51.0","13928405","-14.7"
"2025-05-12","³ì±¤","1630","10008900",,"0.0",,"0.0","3575","-54.4","13995842","-28.5"
"2025-05-11","³ì±¤",,,"4183","0.0","16744000","0.0","3574","0.0","13234117","0.0"
"2025-05-10","³ì±¤","2016","9257000","1339","50.6","7417300","24.8","3772","-46.6","13473737","-31.3"
"2025-05-09","³ì±¤","2689","14887900","2010","33.8","6909700","115.5","3928","-31.5","13874493","7.3"
"2025-05-08","³ì±¤","1722","9922800","4309","-60.0","13911700","-28.7","4041","-57.4","14515915","-31.6"
"2025-05-07","³ì±¤","1628","11551800","4151","-60.8","15409600","-25.0","4180","-61.1","15268392","-24.3"
"2025-05-06","³ì±¤","1123","6049100","4236","-73.5","18779900","-67.8","4319","-74.0","16760723","-63.9"
"2025-05-05","³ì±¤","3578","17636500",,"0.0",,"0.0","3933","-9.0","17652107","-0.1"
"2025-05-04","³ì±¤",,,"3885","0.0","21773700","0.0","3781","0.0","16894523","0.0"
"2025-05-03","³ì±¤","3256","14492300","2739","18.9","18382100","-21.2","3461","-5.9","16578537","-12.6"
"2025-05-02","³ì±¤","3298","19576050","2274","45.0","14743650","32.8","3279","0.6","15936203","22.8"
"2025-05-01","³ì±¤","1431","10570950","2469","-42.0","14973100","-29.4","3190","-55.1","14373900","-26.5"
"2025-04-30","³ì±¤","2011","13623130","3212","-37.4","17897800","-23.9","3205","-37.3","13076619","4.2"
"2025-04-29","³ì±¤","1187","7181400","2152","-44.8","12085900","-40.6","3289","-63.9","13314179","-46.1"
"2025-04-28","³ì±¤","2643","12647400",,"0.0",,"0.0","3574","-26.0","15230719","-17.0"
"2025-04-27","³ì±¤",,,"2250","0.0","8784700","0.0","3612","0.0","16206377","0.0"
"2025-04-26","³ì±¤","2457","11815200","3118","-21.2","14313900","-17.5","3666","-33.0","17438204","-32.2"
"2025-04-25","³ì±¤","1388","8152800","4349","-68.1","20736900","-60.7","3947","-64.8","18464184","-55.8"
"2025-04-24","³ì±¤","1979","9619600","3630","-45.5","24514600","-60.8","3932","-49.7","17429081","-44.8"
"2025-04-23","³ì±¤","2436","10958700","4042","-39.7","28589800","-61.7","3536","-31.1","15505739","-29.3"
"2025-04-22","³ì±¤","1429","7266500","2584","-44.7","20144300","-63.9","3390","-57.8","14928613","-51.3"
"2025-04-21","³ì±¤","2477","12850750",,"0.0",,"0.0","3290","-24.7","14603421","-12.0"
"2025-04-20","³ì±¤",,,"2454","0.0","16632000","0.0","3305","0.0","14975482","0.0"
"2025-04-19","³ì±¤","1536","8083200","2809","-45.3","19995600","-59.6","3362","-54.3","15118032","-46.5"
"2025-04-18","³ì±¤","1821","9998500","3222","-43.5","22182300","-54.9","3386","-46.2","14897822","-32.9"
"2025-04-17","³ì±¤","1828","9369000","2153","-15.1","15640300","-40.1","3504","-47.8","15165262","-38.2"
"2025-04-16","³ì±¤","1541","8456300","2578","-40.2","13217000","-36.0","3428","-55.0","15046967","-43.8"
"2025-04-15","³ì±¤","1633","7632500","3498","-53.3","18194800","-58.1","3220","-49.3","15386827","-50.4"
"2025-04-14","³ì±¤","2868","11970200",,"0.0",,"0.0","3192","-10.2","16095695","-25.6"
"2025-04-13","³ì±¤",,,"1908","0.0","9314100","0.0","3317","0.0","17038372","0.0"
"2025-04-12","³ì±¤","2515","9938700","2394","5.1","11792600","-15.7","3255","-22.7","16429818","-39.5"
"2025-04-11","³ì±¤","1846","10575300","5094","-63.8","24250700","-56.4","3280","-43.7","16341355","-35.3"
"2025-04-10","³ì±¤","2529","16958700","5242","-51.8","31380000","-46.0","3334","-24.1","15584928","8.8"
"2025-04-09","³ì±¤","2309","18924400","4295","-46.2","30617050","-38.2","3433","-32.7","15266550","24.0"
"2025-04-08","³ì±¤","1339","9838550","946","41.5","8484700","16.0","3283","-59.2","15340087","-35.9"
"2025-04-07","³ì±¤","2607","18120950",,"0.0",,"0.0","3298","-21.0","14620413","23.9"
"2025-04-06","³ì±¤",,,"1789","0.0","8385500","0.0","3466","0.0","14263787","0.0"
"2025-04-05","³ì±¤","1617","10199300","3780","-57.2","20547000","-50.4","3466","-53.3","15024237","-32.1"
"2025-04-04","³ì±¤","915","6212950","2701","-66.1","14573200","-57.4","3591","-74.5","16611877","-62.6"
"2025-04-03","³ì±¤","2095","12173050","3481","-39.8","18342200","-33.6","3855","-45.7","17935037","-32.1"
"2025-04-02","³ì±¤","2556","17010200","3307","-22.7","17572600","-3.2","3754","-31.9","17454840","-2.5"
"2025-04-01","³ì±¤","4192","30711600","4452","-5.8","20779800","47.8","3632","15.4","17531513","75.2"
"2025-03-31","³ì±¤","2886","29420200",,"0.0",,"0.0","3451","-16.4","17694013","66.3"
"2025-03-30","³ì±¤",,,"2810","0.0","13378500","0.0","3262","0.0","16575818","0.0"
"2025-03-29","³ì±¤","1402","16670700","3415","-58.9","20243250","-17.6","3115","-55.0","16108457","3.5"
"2025-03-28","³ì±¤","1014","9932200","2866","-64.6","17368850","-42.8","3145","-67.8","16935890","-41.4"
"2025-03-27","³ì±¤","588","4821400","3028","-80.6","21237700","-77.3","3188","-81.6","16870763","-71.4"
"2025-03-26","³ì±¤","1088","6599140","4383","-75.2","34263550","-80.7","3361","-67.6","16860243","-60.9"
"2025-03-25","³ì±¤","2685","13263300","4142","-35.2","39990950","-66.8","3463","-22.5","18013820","-26.4"
"2025-03-24","³ì±¤","1810","11381200",,"0.0",,"0.0","3342","-45.8","17932352","-36.5"
"2025-03-23","³ì±¤",,,"3512","0.0","41583400","0.0","3303","0.0","17468113","0.0"
"2025-03-22","³ì±¤","2084","10436900","2963","-29.7","37814820","-72.4","3188","-34.6","17320549","-39.7"
"2025-03-21","³ì±¤","3169","18024700","1830","73.2","26567900","-32.2","3189","-0.6","17725719","1.7"
"2025-03-20","³ì±¤","2647","18344600","2518","5.1","31442900","-41.7","3294","-19.6","17983762","2.0"
"2025-03-19","³ì±¤","3089","29635900","2454","25.9","29451450","0.6","3383","-8.7","18737222","58.2"
"2025-03-18","³ì±¤","2241","25660450","4450","-49.6","50728250","-49.4","3352","-33.1","19932036","28.7"
"2025-03-17","³ì±¤","1832","20726900",,"0.0",,"0.0","3271","-44.0","20485882","1.2"
"2025-03-16","³ì±¤",,,"3843","0.0","48058150","0.0","3097","0.0","19747712","0.0"
"2025-03-15","³ì±¤","1683","15687800","1916","-12.2","27280600","-42.5","2810","-40.1","18411658","-14.8"
"2025-03-14","³ì±¤","1354","14895100","1943","-30.3","25212700","-40.9","2699","-49.8","17869572","-16.6"
"2025-03-13","³ì±¤","1614","17326800","1935","-16.6","19290400","-10.2","2722","-40.7","16233845","6.7"
"2025-03-12","³ì±¤","1907","20713200","1490","28.0","13631400","52.0","2744","-30.5","16090199","28.7"
"2025-03-11","³ì±¤","2865","26555400","3142","-8.8","24641800","7.8","3018","-5.1","17657217","50.4"
"2025-03-10","³ì±¤","2544","26112900",,"0.0",,"0.0","3412","-25.4","20829687","25.4"
"2025-03-09","³ì±¤",,,"5102","0.0","39460700","0.0","3715","0.0","22510087","0.0"
"2025-03-08","³ì±¤","1923","18946100","3054","-37.0","29359100","-35.5","3685","-47.8","24799802","-23.6"
"2025-03-07","³ì±¤","2528","26095800","3786","-33.2","39329700","-33.6","3739","-32.4","27830432","-6.2"
"2025-03-06","³ì±¤","3443","38839400","3357","2.6","41140200","-5.6","3705","-7.1","29509640","31.6"
"2025-03-05","³ì±¤",,,"3086","0.0","35971400","0.0","3452","0.0","27768312","0.0"
"2025-03-04","³ì±¤","1556","23666500","3212","-51.6","45051800","-47.5","3028","-48.6","27092792","-12.6"
"2025-03-03","³ì±¤","2118","24550150",,"0.0",,"0.0","2788","-24.0","25994568","-5.6"
"2025-03-02","³ì±¤",,,,"0.0",,"0.0","2899","0.0","26676103","0.0"
"2025-03-01","³ì±¤","2047","20164500","2447","-16.3","33911450","-40.5","2955","-30.7","27267713","-26.0"
"2025-02-28","³ì±¤","2173","20325200","2952","-26.4","31983000","-36.4","3146","-30.9","26687385","-23.8"
"2025-02-27","³ì±¤","2096","20500000","2156","-2.8","20632400","-0.6","3326","-37.0","25781860","-20.5"
"2025-02-26","³ì±¤","2443","22222400","3884","-37.1","32525400","-31.7","3413","-28.4","26026147","-14.6"
"2025-02-25","³ì±¤","2255","20619280",,"0.0",,"0.0","3185","-29.2","26621667","-22.5"
"2025-02-24","³ì±¤","1674","16186400","1946","-14.0","14740600","9.8","2997","-44.1","25984207","-37.7"
"2025-02-23","³ì±¤",,,"2420","0.0","21637900","0.0","2720","0.0","24032172","0.0"
"2025-02-22","³ì±¤","1771","15465200","3067","-42.3","27888100","-44.5","2598","-31.8","22829555","-32.3"
"2025-02-21","³ì±¤","1359","11645900","2516","-46.0","23235500","-49.9","2555","-46.8","23198258","-49.8"
"2025-02-20","³ì±¤","1538","14248500","2817","-45.4","25069700","-43.2","2722","-43.5","24500727","-41.8"
"2025-02-19","³ì±¤","2666","21779700","3150","-15.4","29458450","-26.1","2908","-8.3","25098423","-13.2"
"2025-02-18","³ì±¤","2900","22578400",,"0.0",,"0.0","3049","-4.9","26450922","-14.6"
"2025-02-17","³ì±¤","3227","26029750","3647","-11.5","34333200","-24.2","3169","1.8","27886325","-6.7"
"2025-02-16","³ì±¤",,,"2603","0.0","28773400","0.0","3221","0.0","28671528","0.0"
"2025-02-15","³ì±¤","1968","21336000","2659","-26.0","30508200","-30.1","3127","-37.1","29625236","-28.0"
"2025-02-14","³ì±¤","1255","14155000","3033","-58.6","41511900","-65.9","3039","-58.7","29858369","-52.6"
"2025-02-13","³ì±¤","3563","38025800","2916","22.2","31221950","21.8","2819","26.4","27851251","36.5"
