"거래일자","품목명","반입량","금액","전년 반입량","전년 반입량 증감률(%)","전년 금액","전년 금액 증감률(%)","평년 반입량","평년 반입량 증감률(%)","평년 금액","평년 금액 증감률(%)"
"2025-06-30","노랑파프리카","36625","90929500",,"0.0",,"0.0","53159","-31.1","91662820","-0.8"
"2025-06-29","노랑파프리카",,,"74670","0.0","130810500","0.0","51087","0.0","93157643","0.0"
"2025-06-28","노랑파프리카","40560","75459500","51740","-21.6","101448000","-25.6","49636","-18.3","95534760","-21.0"
"2025-06-27","노랑파프리카","32280","58665500","60665","-46.8","123020500","-52.3","49250","-34.5","95790843","-38.8"
"2025-06-26","노랑파프리카","68800","122314000","79675","-13.6","159034500","-23.1","49924","37.8","98264043","24.5"
"2025-06-25","노랑파프리카","69630","148541500","38960","78.7","114616000","29.6","50137","38.9","98694050","50.5"
"2025-06-24","노랑파프리카","37690","88760500","42505","-11.3","119857000","-25.9","50971","-26.1","99172050","-10.5"
"2025-06-23","노랑파프리카","70485","146415500",,"0.0",,"0.0","50901","38.5","97481792","50.2"
"2025-06-22","노랑파프리카",,,"52290","0.0","131067500","0.0","55054","0.0","107570555","0.0"
"2025-06-21","노랑파프리카","64325","125664000","62380","3.1","166548500","-24.5","55288","16.3","114882255","9.4"
"2025-06-20","노랑파프리카","56655","129866000","53525","5.8","151167500","-14.1","54588","3.8","118899842","9.2"
"2025-06-19","노랑파프리카","66610","167442500","57015","16.8","159690500","4.9","51813","28.6","118304501","41.5"
"2025-06-18","노랑파프리카","49520","150141500","47930","3.3","144521000","3.9","51132","-3.2","121744217","23.3"
"2025-06-17","노랑파프리카","43075","132360500","43050","0.1","125591000","5.4","48347","-10.9","118151470","12.0"
"2025-06-16","노랑파프리카","32355","110376500",,"0.0",,"0.0","48252","-32.9","115823840","-4.7"
"2025-06-15","노랑파프리카",,,"51230","0.0","122541000","0.0","48421","0.0","116988000","0.0"
"2025-06-14","노랑파프리카","72425","207213000","43245","67.5","117856000","75.8","49256","47.0","120210700","72.4"
"2025-06-13","노랑파프리카","40234","155183300","52220","-23.0","143480500","8.2","47059","-14.5","118906167","30.5"
"2025-06-12","노랑파프리카","30735","136714000","45940","-33.1","121964500","12.1","46738","-34.2","121054733","12.9"
"2025-06-11","노랑파프리카","32890","116035500","41780","-21.3","120699000","-3.9","44793","-26.6","118597673","-2.2"
"2025-06-10","노랑파프리카","32854","110881600","47960","-31.5","114388500","-3.1","43966","-25.3","114212367","-2.9"
"2025-06-09","노랑파프리카","37744","120489700",,"0.0",,"0.0","42312","-10.8","110564153","9.0"
"2025-06-08","노랑파프리카",,,"39377","0.0","97794900","0.0","40799","0.0","107532987","0.0"
"2025-06-07","노랑파프리카","47010","152400000","42115","11.6","104333000","46.1","39598","18.7","105560753","44.4"
"2025-06-06","노랑파프리카","50640","206610000","40680","24.5","97282500","112.4","41377","22.4","107937843","91.4"
"2025-06-05","노랑파프리카","36455","187265500","48440","-24.7","129564500","44.5","42775","-14.8","113670573","64.7"
"2025-06-04","노랑파프리카","36790","205347500","49105","-25.1","155212000","32.3","44172","-16.7","118169287","73.8"
"2025-06-03","노랑파프리카","30145","155802000","58255","-48.3","190905500","-18.4","46324","-34.9","118136273","31.9"
"2025-06-02","노랑파프리카","33565","155595000",,"0.0",,"0.0","45870","-26.8","121758940","27.8"
"2025-06-01","노랑파프리카",,,"40415","0.0","130590500","0.0","45471","0.0","126117700","0.0"
"2025-05-31","노랑파프리카","19390","89519000","42180","-54.0","151083000","-40.7","43211","-55.1","123865400","-27.7"
"2025-05-30","노랑파프리카","30511","108309000","48070","-36.5","168545500","-35.7","39930","-23.6","113787683","-4.8"
"2025-05-29","노랑파프리카","44005","146003500","45895","-4.1","174250000","-16.2","37648","16.9","113474117","28.7"
"2025-05-28","노랑파프리카","48475","163604000","32220","50.5","165241500","-1.0","37082","30.7","110304590","48.3"
"2025-05-27","노랑파프리카","34230","131585000","26737","28.0","143503500","-8.3","35878","-4.6","105184623","25.1"
"2025-05-26","노랑파프리카","31310","105358500",,"0.0",,"0.0","35997","-13.0","107384840","-1.9"
"2025-05-25","노랑파프리카",,,"29200","0.0","128757500","0.0","36957","0.0","107811107","0.0"
"2025-05-24","노랑파프리카","36430","94182500","35830","1.7","139374000","-32.4","36311","0.3","108735660","-13.4"
