연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,750.066841112599,1608976000.0,2132969.0
2015,28,6,849.2983099323484,1588329300.0,1880199.0
2015,29,6,849.9191219220587,1201872000.0,1411665.0
2015,30,6,869.3578026602763,1340159100.0,1537356.0
2015,31,6,895.2379457231928,1109608000.0,1247207.0
2015,32,6,811.9561514575065,1373089500.0,1679542.0
2015,33,6,851.8471576370863,1162991000.0,1370683.0
2015,34,6,860.0762126967838,1494211000.0,1730257.0
2015,35,6,855.9887323303498,1432427000.0,1673682.0
2015,36,6,822.9376046488837,1586416500.0,1929736.0
2015,37,6,816.3164860430766,1274881500.0,1562964.0
2015,38,6,827.6389720694306,1296430000.0,1563769.0
2015,39,6,832.1681806528036,883025500.0,1035228.0
2015,40,4,855.6140643105704,671004500.0,783772.0
2015,41,6,787.9571211771954,1315263000.0,1663683.0
2015,42,6,775.7605489156531,1157694500.0,1485261.0
2015,43,6,767.1609958283328,1055519000.0,1377974.0
2015,44,6,807.6643481318396,1070893000.0,1323560.0
2015,45,6,927.6007665851731,1157238000.0,1256848.0
2015,46,6,918.6120785978475,1361005000.0,1482786.0
2015,47,6,885.9845639681554,996160000.0,1126227.0
2015,48,6,931.9607813824746,1227501000.0,1300063.0
2015,49,6,973.1034624698808,1229167500.0,1260937.0
2015,50,6,954.1603419548459,1267614000.0,1324568.0
2015,51,6,873.3501979207781,863964500.0,992538.0
2015,52,6,959.8004866911002,1152695500.0,1194026.0
2015,53,4,954.3217875899629,638107500.0,666725.0
2016,1,6,1026.670403848513,1187117500.0,1159390.0
2016,2,6,992.6848184158922,1071917000.0,1081308.0
2016,3,6,989.7279039149776,702550000.0,705880.0
2016,4,6,1073.4798812177166,1429893000.0,1316840.0
2016,5,6,1112.507467745063,1155056000.0,1042050.0
2016,6,3,1078.443025526273,465615000.0,422640.0
2016,7,6,1163.1447648302042,1208557500.0,1048700.0
2016,8,7,1211.8336188988235,1597559000.0,1310033.0
2016,9,6,1167.3900756041842,1180697500.0,1012440.0
2016,10,6,1193.1591721683571,1594515000.0,1332810.0
2016,11,6,1224.2294260125302,1525246000.0,1266705.0
2016,12,6,1434.5833928662257,1962274000.0,1394477.0
2016,13,6,1560.6572591414158,2381382500.0,1553763.0
2016,14,6,1582.7953289989343,2603195000.0,1656605.0
2016,15,6,1591.3627231088465,3167573000.0,2005022.0
2016,16,6,1386.1022826043807,2832195100.0,2045158.0
2016,17,6,1526.569939805165,3114079500.0,2049426.0
2016,18,6,1399.9252850885678,2892239500.0,2077150.0
2016,19,6,1324.2809983834861,3350034500.0,2527190.0
2016,20,6,1158.30072257881,3086507100.0,2672276.0
2016,21,6,982.3355173085389,2758704800.0,2830336.0
2016,22,6,807.5016170857106,2615032500.0,3233151.0
2016,23,6,808.8959860091982,2591538900.0,3218905.0
2016,24,6,719.038818857513,2446191400.0,3415414.0
2016,25,6,604.8232402561122,2165397000.0,3526866.0
2016,26,6,506.87602162288584,1335848300.0,2557482.0
2016,27,6,605.6152834142898,943799000.0,1561820.0
2016,28,6,484.13960556317755,833502000.0,1723588.0
2016,29,6,574.4178284183134,682432000.0,1183981.0
2016,30,6,562.4100854864952,599470000.0,1069178.0
2016,31,6,612.2721777356851,638827000.0,1042603.0
2016,32,6,616.4903981444853,763753500.0,1246102.0
2016,33,6,707.5820532372583,874248500.0,1231891.0
2016,34,6,724.7324294292308,946594000.0,1309754.0
2016,35,6,800.6894728170238,1070492600.0,1341922.0
2016,36,6,808.8299181820744,1289444000.0,1587390.0
2016,37,3,758.5866031098067,287345500.0,383645.0
2016,38,6,824.7552167181526,1170521000.0,1417991.0
2016,39,6,747.7170276303262,1093737500.0,1466657.0
2016,40,6,730.6023595993397,866116500.0,1191835.0
2016,41,6,788.9847027254647,1135773000.0,1439544.0
2016,42,6,792.7996891358156,1022746000.0,1288659.0
2016,43,6,887.3775471332614,907528500.0,1023900.0
2016,44,6,913.296166625586,1120708000.0,1229361.0
2016,45,6,987.3599736552154,1245074699.0,1262992.0
2016,46,6,988.3902006227269,1344089000.0,1355633.0
2016,47,6,956.9201277820024,1155463500.0,1212529.0
2016,48,6,1075.4319558023083,1296670000.0,1208190.0
2016,49,6,1032.8104893842158,1395162500.0,1366013.0
2016,50,6,1072.659370341699,1361382500.0,1273567.0
2016,51,6,1159.6252147969044,1530795000.0,1314814.0
2016,52,6,1234.0303957053281,990148500.0,847408.0
2017,1,5,1219.0252570428754,1648044500.0,1351341.0
2017,2,6,1073.4567945274691,1412028000.0,1316450.0
2017,3,6,1054.4684737986925,1385741540.0,1310780.0
2017,4,5,1213.5247593101108,617940300.0,504751.0
2017,5,4,1193.2366865329216,1064119300.0,889313.0
2017,6,6,1275.2287150163504,1661049020.0,1310848.0
2017,7,6,1231.5182856439903,1282860600.0,1044756.0
2017,8,6,1139.293457879692,1520716100.0,1340727.0
2017,9,6,1271.7635985019185,1616176050.0,1282195.0
2017,10,6,1301.5676811145033,1857957000.0,1420633.0
2017,11,6,1239.397981426798,1935226000.0,1590242.0
2017,12,6,1195.5900789733178,1982676400.0,1685279.0
2017,13,6,1354.9298718389482,2608873300.0,1931444.0
2017,14,6,1529.5933663339365,2617771600.0,1707538.0
2017,15,6,1307.7506570757373,2573032100.0,1984004.0
2017,16,6,1464.4080703607963,2878436700.0,1972481.0
2017,17,6,1498.5730451432244,3232623420.0,2167279.0
2017,18,6,1651.2790565672406,2701712320.0,1643234.0
2017,19,6,1762.5977821908657,3132197710.0,1778198.0
2017,20,6,1950.1973827600225,2693405890.0,1383368.0
2017,21,6,1435.5118598130039,2754498740.0,1929999.0
2017,22,6,1192.7903050730813,2726028550.0,2287251.0
2017,23,6,1107.8963857893157,2703905820.0,2444587.0
2017,24,6,929.9026415367575,3287623450.0,3522024.0
2017,25,6,813.584486243064,2472276050.0,3076983.0
2017,26,6,961.973465484064,2399666500.0,2493789.0
2017,27,6,912.332603161768,1650352500.0,1803373.0
2017,28,6,988.9359463174236,1405405900.0,1418405.0
2017,29,6,999.9940322624316,1329685608.0,1332198.0
2017,30,6,1016.8231528001734,1411668600.0,1388636.0
2017,31,6,1079.1833566751056,1247898600.0,1161134.0
2017,32,6,1106.2022408634193,1512837900.0,1370682.0
2017,33,6,1339.6241828597715,1685151900.0,1263787.0
2017,34,6,1437.9317663387285,1860831400.0,1290035.0
2017,35,6,1390.6839952442224,2126266400.0,1530238.0
2017,36,6,1336.21205459928,2184096200.0,1628968.0
2017,37,6,1287.0066527156794,1419380500.0,1110373.0
2017,38,6,1355.4115425978646,1941065800.0,1429681.0
2017,39,6,1348.0389704276006,1627828000.0,1209774.0
2017,40,3,1438.537514686518,330858500.0,224467.0
2017,41,6,1402.042810833094,1842684500.0,1312372.0
2017,42,6,1322.368008109733,1791998000.0,1355659.0
2017,43,6,1308.9269066451063,1606211900.0,1227408.0
2017,44,6,1321.0455658543028,1303362000.0,988582.0
2017,45,6,1312.064588031628,1761865500.0,1342859.0
2017,46,6,1281.2494221019929,1525881500.0,1188467.0
2017,47,6,1364.5500955843884,1504011000.0,1101511.0
2017,48,6,1394.2879316187116,1685149800.0,1202236.0
2017,49,6,1394.913971770727,1532423600.0,1094586.0
2017,50,6,1689.5799779383954,1090520000.0,651293.0
2017,51,6,1687.1506275204981,1674089250.0,991261.0
2017,52,6,1564.996103103803,1123744050.0,722919.0
2018,1,5,1641.9533114352216,1508909750.0,916123.0
2018,2,6,1710.5079469924224,1254811900.0,753371.0
2018,3,6,1904.274819760477,1706894700.0,898146.0
2018,4,6,1963.3575178171293,1472193350.0,764707.0
2018,5,6,2014.0449418042572,2235943150.0,1110726.0
2018,6,6,2145.598712457446,2501876750.0,1168124.0
2018,7,4,2152.5935893275955,1095976750.0,530453.0
2018,8,6,2268.446979032855,2127787550.0,945113.0
2018,9,6,2253.789761260105,2075561600.0,935220.0
2018,10,6,2352.596346734594,2433990900.0,1043427.0
2018,11,6,2413.552890750253,2839131400.0,1188891.0
2018,12,6,2874.7759414489024,3373184800.0,1167788.0
2018,13,6,3385.1881231957154,3526328400.0,1037994.0
2018,14,6,4152.040472279296,4683181300.0,1165439.0
2018,15,6,4751.9831686207435,6021222000.0,1263422.0
2018,16,6,3821.466075061158,4995069200.0,1303855.0
2018,17,6,4151.514830935289,4724939300.0,1152106.0
2018,18,6,3439.5877622892713,5129633851.0,1492128.0
2018,19,6,2998.7652013926913,4351761900.0,1463564.0
2018,20,6,1989.5883942985577,3134644400.0,1582597.0
2018,21,6,1898.5063049032613,3895537550.0,2067306.0
2018,22,6,1375.7460483322575,3431038650.0,2494592.0
2018,23,6,1031.093829934476,2498769750.0,2441887.0
2018,24,6,1019.5148711029766,2654714050.0,2621088.0
2018,25,6,831.5487840526652,2608144300.0,3131420.0
2018,26,6,891.9851671489337,1948058900.0,2268182.0
2018,27,6,931.6822480623897,1806034700.0,1937550.0
2018,28,6,835.9607709180669,1378947250.0,1675870.0
2018,29,6,872.0884730950091,1002907850.0,1154145.0
2018,30,6,1005.0432001610485,1052994800.0,1066209.0
2018,31,5,1230.9961776148753,1055191700.0,858543.0
2018,32,6,1440.4833641299922,1512681300.0,1052804.0
2018,33,6,1385.5690986415696,1458077000.0,1037382.0
2018,34,6,1597.735115688239,1615138150.0,1012020.0
2018,35,6,1495.3697505347945,1876752700.0,1250471.0
2018,36,6,1480.9529913146407,1839549300.0,1241490.0
2018,37,6,1472.5763854753652,1862717700.0,1267561.0
2018,38,6,1629.3739812150798,1248467400.0,799339.0
2018,39,3,1582.103678797732,740017800.0,465010.0
2018,40,6,1529.3650627989616,1850566300.0,1213654.0
2018,41,6,1469.6447826957476,1608870800.0,1091982.0
2018,42,6,1471.0407135112819,1727123800.0,1173683.0
2018,43,6,1459.9672103184414,1306050100.0,893698.0
2018,44,6,1588.2643257166062,1187951900.0,754164.0
2018,45,6,1720.4392127122028,1701186500.0,983859.0
2018,46,6,1625.3199724321828,1430357600.0,884453.0
2018,47,6,1548.9913099649373,1601821100.0,1028024.0
2018,48,6,1564.8902160326097,1508331500.0,960864.0
2018,49,6,1508.1295029822297,1345057950.0,884947.0
2018,50,6,1689.674061416058,1651952150.0,968037.0
2018,51,6,1438.276459796811,1236884300.0,863281.0
2018,52,6,1561.5724314712988,1314192100.0,847139.0
2019,1,5,1371.6563724804205,1247818300.0,884980.0
2019,2,6,1501.8774776075295,1517830800.0,998229.0
2019,3,6,1403.1068638648496,1392197300.0,995728.0
2019,4,6,1281.8368705452783,1109226100.0,864565.0
2019,5,6,1512.1631101009007,1297795000.0,862208.0
2019,6,3,1342.9605330228057,534894000.0,362980.0
2019,7,6,1488.2218013366644,1673044000.0,1120988.0
2019,8,6,1323.4897581096511,1640416000.0,1229728.0
2019,9,6,1407.4129172538585,1507527000.0,1117376.0
2019,10,6,1445.5940039849968,2211048500.0,1529279.0
2019,11,6,1563.8823794579032,1873501500.0,1203684.0
2019,12,6,1665.294841596866,2344221500.0,1406892.0
2019,13,6,1876.2300675092072,2301678500.0,1235002.0
2019,14,6,1808.7419924002404,2945493500.0,1653377.0
2019,15,6,1623.0207459658907,2440775000.0,1519635.0
2019,16,6,1740.6278946077618,3077177200.0,1769916.0
2019,17,6,1503.3611741085936,2524358200.0,1681942.0
2019,18,6,1511.925848258886,2664307500.0,1761489.0
2019,19,6,1611.951732007182,2818239000.0,1744033.0
2019,20,6,1532.0178665446401,2500179700.0,1630211.0
2019,21,6,1493.6514713108415,2965183500.0,2089088.0
2019,22,6,962.6967010939052,2219707200.0,2337419.0
2019,23,6,901.7740920534596,2455739500.0,2750105.0
2019,24,6,874.9410947810032,2592476500.0,2998694.0
2019,25,6,691.8311604104987,1574459500.0,2339295.0
2019,26,6,675.9144660022636,1696696100.0,2517638.0
2019,27,6,574.7972177453448,1156109600.0,1967336.0
2019,28,6,670.3468304076262,805655200.0,1193760.0
2019,29,6,655.4794278056874,805883500.0,1221082.0
2019,30,6,683.4868871231446,683555200.0,995894.0
2019,31,5,682.1766285596043,545275500.0,800075.0
2019,32,6,625.9858091393588,722678900.0,1150322.0
2019,33,6,701.4712964546774,455214100.0,675594.0
2019,34,6,758.8509470538098,899816200.0,1180746.0
2019,35,6,588.4356832484208,702596500.0,1184876.0
2019,36,6,628.2360669238736,681332900.0,1075646.0
2019,37,4,681.3039697401414,305061500.0,437742.0
2019,38,6,634.5892362280086,746560265.0,1170736.0
2019,39,6,613.5210155630231,793741200.0,1297178.0
2019,40,6,591.2026138419658,620562000.0,1050880.0
2019,41,6,664.4225535660079,756477000.0,1143560.0
2019,42,6,663.1624497890251,878499000.0,1326548.0
2019,43,6,568.0602293610383,604529700.0,1068538.0
2019,44,6,621.676107671049,635040400.0,1021743.0
2019,45,6,631.0776362139717,709613200.0,1122838.0
2019,46,6,653.3745002426123,751377700.0,1156793.0
2019,47,6,662.4674092284845,686272900.0,1031293.0
2019,48,6,697.7055312887414,910839500.0,1300696.0
2019,49,6,683.9145234083923,760471100.0,1114355.0
2019,50,6,706.5454784346794,937155800.0,1331819.0
2019,51,6,602.7470612398523,657635900.0,1085279.0
2019,52,6,824.3309430699078,766184000.0,952099.0
2020,1,2,1074.8847810562843,424163500.0,399707.0
2020,2,6,855.5618724928931,1408198500.0,1628976.0
2020,3,6,947.3545782330298,1326994600.0,1425611.0
2020,4,4,873.4189336463243,485305000.0,551437.0
2020,5,5,806.0053544393139,751533400.0,919685.0
2020,6,6,1002.5062247606837,1088657600.0,1092501.0
2020,7,6,1003.2760207662424,1338327700.0,1344778.0
