연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
2015,27,5,1515.976666379555,2055402000.0,1356346.0
2015,28,6,1820.474659061458,2552257200.0,1415349.0
2015,29,6,1997.6877604415674,2761501500.0,1383935.0
2015,30,6,1566.2340758891307,2095606700.0,1317794.0
2015,31,6,1470.1819191746692,1733153900.0,1105549.0
2015,32,6,1445.5661253897317,1913433700.0,1325714.0
2015,33,6,1448.3295784188915,1794569900.0,1238925.0
2015,34,6,1851.3624152025168,1908648400.0,1043426.0
2015,35,6,2012.1791323080222,2351314000.0,1162837.0
2015,36,6,2331.151882479129,2368373000.0,1026976.0
2015,37,6,2762.576991100818,2691783000.0,980069.0
2015,38,6,2835.924039944628,2758337500.0,975292.0
2015,39,6,1767.4595117157633,2003743500.0,1085639.0
2015,40,4,1381.8455951177489,1300962700.0,945540.0
2015,41,6,1613.6473768516635,1916049600.0,1187028.0
2015,42,6,1522.737283783665,1716818300.0,1131117.0
2015,43,6,1385.8406786195426,1683043800.0,1216418.0
2015,44,6,1161.9168267869263,1455451000.0,1245245.0
2015,45,6,1220.1022901336257,1105184700.0,911737.0
2015,46,6,1285.3193911388048,1176301000.0,920466.0
2015,47,6,1222.7612531431673,1245164400.0,1013951.0
2015,48,6,1240.8890043186525,1155442400.0,932824.0
2015,49,6,1520.8978655888184,1322817900.0,869552.0
2015,50,6,1770.4801103523307,1500560100.0,849603.0
2015,51,6,1992.4229738343831,1597604400.0,802020.0
2015,52,6,2381.5802365840696,1911270600.0,802801.0
2015,53,4,2123.0570218998905,1263677400.0,597281.0
2016,1,6,2486.9759819745664,1862266180.0,755626.0
2016,2,6,2612.1869410944687,1670466500.0,642010.0
2016,3,6,3325.4895931380324,1922221000.0,590318.0
2016,4,6,3658.1563662348176,2302560600.0,630102.0
2016,5,6,3836.9562309688313,2551942000.0,663172.0
2016,6,3,3079.3768618284084,1598907000.0,526447.0
2016,7,6,2864.3662173919934,2058480500.0,721779.0
2016,8,7,3543.2203088762576,3154953700.0,890765.0
2016,9,6,4356.410740721137,3172068800.0,729232.0
2016,10,6,4478.19588330092,3418040800.0,766661.0
2016,11,6,3642.573689341439,3332164700.0,913324.0
2016,12,6,3015.88262225482,3305189600.0,1099131.0
2016,13,6,2867.6919384854173,3322950000.0,1161196.0
2016,14,6,3034.41358945361,3385360400.0,1124519.0
2016,15,6,3114.5645807201,4171248500.0,1343448.0
2016,16,6,2396.6029382450383,3843168000.0,1600687.0
2016,17,6,2103.938069731045,3607233100.0,1725523.0
2016,18,6,1856.9656678743156,3948717800.0,2117055.0
2016,19,6,1539.7810060683605,3421090600.0,2223589.0
2016,20,6,1546.42456417009,3242647300.0,2109717.0
2016,21,6,1835.9362138848148,3864726100.0,2110888.0
2016,22,6,1460.223445608257,3653768855.0,2485527.0
2016,23,6,1332.6615752672626,3247854500.0,2438308.0
