거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,밤고구마,,,,0.0,,0.0,6227.0,0.0,15648987.0,0.0
2025-06-29,밤고구마,,,,0.0,,0.0,6030.0,0.0,15522320.0,0.0
2025-06-28,밤고구마,,,2240.0,0.0,4402500.0,0.0,6215.0,0.0,16402558.0,0.0
2025-06-27,밤고구마,,,3330.0,0.0,7160500.0,0.0,5919.0,0.0,15851371.0,0.0
2025-06-26,밤고구마,,,3000.0,0.0,6452500.0,0.0,5125.0,0.0,14147921.0,0.0
2025-06-25,밤고구마,7010.0,14637000.0,,0.0,,0.0,5058.0,38.6,14079038.0,4.0
2025-06-24,밤고구마,1800.0,5400000.0,,0.0,,0.0,4504.0,-60.0,11756638.0,-54.1
2025-06-23,밤고구마,7440.0,17549000.0,,0.0,,0.0,4496.0,65.5,11980638.0,46.5
2025-06-22,밤고구마,,,4010.0,0.0,8544000.0,0.0,4500.0,0.0,12710125.0,0.0
2025-06-21,밤고구마,4390.0,4500000.0,3750.0,17.1,7987000.0,-43.7,4730.0,-7.2,14784000.0,-69.6
2025-06-20,밤고구마,900.0,2700000.0,3760.0,-76.1,7985500.0,-66.2,5110.0,-82.4,15435517.0,-82.5
2025-06-19,밤고구마,,,3750.0,0.0,8554500.0,0.0,5143.0,0.0,15309750.0,0.0
2025-06-18,밤고구마,6840.0,17359000.0,5080.0,34.6,10853000.0,59.9,4573.0,49.6,12944425.0,34.1
2025-06-17,밤고구마,5850.0,6085500.0,5900.0,-0.8,12929500.0,-52.9,4153.0,40.9,10903075.0,-44.2
2025-06-16,밤고구마,450.0,1140000.0,,0.0,,0.0,4437.0,-89.9,11710008.0,-90.3
2025-06-15,밤고구마,,,,0.0,,0.0,4556.0,0.0,11986342.0,0.0
2025-06-14,밤고구마,,,3780.0,0.0,9059000.0,0.0,4554.0,0.0,12016975.0,0.0
2025-06-13,밤고구마,,,5760.0,0.0,13973000.0,0.0,4547.0,0.0,12460696.0,0.0
2025-06-12,밤고구마,10250.0,19640000.0,5090.0,101.4,13810000.0,42.2,5091.0,101.3,14781738.0,32.9
2025-06-11,밤고구마,1190.0,1079000.0,,0.0,,0.0,5896.0,-79.8,16008621.0,-93.3
2025-06-10,밤고구마,14070.0,25384500.0,,0.0,,0.0,5643.0,149.3,15460088.0,64.2
2025-06-09,밤고구마,10060.0,23800500.0,,0.0,,0.0,5104.0,97.1,13346821.0,78.3
2025-06-08,밤고구마,,,1690.0,0.0,1031500.0,0.0,5111.0,0.0,13335642.0,0.0
2025-06-07,밤고구마,5240.0,12833000.0,2050.0,155.6,2318000.0,453.6,4957.0,5.7,12789217.0,0.3
2025-06-06,밤고구마,,,3590.0,0.0,9225000.0,0.0,4301.0,0.0,12630067.0,0.0
2025-06-05,밤고구마,6380.0,14983500.0,1730.0,268.8,1976000.0,658.3,4279.0,49.1,12834767.0,16.7
2025-06-04,밤고구마,,,4520.0,0.0,12202000.0,0.0,4353.0,0.0,13434758.0,0.0
2025-06-03,밤고구마,2550.0,2777500.0,1600.0,59.4,1484000.0,87.2,4695.0,-45.7,12938442.0,-78.5
2025-06-02,밤고구마,4570.0,7005500.0,,0.0,,0.0,5311.0,-14.0,13591250.0,-48.5
