거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,레드치커리,2430.0,9847800.0,,0.0,,0.0,2513.0,-3.3,11167613.0,-11.8
2025-06-29,레드치커리,,,1972.0,0.0,9900400.0,0.0,2483.0,0.0,10418760.0,0.0
2025-06-28,레드치커리,2892.0,11235400.0,2836.0,2.0,10380300.0,8.2,2561.0,12.9,10220007.0,9.9
2025-06-27,레드치커리,2860.0,12209900.0,2866.0,-0.2,10494800.0,16.3,2704.0,5.8,10777123.0,13.3
2025-06-26,레드치커리,2254.0,9786700.0,2874.0,-21.6,11620500.0,-15.8,2761.0,-18.4,10917017.0,-10.4
2025-06-25,레드치커리,2926.0,10717100.0,2822.0,3.7,12597500.0,-14.9,2692.0,8.7,10828757.0,-1.0
2025-06-24,레드치커리,3080.0,11644600.0,2710.0,13.7,11251500.0,3.5,2604.0,18.3,11121430.0,4.7
2025-06-23,레드치커리,3644.0,15340000.0,,0.0,,0.0,2629.0,38.6,10997367.0,39.5
2025-06-22,레드치커리,,,2306.0,0.0,10006600.0,0.0,2592.0,0.0,11077863.0,0.0
2025-06-21,레드치커리,2372.0,6518600.0,2274.0,4.3,8075700.0,-19.3,2605.0,-8.9,10798477.0,-39.6
2025-06-20,레드치커리,1854.0,5973800.0,2732.0,-32.1,9007700.0,-33.7,2733.0,-32.2,10818257.0,-44.8
2025-06-19,레드치커리,3204.0,10298100.0,2868.0,11.7,8466700.0,21.6,2854.0,12.3,10769257.0,-4.4
2025-06-18,레드치커리,3738.0,14135000.0,3442.0,8.6,10925300.0,29.4,2941.0,27.1,10697973.0,32.1
2025-06-17,레드치커리,2848.0,12945600.0,3774.0,-24.5,11832500.0,9.4,2891.0,-1.5,10618327.0,21.9
2025-06-16,레드치커리,3146.0,14819300.0,,0.0,,0.0,2834.0,11.0,10915353.0,35.8
2025-06-15,레드치커리,,,2296.0,0.0,6244900.0,0.0,2803.0,0.0,10930937.0,0.0
2025-06-14,레드치커리,3034.0,15289300.0,3220.0,-5.8,9393700.0,62.8,2675.0,13.4,10757680.0,42.1
2025-06-13,레드치커리,3308.0,15274200.0,3228.0,2.5,8917500.0,71.3,2738.0,20.8,10498920.0,45.5
2025-06-12,레드치커리,3110.0,14702200.0,2748.0,13.2,7637500.0,92.5,2855.0,8.9,11414240.0,28.8
2025-06-11,레드치커리,2006.0,8588400.0,3834.0,-47.7,14021100.0,-38.7,2952.0,-32.0,11968790.0,-28.2
2025-06-10,레드치커리,1676.0,5612000.0,4276.0,-60.8,16234400.0,-65.4,2882.0,-41.8,12105093.0,-53.6
2025-06-09,레드치커리,2646.0,8477200.0,,0.0,,0.0,2755.0,-4.0,13250897.0,-36.0
2025-06-08,레드치커리,,,3442.0,0.0,9238500.0,0.0,2676.0,0.0,13562110.0,0.0
2025-06-07,레드치커리,2036.0,6595500.0,3708.0,-45.1,11358400.0,-41.9,2750.0,-26.0,12995037.0,-49.2
2025-06-06,레드치커리,2288.0,9123700.0,3310.0,-30.9,12144500.0,-24.9,2732.0,-16.3,12168987.0,-25.0
2025-06-05,레드치커리,1922.0,7685600.0,3286.0,-41.5,13231800.0,-41.9,2626.0,-26.8,12385060.0,-37.9
2025-06-04,레드치커리,3114.0,11744100.0,2228.0,39.8,9103900.0,29.0,2582.0,20.6,12776097.0,-8.1
2025-06-03,레드치커리,2566.0,9219600.0,2768.0,-7.3,10431600.0,-11.6,2577.0,-0.4,12073790.0,-23.6
2025-06-02,레드치커리,4320.0,17821100.0,,0.0,,0.0,2705.0,59.7,11834420.0,50.6
2025-06-01,레드치커리,,,3464.0,0.0,11201900.0,0.0,2948.0,0.0,12009253.0,0.0
2025-05-31,레드치커리,3722.0,18460800.0,3688.0,0.9,13363800.0,38.1,3097.0,20.2,12226847.0,51.0
2025-05-30,레드치커리,3914.0,21498400.0,3468.0,12.9,12897300.0,66.7,3194.0,22.5,11899270.0,80.7
2025-05-29,레드치커리,4884.0,26622500.0,3426.0,42.6,13423600.0,98.3,3413.0,43.1,12809387.0,107.8
2025-05-28,레드치커리,5084.0,31363500.0,3770.0,34.9,13858100.0,126.3,3213.0,58.2,13325633.0,135.4
2025-05-27,레드치커리,3578.0,25606000.0,4372.0,-18.2,18757400.0,36.5,3152.0,13.5,13888187.0,84.4
2025-05-26,레드치커리,4246.0,30616100.0,,0.0,,0.0,3013.0,40.9,13748547.0,122.7
2025-05-25,레드치커리,,,5686.0,0.0,24970800.0,0.0,2965.0,0.0,13781140.0,0.0
2025-05-24,레드치커리,2895.0,24160400.0,4306.0,-32.8,25213200.0,-4.2,2875.0,0.7,14093283.0,71.4
2025-05-23,레드치커리,1969.0,16020900.0,2906.0,-32.2,18521200.0,-13.5,2943.0,-33.1,14391293.0,11.3
