거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2015-10-20,녹색파프리카_통합,1085.0,1335500.0,7025.0,-84.6,3727000.0,-64.2,3591.0,-69.8,2472350.0,-46.0
2015-10-21,녹색파프리카_통합,1135.0,1307000.0,9450.0,-88.0,18753927.0,-93.0,3880.0,-70.7,2654483.0,-50.8
2015-10-22,녹색파프리카_통합,1085.0,1289000.0,10990.0,-90.1,24320213.0,-94.7,4074.0,-73.4,2966950.0,-56.6
2015-10-23,녹색파프리카_통합,730.0,1150000.0,10410.0,-93.0,5948500.0,-80.7,4080.0,-82.1,3057150.0,-62.4
2015-10-24,녹색파프리카_통합,1225.0,1342000.0,6775.0,-81.9,3535500.0,-62.0,4611.0,-73.4,3592800.0,-62.6
2015-10-26,녹색파프리카_통합,4175.0,2949500.0,,0.0,,0.0,5761.0,-27.5,4322250.0,-31.8
2015-10-27,녹색파프리카_통합,1397.0,2256500.0,6910.0,-79.8,13302927.0,-83.0,5774.0,-75.8,4163330.0,-45.8
2015-10-28,녹색파프리카_통합,4400.0,3473500.0,2730.0,61.2,2121500.0,63.7,5914.0,-25.6,4199608.0,-17.3
2015-10-29,녹색파프리카_통합,6145.0,3714500.0,5270.0,16.6,4390500.0,-15.4,5915.0,3.9,4049835.0,-8.3
2015-10-30,녹색파프리카_통합,8050.0,4303500.0,11205.0,-28.2,10621500.0,-59.5,5181.0,55.4,3582202.0,20.1
2015-10-31,녹색파프리카_통합,9570.0,5495500.0,13195.0,-27.5,9566000.0,-42.6,5122.0,86.8,3823217.0,43.7
2015-11-02,녹색파프리카_통합,9430.0,6184000.0,,0.0,,0.0,6333.0,48.9,5611897.0,10.2
2015-11-03,녹색파프리카_통합,14833.0,8653500.0,16170.0,-8.3,8511000.0,1.7,6935.0,113.9,6398980.0,35.2
2015-11-04,녹색파프리카_통합,11012.0,7993500.0,12370.0,-11.0,7604000.0,5.1,7988.0,37.9,6619247.0,20.8
2015-11-05,녹색파프리카_통합,6972.0,5817000.0,8310.0,-16.1,4284500.0,35.8,8859.0,-21.3,7073513.0,-17.8
2015-11-06,녹색파프리카_통합,14022.0,8623500.0,7730.0,81.4,4765000.0,81.0,8856.0,58.3,7774576.0,10.9
2015-11-07,녹색파프리카_통합,8923.0,5523000.0,5405.0,65.1,7960500.0,-30.6,8616.0,3.6,7493694.0,-26.3
2015-11-09,녹색파프리카_통합,13623.0,9602600.0,,0.0,,0.0,8924.0,52.7,7882133.0,21.8
2015-11-10,녹색파프리카_통합,9270.0,5901000.0,7150.0,29.7,7333500.0,-19.5,8790.0,5.5,7193700.0,-18.0
2015-11-11,녹색파프리카_통합,13325.0,6395500.0,9220.0,44.5,24391458.0,-73.8,8467.0,57.4,6375067.0,0.3
2015-11-12,녹색파프리카_통합,9615.0,4741500.0,9255.0,3.9,12317500.0,-61.5,8453.0,13.7,6087517.0,-22.1
2015-11-13,녹색파프리카_통합,11658.0,6461500.0,16065.0,-27.4,16418500.0,-60.6,8267.0,41.0,5805933.0,11.3
2015-11-14,녹색파프리카_통합,6605.0,4060000.0,13970.0,-52.7,8376500.0,-51.5,8388.0,-21.3,5895050.0,-31.1
2015-11-16,녹색파프리카_통합,9562.0,5915500.0,,0.0,,0.0,9587.0,-0.3,6235383.0,-5.1
2015-11-17,녹색파프리카_통합,6106.0,4560500.0,9765.0,-37.5,6213000.0,-26.6,10567.0,-42.2,6651633.0,-31.4
2015-11-18,녹색파프리카_통합,11076.0,7182500.0,17990.0,-38.4,11766000.0,-39.0,11330.0,-2.2,7155267.0,0.4
2015-11-19,녹색파프리카_통합,4497.0,2788000.0,18740.0,-76.0,9932500.0,-71.9,11945.0,-62.4,7314280.0,-61.9
2015-11-20,녹색파프리카_통합,9721.0,5100500.0,14900.0,-34.8,9589000.0,-46.8,12280.0,-20.8,7165817.0,-28.8
2015-11-21,녹색파프리카_통합,5075.0,4410500.0,13800.0,-63.2,7206000.0,-38.8,12327.0,-58.8,6792070.0,-35.1
2015-11-23,녹색파프리카_통합,9791.0,8168500.0,,0.0,,0.0,11831.0,-17.2,6409077.0,27.5
2015-11-24,녹색파프리카_통합,9780.0,11022000.0,20950.0,-53.3,9932100.0,11.0,10724.0,-8.8,5736677.0,92.1
2015-11-25,녹색파프리카_통합,14950.0,13231000.0,12030.0,24.3,6773000.0,95.3,9303.0,60.7,5100760.0,159.4
2015-11-26,녹색파프리카_통합,14400.0,13457200.0,11110.0,29.6,6633000.0,102.9,8074.0,78.4,4569773.0,194.5
2015-11-27,녹색파프리카_통합,22410.0,16143000.0,8480.0,164.3,4724500.0,241.7,6957.0,222.1,4033717.0,300.2
2015-11-28,녹색파프리카_통합,23325.0,14743500.0,9810.0,137.8,5997500.0,145.8,6647.0,250.9,4015983.0,267.1
