file,품목명
감자_cleaned.csv,수미
고구마_cleaned.csv,밤고구마
고구마_cleaned.csv,호박고구마
깐마늘_통합_최종_데이터.csv,깐마늘_통합
깻잎_cleaned.csv,깻잎(일반)
느타리버섯_cleaned.csv,느타리버섯(일반)
느타리버섯_cleaned.csv,맛느타리버섯
느타리버섯_cleaned.csv,애느타리버섯(일반)
단호박_cleaned.csv,단호박
당근_cleaned.csv,당근(일반)
미나리_cleaned.csv,돌미나리
미나리_cleaned.csv,미나리(일반)
부추_cleaned.csv,영양부추
부추_cleaned.csv,일반부추
브로콜리_cleaned.csv,뉴그린
브로콜리_cleaned.csv,브로코리(국산)
브로콜리_cleaned.csv,브로코리(일반)
새송이버섯_cleaned.csv,새송이(일반)
시금치_cleaned.csv,시금치(일반)
애호박_cleaned.csv,애호박
애호박_cleaned.csv,쥬키니호박
양배추_cleaned.csv,양배추(수입)
양배추_cleaned.csv,양배추(일반)
양상추_cleaned.csv,양상추(수입)
양상추_cleaned.csv,양상추(일반)
양송이버섯_cleaned.csv,양송이(일반)
양파_cleaned.csv,깐양파
양파_cleaned.csv,만생양파
양파_cleaned.csv,자주양파
오이_cleaned.csv,백다다기
오이_cleaned.csv,오이(일반)
오이_cleaned.csv,취청
적양배추_filtered.csv,적채(일반)
쪽파_cleaned.csv,깐쪽파
쪽파_cleaned.csv,쪽파(일반)
쪽파_cleaned.csv,포장쪽파
청고추(풋고추)_통합_최종_데이터.csv,풋고추_통합
청고추_머지제외.csv,녹광
청고추_머지제외.csv,오이맛고추
청고추_머지제외.csv,청양
청고추_머지제외.csv,청초(일반)
치커리_cleaned.csv,레드치커리
치커리_cleaned.csv,치커리(일반)
치커리_cleaned.csv,치콘
토마토전체_cleaned.csv,대추방울
토마토전체_cleaned.csv,방울토마토
토마토전체_cleaned.csv,완숙토마토
토마토전체_cleaned.csv,토마토(일반)
파프리카_머지제외.csv,노랑파프리카
파프리카_머지제외.csv,빨강파프리카
파프리카녹색_통합_최종_데이터.csv,녹색파프리카_통합
팽이버섯_cleaned.csv,팽이
표고버섯_cleaned.csv,생표고(수입)　
표고버섯_cleaned.csv,표고버섯(일반)
피망전체_cleaned.csv,청피망
피망전체_cleaned.csv,홍피망
홍고추_cleaned.csv,홍고추(일반)
홍고추_cleaned.csv,홍청양
