거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-29,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-28,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-27,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-26,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-25,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-24,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-23,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-22,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-21,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-20,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-19,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-18,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-17,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-16,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-15,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-14,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-13,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-12,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-11,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-10,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-09,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-08,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-07,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-06,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-05,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-04,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-03,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-02,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-06-01,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-31,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-30,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-29,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-28,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-27,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-26,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-25,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-24,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-23,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-22,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-21,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-20,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-19,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-18,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-17,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-16,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-15,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-14,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-13,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-12,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-11,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-10,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-09,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-08,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-07,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-06,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-05,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-04,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-03,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-02,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-05-01,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-30,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-29,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-28,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-27,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-26,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-25,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-24,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-23,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-22,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-21,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-20,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-19,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-18,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-17,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-16,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-15,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-14,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-13,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-12,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-11,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-10,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-09,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-08,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-07,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-06,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-05,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-04,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-03,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-02,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-04-01,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-31,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-30,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-29,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-28,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-27,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-26,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-25,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-24,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-23,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-22,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-21,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-20,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-19,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-18,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-17,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-16,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-15,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-14,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-13,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-12,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-11,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-10,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-09,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-08,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-07,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-06,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-05,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-04,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-03,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-02,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-03-01,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-02-28,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-02-27,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
2025-02-26,저장형 난지,,,,0.0,,0.0,,0.0,,0.0
