거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,돌미나리,35528.0,57162800.0,,0.0,,0.0,28577.0,24.3,52796720.0,8.3
2025-06-29,돌미나리,,,27532.0,0.0,48821900.0,0.0,29114.0,0.0,51422053.0,0.0
2025-06-28,돌미나리,36940.0,44638000.0,30388.0,21.6,34468100.0,29.5,30243.0,22.1,51450400.0,-13.2
2025-06-27,돌미나리,37000.0,53245100.0,27692.0,33.6,29708000.0,79.2,30715.0,20.5,53005533.0,0.5
2025-06-26,돌미나리,33484.0,28793900.0,31248.0,7.2,31047900.0,-7.3,30704.0,9.1,53511267.0,-46.2
2025-06-25,돌미나리,39208.0,38196700.0,31928.0,22.8,47852100.0,-20.2,30399.0,29.0,53200007.0,-28.2
2025-06-24,돌미나리,39048.0,56679200.0,32072.0,21.8,59083700.0,-4.1,30533.0,27.9,50850573.0,11.5
2025-06-23,돌미나리,34388.0,58569400.0,,0.0,,0.0,30677.0,12.1,47328233.0,23.8
2025-06-22,돌미나리,,,31580.0,0.0,31723500.0,0.0,31209.0,0.0,44505870.0,0.0
2025-06-21,돌미나리,35964.0,43711800.0,29396.0,22.3,24057400.0,81.7,32391.0,11.0,44685271.0,-2.2
2025-06-20,돌미나리,35672.0,36334400.0,29384.0,21.4,18795100.0,93.3,32849.0,8.6,44808064.0,-18.9
2025-06-19,돌미나리,33484.0,37291300.0,35716.0,-6.2,22654600.0,64.6,32979.0,1.5,44583955.0,-16.4
2025-06-18,돌미나리,31248.0,26893200.0,32488.0,-3.8,29008400.0,-7.3,33131.0,-5.7,45147930.0,-40.4
2025-06-17,돌미나리,38604.0,36233000.0,34056.0,13.4,31752900.0,14.1,33079.0,16.7,46034160.0,-21.3
2025-06-16,돌미나리,38680.0,37175500.0,,0.0,,0.0,32344.0,19.6,46774917.0,-20.5
2025-06-15,돌미나리,,,33840.0,0.0,28241100.0,0.0,31921.0,0.0,48140820.0,0.0
2025-06-14,돌미나리,40020.0,34253300.0,30096.0,33.0,19599400.0,74.8,31973.0,25.2,48537570.0,-29.4
2025-06-13,돌미나리,37240.0,27993300.0,33340.0,11.7,19324500.0,44.9,32138.0,15.9,46195283.0,-39.4
2025-06-12,돌미나리,36892.0,27813100.0,34960.0,5.5,21222100.0,31.1,32774.0,12.6,44388783.0,-37.3
2025-06-11,돌미나리,39660.0,41907800.0,34536.0,14.8,27629900.0,51.7,32852.0,20.7,42194753.0,-0.7
2025-06-10,돌미나리,39504.0,53661500.0,35428.0,11.5,26134100.0,105.3,33413.0,18.2,42524057.0,26.2
2025-06-09,돌미나리,37008.0,69865300.0,,0.0,,0.0,33866.0,9.3,45181797.0,54.6
2025-06-08,돌미나리,,,37248.0,0.0,21725200.0,0.0,34308.0,0.0,47520437.0,0.0
2025-06-07,돌미나리,34940.0,68588900.0,34792.0,0.4,31000100.0,121.3,34487.0,1.3,48664643.0,40.9
2025-06-06,돌미나리,31660.0,59023800.0,35472.0,-10.7,29516100.0,100.0,34907.0,-9.3,49587111.0,19.0
2025-06-05,돌미나리,33144.0,54109600.0,32592.0,1.7,38411700.0,40.9,34613.0,-4.2,51847478.0,4.4
2025-06-04,돌미나리,33628.0,44164100.0,37440.0,-10.2,47578700.0,-7.2,34000.0,-1.1,52564048.0,-16.0
2025-06-03,돌미나리,38880.0,53977500.0,35084.0,10.8,58862700.0,-8.3,33286.0,16.8,53780022.0,0.4
2025-06-02,돌미나리,37776.0,53781100.0,,0.0,,0.0,32864.0,14.9,56080123.0,-4.1
2025-06-01,돌미나리,,,30472.0,0.0,53324700.0,0.0,32366.0,0.0,57756022.0,0.0
2025-05-31,돌미나리,37416.0,52268100.0,27812.0,34.5,50927900.0,2.6,32267.0,16.0,58226010.0,-10.2
2025-05-30,돌미나리,36904.0,47902100.0,28140.0,31.1,49435700.0,-3.1,32529.0,13.4,58274827.0,-17.8
2025-05-29,돌미나리,39224.0,47120600.0,27308.0,43.6,50483100.0,-6.7,32333.0,21.3,58681560.0,-19.7
2025-05-28,돌미나리,39528.0,53362600.0,29092.0,35.9,56993100.0,-6.4,31913.0,23.9,59619680.0,-10.5
2025-05-27,돌미나리,40296.0,61629800.0,35076.0,14.9,59328600.0,3.9,31738.0,27.0,61409730.0,0.4
2025-05-26,돌미나리,39196.0,114640400.0,,0.0,,0.0,31556.0,24.2,64014047.0,79.1
2025-05-25,돌미나리,,,32736.0,0.0,53314500.0,0.0,31866.0,0.0,64901280.0,0.0
2025-05-24,돌미나리,39960.0,61885000.0,29648.0,34.8,48172600.0,28.5,32203.0,24.1,67225992.0,-7.9
2025-05-23,돌미나리,34688.0,46431500.0,29156.0,19.0,48020100.0,-3.3,32650.0,6.2,69682765.0,-33.4
2025-05-22,돌미나리,37328.0,52611400.0,30708.0,21.6,52133700.0,0.9,33317.0,12.0,73661848.0,-28.6
2025-05-21,돌미나리,39612.0,67082000.0,34426.0,15.1,59277650.0,13.2,33741.0,17.4,73992980.0,-9.3
