거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-29,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-28,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-27,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-26,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-25,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-24,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-23,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-22,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-21,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-20,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-19,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-18,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-17,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-16,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-15,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-14,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-13,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-12,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-11,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-10,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-09,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-08,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-07,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-06,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-05,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-04,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-03,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-02,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-06-01,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-31,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-30,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-29,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-28,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-27,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-26,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-25,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-24,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-23,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-22,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-21,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-20,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-19,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-18,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-17,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-16,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-15,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-14,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-13,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-12,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-11,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-10,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-09,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-08,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-07,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-06,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-05,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-04,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-03,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-02,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-05-01,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-30,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-29,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-28,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-27,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-26,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-25,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-24,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-23,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-22,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-21,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-20,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-19,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-18,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-17,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-16,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-15,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-14,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-13,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-12,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-11,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-10,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-09,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-08,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-07,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-06,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-05,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-04,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-03,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-02,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-04-01,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-31,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-30,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-29,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-28,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-27,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-26,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-25,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-24,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-23,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-22,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-21,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-20,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-19,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-18,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-17,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-16,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-15,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-14,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-13,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-12,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-11,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-10,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-09,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-08,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-07,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-06,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-05,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-04,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-03,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-02,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-03-01,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-28,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-27,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-26,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-25,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-24,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-23,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-22,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-21,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-20,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-19,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-18,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-17,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-16,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-15,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-14,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-13,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-12,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-11,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-10,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-09,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-08,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-07,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-06,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-05,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-04,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-03,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-02,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-02-01,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-31,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-30,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-29,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-28,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-27,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-26,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-25,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-24,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-23,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-22,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-21,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-20,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-19,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-18,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-17,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-16,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-15,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-14,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-13,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-12,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
2025-01-11,생표고(수입)　,,,,0.0,,0.0,,0.0,,0.0
