품목명,selected_model,rank1_model,rank1_sMAPE,rank1_MAE,rank2_model,rank2_sMAPE,rank2_MAE,rank3_model,rank3_sMAPE,rank3_MAE
깐양파,WeekMean,WeekMean,16.702286502923048,282.4475016232823,HW-Add,19.170685298554567,292.5756581177736,HW-Mul,19.17938521575925,289.18644281276084
깐쪽파,WeekMean,WeekMean,19.343125463734044,1300.816282404309,RollMean(4w),29.152202562021955,1823.1820235973892,HW-Mul,31.439470231152466,1993.899300125072
깻잎(일반),HW-Mul,HW-Mul,18.12912975928083,1105.3704405645276,HW-Add,18.70512116541379,1128.8503001904035,RollMean(4w),21.133815229969407,1270.4039083230439
노랑파프리카,WeekMean,WeekMean,22.89848105429735,702.5262264693764,SeasonalNaive,28.78580796857815,998.7828930850948,HW-Mul,29.639275230296672,1055.8006367400378
녹광,SeasonalNaive,SeasonalNaive,24.30372642550354,1119.6044665674306,RollMean(4w),26.630300482625398,1395.064288668467,WeekMean,26.70521601460454,1200.8761112468483
뉴그린,HW-Mul,HW-Mul,32.61014733140634,1090.6939457558035,SeasonalNaive,34.565095126733844,840.9524882164689,HW-Add,35.88080854599887,1215.4676015325338
느타리버섯(일반),HW-Add,HW-Add,11.923678475558312,616.1259685651067,RollMean(4w),12.463111145762182,643.118829529477,HW-Mul,13.019466291921667,672.2031782480627
단호박,RollMean(4w),RollMean(4w),44.506140740863344,911.2389215277102,WeekMean,47.051227162128896,900.1812374012898,HW-Add,51.154033337160946,1134.2021707549652
당근(일반),HW-Add,HW-Add,14.323082316789197,198.09214290007017,HW-Mul,20.967296851333597,279.5972291729308,RollMean(4w),24.535276505956073,360.22996476357804
대추방울,HW-Mul,HW-Mul,15.358769952316521,533.6266079409434,HW-Add,15.69585872924825,566.4918704795815,WeekMean,17.839448423305466,621.3418767199427
대파(일반),HW-Add,HW-Add,12.75280685157287,124.34605260394397,HW-Mul,19.05033526781423,170.70625492121954,RollMean(4w),22.248422074966896,217.8834744223058
돌미나리,WeekMean,WeekMean,20.93655476876712,408.288052834687,SeasonalNaive,27.853410654813814,520.5143107184124,HW-Add,38.10857991520427,776.1365071402014
레드치커리,HW-Mul,HW-Mul,23.85526160774607,1744.8945585001284,HW-Add,26.295800392614506,2016.8476125234247,WeekMean,35.771184998037235,2184.326771952925
마늘,RollMean(4w),RollMean(4w),6.222112908183061,440.5758324744232,HW-Add,9.861485870623696,682.0112897509105,HW-Mul,10.490296205384757,721.7943034500407
만생양파,WeekMean,WeekMean,33.25417856909948,347.6895914132285,RollMean(4w),33.67763785191578,371.0367801707965,HW-Mul,34.92425947334208,383.38422840525845
맛느타리버섯,WeekMean,WeekMean,12.322198164483098,289.2375218627274,SeasonalNaive,12.365977542388658,323.5287110619858,HW-Mul,19.207499232552667,482.8988010722173
미나리(일반),HW-Add,HW-Add,13.76483514360109,473.959385230826,HW-Mul,19.067445148686573,584.102781967195,RollMean(4w),22.580268266497878,836.5463424804839
밤고구마,HW-Mul,HW-Mul,10.494069213289176,212.4121084761057,RollMean(4w),11.752873123281097,225.87726504971693,HW-Add,12.417658506288282,253.8386057155832
