거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2015-06-30,녹광,16256.0,38140670.0,21615.0,-24.8,57638600.0,-33.8,13148.0,23.6,32533782.0,17.2
2015-06-30,오이맛고추,42649.0,71647500.0,38964.0,9.5,76413450.0,-6.2,34241.0,24.6,58300685.0,22.9
2015-06-30,청양,92727.0,193123810.0,91072.0,1.8,340061750.0,-43.2,70570.0,31.4,233850535.0,-17.4
2015-06-30,청초(일반),6384.0,14622000.0,15099.0,-57.7,33851900.0,-56.8,,0.0,,0.0
2015-07-01,녹광,12944.0,24033000.0,19510.0,-33.7,44965100.0,-46.6,13290.0,-2.6,33512835.0,-28.3
2015-07-01,오이맛고추,42821.0,68398250.0,45659.0,-6.2,80354550.0,-14.9,34115.0,25.5,59756219.0,14.5
2015-07-01,청양,86307.0,166001900.0,78212.0,10.4,259235640.0,-36.0,70938.0,21.7,232413767.0,-28.6
2015-07-01,청초(일반),4523.0,10839600.0,7144.0,-36.7,12887300.0,-15.9,,0.0,,0.0
2015-07-02,녹광,11733.0,23444750.0,10996.0,6.7,19306900.0,21.4,13150.0,-10.8,31424942.0,-25.4
2015-07-02,오이맛고추,43057.0,68435700.0,36677.0,17.4,51068750.0,34.0,33284.0,29.4,59535195.0,14.9
2015-07-02,청양,79125.0,161611850.0,69934.0,13.1,219051575.0,-26.2,72598.0,9.0,224768440.0,-28.1
2015-07-02,청초(일반),6530.0,13973400.0,5401.0,20.9,9703300.0,44.0,,0.0,,0.0
2015-07-03,녹광,11052.0,25175350.0,11411.0,-3.1,20025000.0,25.7,12756.0,-13.4,29622028.0,-15.0
2015-07-03,오이맛고추,40694.0,64027800.0,31272.0,30.1,46385180.0,38.0,32610.0,24.8,57689773.0,11.0
2015-07-03,청양,76652.0,160508850.0,69489.0,10.3,198484830.0,-19.1,69629.0,10.1,209742607.0,-23.5
2015-07-03,청초(일반),9679.0,17486300.0,6320.0,53.1,12789600.0,36.7,,0.0,,0.0
2015-07-04,녹광,18648.0,41804000.0,7761.0,140.3,17470400.0,139.3,12180.0,53.1,29872402.0,39.9
2015-07-04,오이맛고추,36560.0,69754050.0,31358.0,16.6,51151600.0,36.4,32054.0,14.1,56402846.0,23.7
2015-07-04,청양,72632.0,182674970.0,64226.0,13.1,196434500.0,-7.0,68676.0,5.8,195775861.0,-6.7
2015-07-04,청초(일반),8870.0,18159950.0,5905.0,50.2,13798000.0,31.6,,0.0,,0.0
2015-07-05,녹광,,,12860.0,0.0,36499900.0,0.0,12321.0,0.0,32622786.0,0.0
2015-07-05,오이맛고추,,,41866.0,0.0,63969900.0,0.0,33123.0,0.0,59844954.0,0.0
2015-07-05,청양,,,66038.0,0.0,214446800.0,0.0,68458.0,0.0,200439520.0,0.0
2015-07-05,청초(일반),,,8574.0,0.0,21513550.0,0.0,,0.0,,0.0
2015-07-06,녹광,18046.0,45464950.0,,0.0,,0.0,12824.0,40.7,34053982.0,33.5
2015-07-06,오이맛고추,50469.0,98742700.0,,0.0,,0.0,33884.0,48.9,60062816.0,64.4
2015-07-06,청양,97791.0,272874700.0,,0.0,,0.0,69116.0,41.5,205166363.0,33.0
2015-07-06,청초(일반),8225.0,20476000.0,,0.0,,0.0,,0.0,,0.0
2015-07-07,녹광,14759.0,33875850.0,19707.0,-25.1,59607000.0,-43.2,12470.0,18.4,33227451.0,2.0
2015-07-07,오이맛고추,35266.0,74978600.0,45535.0,-22.6,72833900.0,2.9,36945.0,-4.5,60533390.0,23.9
2015-07-07,청양,79635.0,222748025.0,94442.0,-15.7,305216950.0,-27.0,68684.0,15.9,194805382.0,14.3
2015-07-07,청초(일반),8956.0,19400800.0,12191.0,-26.5,27271600.0,-28.9,,0.0,,0.0
2015-07-08,녹광,11092.0,26839150.0,18975.0,-41.5,42614659.0,-37.0,12111.0,-8.4,32785694.0,-18.1
2015-07-08,오이맛고추,36284.0,72874200.0,37767.0,-3.9,63727226.0,14.4,37509.0,-3.3,60391195.0,20.7
2015-07-08,청양,80329.0,209698350.0,77501.0,3.6,236631170.0,-11.4,66000.0,21.7,190629666.0,10.0
2015-07-08,청초(일반),6052.0,13881000.0,8624.0,-29.8,17223100.0,-19.4,,0.0,,0.0
2015-07-09,녹광,13497.0,38171550.0,10064.0,34.1,16575900.0,130.3,11839.0,14.0,32451766.0,17.6
2015-07-09,오이맛고추,37145.0,80154600.0,38051.0,-2.4,56608000.0,41.6,36689.0,1.2,57779092.0,38.7
2015-07-09,청양,76727.0,197233100.0,76249.0,0.6,191588200.0,2.9,65954.0,16.3,191975042.0,2.7
2015-07-09,청초(일반),7707.0,19699600.0,5824.0,32.3,11862600.0,66.1,,0.0,,0.0
