거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,수미,315258.0,275224000.0,,0.0,,0.0,179578.0,75.6,174173700.0,58.0
2025-06-29,수미,,,105827.0,0.0,100438500.0,0.0,191077.0,0.0,191676830.0,0.0
2025-06-28,수미,233612.0,247208500.0,216379.0,8.0,207633000.0,19.1,207036.0,12.8,217460710.0,13.7
2025-06-27,수미,141425.0,153102000.0,171170.0,-17.4,181274500.0,-15.5,212019.0,-33.3,229597843.0,-33.3
2025-06-26,수미,253610.0,284390500.0,144972.0,74.9,153836500.0,84.9,214641.0,18.2,231942157.0,22.6
2025-06-25,수미,281066.0,322435575.0,129920.0,116.3,140559500.0,129.4,211953.0,32.6,229924044.0,40.2
2025-06-24,수미,308902.0,365302000.0,141367.0,118.5,142369500.0,156.6,217656.0,41.9,233429567.0,56.5
2025-06-23,수미,262301.0,320635500.0,,0.0,,0.0,236438.0,10.9,243467434.0,31.7
2025-06-22,수미,,,132640.0,0.0,111162000.0,0.0,259215.0,0.0,265682894.0,0.0
2025-06-21,수미,208642.0,280077000.0,133210.0,56.6,115820000.0,141.8,276537.0,-24.6,284900037.0,-1.7
2025-06-20,수미,342610.0,505972500.0,133920.0,155.8,123081500.0,311.1,287641.0,19.1,301361840.0,67.9
2025-06-19,수미,239093.0,372797000.0,138697.0,72.4,114191000.0,226.5,291535.0,-18.0,310275953.0,20.2
2025-06-18,수미,197404.0,300615500.0,175386.0,12.6,133279200.0,125.6,267687.0,-26.3,290529440.0,3.5
2025-06-17,수미,205513.0,269089000.0,265064.0,-22.5,204042500.0,31.9,257455.0,-20.2,275409220.0,-2.3
2025-06-16,수미,357460.0,463350500.0,,0.0,,0.0,266403.0,34.2,279871203.0,65.6
2025-06-15,수미,,,159017.0,0.0,136452500.0,0.0,267301.0,0.0,283382010.0,0.0
