거래일자,품목명,반입량,금액,전년 반입량,전년 반입량 증감률(%),전년 금액,전년 금액 증감률(%),평년 반입량,평년 반입량 증감률(%),평년 금액,평년 금액 증감률(%)
2025-06-30,느타리버섯(일반),1072.0,5496000.0,,0.0,,0.0,39822.0,-97.3,73556523.0,-92.5
2025-06-29,느타리버섯(일반),,,1366.0,0.0,7110000.0,0.0,40757.0,0.0,74550969.0,0.0
2025-06-28,느타리버섯(일반),1265.0,6016500.0,1477.0,-14.4,9484500.0,-36.6,41414.0,-96.9,77927988.0,-92.3
2025-06-27,느타리버섯(일반),880.0,4703500.0,1258.0,-30.0,7296000.0,-35.5,41660.0,-97.9,80631578.0,-94.2
2025-06-26,느타리버섯(일반),810.0,3736500.0,1316.0,-38.4,7244000.0,-48.4,40891.0,-98.0,81280334.0,-95.4
2025-06-25,느타리버섯(일반),1246.0,6187000.0,1186.0,5.1,6272500.0,-1.4,39592.0,-96.9,80165187.0,-92.3
2025-06-24,느타리버섯(일반),1214.0,7475500.0,1234.0,-1.6,6167500.0,21.2,38667.0,-96.9,80404828.0,-90.7
2025-06-23,느타리버섯(일반),1066.0,6932000.0,,0.0,,0.0,38100.0,-97.2,82870638.0,-91.6
2025-06-22,느타리버섯(일반),,,1383.0,0.0,5686500.0,0.0,38240.0,0.0,84010165.0,0.0
2025-06-21,느타리버섯(일반),1234.0,8657500.0,1534.0,-19.6,4432500.0,95.3,39525.0,-96.9,85484118.0,-89.9
2025-06-20,느타리버섯(일반),850.0,7122000.0,1921.0,-55.8,5513000.0,29.2,40391.0,-97.9,87464003.0,-91.9
2025-06-19,느타리버섯(일반),836.0,6584000.0,1072.0,-22.0,4274500.0,54.0,40346.0,-97.9,87681650.0,-92.5
2025-06-18,느타리버섯(일반),723.0,4510500.0,1679.0,-56.9,7204000.0,-37.4,39644.0,-98.2,83618525.0,-94.6
2025-06-17,느타리버섯(일반),818.0,4277500.0,1811.0,-54.8,8519000.0,-49.8,39314.0,-97.9,83016403.0,-94.8
2025-06-16,느타리버섯(일반),1339.0,6070500.0,,0.0,,0.0,38978.0,-96.6,82863926.0,-92.7
2025-06-15,느타리버섯(일반),,,1690.0,0.0,7007500.0,0.0,39389.0,0.0,84108539.0,0.0
